timestamp,value,value_classification
2026-03-05T14:47:00.346996+00:00,22,Extreme Fear
2026-03-05T14:49:52.196503+00:00,22,Extreme Fear
2026-03-05T14:52:43.163963+00:00,22,Extreme Fear
2026-03-05T14:56:40.680621+00:00,22,Extreme Fear
2026-03-05T15:02:37.571290+00:00,22,Extreme Fear
2026-03-05T15:11:19.002797+00:00,22,Extreme Fear
2026-03-05T15:14:47.571008+00:00,22,Extreme Fear
2026-03-05T15:20:27.339241+00:00,22,Extreme Fear
2026-03-05T15:24:41.026435+00:00,22,Extreme Fear
2026-03-05T15:39:41.558530+00:00,22,Extreme Fear
2026-03-05T15:46:24.423077+00:00,22,Extreme Fear
2026-03-05T15:48:22.180833+00:00,22,Extreme Fear
2026-03-05T15:49:54.996163+00:00,22,Extreme Fear
2026-03-05T15:51:00.021850+00:00,22,Extreme Fear
2026-03-05T16:06:00.835640+00:00,22,Extreme Fear
2026-03-05T16:11:12.744568+00:00,22,Extreme Fear
2026-03-10T18:50:09.422245+00:00,13,Extreme Fear
2026-03-10T18:50:09.423002+00:00,13,Extreme Fear
2026-03-10T19:05:11.072046+00:00,13,Extreme Fear
2026-03-10T19:05:11.072046+00:00,13,Extreme Fear
2026-03-10T19:10:39.610325+00:00,13,Extreme Fear
2026-03-10T19:10:47.037280+00:00,13,Extreme Fear
2026-03-11T05:20:59.632351+00:00,15,Extreme Fear
2026-03-11T05:21:57.822317+00:00,15,Extreme Fear
2026-03-11T05:21:57.822342+00:00,15,Extreme Fear
2026-03-11T05:22:00.608330+00:00,15,Extreme Fear
2026-03-11T05:22:08.698835+00:00,15,Extreme Fear
2026-03-11T05:36:58.536993+00:00,15,Extreme Fear
2026-03-11T05:36:58.536993+00:00,15,Extreme Fear
2026-03-11T05:37:01.200263+00:00,15,Extreme Fear
2026-03-11T05:37:09.370154+00:00,15,Extreme Fear
2026-03-11T05:51:59.272496+00:00,15,Extreme Fear
2026-03-11T05:51:59.279417+00:00,15,Extreme Fear
2026-03-11T05:52:01.815930+00:00,15,Extreme Fear
2026-03-11T05:52:10.478666+00:00,15,Extreme Fear
2026-03-11T06:07:00.081871+00:00,15,Extreme Fear
2026-03-11T06:07:00.081860+00:00,15,Extreme Fear
2026-03-11T06:07:03.613714+00:00,15,Extreme Fear
2026-03-11T06:07:11.148732+00:00,15,Extreme Fear
2026-03-11T06:22:00.849519+00:00,15,Extreme Fear
2026-03-11T06:22:00.849514+00:00,15,Extreme Fear
2026-03-11T06:22:04.283407+00:00,15,Extreme Fear
2026-03-11T06:22:12.578530+00:00,15,Extreme Fear
2026-03-11T06:37:01.493613+00:00,15,Extreme Fear
2026-03-11T06:37:01.503071+00:00,15,Extreme Fear
2026-03-11T06:37:06.093197+00:00,15,Extreme Fear
2026-03-11T06:37:13.247706+00:00,15,Extreme Fear
2026-03-11T06:52:02.268099+00:00,15,Extreme Fear
2026-03-11T06:52:02.738796+00:00,15,Extreme Fear
2026-03-11T06:52:06.756437+00:00,15,Extreme Fear
2026-03-11T06:52:14.101600+00:00,15,Extreme Fear
2026-03-11T07:07:03.004669+00:00,15,Extreme Fear
2026-03-11T07:07:04.106131+00:00,15,Extreme Fear
2026-03-11T07:07:07.393935+00:00,15,Extreme Fear
2026-03-11T07:07:14.701489+00:00,15,Extreme Fear
