symbol,funding_rate,funding_time,mark_price
1000PEPEUSDT,0.00010000,1683302400000,
1000PEPEUSDT,-0.00003968,1683331200009,
1000PEPEUSDT,0.00010000,1683360000000,
1000PEPEUSDT,-0.00024538,1683388800000,
1000PEPEUSDT,0.00010000,1683417600000,
1000PEPEUSDT,0.00010000,1683446400000,
1000PEPEUSDT,-0.00056754,1683475200006,
1000PEPEUSDT,-0.00019055,1683504000000,
1000PEPEUSDT,0.00010000,1683532800007,
1000PEPEUSDT,0.00010000,1683561600015,
1000PEPEUSDT,0.00010000,1683590400015,
1000PEPEUSDT,0.00001546,1683619200000,
1000PEPEUSDT,0.00000274,1683648000000,
1000PEPEUSDT,-0.00014710,1683676800007,
1000PEPEUSDT,-0.00015367,1683705600003,
1000PEPEUSDT,-0.00056277,1683734400000,
1000PEPEUSDT,0.00010000,1683763200011,
1000PEPEUSDT,0.00008811,1683792000000,
1000PEPEUSDT,0.00010000,1683820800005,
1000PEPEUSDT,0.00010000,1683849600020,
1000PEPEUSDT,-0.00009925,1683878400001,
1000PEPEUSDT,-0.00011300,1683907200010,
1000PEPEUSDT,-0.00167888,1683936000000,
1000PEPEUSDT,-0.00070597,1683964800000,
1000PEPEUSDT,-0.00230358,1683993600026,
1000PEPEUSDT,-0.00153864,1684022400029,
1000PEPEUSDT,-0.00212373,1684051200010,
1000PEPEUSDT,-0.00092110,1684080000008,
1000PEPEUSDT,-0.00074784,1684108800006,
1000PEPEUSDT,-0.00061075,1684137600005,
1000PEPEUSDT,-0.00039474,1684166400008,
1000PEPEUSDT,-0.00037031,1684195200021,
1000PEPEUSDT,-0.00058153,1684224000000,
1000PEPEUSDT,-0.00089106,1684252800000,
1000PEPEUSDT,-0.00053892,1684281600010,
1000PEPEUSDT,-0.00026410,1684310400000,
1000PEPEUSDT,-0.00014927,1684339200001,
1000PEPEUSDT,-0.00005130,1684368000000,
1000PEPEUSDT,-0.00022506,1684396800026,
1000PEPEUSDT,-0.00023218,1684425600019,
1000PEPEUSDT,0.00008684,1684454400000,
1000PEPEUSDT,-0.00021201,1684483200002,
1000PEPEUSDT,0.00010000,1684512000000,
1000PEPEUSDT,0.00003637,1684540800005,
1000PEPEUSDT,0.00010000,1684569600014,
1000PEPEUSDT,0.00010000,1684598400020,
1000PEPEUSDT,0.00010000,1684627200014,
1000PEPEUSDT,0.00010000,1684656000001,
1000PEPEUSDT,0.00010000,1684684800015,
1000PEPEUSDT,0.00010000,1684713600028,
1000PEPEUSDT,-0.00017770,1684742400000,
1000PEPEUSDT,0.00010000,1684771200012,
1000PEPEUSDT,-0.00019583,1684800000006,
1000PEPEUSDT,0.00010000,1684828800014,
1000PEPEUSDT,-0.00001249,1684857600008,
1000PEPEUSDT,0.00010000,1684886400000,
1000PEPEUSDT,0.00010000,1684915200025,
1000PEPEUSDT,-0.00045574,1684944000008,
1000PEPEUSDT,0.00004400,1684972800000,
1000PEPEUSDT,0.00010000,1685001600025,
1000PEPEUSDT,-0.00003479,1685030400016,
1000PEPEUSDT,0.00010000,1685059200000,
1000PEPEUSDT,-0.00003543,1685088000024,
1000PEPEUSDT,0.00010000,1685116800012,
1000PEPEUSDT,0.00010000,1685145600012,
1000PEPEUSDT,0.00010000,1685174400018,
1000PEPEUSDT,0.00010000,1685203200008,
1000PEPEUSDT,0.00010000,1685232000017,
1000PEPEUSDT,0.00010000,1685260800015,
1000PEPEUSDT,0.00010000,1685289600000,
1000PEPEUSDT,0.00010000,1685318400000,
1000PEPEUSDT,0.00010000,1685347200020,
1000PEPEUSDT,0.00010000,1685376000011,
1000PEPEUSDT,0.00010000,1685404800003,
1000PEPEUSDT,0.00010000,1685433600000,
1000PEPEUSDT,0.00010000,1685462400003,
1000PEPEUSDT,-0.00007000,1685491200013,
1000PEPEUSDT,0.00010000,1685520000000,
1000PEPEUSDT,0.00010000,1685548800000,
1000PEPEUSDT,0.00010000,1685577600008,
1000PEPEUSDT,0.00010000,1685606400012,
1000PEPEUSDT,0.00010000,1685635200000,
1000PEPEUSDT,0.00010000,1685664000000,
1000PEPEUSDT,0.00010000,1685692800006,
1000PEPEUSDT,0.00030161,1685721600012,
1000PEPEUSDT,0.00010000,1685750400000,
1000PEPEUSDT,0.00010000,1685779200011,
1000PEPEUSDT,0.00010000,1685808000003,
1000PEPEUSDT,0.00022429,1685836800000,
1000PEPEUSDT,0.00038789,1685865600000,
1000PEPEUSDT,0.00038978,1685894400000,
1000PEPEUSDT,0.00055659,1685923200005,
1000PEPEUSDT,0.00010000,1685952000000,
1000PEPEUSDT,0.00010000,1685980800000,
1000PEPEUSDT,0.00010000,1686009600000,
1000PEPEUSDT,0.00010000,1686038400009,
1000PEPEUSDT,0.00010000,1686067200013,
1000PEPEUSDT,0.00010000,1686096000000,
1000PEPEUSDT,0.00010000,1686124800016,
1000PEPEUSDT,0.00010000,1686153600000,
1000PEPEUSDT,0.00010000,1686182400006,
1000PEPEUSDT,0.00010000,1686211200000,
1000PEPEUSDT,0.00010000,1686240000000,
1000PEPEUSDT,0.00010000,1686268800000,
1000PEPEUSDT,0.00010000,1686297600000,
1000PEPEUSDT,0.00010000,1686326400000,
1000PEPEUSDT,0.00010000,1686355200000,
1000PEPEUSDT,-0.00001771,1686384000000,
1000PEPEUSDT,-0.00023305,1686412800000,
1000PEPEUSDT,-0.00006221,1686441600001,
1000PEPEUSDT,-0.00014472,1686470400000,
1000PEPEUSDT,0.00000702,1686499200000,
1000PEPEUSDT,-0.00001805,1686528000000,
1000PEPEUSDT,-0.00000235,1686556800000,
1000PEPEUSDT,0.00010000,1686585600001,
1000PEPEUSDT,0.00010000,1686614400000,
1000PEPEUSDT,0.00002387,1686643200000,
1000PEPEUSDT,0.00007046,1686672000000,
1000PEPEUSDT,0.00010000,1686700800000,
1000PEPEUSDT,0.00010000,1686729600000,
1000PEPEUSDT,0.00007690,1686758400000,
1000PEPEUSDT,0.00003845,1686787200000,
1000PEPEUSDT,-0.00005620,1686816000000,
1000PEPEUSDT,-0.00005996,1686844800000,
1000PEPEUSDT,0.00010000,1686873600000,
1000PEPEUSDT,0.00010000,1686902400000,
1000PEPEUSDT,-0.00001666,1686931200000,
1000PEPEUSDT,0.00010000,1686960000000,
1000PEPEUSDT,0.00010000,1686988800000,
1000PEPEUSDT,0.00010000,1687017600000,
1000PEPEUSDT,0.00010000,1687046400000,
1000PEPEUSDT,0.00010000,1687075200000,
1000PEPEUSDT,0.00010000,1687104000000,
1000PEPEUSDT,0.00010000,1687132800000,
1000PEPEUSDT,0.00010000,1687161600000,
1000PEPEUSDT,0.00004590,1687190400000,
1000PEPEUSDT,0.00003967,1687219200001,
1000PEPEUSDT,0.00000224,1687248000000,
1000PEPEUSDT,-0.00008025,1687276800000,
1000PEPEUSDT,0.00010000,1687305600000,
1000PEPEUSDT,0.00010000,1687334400000,
1000PEPEUSDT,0.00010000,1687363200000,
1000PEPEUSDT,0.00010000,1687392000000,
1000PEPEUSDT,0.00010000,1687420800001,
1000PEPEUSDT,0.00010000,1687449600000,
1000PEPEUSDT,0.00010000,1687478400000,
1000PEPEUSDT,0.00010000,1687507200000,
1000PEPEUSDT,0.00010000,1687536000000,
1000PEPEUSDT,-0.00000104,1687564800000,
1000PEPEUSDT,0.00003959,1687593600000,
1000PEPEUSDT,-0.00009007,1687622400000,
1000PEPEUSDT,0.00005683,1687651200000,
1000PEPEUSDT,0.00005766,1687680000000,
1000PEPEUSDT,0.00010000,1687708800000,
1000PEPEUSDT,0.00010000,1687737600000,
1000PEPEUSDT,0.00010000,1687766400000,
1000PEPEUSDT,0.00010000,1687795200000,
1000PEPEUSDT,0.00010000,1687824000000,
1000PEPEUSDT,0.00010000,1687852800000,
1000PEPEUSDT,0.00010000,1687881600000,
1000PEPEUSDT,0.00010000,1687910400000,
1000PEPEUSDT,0.00010000,1687939200000,
1000PEPEUSDT,0.00010000,1687968000000,
1000PEPEUSDT,0.00010000,1687996800000,
1000PEPEUSDT,0.00010000,1688025600000,
1000PEPEUSDT,0.00010000,1688054400000,
1000PEPEUSDT,0.00010000,1688083200000,
1000PEPEUSDT,0.00010000,1688112000000,
1000PEPEUSDT,0.00010000,1688140800001,
1000PEPEUSDT,0.00010000,1688169600000,
1000PEPEUSDT,0.00010000,1688198400000,
1000PEPEUSDT,0.00010000,1688227200000,
1000PEPEUSDT,0.00010000,1688256000000,
1000PEPEUSDT,0.00010000,1688284800000,
1000PEPEUSDT,0.00010000,1688313600001,
1000PEPEUSDT,0.00010000,1688342400000,
1000PEPEUSDT,0.00010000,1688371200000,
1000PEPEUSDT,0.00010000,1688400000000,
1000PEPEUSDT,0.00010000,1688428800001,
1000PEPEUSDT,0.00010000,1688457600000,
1000PEPEUSDT,0.00010000,1688486400000,
1000PEPEUSDT,0.00010000,1688515200000,
1000PEPEUSDT,0.00010000,1688544000000,
1000PEPEUSDT,-0.00001693,1688572800000,
1000PEPEUSDT,0.00003506,1688601600000,
1000PEPEUSDT,0.00006451,1688630400000,
1000PEPEUSDT,-0.00011363,1688659200000,
1000PEPEUSDT,-0.00015684,1688688000000,
1000PEPEUSDT,-0.00005357,1688716800000,
1000PEPEUSDT,-0.00023768,1688745600000,
1000PEPEUSDT,-0.00011881,1688774400000,
1000PEPEUSDT,0.00010000,1688803200000,
1000PEPEUSDT,0.00010000,1688832000000,
1000PEPEUSDT,0.00010000,1688860800000,
1000PEPEUSDT,0.00010000,1688889600000,
1000PEPEUSDT,0.00010000,1688918400000,
1000PEPEUSDT,0.00010000,1688947200000,
1000PEPEUSDT,-0.00000317,1688976000000,
1000PEPEUSDT,-0.00008403,1689004800000,
1000PEPEUSDT,0.00010000,1689033600000,
1000PEPEUSDT,0.00005057,1689062400000,
1000PEPEUSDT,-0.00005466,1689091200000,
1000PEPEUSDT,0.00010000,1689120000000,
1000PEPEUSDT,0.00010000,1689148800000,
