symbol,funding_rate,funding_time,mark_price
1000SHIBUSDT,-0.00750000,1620662400013,
1000SHIBUSDT,0.00000000,1620691200000,
1000SHIBUSDT,-0.00269764,1620720000000,
1000SHIBUSDT,-0.00607352,1620748800002,
1000SHIBUSDT,-0.00020299,1620777600004,
1000SHIBUSDT,0.00084087,1620806400007,
1000SHIBUSDT,0.00010000,1620835200012,
1000SHIBUSDT,-0.00750000,1620864000016,
1000SHIBUSDT,-0.00750000,1620892800000,
1000SHIBUSDT,-0.00750000,1620921600008,
1000SHIBUSDT,-0.00750000,1620950400007,
1000SHIBUSDT,-0.00158118,1620979200001,
1000SHIBUSDT,0.00010000,1621008000004,
1000SHIBUSDT,0.00010000,1621036800022,
1000SHIBUSDT,0.00010000,1621065600014,
1000SHIBUSDT,0.00134463,1621094400002,
1000SHIBUSDT,0.00010000,1621123200000,
1000SHIBUSDT,0.00102329,1621152000003,
1000SHIBUSDT,0.00131840,1621180800002,
1000SHIBUSDT,-0.00191736,1621209600005,
1000SHIBUSDT,-0.00004181,1621238400001,
1000SHIBUSDT,-0.00070869,1621267200000,
1000SHIBUSDT,-0.00750000,1621296000019,
1000SHIBUSDT,-0.00464297,1621324800001,
1000SHIBUSDT,-0.00117993,1621353600006,
1000SHIBUSDT,0.00010000,1621382400000,
1000SHIBUSDT,0.00010000,1621411200003,
1000SHIBUSDT,-0.00750000,1621440000018,
1000SHIBUSDT,-0.00589429,1621468800005,
1000SHIBUSDT,-0.00138540,1621497600000,
1000SHIBUSDT,0.00010000,1621526400005,
1000SHIBUSDT,0.00010000,1621555200000,
1000SHIBUSDT,0.00010000,1621584000000,
1000SHIBUSDT,-0.00750000,1621612800001,
1000SHIBUSDT,-0.00750000,1621641600001,
1000SHIBUSDT,-0.00750000,1621670400002,
1000SHIBUSDT,-0.00750000,1621699200005,
1000SHIBUSDT,-0.00719776,1621728000006,
1000SHIBUSDT,-0.00750000,1621756800004,
1000SHIBUSDT,-0.00630699,1621785600002,
1000SHIBUSDT,-0.00247803,1621814400007,
1000SHIBUSDT,-0.00297080,1621843200005,
