symbol,funding_rate,funding_time,mark_price
ADAUSDT,0.00010000,1579449600000,
ADAUSDT,0.00010000,1579478400000,
ADAUSDT,0.00010000,1579507200000,
ADAUSDT,0.00010000,1579536000000,
ADAUSDT,0.00010000,1579564800000,
ADAUSDT,0.00010000,1579593600000,
ADAUSDT,0.00010000,1579622400000,
ADAUSDT,0.00010000,1579651200000,
ADAUSDT,0.00010000,1579680000001,
ADAUSDT,0.00010000,1579708800000,
ADAUSDT,0.00010000,1579737600000,
ADAUSDT,0.00010000,1579766400000,
ADAUSDT,0.00010000,1579795200000,
ADAUSDT,0.00010000,1579824000000,
ADAUSDT,0.00010000,1579852800000,
ADAUSDT,0.00010000,1579881600001,
ADAUSDT,0.00010000,1579910400000,
ADAUSDT,0.00010000,1579939200000,
ADAUSDT,0.00010000,1579968000001,
ADAUSDT,0.00010000,1579996800000,
ADAUSDT,0.00010000,1580025600000,
ADAUSDT,0.00010000,1580054400000,
ADAUSDT,0.00010000,1580083200000,
ADAUSDT,0.00010000,1580112000001,
ADAUSDT,0.00010000,1580140800000,
ADAUSDT,0.00010000,1580169600000,
ADAUSDT,0.00010000,1580198400000,
ADAUSDT,0.00010000,1580227200000,
ADAUSDT,0.00010000,1580256000001,
ADAUSDT,0.00010000,1580284800000,
ADAUSDT,0.00010000,1580313600002,
ADAUSDT,0.00010000,1580342400000,
ADAUSDT,0.00010000,1580371200000,
ADAUSDT,0.00010000,1580400000000,
ADAUSDT,0.00010000,1580428800000,
ADAUSDT,0.00010000,1580457600000,
ADAUSDT,0.00010000,1580486400000,
ADAUSDT,0.00010000,1580515200000,
ADAUSDT,0.00010000,1580544000000,
ADAUSDT,0.00010000,1580572800000,
ADAUSDT,0.00010000,1580601600000,
ADAUSDT,0.00144490,1580630400000,
ADAUSDT,0.00179835,1580659200000,
ADAUSDT,0.00164031,1580688000000,
ADAUSDT,0.00071241,1580716800000,
ADAUSDT,0.00048046,1580745600000,
ADAUSDT,0.00014095,1580774400000,
ADAUSDT,0.00031409,1580803200001,
ADAUSDT,0.00073434,1580832000000,
ADAUSDT,0.00040653,1580860800002,
ADAUSDT,0.00010000,1580889600000,
ADAUSDT,0.00031833,1580918400000,
ADAUSDT,0.00162987,1580947200000,
ADAUSDT,0.00396642,1580976000000,
ADAUSDT,0.00146499,1581004800000,
ADAUSDT,0.00052055,1581033600000,
ADAUSDT,0.00156332,1581062400000,
ADAUSDT,0.00250463,1581091200001,
ADAUSDT,0.00198965,1581120000000,
ADAUSDT,0.00175849,1581148800000,
ADAUSDT,0.00070553,1581177600000,
ADAUSDT,0.00081936,1581206400000,
ADAUSDT,0.00161188,1581235200000,
ADAUSDT,0.00248280,1581264000000,
ADAUSDT,0.00217640,1581292800000,
ADAUSDT,0.00162089,1581321600000,
ADAUSDT,0.00099124,1581350400009,
ADAUSDT,0.00126237,1581379200000,
ADAUSDT,0.00096237,1581408000000,
ADAUSDT,0.00056017,1581436800000,
ADAUSDT,0.00235305,1581465600000,
ADAUSDT,0.00284851,1581494400001,
ADAUSDT,0.00197620,1581523200000,
ADAUSDT,0.00245330,1581552000001,
ADAUSDT,0.00249154,1581580800000,
ADAUSDT,0.00085375,1581609600000,
ADAUSDT,0.00085489,1581638400000,
ADAUSDT,0.00041437,1581667200000,
ADAUSDT,0.00118214,1581696000000,
ADAUSDT,0.00174570,1581724800000,
ADAUSDT,0.00050419,1581753600000,
ADAUSDT,0.00081641,1581782400000,
ADAUSDT,0.00010000,1581811200000,
ADAUSDT,0.00010000,1581840000000,
ADAUSDT,0.00010000,1581868800000,
ADAUSDT,0.00010000,1581897600000,
ADAUSDT,0.00010000,1581926400000,
ADAUSDT,0.00010000,1581955200000,
ADAUSDT,0.00010000,1581984000000,
ADAUSDT,0.00010000,1582012800000,
ADAUSDT,0.00010000,1582041600000,
ADAUSDT,0.00010000,1582070400000,
ADAUSDT,0.00010000,1582099200001,
ADAUSDT,0.00010000,1582128000000,
ADAUSDT,0.00010000,1582156800004,
ADAUSDT,0.00010000,1582185600000,
