symbol,funding_rate,funding_time,mark_price
AIAUSDT,0.00005000,1758182400002,0.00000000
AIAUSDT,0.00024292,1758196800000,0.39237104
AIAUSDT,0.00129969,1758211200000,0.40637000
AIAUSDT,0.00154294,1758225600008,0.37188847
AIAUSDT,0.00168115,1758240000000,0.39798984
AIAUSDT,0.00101462,1758254400003,0.38351562
AIAUSDT,0.00067539,1758268800005,0.40551000
AIAUSDT,0.00156297,1758283200000,0.47295000
AIAUSDT,0.00067367,1758297600000,0.38914000
AIAUSDT,0.00048520,1758312000004,0.38859536
AIAUSDT,0.00046349,1758326400000,0.39240000
AIAUSDT,0.00071114,1758340800000,0.39531963
AIAUSDT,0.00068980,1758355200000,0.39963000
AIAUSDT,0.00114942,1758369600008,0.41979000
AIAUSDT,0.00103339,1758384000002,0.43800000
AIAUSDT,0.00157638,1758398400000,0.48837000
AIAUSDT,0.00305223,1758412800000,0.46335000
AIAUSDT,0.00023424,1758427200002,0.44048902
AIAUSDT,0.00120371,1758441600000,0.46204081
AIAUSDT,0.00072489,1758456000002,0.44164000
AIAUSDT,0.00048024,1758470400000,0.42493612
AIAUSDT,0.00059446,1758484800000,0.43316925
AIAUSDT,0.00041553,1758499200005,0.42339000
AIAUSDT,0.00101726,1758513600000,0.43501530
AIAUSDT,0.00107875,1758528000003,0.39048000
AIAUSDT,0.00057870,1758542400005,0.39350000
AIAUSDT,0.00045795,1758556800000,0.34306295
AIAUSDT,0.00014331,1758571200001,0.32727000
AIAUSDT,0.00009438,1758585600000,0.31725622
AIAUSDT,0.00031295,1758600000012,0.30049000
AIAUSDT,0.00018801,1758614400001,0.29067439
AIAUSDT,0.00005000,1758628800000,0.29093000
AIAUSDT,0.00033818,1758643200000,0.32812000
AIAUSDT,0.00060609,1758657600001,0.32323098
AIAUSDT,0.00005000,1758672000003,0.29856513
AIAUSDT,0.00021242,1758686400000,0.30292111
AIAUSDT,0.00038057,1758700800001,0.30839487
AIAUSDT,0.00021260,1758715200001,0.29548000
AIAUSDT,0.00013959,1758729600002,0.29300000
AIAUSDT,0.00027401,1758744000001,0.30171484
AIAUSDT,0.00056557,1758758400000,0.28348460
AIAUSDT,0.00013525,1758772800000,0.25862393
AIAUSDT,0.00017600,1758787200001,0.25167747
AIAUSDT,0.00005000,1758801600000,0.27155000
AIAUSDT,0.00023965,1758816000000,0.25699732
AIAUSDT,0.00005000,1758830400000,0.26490412
AIAUSDT,0.00005000,1758844800000,0.27295000
AIAUSDT,0.00005000,1758859200002,0.27914735
AIAUSDT,0.00010325,1758873600000,0.27761142
AIAUSDT,0.00038011,1758888000000,0.29927623
AIAUSDT,0.00056652,1758902400008,0.30155559
AIAUSDT,0.00123087,1758916800005,0.28888507
AIAUSDT,0.00074753,1758931200000,0.30106000
AIAUSDT,0.00052501,1758945600000,0.30490385
AIAUSDT,0.00030549,1758960000010,0.28741000
AIAUSDT,0.00073407,1758974400003,0.28610000
AIAUSDT,0.00126687,1758988800003,0.31056824
AIAUSDT,0.00135106,1759003200002,0.30828000
AIAUSDT,0.00127504,1759017600000,0.31225959
AIAUSDT,0.00095976,1759032000002,0.31232661
AIAUSDT,0.00033238,1759046400000,0.31238000
AIAUSDT,0.00065014,1759060800000,0.32162000
AIAUSDT,0.00054613,1759075200000,0.32426799
AIAUSDT,0.00089190,1759089600004,0.32984145
AIAUSDT,0.00126340,1759104000000,0.35508799
AIAUSDT,0.00058415,1759118400000,0.33142258
AIAUSDT,0.00089533,1759132800002,0.36300608
AIAUSDT,0.00067135,1759147200000,0.36945000
AIAUSDT,0.00073550,1759161600001,0.37775619
AIAUSDT,0.00046892,1759176000000,0.37574080
AIAUSDT,0.00052293,1759190400002,0.38518000
AIAUSDT,0.00072658,1759204800000,0.38845039
AIAUSDT,0.00059319,1759219200005,0.39949000
AIAUSDT,0.00066385,1759233600000,0.38511000
AIAUSDT,0.00074331,1759248000000,0.40590000
AIAUSDT,0.00072213,1759262400000,0.46890000
AIAUSDT,0.00099688,1759276800000,0.48733426
AIAUSDT,0.00061742,1759291200008,0.45270469
AIAUSDT,0.00052880,1759305600000,0.45833891
AIAUSDT,0.00063714,1759320000007,0.47078187
AIAUSDT,0.00060373,1759334400000,0.47589000
AIAUSDT,0.00066559,1759348800001,0.48230000
AIAUSDT,0.00066641,1759363200000,0.47211632
