symbol,funding_rate,funding_time,mark_price
AINUSDT,0.00061844,1752148800001,0.10148285
AINUSDT,0.00060180,1752163200004,0.12305711
AINUSDT,0.00005000,1752177600000,0.12010804
AINUSDT,0.00059460,1752192000004,0.17358492
AINUSDT,0.00015979,1752206400001,0.17890331
AINUSDT,0.00005000,1752220800007,0.15726738
AINUSDT,-0.00123076,1752235200000,0.16069000
AINUSDT,-0.00118015,1752249600001,0.15239199
AINUSDT,-0.00134736,1752264000006,0.13597000
AINUSDT,-0.00054256,1752278400000,0.13138237
AINUSDT,-0.00057596,1752292800005,0.12620544
AINUSDT,-0.00179946,1752307200001,0.10406106
AINUSDT,-0.00284734,1752321600007,0.10984419
AINUSDT,-0.00240020,1752336000002,0.11624000
AINUSDT,-0.00152916,1752350400003,0.12178000
AINUSDT,-0.00160526,1752364800006,0.12163000
AINUSDT,-0.00080827,1752379200001,0.14060000
AINUSDT,-0.00082261,1752393600001,0.15625000
AINUSDT,0.00005000,1752408000003,0.15294814
AINUSDT,0.00005000,1752422400003,0.15791611
AINUSDT,0.00005000,1752436800008,0.13278161
AINUSDT,0.00005000,1752451200000,0.12456000
AINUSDT,-0.00057520,1752465600000,0.13178059
AINUSDT,-0.00079136,1752480000000,0.12491000
AINUSDT,-0.00020572,1752494400001,0.13084098
AINUSDT,-0.00076735,1752508800000,0.10781685
AINUSDT,-0.00212948,1752523200003,0.11617000
AINUSDT,-0.00150570,1752537600002,0.11884364
AINUSDT,-0.00035166,1752552000008,0.11433000
AINUSDT,0.00005000,1752566400000,0.12150039
AINUSDT,0.00005000,1752580800000,0.11160831
AINUSDT,0.00062374,1752595200000,0.12782000
AINUSDT,0.00005000,1752609600005,0.11575593
AINUSDT,0.00005000,1752624000000,0.12553987
AINUSDT,0.00015978,1752638400000,0.12975197
AINUSDT,0.00005000,1752652800000,0.12223569
AINUSDT,0.00028491,1752667200005,0.12469267
AINUSDT,0.00005000,1752681600008,0.12478623
AINUSDT,0.00005000,1752696000000,0.12164496
AINUSDT,0.00016574,1752710400003,0.12488385
AINUSDT,0.00022147,1752724800000,0.11937543
AINUSDT,0.00005000,1752739200000,0.12352000
AINUSDT,0.00041661,1752753600000,0.12138000
AINUSDT,0.00092195,1752768000000,0.12997000
AINUSDT,0.00046015,1752782400000,0.13440906
AINUSDT,0.00020099,1752796800004,0.14014000
AINUSDT,0.00025306,1752811200000,0.14580305
