symbol,funding_rate,funding_time,mark_price
AIOUSDT,0.00344247,1755086400000,0.12384762
AIOUSDT,0.00041663,1755100800006,0.11235192
AIOUSDT,0.00005000,1755115200001,0.11345774
AIOUSDT,0.00005000,1755129600002,0.09654111
AIOUSDT,0.00005000,1755144000009,0.09162743
AIOUSDT,0.00005000,1755158400003,0.09319344
AIOUSDT,0.00005000,1755172800001,0.07966242
AIOUSDT,0.00005000,1755187200000,0.08082000
AIOUSDT,0.00005000,1755201600002,0.08083440
AIOUSDT,0.00005000,1755216000000,0.07906761
AIOUSDT,0.00005000,1755230400000,0.07901327
AIOUSDT,0.00005000,1755244800000,0.08529113
AIOUSDT,0.00005000,1755259200001,0.08274000
AIOUSDT,0.00005000,1755273600000,0.08193768
AIOUSDT,0.00005000,1755288000007,0.07465000
AIOUSDT,0.00005000,1755302400004,0.07668000
AIOUSDT,0.00005000,1755316800000,0.08116057
AIOUSDT,0.00005000,1755331200000,0.08697000
AIOUSDT,0.00005000,1755345600004,0.07673329
AIOUSDT,0.00005000,1755360000002,0.07804402
AIOUSDT,0.00005000,1755374400006,0.07759034
AIOUSDT,0.00005000,1755388800000,0.07928000
AIOUSDT,0.00005000,1755403200000,0.07921209
AIOUSDT,0.00005000,1755417600001,0.06930160
AIOUSDT,-0.00117086,1755432000002,0.07233951
AIOUSDT,0.00005000,1755446400007,0.07595866
AIOUSDT,0.00005000,1755460800001,0.08191000
AIOUSDT,0.00005000,1755475200000,0.07997709
AIOUSDT,0.00005000,1755489600010,0.07659512
AIOUSDT,0.00005000,1755504000001,0.08325000
AIOUSDT,0.00005000,1755518400002,0.08530674
AIOUSDT,0.00005000,1755532800002,0.08322830
AIOUSDT,0.00005000,1755547200007,0.08195000
AIOUSDT,0.00005000,1755561600000,0.07817322
AIOUSDT,0.00005000,1755576000000,0.07540000
AIOUSDT,0.00005000,1755590400001,0.07653000
AIOUSDT,0.00005000,1755604800001,0.07572656
AIOUSDT,0.00005000,1755619200000,0.07397762
AIOUSDT,0.00005000,1755633600000,0.07784000
AIOUSDT,0.00005000,1755648000000,0.07572599
AIOUSDT,0.00005000,1755662400000,0.07331560
AIOUSDT,0.00005000,1755676800000,0.07277340
AIOUSDT,0.00005000,1755691200002,0.06946021
AIOUSDT,0.00005000,1755705600000,0.07946000
AIOUSDT,0.00036594,1755720000001,0.08288936
AIOUSDT,0.00015695,1755734400006,0.08105896
AIOUSDT,0.00005000,1755748800003,0.07904840
AIOUSDT,0.00005000,1755763200000,0.07987412
AIOUSDT,0.00005000,1755777600009,0.07679307
AIOUSDT,0.00005000,1755792000003,0.07871956
AIOUSDT,0.00005000,1755806400000,0.07864837
AIOUSDT,0.00005000,1755820800010,0.07832801
AIOUSDT,0.00005000,1755835200003,0.07698246
AIOUSDT,0.00005000,1755849600007,0.07792000
AIOUSDT,0.00005000,1755864000001,0.07789085
AIOUSDT,0.00016978,1755878400001,0.08424000
AIOUSDT,0.00036247,1755892800004,0.08473435
AIOUSDT,0.00041347,1755907200004,0.08614000
AIOUSDT,0.00009365,1755921600000,0.08351610
AIOUSDT,0.00005000,1755936000006,0.08272000
AIOUSDT,0.00005000,1755950400000,0.08079000
AIOUSDT,0.00005000,1755964800000,0.07751681
AIOUSDT,0.00005000,1755979200005,0.08425000
AIOUSDT,0.00021737,1755993600001,0.08414000
AIOUSDT,0.00013564,1756008000000,0.08140000
AIOUSDT,0.00005000,1756022400002,0.07755000
AIOUSDT,0.00005000,1756036800003,0.07841760
AIOUSDT,0.00005000,1756051200001,0.08104416
AIOUSDT,0.00005000,1756065600008,0.08059378
AIOUSDT,0.00005000,1756080000000,0.08200000
AIOUSDT,0.00005000,1756094400001,0.07985668
AIOUSDT,0.00005000,1756108800002,0.08032899
AIOUSDT,0.00005000,1756123200000,0.07892000
AIOUSDT,0.00005000,1756137600002,0.07721391
AIOUSDT,0.00005000,1756152000003,0.07738000
AIOUSDT,0.00005000,1756166400000,0.07982000
AIOUSDT,0.00005000,1756180800007,0.08168000
AIOUSDT,0.00005000,1756195200000,0.08173529
AIOUSDT,0.00005000,1756209600001,0.08306769
AIOUSDT,0.00005000,1756224000000,0.08349000
AIOUSDT,0.00005000,1756238400000,0.08479371
AIOUSDT,0.00005000,1756252800003,0.08336355
AIOUSDT,0.00005000,1756267200000,0.08455875
AIOUSDT,0.00005000,1756281600000,0.08312925
AIOUSDT,0.00005000,1756296000003,0.08495000
AIOUSDT,0.00005000,1756310400009,0.08395000
AIOUSDT,0.00005000,1756324800001,0.08565000
AIOUSDT,0.00005000,1756339200000,0.08948000
AIOUSDT,0.00005000,1756353600000,0.08883375
AIOUSDT,0.00005000,1756368000005,0.08804879
