symbol,funding_rate,funding_time,mark_price
AKTUSDT,0.00153477,1731931200000,3.75108462
AKTUSDT,0.00076477,1731945600000,3.78453899
AKTUSDT,0.00005000,1731960000000,3.76355667
AKTUSDT,0.00015041,1731974400000,3.80100000
AKTUSDT,0.00005000,1731988800000,4.28717910
AKTUSDT,0.00005000,1732003200000,4.20813353
AKTUSDT,0.00003198,1732017600000,4.16582969
AKTUSDT,0.00005000,1732032000000,4.25111386
AKTUSDT,-0.00036335,1732046400001,4.07200000
AKTUSDT,0.00005000,1732060800003,4.10500000
AKTUSDT,-0.00126598,1732075200000,3.82193462
AKTUSDT,0.00005000,1732089600000,3.94500000
AKTUSDT,-0.00036151,1732104000000,3.90700000
AKTUSDT,-0.00031854,1732118400000,4.09520276
AKTUSDT,-0.00072283,1732132800000,3.84000000
AKTUSDT,-0.00085161,1732147200001,3.87522000
AKTUSDT,-0.00008310,1732161600000,3.72396539
AKTUSDT,0.00005000,1732176000000,3.73500000
AKTUSDT,0.00005000,1732190400000,3.69753696
AKTUSDT,-0.00082582,1732204800001,3.72069040
AKTUSDT,-0.00001106,1732219200000,3.79752396
AKTUSDT,0.00013574,1732233600000,3.88700000
AKTUSDT,-0.00009201,1732248000000,3.82022226
AKTUSDT,-0.00004836,1732262400000,3.77300000
AKTUSDT,0.00039284,1732276800000,3.77590146
AKTUSDT,0.00005000,1732291200001,3.74096500
AKTUSDT,-0.00014220,1732305600000,3.70876957
AKTUSDT,0.00005000,1732320000000,3.86600000
AKTUSDT,-0.00054236,1732334400000,3.76961681
AKTUSDT,0.00019847,1732348800000,3.86543857
AKTUSDT,0.00005000,1732363200000,3.98200000
AKTUSDT,0.00031490,1732377600000,4.03911265
AKTUSDT,0.00005000,1732392000000,3.91904671
AKTUSDT,0.00005000,1732406400001,3.89427686
AKTUSDT,0.00113565,1732420800000,4.05300000
AKTUSDT,0.00040971,1732435200000,4.00198830
AKTUSDT,0.00005000,1732449600000,3.76600000
AKTUSDT,0.00005000,1732464000000,3.62300000
