symbol,funding_rate,funding_time,mark_price
APTUSDT,0.00010000,1666108800000,
APTUSDT,0.00010000,1666137600007,
APTUSDT,-0.00750000,1666166400022,
APTUSDT,-0.00200030,1666195200016,
APTUSDT,-0.00030010,1666224000000,
APTUSDT,-0.00075346,1666252800013,
APTUSDT,-0.00051008,1666281600000,
APTUSDT,-0.00050585,1666310400005,
APTUSDT,-0.00086846,1666339200018,
APTUSDT,-0.00002156,1666368000000,
APTUSDT,0.00010000,1666396800000,
APTUSDT,-0.00024103,1666425600015,
APTUSDT,-0.00146599,1666454400000,
APTUSDT,-0.00217711,1666483200025,
APTUSDT,-0.00750000,1666512000000,
APTUSDT,-0.00215777,1666540800004,
APTUSDT,-0.00144561,1666569600009,
APTUSDT,-0.00041279,1666598400012,
APTUSDT,-0.00112450,1666627200002,
APTUSDT,-0.00089151,1666656000013,
APTUSDT,0.00005351,1666684800013,
APTUSDT,-0.00036757,1666713600000,
APTUSDT,-0.00041332,1666742400006,
APTUSDT,-0.00003062,1666771200013,
APTUSDT,-0.00056912,1666800000000,
APTUSDT,-0.00022776,1666828800009,
APTUSDT,-0.00004612,1666857600006,
APTUSDT,-0.00040984,1666886400009,
APTUSDT,0.00003843,1666915200000,
APTUSDT,-0.00005761,1666944000000,
APTUSDT,-0.00041180,1666972800007,
APTUSDT,-0.00027669,1667001600000,
APTUSDT,0.00010000,1667030400003,
APTUSDT,0.00010000,1667059200010,
APTUSDT,0.00010000,1667088000000,
APTUSDT,0.00010000,1667116800013,
APTUSDT,0.00010000,1667145600009,
APTUSDT,0.00010000,1667174400012,
APTUSDT,0.00010000,1667203200000,
APTUSDT,0.00010000,1667232000010,
APTUSDT,0.00010000,1667260800000,
APTUSDT,0.00010000,1667289600000,
APTUSDT,0.00010000,1667318400000,
APTUSDT,0.00010000,1667347200000,
APTUSDT,0.00010000,1667376000000,
APTUSDT,-0.00012268,1667404800019,
APTUSDT,-0.00006607,1667433600011,
APTUSDT,0.00001004,1667462400016,
APTUSDT,0.00005350,1667491200005,
APTUSDT,0.00010000,1667520000000,
APTUSDT,0.00010000,1667548800004,
APTUSDT,0.00001609,1667577600020,
APTUSDT,0.00010000,1667606400009,
APTUSDT,0.00010000,1667635200007,
APTUSDT,0.00010000,1667664000018,
APTUSDT,0.00001761,1667692800009,
APTUSDT,0.00010000,1667721600000,
APTUSDT,0.00010000,1667750400010,
APTUSDT,-0.00006809,1667779200012,
APTUSDT,0.00007458,1667808000014,
APTUSDT,0.00002025,1667836800006,
APTUSDT,0.00010000,1667865600000,
APTUSDT,-0.00014893,1667894400001,
APTUSDT,-0.00009147,1667923200005,
APTUSDT,-0.00077702,1667952000000,
APTUSDT,-0.00034486,1667980800013,
APTUSDT,-0.00032329,1668009600004,
APTUSDT,-0.00481253,1668038400006,
APTUSDT,-0.00313994,1668067200000,
APTUSDT,-0.00141436,1668096000015,
APTUSDT,-0.00050590,1668124800000,
APTUSDT,-0.00037622,1668153600015,
APTUSDT,-0.00014104,1668182400027,
APTUSDT,-0.00002185,1668211200007,
APTUSDT,0.00000934,1668240000016,
APTUSDT,0.00010000,1668268800000,
APTUSDT,-0.00001123,1668297600004,
APTUSDT,0.00002183,1668326400000,
APTUSDT,0.00005097,1668355200017,
APTUSDT,0.00001234,1668384000000,
APTUSDT,0.00004603,1668412800000,
APTUSDT,-0.00019737,1668441600000,
APTUSDT,-0.00010215,1668470400014,
APTUSDT,0.00003519,1668499200009,
APTUSDT,0.00002134,1668528000010,
APTUSDT,-0.00026312,1668556800011,
APTUSDT,-0.00005842,1668585600004,
APTUSDT,0.00000373,1668614400008,
APTUSDT,0.00006797,1668643200000,
APTUSDT,-0.00006131,1668672000000,
APTUSDT,-0.00018968,1668700800006,
APTUSDT,-0.00034286,1668729600004,
APTUSDT,-0.00005560,1668758400016,
APTUSDT,-0.00019933,1668787200000,
APTUSDT,-0.00013820,1668816000000,
APTUSDT,-0.00001457,1668844800004,
APTUSDT,0.00006183,1668873600024,
APTUSDT,0.00002363,1668902400015,
APTUSDT,-0.00007612,1668931200004,
APTUSDT,-0.00003518,1668960000000,
APTUSDT,-0.00007160,1668988800006,
APTUSDT,-0.00041090,1669017600015,
APTUSDT,-0.00042006,1669046400000,
APTUSDT,-0.00021440,1669075200000,
APTUSDT,-0.00009533,1669104000000,
APTUSDT,-0.00001920,1669132800000,
APTUSDT,0.00003405,1669161600000,
APTUSDT,-0.00006507,1669190400011,
APTUSDT,-0.00010888,1669219200014,
APTUSDT,-0.00005565,1669248000007,
APTUSDT,-0.00021499,1669276800014,
APTUSDT,0.00006703,1669305600013,
APTUSDT,0.00004895,1669334400004,
APTUSDT,-0.00013213,1669363200015,
APTUSDT,0.00001560,1669392000000,
APTUSDT,0.00010000,1669420800011,
APTUSDT,0.00009169,1669449600000,
APTUSDT,0.00009741,1669478400000,
APTUSDT,0.00010000,1669507200012,
APTUSDT,-0.00042284,1669536000000,
APTUSDT,0.00003334,1669564800003,
APTUSDT,-0.00007536,1669593600015,
APTUSDT,-0.00034978,1669622400004,
APTUSDT,-0.00041308,1669651200011,
APTUSDT,-0.00019855,1669680000000,
APTUSDT,-0.00017226,1669708800015,
APTUSDT,-0.00002609,1669737600000,
APTUSDT,-0.00006717,1669766400007,
APTUSDT,-0.00015124,1669795200000,
APTUSDT,0.00002292,1669824000015,
APTUSDT,-0.00019631,1669852800001,
APTUSDT,-0.00022558,1669881600006,
APTUSDT,-0.00018810,1669910400000,
APTUSDT,-0.00024215,1669939200001,
APTUSDT,0.00000920,1669968000016,
APTUSDT,0.00001739,1669996800017,
APTUSDT,0.00009648,1670025600006,
APTUSDT,-0.00002243,1670054400000,
APTUSDT,-0.00049592,1670083200011,
APTUSDT,-0.00039877,1670112000006,
APTUSDT,-0.00158261,1670140800000,
APTUSDT,-0.00026161,1670169600006,
APTUSDT,-0.00019049,1670198400002,
APTUSDT,-0.00015391,1670227200011,
APTUSDT,-0.00000176,1670256000008,
