symbol,funding_rate,funding_time,mark_price
ASTERUSDT,0.00005000,1758283200000,0.59040102
ASTERUSDT,0.00226888,1758297600000,0.64698308
ASTERUSDT,0.00372261,1758312000004,0.74070228
ASTERUSDT,0.00119292,1758326400000,0.88620000
ASTERUSDT,0.00108412,1758340800000,0.92520000
ASTERUSDT,0.00155481,1758355200000,1.00700000
ASTERUSDT,0.00174874,1758369600008,1.17853198
ASTERUSDT,0.00150967,1758384000002,1.23020000
ASTERUSDT,0.00386580,1758398400000,1.56730000
ASTERUSDT,0.00186924,1758412800000,1.66076983
ASTERUSDT,0.00200930,1758427200002,1.71830599
ASTERUSDT,0.00149714,1758441600000,1.87738092
ASTERUSDT,0.00133049,1758456000002,1.59670000
ASTERUSDT,0.00079504,1758470400000,1.59520000
ASTERUSDT,0.00122329,1758484800000,1.42049924
ASTERUSDT,0.00070636,1758499200005,1.39690000
ASTERUSDT,0.00120734,1758513600000,1.49090000
ASTERUSDT,0.00075695,1758528000003,1.50178984
ASTERUSDT,0.00048963,1758542400005,1.57912698
ASTERUSDT,0.00085605,1758556800000,1.38550000
ASTERUSDT,0.00052387,1758571200001,1.44630000
ASTERUSDT,0.00035097,1758585600000,1.63669822
ASTERUSDT,0.00019454,1758600000012,1.58460000
ASTERUSDT,0.00044727,1758614400001,1.73345903
ASTERUSDT,0.00011326,1758628800000,1.75295714
ASTERUSDT,0.00105744,1758643200000,1.96962987
ASTERUSDT,0.00068131,1758657600001,1.86910000
ASTERUSDT,0.00037735,1758672000003,1.95970000
ASTERUSDT,0.00008760,1758686400000,1.97782432
ASTERUSDT,0.00015475,1758700800001,2.24220000
ASTERUSDT,0.00058968,1758715200001,2.27680000
ASTERUSDT,0.00024782,1758729600002,2.26333289
ASTERUSDT,0.00049907,1758744000001,2.24731407
ASTERUSDT,0.00028291,1758758400000,2.30830280
ASTERUSDT,0.00062264,1758772800000,2.14585023
ASTERUSDT,0.00077064,1758787200001,2.09670000
ASTERUSDT,0.00068108,1758801600000,1.96029683
ASTERUSDT,0.00064467,1758816000000,1.96710000
ASTERUSDT,0.00083185,1758830400000,1.97100000
ASTERUSDT,0.00070037,1758844800000,1.87920000
ASTERUSDT,0.00049336,1758859200002,1.85420080
ASTERUSDT,0.00034057,1758873600000,1.84608752
ASTERUSDT,0.00020292,1758888000000,1.82590000
ASTERUSDT,0.00014083,1758902400008,1.92447578
ASTERUSDT,0.00010348,1758916800005,2.05270000
ASTERUSDT,0.00019707,1758931200000,2.02820000
ASTERUSDT,0.00030162,1758945600000,1.96301639
ASTERUSDT,0.00015694,1758960000010,1.95306376
ASTERUSDT,0.00010622,1758974400003,1.97010000
ASTERUSDT,0.00042248,1758988800003,2.06856366
ASTERUSDT,0.00034755,1759003200002,1.96480000
ASTERUSDT,0.00030783,1759017600000,1.92310000
ASTERUSDT,0.00032046,1759032000002,1.93074004
ASTERUSDT,0.00034815,1759046400000,1.77261612
ASTERUSDT,0.00021592,1759060800000,1.79040000
ASTERUSDT,0.00014891,1759075200000,1.81020000
ASTERUSDT,0.00016905,1759089600004,1.87736255
ASTERUSDT,0.00005000,1759104000000,1.85576339
ASTERUSDT,0.00020442,1759118400000,1.92792514
ASTERUSDT,0.00006273,1759132800002,1.94240000
ASTERUSDT,0.00005000,1759147200000,1.88842388
ASTERUSDT,0.00005000,1759161600001,1.85483146
ASTERUSDT,0.00010011,1759176000000,1.84821320
ASTERUSDT,0.00009641,1759190400002,1.90076499
ASTERUSDT,0.00005000,1759204800000,1.89638011
ASTERUSDT,0.00011161,1759219200005,1.81690000
ASTERUSDT,0.00022121,1759233600000,1.79101798
ASTERUSDT,0.00018326,1759248000000,1.57578621
ASTERUSDT,0.00005000,1759262400000,1.65163775
ASTERUSDT,0.00008535,1759276800000,1.62206804
ASTERUSDT,0.00005000,1759291200008,1.51300713
ASTERUSDT,0.00005000,1759305600000,1.64112422
ASTERUSDT,0.00005000,1759320000007,1.71835005
ASTERUSDT,0.00005000,1759334400000,1.64316675
ASTERUSDT,0.00005000,1759348800001,1.65913729
ASTERUSDT,0.00005000,1759363200000,1.63855407
ASTERUSDT,0.00023207,1759377600001,1.69011750
ASTERUSDT,0.00010685,1759392000013,1.73100000
ASTERUSDT,0.00005000,1759406400000,1.76500000
ASTERUSDT,0.00005000,1759420800000,1.78176832
ASTERUSDT,0.00018797,1759435200000,1.79943216
ASTERUSDT,0.00013739,1759449600006,1.79730762
ASTERUSDT,0.00014728,1759464000000,1.87330809
