symbol,funding_rate,funding_time,mark_price
BABYUSDT,0.00005000,1743868800000,0.06061900
BABYUSDT,0.00005000,1743883200000,0.06226840
BABYUSDT,0.00005000,1743897600000,0.06399760
BABYUSDT,0.00005000,1743912000000,0.06340880
BABYUSDT,0.00005000,1743926400000,0.06304280
BABYUSDT,0.00005000,1743940800001,0.06348070
BABYUSDT,0.00005000,1743955200002,0.06381840
BABYUSDT,0.00005000,1743969600001,0.06367500
BABYUSDT,0.00005000,1743984000000,0.06336770
BABYUSDT,0.00005000,1743998400000,0.06335290
BABYUSDT,0.00005000,1744012800000,0.06927320
BABYUSDT,0.00005000,1744027200000,0.07338760
BABYUSDT,0.00005000,1744041600000,0.07052980
BABYUSDT,0.00005000,1744056000000,0.06918260
BABYUSDT,0.00005000,1744070400000,0.07337320
BABYUSDT,0.00005000,1744084800000,0.07253310
BABYUSDT,0.00005000,1744099200000,0.07267040
BABYUSDT,0.00005000,1744113600000,0.07413050
BABYUSDT,0.00005000,1744128000000,0.07502460
BABYUSDT,0.00005000,1744142400000,0.07518220
BABYUSDT,0.00005000,1744156800000,0.07267130
BABYUSDT,0.00005000,1744171200000,0.07412260
BABYUSDT,0.00005000,1744185600001,0.07480450
BABYUSDT,0.00005000,1744200000000,0.06833920
BABYUSDT,0.00005000,1744214400000,0.06679640
BABYUSDT,0.00005000,1744228800000,0.07544310
BABYUSDT,0.00005000,1744243200000,0.07604960
BABYUSDT,0.00005000,1744257600000,0.07089430
BABYUSDT,0.00005000,1744272000000,0.07418150
BABYUSDT,-0.02000000,1744286400000,0.09500000
BABYUSDT,-0.02000000,1744300800000,0.08292000
BABYUSDT,-0.00856214,1744315200000,0.07989000
BABYUSDT,-0.01096858,1744329600001,0.08353000
BABYUSDT,-0.00924190,1744344000001,0.08009431
BABYUSDT,-0.00794987,1744358400000,0.08199234
BABYUSDT,-0.01627668,1744372800000,0.09083197
BABYUSDT,-0.00549096,1744387200000,0.09410000
BABYUSDT,-0.00631825,1744401600001,0.12144000
BABYUSDT,-0.00104976,1744416000000,0.11194682
BABYUSDT,-0.00478467,1744430400000,0.12810000
BABYUSDT,-0.01457939,1744444800001,0.16133000
BABYUSDT,-0.00324492,1744459200001,0.14505000
BABYUSDT,-0.00235856,1744473600000,0.15646431
BABYUSDT,-0.00121913,1744488000000,0.13894026
BABYUSDT,-0.00226524,1744502400000,0.14030000
BABYUSDT,-0.00917863,1744516800000,0.13699761
BABYUSDT,-0.00166011,1744531200000,0.13115000
BABYUSDT,-0.00605588,1744545600000,0.13508785
BABYUSDT,-0.00179326,1744560000000,0.13547490
BABYUSDT,-0.00040619,1744574400000,0.13874000
BABYUSDT,-0.00008477,1744588800000,0.12287695
BABYUSDT,-0.00083461,1744603200000,0.12837928
BABYUSDT,-0.00032969,1744617600000,0.12410000
BABYUSDT,-0.00007543,1744632000002,0.12244152
BABYUSDT,0.00005000,1744646400000,0.10762000
BABYUSDT,0.00005000,1744660800000,0.10393000
BABYUSDT,0.00005000,1744675200000,0.10288318
BABYUSDT,-0.00018562,1744689600001,0.10206918
BABYUSDT,-0.00005593,1744704000000,0.10109774
BABYUSDT,0.00005000,1744718400000,0.09557000
BABYUSDT,0.00005000,1744732800001,0.09254000
BABYUSDT,-0.00005103,1744747200000,0.09383730
BABYUSDT,-0.00000069,1744761600000,0.09175000
BABYUSDT,0.00003105,1744776000000,0.09199000
BABYUSDT,-0.00003183,1744790400000,0.08867000
BABYUSDT,0.00005000,1744804800000,0.08687582
BABYUSDT,-0.00017016,1744819200000,0.08743000
BABYUSDT,-0.00004935,1744833600000,0.08717000
BABYUSDT,-0.00021649,1744848000001,0.08463553
BABYUSDT,-0.00012876,1744862400000,0.08387720
BABYUSDT,0.00005000,1744876800000,0.08457000
BABYUSDT,0.00005000,1744891200000,0.08016000
BABYUSDT,-0.00024463,1744905600001,0.07740000
BABYUSDT,-0.00081265,1744920000001,0.07514342
BABYUSDT,-0.00053953,1744934400000,0.07438000
BABYUSDT,-0.00022852,1744948800000,0.07476914
BABYUSDT,-0.00016299,1744963200000,0.07641277
BABYUSDT,-0.00008973,1744977600000,0.07510000
BABYUSDT,-0.00045732,1744992000000,0.07141110
BABYUSDT,0.00005000,1745006400000,0.07187108
BABYUSDT,0.00005000,1745020800000,0.07054000
BABYUSDT,0.00005000,1745035200000,0.07012000
BABYUSDT,0.00005000,1745049600000,0.07088624
BABYUSDT,0.00005000,1745064000000,0.07030000
BABYUSDT,0.00001067,1745078400000,0.07149153
BABYUSDT,-0.00003949,1745092800000,0.06944244
BABYUSDT,-0.00009803,1745107200000,0.07252000
BABYUSDT,-0.00041580,1745121600000,0.07274589
BABYUSDT,-0.00010918,1745136000000,0.07534000
BABYUSDT,-0.00016636,1745150400001,0.07167000
BABYUSDT,-0.00018219,1745164800000,0.07110000
BABYUSDT,0.00005000,1745179200000,0.07252000
BABYUSDT,-0.00001036,1745193600000,0.07361000
BABYUSDT,0.00005000,1745208000000,0.07292436
BABYUSDT,0.00005000,1745222400005,0.07406000
BABYUSDT,0.00005000,1745236800002,0.07572000
BABYUSDT,0.00005000,1745251200003,0.07414308
BABYUSDT,-0.00038971,1745265600006,0.08084000
BABYUSDT,-0.00106559,1745280000008,0.08125000
BABYUSDT,-0.00089509,1745294400000,0.08129000
BABYUSDT,0.00002261,1745308800000,0.07914233
BABYUSDT,-0.00153432,1745323200001,0.08329357
BABYUSDT,-0.00007123,1745337600000,0.08060000
BABYUSDT,-0.00031884,1745352000004,0.08178000
BABYUSDT,0.00005000,1745366400000,0.08442849
BABYUSDT,0.00005000,1745380800000,0.08595000
BABYUSDT,0.00005000,1745395200002,0.08447000
BABYUSDT,0.00005000,1745409600005,0.08554000
BABYUSDT,0.00005000,1745424000000,0.08573156
BABYUSDT,0.00005000,1745438400001,0.08245578
BABYUSDT,0.00005000,1745452800000,0.07832296
BABYUSDT,0.00005000,1745467200003,0.07442068
BABYUSDT,-0.00000593,1745481600001,0.07366000
BABYUSDT,-0.00017707,1745496000001,0.07407584
BABYUSDT,-0.00020776,1745510400001,0.07521553
BABYUSDT,-0.00038093,1745524800006,0.07545000
BABYUSDT,-0.00008619,1745539200007,0.07623898
BABYUSDT,-0.00011959,1745553600001,0.07644000
BABYUSDT,-0.00011257,1745568000002,0.07873233
BABYUSDT,0.00005000,1745582400000,0.07755000
BABYUSDT,0.00005000,1745596800003,0.07636942
BABYUSDT,0.00005000,1745611200001,0.07566590
BABYUSDT,0.00005000,1745625600002,0.07775000
BABYUSDT,0.00005000,1745640000001,0.08054000
BABYUSDT,0.00005000,1745654400000,0.07964000
BABYUSDT,0.00005000,1745668800000,0.07931091
BABYUSDT,0.00005000,1745683200002,0.08174000
BABYUSDT,0.00005000,1745697600000,0.08084000
BABYUSDT,0.00005000,1745712000001,0.08088286
BABYUSDT,0.00005000,1745726400001,0.07962787
BABYUSDT,0.00005000,1745740800000,0.07880306
BABYUSDT,0.00005000,1745755200000,0.07758000
BABYUSDT,-0.00000257,1745769600000,0.07744059
BABYUSDT,0.00005000,1745784000003,0.07739091
BABYUSDT,0.00005000,1745798400001,0.07816000
BABYUSDT,0.00001847,1745812800001,0.08034591
BABYUSDT,0.00005000,1745827200003,0.08262303
BABYUSDT,0.00005000,1745841600000,0.08315000
BABYUSDT,0.00005000,1745856000005,0.08165000
BABYUSDT,0.00005000,1745870400002,0.08406000
BABYUSDT,0.00005000,1745884800000,0.08648204
BABYUSDT,0.00005000,1745899200000,0.08814455
BABYUSDT,0.00005000,1745913600000,0.09121343
BABYUSDT,0.00005000,1745928000001,0.09368731
BABYUSDT,0.00005000,1745942400010,0.09151760
BABYUSDT,0.00005000,1745956800002,0.09109000
BABYUSDT,0.00005000,1745971200001,0.08821000
BABYUSDT,0.00005000,1745985600001,0.08964956
BABYUSDT,0.00005000,1746000000000,0.09216041
BABYUSDT,0.00005000,1746014400001,0.09649000
BABYUSDT,-0.00032273,1746028800003,0.10518000
BABYUSDT,-0.00015044,1746043200002,0.10504210
BABYUSDT,-0.00019756,1746057600000,0.10511000
BABYUSDT,-0.00078332,1746072000008,0.10876876
BABYUSDT,-0.00032341,1746086400000,0.10369553
BABYUSDT,0.00005000,1746100800001,0.10261000
BABYUSDT,0.00005000,1746115200001,0.10092976
BABYUSDT,0.00005000,1746129600000,0.10054711
BABYUSDT,0.00005000,1746144000000,0.09936588
BABYUSDT,0.00005000,1746158400000,0.09717000
BABYUSDT,0.00003903,1746172800000,0.09775318
BABYUSDT,0.00005000,1746187200005,0.09794836
BABYUSDT,0.00005000,1746201600003,0.09757000
BABYUSDT,0.00005000,1746216000003,0.09864637
BABYUSDT,0.00002763,1746230400000,0.10082525
BABYUSDT,0.00004270,1746244800001,0.10150120
BABYUSDT,0.00005000,1746259200000,0.10102000
BABYUSDT,0.00000267,1746273600006,0.09992000
BABYUSDT,-0.00008338,1746288000000,0.09512000
BABYUSDT,0.00005000,1746302400000,0.09168000
BABYUSDT,0.00005000,1746316800001,0.08855000
BABYUSDT,0.00005000,1746331200004,0.08638000
BABYUSDT,-0.00004739,1746345600001,0.08483326
BABYUSDT,-0.00012113,1746360000006,0.08646000
BABYUSDT,-0.00020783,1746374400002,0.08821042
BABYUSDT,-0.00000577,1746388800000,0.08574000
BABYUSDT,0.00005000,1746403200000,0.08708651
BABYUSDT,-0.00020081,1746417600000,0.08840000
BABYUSDT,0.00000039,1746432000000,0.08775000
BABYUSDT,-0.00015599,1746446400000,0.08688330
BABYUSDT,0.00005000,1746460800006,0.08551000
BABYUSDT,-0.00023053,1746475200000,0.08401089
BABYUSDT,-0.00018296,1746489600002,0.08352591
BABYUSDT,0.00003046,1746504000000,0.08416000
BABYUSDT,-0.00016498,1746518400005,0.08340000
BABYUSDT,-0.00018741,1746532800000,0.07601834
BABYUSDT,-0.00010501,1746547200000,0.07556502
BABYUSDT,-0.00012263,1746561600000,0.07876000
BABYUSDT,0.00002839,1746576000002,0.07840210
BABYUSDT,-0.00010901,1746590400004,0.07963271
BABYUSDT,-0.00009438,1746604800000,0.07927135
BABYUSDT,-0.00015972,1746619200000,0.07891653
BABYUSDT,-0.00046243,1746633600006,0.07756210
BABYUSDT,-0.00009283,1746648000000,0.07722143
BABYUSDT,0.00001382,1746662400000,0.07783000
BABYUSDT,0.00005000,1746676800005,0.08091000
BABYUSDT,-0.00018522,1746691200001,0.08298000
BABYUSDT,0.00005000,1746705600000,0.08323517
BABYUSDT,0.00005000,1746720000002,0.08471000
BABYUSDT,0.00005000,1746734400006,0.08678612
BABYUSDT,0.00005000,1746748800001,0.08759218
BABYUSDT,0.00005000,1746763200000,0.08638149
BABYUSDT,0.00005000,1746777600006,0.08991000
BABYUSDT,0.00005000,1746792000000,0.08677453
BABYUSDT,0.00005000,1746806400000,0.08825000
BABYUSDT,0.00005000,1746820800000,0.08907000
BABYUSDT,0.00005000,1746835200001,0.09596000
BABYUSDT,0.00005000,1746849600003,0.09515470
BABYUSDT,0.00005000,1746864000000,0.09369830
BABYUSDT,0.00005000,1746878400000,0.09049574
BABYUSDT,0.00005000,1746892800001,0.09009000
BABYUSDT,0.00005000,1746907200000,0.09391000
BABYUSDT,0.00005000,1746921600000,0.09630000
BABYUSDT,0.00005000,1746936000000,0.09496000
BABYUSDT,0.00005000,1746950400001,0.09256000
BABYUSDT,0.00005000,1746964800001,0.09603042
BABYUSDT,0.00005000,1746979200001,0.09606000
BABYUSDT,0.00005000,1746993600000,0.09555000
BABYUSDT,0.00005000,1747008000004,0.09860000
BABYUSDT,0.00005000,1747022400003,0.09690653
BABYUSDT,0.00005000,1747036800000,0.10033951
BABYUSDT,0.00005000,1747051200000,0.10298000
BABYUSDT,-0.00014245,1747065600000,0.11016000
BABYUSDT,0.00005000,1747080000004,0.10264123
BABYUSDT,0.00005000,1747094400000,0.11246594
BABYUSDT,0.00002393,1747108800000,0.10073002
BABYUSDT,0.00005000,1747123200008,0.10308231
BABYUSDT,0.00005000,1747137600000,0.09977000
BABYUSDT,0.00005000,1747152000001,0.10150605
BABYUSDT,0.00005000,1747166400006,0.10419817
BABYUSDT,0.00005000,1747180800007,0.10423000
BABYUSDT,0.00003424,1747195200000,0.10479168
BABYUSDT,0.00005000,1747209600000,0.10487416
BABYUSDT,0.00005000,1747224000000,0.10381000
BABYUSDT,-0.00000195,1747238400002,0.09891000
BABYUSDT,0.00005000,1747252800007,0.09683000
BABYUSDT,-0.00024134,1747267200000,0.09461176
BABYUSDT,-0.00017883,1747281600000,0.09178195
BABYUSDT,-0.00010559,1747296000003,0.08587246
BABYUSDT,-0.00033916,1747310400000,0.08737000
BABYUSDT,-0.00035222,1747324800000,0.08755979
BABYUSDT,-0.00033347,1747339200001,0.08675000
BABYUSDT,-0.00032765,1747353600001,0.08684000
BABYUSDT,-0.00038109,1747368000001,0.08981467
BABYUSDT,-0.00000953,1747382400000,0.08898000
BABYUSDT,-0.00032107,1747396800006,0.08827000
BABYUSDT,-0.00023346,1747411200000,0.08753000
BABYUSDT,-0.00012534,1747425600002,0.08610000
BABYUSDT,-0.00050157,1747440000000,0.08528970
BABYUSDT,-0.00025728,1747454400000,0.08184554
BABYUSDT,-0.00039213,1747468800001,0.08209000
BABYUSDT,-0.00042553,1747483200002,0.08261000
BABYUSDT,-0.00046931,1747497600004,0.07817000
BABYUSDT,-0.00059131,1747512000003,0.07360000
BABYUSDT,-0.00072210,1747526400000,0.07567000
BABYUSDT,-0.00039581,1747540800003,0.07731957
BABYUSDT,-0.00042428,1747555200000,0.07910000
BABYUSDT,-0.00053264,1747569600010,0.08009000
BABYUSDT,-0.00001482,1747584000000,0.08275000
BABYUSDT,-0.00019380,1747598400001,0.07912000
BABYUSDT,-0.00018245,1747612800000,0.08521716
BABYUSDT,-0.00034417,1747627200004,0.08216000
BABYUSDT,-0.00011506,1747641600006,0.07888000
BABYUSDT,0.00005000,1747656000000,0.07727743
BABYUSDT,-0.00017929,1747670400010,0.07929000
