symbol,funding_rate,funding_time,mark_price
BCHUSDT,0.00010000,1577836800000,
BCHUSDT,0.00120555,1577865600000,
BCHUSDT,0.00019195,1577894400000,
BCHUSDT,0.00010000,1577923200002,
BCHUSDT,0.00004309,1577952000000,
BCHUSDT,0.00045092,1577980800000,
BCHUSDT,0.00010000,1578009600000,
BCHUSDT,0.00026860,1578038400000,
BCHUSDT,-0.00099838,1578067200001,
BCHUSDT,-0.00139397,1578096000000,
BCHUSDT,0.00010000,1578124800000,
BCHUSDT,-0.00014575,1578153600000,
BCHUSDT,0.00010000,1578182400000,
BCHUSDT,0.00010000,1578211200000,
BCHUSDT,-0.00001922,1578240000000,
BCHUSDT,0.00010000,1578268800000,
BCHUSDT,0.00010000,1578297600000,
BCHUSDT,0.00010000,1578326400000,
BCHUSDT,0.00010000,1578355200000,
BCHUSDT,0.00010000,1578384000001,
BCHUSDT,0.00010000,1578412800000,
BCHUSDT,0.00010000,1578441600000,
BCHUSDT,-0.00025868,1578470400000,
BCHUSDT,0.00010000,1578499200001,
BCHUSDT,0.00149111,1578528000000,
BCHUSDT,0.00085969,1578556800000,
BCHUSDT,0.00010000,1578585600000,
BCHUSDT,0.00033597,1578614400000,
BCHUSDT,-0.00004665,1578643200000,
BCHUSDT,0.00010000,1578672000000,
BCHUSDT,0.00010000,1578700800000,
BCHUSDT,-0.00005919,1578729600000,
BCHUSDT,-0.00030778,1578758400000,
BCHUSDT,-0.00023558,1578787200000,
BCHUSDT,0.00010000,1578816000000,
BCHUSDT,0.00010000,1578844800000,
BCHUSDT,0.00010000,1578873600001,
BCHUSDT,0.00010000,1578902400000,
BCHUSDT,0.00010000,1578931200000,
BCHUSDT,0.00010000,1578960000000,
BCHUSDT,0.00010000,1578988800000,
BCHUSDT,0.00010000,1579017600001,
BCHUSDT,0.00051712,1579046400000,
BCHUSDT,0.00034113,1579075200000,
BCHUSDT,0.00010000,1579104000000,
BCHUSDT,0.00010000,1579132800000,
BCHUSDT,0.00067611,1579161600000,
BCHUSDT,0.00125921,1579190400000,
BCHUSDT,0.00063919,1579219200000,
BCHUSDT,0.00032284,1579248000000,
BCHUSDT,0.00033436,1579276800000,
BCHUSDT,0.00021670,1579305600001,
BCHUSDT,0.00050770,1579334400001,
BCHUSDT,0.00057618,1579363200000,
BCHUSDT,0.00104570,1579392000000,
BCHUSDT,0.00074375,1579420800000,
BCHUSDT,0.00076384,1579449600000,
BCHUSDT,0.00035760,1579478400000,
BCHUSDT,-0.00044651,1579507200000,
BCHUSDT,0.00261410,1579536000000,
BCHUSDT,0.00012561,1579564800000,
BCHUSDT,0.00111475,1579593600000,
BCHUSDT,0.00103792,1579622400000,
BCHUSDT,0.00121083,1579651200000,
BCHUSDT,0.00047554,1579680000001,
BCHUSDT,0.00010000,1579708800000,
BCHUSDT,0.00010000,1579737600000,
BCHUSDT,0.00010000,1579766400000,
BCHUSDT,0.00043063,1579795200000,
BCHUSDT,0.00028212,1579824000000,
BCHUSDT,0.00027852,1579852800000,
BCHUSDT,0.00017888,1579881600001,
BCHUSDT,0.00025134,1579910400000,
BCHUSDT,0.00010000,1579939200000,
BCHUSDT,0.00014535,1579968000001,
BCHUSDT,0.00013011,1579996800000,
BCHUSDT,0.00010000,1580025600000,
BCHUSDT,0.00007036,1580054400000,
BCHUSDT,0.00010000,1580083200000,
BCHUSDT,0.00010000,1580112000001,
BCHUSDT,0.00010000,1580140800000,
BCHUSDT,0.00010000,1580169600000,
BCHUSDT,0.00010000,1580198400000,
BCHUSDT,0.00010000,1580227200000,
BCHUSDT,0.00010000,1580256000001,
BCHUSDT,0.00010000,1580284800000,
BCHUSDT,0.00010000,1580313600002,
BCHUSDT,0.00010000,1580342400000,
BCHUSDT,0.00010000,1580371200000,
BCHUSDT,0.00010000,1580400000000,
BCHUSDT,0.00024604,1580428800000,
BCHUSDT,0.00042048,1580457600000,
BCHUSDT,0.00030254,1580486400000,
BCHUSDT,0.00048232,1580515200000,
BCHUSDT,0.00041030,1580544000000,
BCHUSDT,0.00021097,1580572800000,
BCHUSDT,0.00032438,1580601600000,
BCHUSDT,0.00042793,1580630400000,
BCHUSDT,0.00031351,1580659200000,
BCHUSDT,0.00010000,1580688000000,
BCHUSDT,0.00012047,1580716800000,
BCHUSDT,0.00046286,1580745600000,
BCHUSDT,0.00011499,1580774400000,
BCHUSDT,0.00025089,1580803200001,
BCHUSDT,0.00029743,1580832000000,
BCHUSDT,0.00025594,1580860800002,
BCHUSDT,0.00010000,1580889600000,
BCHUSDT,0.00010000,1580918400000,
BCHUSDT,0.00011550,1580947200000,
BCHUSDT,0.00010000,1580976000000,
BCHUSDT,0.00079137,1581004800000,
BCHUSDT,0.00079957,1581033600000,
BCHUSDT,0.00061801,1581062400000,
BCHUSDT,0.00076384,1581091200001,
BCHUSDT,0.00101674,1581120000000,
BCHUSDT,0.00057452,1581148800000,
BCHUSDT,0.00070315,1581177600000,
BCHUSDT,0.00070937,1581206400000,
BCHUSDT,0.00111813,1581235200000,
BCHUSDT,0.00173654,1581264000000,
BCHUSDT,0.00161209,1581292800000,
BCHUSDT,0.00109097,1581321600000,
BCHUSDT,0.00147827,1581350400009,
BCHUSDT,0.00096557,1581379200000,
BCHUSDT,0.00142499,1581408000000,
BCHUSDT,0.00099173,1581436800000,
BCHUSDT,0.00265081,1581465600000,
BCHUSDT,0.00277386,1581494400001,
BCHUSDT,0.00232965,1581523200000,
BCHUSDT,0.00167715,1581552000001,
BCHUSDT,0.00224262,1581580800000,
BCHUSDT,0.00107646,1581609600000,
BCHUSDT,0.00061474,1581638400000,
BCHUSDT,0.00050105,1581667200000,
BCHUSDT,0.00058651,1581696000000,
BCHUSDT,0.00105683,1581724800000,
BCHUSDT,0.00075874,1581753600000,
BCHUSDT,0.00109656,1581782400000,
BCHUSDT,0.00035720,1581811200000,
BCHUSDT,0.00017977,1581840000000,
BCHUSDT,0.00059497,1581868800000,
BCHUSDT,0.00084012,1581897600000,
BCHUSDT,0.00035286,1581926400000,
