symbol,funding_rate,funding_time,mark_price
BIDUSDT,0.00426483,1742472000000,0.09187049
BIDUSDT,0.00096832,1742486400000,0.08574894
BIDUSDT,0.00115282,1742500800000,0.08403000
BIDUSDT,0.00119418,1742515200000,0.08462126
BIDUSDT,0.00172591,1742529600000,0.08155000
BIDUSDT,0.00184295,1742544000000,0.07300573
BIDUSDT,0.00100946,1742558400000,0.06873000
BIDUSDT,0.00359037,1742572800000,0.06875000
BIDUSDT,0.00075028,1742587200000,0.06888000
BIDUSDT,0.00058375,1742601600000,0.06696000
BIDUSDT,0.00121628,1742616000001,0.06041144
BIDUSDT,0.00173474,1742630400004,0.06066000
BIDUSDT,0.00120906,1742644800013,0.06072000
BIDUSDT,0.00211537,1742659200000,0.05704516
BIDUSDT,0.00192735,1742673600001,0.06005373
BIDUSDT,0.00196759,1742688000000,0.05824995
BIDUSDT,0.00140320,1742702400000,0.05720000
BIDUSDT,0.00010078,1742716800000,0.05776318
BIDUSDT,0.00185123,1742731200000,0.05790668
BIDUSDT,0.00081245,1742745600000,0.06091000
BIDUSDT,0.00068928,1742760000000,0.06215766
BIDUSDT,0.00181252,1742774400000,0.05995000
BIDUSDT,0.00068279,1742788800000,0.06199412
BIDUSDT,0.00040916,1742803200000,0.06138406
BIDUSDT,0.00066212,1742817600000,0.06075000
BIDUSDT,0.00005000,1742832000000,0.05809165
BIDUSDT,0.00005000,1742846400004,0.05898000
BIDUSDT,0.00005000,1742860800001,0.05865357
BIDUSDT,0.00086285,1742875200000,0.05806000
BIDUSDT,0.00066302,1742889600000,0.05828000
BIDUSDT,0.00069731,1742904000000,0.05617000
BIDUSDT,0.00005000,1742918400000,0.05681114
BIDUSDT,0.00028293,1742932800000,0.05678000
BIDUSDT,0.00005000,1742947200000,0.05776529
BIDUSDT,0.00005000,1742961600001,0.05594000
BIDUSDT,0.00005000,1742976000000,0.05388000
BIDUSDT,0.00010788,1742990400000,0.05474000
BIDUSDT,0.00006715,1743004800001,0.05183817
BIDUSDT,0.00032909,1743019200000,0.05246136
BIDUSDT,0.00028500,1743033600001,0.05180556
BIDUSDT,0.00005000,1743048000000,0.05363362
BIDUSDT,0.00005000,1743062400001,0.05425002
BIDUSDT,0.00005000,1743076800000,0.05127512
BIDUSDT,0.00005000,1743091200002,0.05302000
BIDUSDT,0.00106804,1743105600000,0.05312940
BIDUSDT,0.00088537,1743120000001,0.05233177
BIDUSDT,0.00005000,1743134400000,0.05056850
BIDUSDT,0.00022013,1743148800001,0.05308000
BIDUSDT,0.00066167,1743163200000,0.05432971
BIDUSDT,0.00072353,1743177600000,0.05399651
BIDUSDT,0.00019864,1743192000000,0.05453000
BIDUSDT,0.00063560,1743206400000,0.05734000
BIDUSDT,0.00022250,1743220800001,0.05654242
BIDUSDT,0.00066970,1743235200000,0.05802000
BIDUSDT,0.00006781,1743249600000,0.04885312
BIDUSDT,0.00005000,1743264000000,0.04955952
BIDUSDT,0.00005000,1743278400000,0.04942269
