symbol,funding_rate,funding_time,mark_price
BTCUSDC,0.00010000,1704211200000,45225.99360546
BTCUSDC,0.00010000,1704240000000,44961.49404269
BTCUSDC,0.00010000,1704268800000,45032.72395033
BTCUSDC,0.00010000,1704297600000,43002.02572103
BTCUSDC,0.00010000,1704326400000,42859.43828536
BTCUSDC,0.00010000,1704355200000,42804.15901560
BTCUSDC,0.00010000,1704384000000,44143.10000000
BTCUSDC,0.00010000,1704412800001,44183.16742013
BTCUSDC,0.00010000,1704441600000,43802.10000000
BTCUSDC,0.00010000,1704470400000,43504.25853539
BTCUSDC,0.00004061,1704499200000,44157.00597275
BTCUSDC,0.00009377,1704528000000,43679.30000000
BTCUSDC,0.00006494,1704556800000,43871.55151867
BTCUSDC,0.00004978,1704585600000,43976.90000000
BTCUSDC,0.00009451,1704614400001,44083.07692701
BTCUSDC,0.00010000,1704643200001,44045.87939542
BTCUSDC,-0.00001556,1704672000000,43927.90000000
BTCUSDC,0.00005794,1704700800000,43966.44064022
BTCUSDC,0.00010000,1704729600000,44987.48134260
BTCUSDC,0.00010000,1704758400001,46983.20000000
BTCUSDC,0.00010000,1704787200000,46837.83274467
BTCUSDC,0.00006105,1704816000000,46857.86066946
BTCUSDC,0.00007137,1704844800000,46113.52093734
BTCUSDC,0.00010000,1704873600000,45763.50000000
BTCUSDC,0.00010000,1704902400000,45564.62805215
BTCUSDC,0.00010000,1704931200000,46645.62994772
BTCUSDC,0.00010000,1704960000000,46098.20000000
BTCUSDC,0.00010000,1704988800000,46765.99817439
BTCUSDC,0.00010000,1705017600001,46341.97406435
BTCUSDC,0.00010000,1705046400000,46016.91856079
BTCUSDC,0.00010000,1705075200000,44442.29543678
BTCUSDC,0.00010000,1705104000000,42760.36706450
BTCUSDC,0.00010000,1705132800000,43082.03579487
BTCUSDC,0.00010000,1705161600001,43136.15752692
BTCUSDC,0.00010000,1705190400000,42826.70000000
BTCUSDC,0.00010000,1705219200000,42984.60000000
BTCUSDC,0.00010000,1705248000001,42882.58013395
BTCUSDC,0.00010000,1705276800000,41709.46112001
BTCUSDC,0.00010000,1705305600000,42681.40000000
BTCUSDC,0.00010000,1705334400000,42244.57354674
BTCUSDC,0.00010000,1705363200000,42475.00000000
BTCUSDC,0.00010000,1705392000000,42728.87535745
BTCUSDC,0.00010000,1705420800001,43214.50000000
BTCUSDC,0.00005306,1705449600000,43107.76731634
BTCUSDC,0.00004969,1705478400000,42618.47088088
BTCUSDC,0.00010000,1705507200000,42444.24495893
BTCUSDC,0.00010000,1705536000001,42732.90000000
BTCUSDC,0.00010000,1705564800000,42860.69083722
BTCUSDC,0.00010000,1705593600000,42577.99701050
BTCUSDC,0.00010000,1705622400000,41279.65226140
BTCUSDC,0.00010000,1705651200000,41228.30000000
BTCUSDC,0.00010000,1705680000002,40860.52648771
BTCUSDC,0.00010000,1705708800000,41623.40000000
BTCUSDC,0.00010000,1705737600003,41620.82333545
BTCUSDC,0.00010000,1705766400000,41531.08414742
BTCUSDC,0.00010000,1705795200000,41664.76898871
BTCUSDC,0.00010000,1705824000000,41622.30000000
BTCUSDC,0.00010000,1705852800000,41630.48648902
BTCUSDC,0.00010000,1705881600000,41554.43755459
BTCUSDC,0.00010000,1705910400000,40995.49339585
BTCUSDC,0.00010000,1705939200000,40711.54364148
BTCUSDC,0.00010000,1705968000000,39514.60751581
BTCUSDC,0.00010000,1705996800000,39738.00000000
BTCUSDC,0.00010000,1706025600000,39156.02316805
BTCUSDC,0.00010000,1706054400000,39857.51244545
BTCUSDC,0.00010000,1706083200000,39934.93750362
BTCUSDC,0.00010000,1706112000000,40023.30000000
BTCUSDC,0.00010000,1706140800000,40061.80000000
BTCUSDC,0.00010000,1706169600001,40104.58503833
BTCUSDC,0.00010000,1706198400000,39779.92501770
