symbol,funding_rate,funding_time,mark_price
BTCUSDT,-0.00012359,1577836800000,
BTCUSDT,-0.00012383,1577865600000,
BTCUSDT,-0.00009664,1577894400000,
BTCUSDT,0.00003662,1577923200002,
BTCUSDT,0.00010000,1577952000000,
BTCUSDT,0.00000104,1577980800000,
BTCUSDT,-0.00001664,1578009600000,
BTCUSDT,-0.00001553,1578038400000,
BTCUSDT,0.00010000,1578067200001,
BTCUSDT,0.00010000,1578096000000,
BTCUSDT,0.00000084,1578124800000,
BTCUSDT,0.00007387,1578153600000,
BTCUSDT,0.00010000,1578182400000,
BTCUSDT,0.00010000,1578211200000,
BTCUSDT,0.00010000,1578240000000,
BTCUSDT,0.00010000,1578268800000,
BTCUSDT,0.00010000,1578297600000,
BTCUSDT,0.00010000,1578326400000,
BTCUSDT,0.00010000,1578355200000,
BTCUSDT,0.00010000,1578384000001,
BTCUSDT,0.00010000,1578412800000,
BTCUSDT,0.00012514,1578441600000,
BTCUSDT,0.00010000,1578470400000,
BTCUSDT,0.00010000,1578499200001,
BTCUSDT,0.00010000,1578528000000,
BTCUSDT,0.00010000,1578556800000,
BTCUSDT,0.00010000,1578585600000,
BTCUSDT,0.00010000,1578614400000,
BTCUSDT,0.00010000,1578643200000,
BTCUSDT,0.00010000,1578672000000,
BTCUSDT,0.00010000,1578700800000,
BTCUSDT,0.00017846,1578729600000,
BTCUSDT,0.00010000,1578758400000,
BTCUSDT,0.00010000,1578787200000,
BTCUSDT,0.00010000,1578816000000,
BTCUSDT,0.00010000,1578844800000,
BTCUSDT,0.00010000,1578873600001,
BTCUSDT,0.00010000,1578902400000,
BTCUSDT,0.00010000,1578931200000,
BTCUSDT,0.00010000,1578960000000,
BTCUSDT,0.00025900,1578988800000,
BTCUSDT,0.00010000,1579017600001,
BTCUSDT,0.00049392,1579046400000,
BTCUSDT,0.00019497,1579075200000,
BTCUSDT,0.00010000,1579104000000,
BTCUSDT,0.00010000,1579132800000,
BTCUSDT,0.00041191,1579161600000,
BTCUSDT,0.00031466,1579190400000,
BTCUSDT,0.00010000,1579219200000,
BTCUSDT,0.00015027,1579248000000,
BTCUSDT,0.00056749,1579276800000,
BTCUSDT,0.00010000,1579305600001,
BTCUSDT,0.00029182,1579334400001,
BTCUSDT,0.00032081,1579363200000,
BTCUSDT,0.00020041,1579392000000,
BTCUSDT,0.00039329,1579420800000,
BTCUSDT,0.00092467,1579449600000,
BTCUSDT,0.00029702,1579478400000,
BTCUSDT,0.00010000,1579507200000,
BTCUSDT,0.00010782,1579536000000,
BTCUSDT,0.00012057,1579564800000,
BTCUSDT,0.00015425,1579593600000,
BTCUSDT,0.00015740,1579622400000,
BTCUSDT,0.00010000,1579651200000,
BTCUSDT,0.00021392,1579680000001,
BTCUSDT,0.00010000,1579708800000,
BTCUSDT,0.00010000,1579737600000,
BTCUSDT,0.00010000,1579766400000,
BTCUSDT,0.00052304,1579795200000,
BTCUSDT,0.00054719,1579824000000,
BTCUSDT,0.00042124,1579852800000,
BTCUSDT,0.00017948,1579881600001,
BTCUSDT,0.00010000,1579910400000,
BTCUSDT,0.00010000,1579939200000,
BTCUSDT,0.00010000,1579968000001,
BTCUSDT,0.00010000,1579996800000,
BTCUSDT,0.00010000,1580025600000,
