symbol,funding_rate,funding_time,mark_price
BULLAUSDT,-0.00091281,1751630400000,0.09156501
BULLAUSDT,-0.00022384,1751644800001,0.08618986
BULLAUSDT,-0.00159041,1751659200000,0.07690000
BULLAUSDT,-0.00179368,1751673600004,0.07843353
BULLAUSDT,-0.00134072,1751688000005,0.07618694
BULLAUSDT,-0.00139434,1751702400009,0.07725277
BULLAUSDT,-0.00076515,1751716800000,0.07400000
BULLAUSDT,-0.00274900,1751731200006,0.07098814
BULLAUSDT,-0.00039007,1751745600000,0.07199055
BULLAUSDT,0.00005000,1751760000001,0.07450000
BULLAUSDT,0.00005000,1751774400000,0.07150000
BULLAUSDT,-0.00107213,1751788800002,0.06759317
BULLAUSDT,0.00005000,1751803200001,0.06655012
BULLAUSDT,0.00005000,1751817600004,0.06885033
BULLAUSDT,0.00005000,1751832000006,0.07292690
BULLAUSDT,0.00044974,1751846400000,0.07360010
BULLAUSDT,0.00040185,1751860800000,0.07246103
BULLAUSDT,0.00038595,1751875200007,0.07549617
BULLAUSDT,0.00005000,1751889600000,0.07236356
BULLAUSDT,0.00046068,1751904000000,0.07289172
BULLAUSDT,0.00035166,1751918400013,0.07200000
BULLAUSDT,0.00014309,1751932800010,0.07149254
BULLAUSDT,0.00005000,1751947200000,0.07036964
BULLAUSDT,0.00050333,1751961600003,0.06440999
BULLAUSDT,0.00059076,1751976000004,0.06048681
BULLAUSDT,0.00082202,1751990400000,0.05912762
BULLAUSDT,0.00037934,1752004800002,0.06070000
BULLAUSDT,0.00005000,1752019200002,0.05904477
BULLAUSDT,0.00023070,1752033600010,0.05745825
BULLAUSDT,0.00032439,1752048000006,0.05860000
BULLAUSDT,0.00045291,1752062400000,0.05671623
BULLAUSDT,0.00062580,1752076800001,0.05802039
BULLAUSDT,0.00023195,1752091200007,0.05791414
BULLAUSDT,0.00043164,1752105600003,0.05900000
BULLAUSDT,0.00043287,1752120000001,0.05840000
BULLAUSDT,0.00060309,1752134400000,0.05839346
BULLAUSDT,0.00034357,1752148800001,0.06110000
BULLAUSDT,0.00019857,1752163200004,0.05766701
BULLAUSDT,0.00005000,1752177600000,0.05623065
BULLAUSDT,0.00079171,1752192000004,0.05730000
BULLAUSDT,0.00107529,1752206400001,0.06460000
BULLAUSDT,0.00068666,1752220800007,0.05770000
BULLAUSDT,0.00341345,1752235200000,0.06542334
BULLAUSDT,0.00050104,1752249600001,0.05950000
BULLAUSDT,0.00128443,1752264000006,0.06130000
BULLAUSDT,0.00043058,1752278400000,0.06010000
BULLAUSDT,0.00050129,1752292800005,0.06421004
BULLAUSDT,0.00062023,1752307200001,0.07033360
BULLAUSDT,0.00018357,1752321600007,0.07567873
BULLAUSDT,0.00005000,1752336000002,0.07113525
BULLAUSDT,0.00044844,1752350400003,0.07778158
BULLAUSDT,0.00005000,1752364800006,0.07736700
BULLAUSDT,0.00008373,1752379200001,0.07772116
BULLAUSDT,0.00005000,1752393600001,0.07842284
BULLAUSDT,0.00015790,1752408000003,0.08570000
BULLAUSDT,0.00016210,1752422400003,0.08714385
BULLAUSDT,0.00005000,1752436800008,0.07521710
BULLAUSDT,0.00005000,1752451200000,0.07411017
BULLAUSDT,0.00005000,1752465600000,0.06987302
BULLAUSDT,0.00024066,1752480000000,0.06924091
BULLAUSDT,0.00010037,1752494400001,0.06796808
BULLAUSDT,0.00021266,1752508800000,0.06600000
BULLAUSDT,0.00064973,1752523200003,0.06568109
BULLAUSDT,0.00077674,1752537600002,0.06681735
BULLAUSDT,0.00061589,1752552000008,0.07190000
BULLAUSDT,0.00027502,1752566400000,0.07045723
BULLAUSDT,0.00028759,1752580800000,0.07307280
BULLAUSDT,0.00005000,1752595200000,0.07122095
BULLAUSDT,0.00012233,1752609600005,0.07416903
BULLAUSDT,0.00005000,1752624000000,0.07620274
BULLAUSDT,0.00005000,1752638400000,0.07377236
BULLAUSDT,0.00005000,1752652800000,0.07410000
BULLAUSDT,0.00023646,1752667200005,0.07390000
BULLAUSDT,0.00044345,1752681600008,0.07582530
BULLAUSDT,0.00024926,1752696000000,0.07279609
BULLAUSDT,0.00039454,1752710400003,0.07440000
BULLAUSDT,0.00023091,1752724800000,0.07547552
BULLAUSDT,0.00049264,1752739200000,0.07690000
BULLAUSDT,0.00025050,1752753600000,0.07350000
BULLAUSDT,0.00005000,1752768000000,0.07215312
BULLAUSDT,0.00005000,1752782400000,0.07060000
BULLAUSDT,0.00005000,1752796800004,0.07184436
BULLAUSDT,0.00028161,1752811200000,0.07447673
BULLAUSDT,0.00027994,1752825600000,0.07410000
BULLAUSDT,0.00047840,1752840000000,0.07620000
BULLAUSDT,0.00038290,1752854400000,0.07270000
BULLAUSDT,0.00073125,1752868800010,0.07245820
BULLAUSDT,0.00041973,1752883200009,0.07200000
BULLAUSDT,0.00009645,1752897600000,0.06773494
BULLAUSDT,0.00067319,1752912000000,0.07144984
BULLAUSDT,0.00046019,1752926400000,0.06970000
BULLAUSDT,0.00011735,1752940800002,0.06768174
BULLAUSDT,0.00028663,1752955200002,0.07140000
BULLAUSDT,0.00005000,1752969600000,0.07087791
BULLAUSDT,0.00030909,1752984000007,0.07270000
BULLAUSDT,0.00005000,1752998400000,0.07170602
BULLAUSDT,0.00034700,1753012800003,0.06890000
BULLAUSDT,0.00012222,1753027200000,0.06930000
BULLAUSDT,0.00005000,1753041600013,0.07150000
BULLAUSDT,0.00005000,1753056000001,0.07162599
BULLAUSDT,0.00056594,1753070400001,0.07259660
BULLAUSDT,0.00062900,1753084800000,0.07160209
BULLAUSDT,0.00005000,1753099200001,0.07128182
BULLAUSDT,0.00005000,1753113600001,0.07070049
BULLAUSDT,0.00005000,1753128000003,0.07050802
BULLAUSDT,0.00022046,1753142400000,0.07231422
BULLAUSDT,0.00006331,1753156800001,0.07037829
BULLAUSDT,0.00028112,1753171200010,0.07070000
BULLAUSDT,0.00013463,1753185600001,0.07213974
BULLAUSDT,0.00051136,1753200000007,0.07361769
BULLAUSDT,0.00035464,1753214400001,0.07394246
BULLAUSDT,0.00063611,1753228800000,0.07292554
BULLAUSDT,0.00052686,1753243200010,0.07479262
BULLAUSDT,0.00025390,1753257600004,0.07150000
BULLAUSDT,0.00005000,1753272000002,0.07202322
BULLAUSDT,0.00005000,1753286400002,0.07233784
BULLAUSDT,0.00018588,1753300800005,0.07255733
BULLAUSDT,0.00025587,1753315200000,0.07383694
BULLAUSDT,0.00020362,1753329600001,0.07166853
BULLAUSDT,0.00005000,1753344000001,0.06887197
BULLAUSDT,0.00005000,1753358400000,0.06985331
BULLAUSDT,0.00005000,1753372800000,0.06925797
BULLAUSDT,0.00005000,1753387200001,0.07059104
BULLAUSDT,0.00005000,1753401600000,0.06842349
BULLAUSDT,0.00005000,1753416000001,0.06752281
BULLAUSDT,0.00005000,1753430400000,0.06870927
BULLAUSDT,0.00005000,1753444800000,0.06925793
BULLAUSDT,0.00005000,1753459200000,0.06813970
BULLAUSDT,0.00005000,1753473600000,0.06831704
BULLAUSDT,0.00011382,1753488000001,0.07068150
BULLAUSDT,0.00005000,1753502400001,0.06990000
BULLAUSDT,0.00005000,1753516800005,0.07010000
BULLAUSDT,0.00051347,1753531200004,0.06959664
BULLAUSDT,0.00005000,1753545600001,0.06953630
BULLAUSDT,0.00005000,1753560000000,0.07000000
BULLAUSDT,0.00005000,1753574400001,0.07260000
BULLAUSDT,0.00005000,1753588800000,0.07470000
BULLAUSDT,0.00035236,1753603200000,0.07520000
BULLAUSDT,0.00005000,1753617600000,0.07242116
BULLAUSDT,0.00005000,1753632000008,0.07099947
BULLAUSDT,0.00005000,1753646400002,0.07240000
BULLAUSDT,0.00005000,1753660800005,0.07497966
BULLAUSDT,0.00020355,1753675200001,0.07850000
BULLAUSDT,0.00005000,1753689600000,0.07370000
BULLAUSDT,0.00031127,1753704000000,0.07412856
BULLAUSDT,0.00005000,1753718400000,0.07163900
BULLAUSDT,0.00005000,1753732800005,0.06878456
BULLAUSDT,0.00005000,1753747200001,0.06458111
BULLAUSDT,0.00005000,1753761600001,0.06521710
BULLAUSDT,0.00005000,1753776000000,0.06460000
BULLAUSDT,0.00005000,1753790400001,0.06360000
BULLAUSDT,0.00005000,1753804800000,0.06110000
BULLAUSDT,0.00005000,1753819200000,0.06110000
BULLAUSDT,0.00005000,1753833600011,0.06118108
BULLAUSDT,0.00005000,1753848000000,0.06178252
BULLAUSDT,0.00005000,1753862400000,0.06081187
BULLAUSDT,0.00005000,1753876800003,0.05935378
BULLAUSDT,0.00005000,1753891200008,0.06160000
BULLAUSDT,0.00005000,1753905600000,0.06049964
BULLAUSDT,0.00050959,1753920000000,0.06220000
BULLAUSDT,0.00005000,1753934400010,0.06258240
BULLAUSDT,0.00005000,1753948800009,0.06186950
BULLAUSDT,0.00005000,1753963200003,0.06250000
BULLAUSDT,0.00005000,1753977600000,0.06129276
BULLAUSDT,0.00005000,1753992000000,0.06170000
BULLAUSDT,0.00005000,1754006400001,0.05830000
BULLAUSDT,0.00005000,1754020800000,0.05573159
BULLAUSDT,0.00005000,1754035200003,0.05400036
BULLAUSDT,0.00005000,1754049600001,0.05496593
BULLAUSDT,0.00005000,1754064000000,0.05537845
BULLAUSDT,0.00005000,1754078400004,0.05550000
BULLAUSDT,0.00029808,1754092800004,0.05581488
BULLAUSDT,0.00005000,1754107200000,0.05660000
BULLAUSDT,0.00005000,1754121600000,0.05600000
