symbol,funding_rate,funding_time,mark_price
COLLECTUSDT,0.00141422,1767196800001,0.08038915
COLLECTUSDT,0.00197441,1767211200009,0.08284754
COLLECTUSDT,0.00188551,1767225600008,0.08531116
COLLECTUSDT,0.00115898,1767240000000,0.08091386
COLLECTUSDT,0.00080757,1767254400002,0.07726708
COLLECTUSDT,0.00036916,1767268800007,0.07761618
COLLECTUSDT,0.00019232,1767283200001,0.07559000
COLLECTUSDT,0.00049937,1767297600005,0.07601127
COLLECTUSDT,0.00102773,1767312000006,0.08130349
COLLECTUSDT,0.00024948,1767326400000,0.07796647
COLLECTUSDT,0.00033725,1767340800007,0.07815015
COLLECTUSDT,0.00062870,1767355200000,0.07998729
COLLECTUSDT,0.00036514,1767369600000,0.07734960
COLLECTUSDT,0.00086585,1767384000000,0.08277219
COLLECTUSDT,0.00032205,1767398400001,0.07872399
COLLECTUSDT,0.00045976,1767412800000,0.07283211
COLLECTUSDT,0.00010435,1767427200000,0.07151152
COLLECTUSDT,0.00032981,1767441600008,0.07459065
COLLECTUSDT,0.00034278,1767456000000,0.07486576
COLLECTUSDT,0.00046464,1767470400001,0.07555606
COLLECTUSDT,0.00026226,1767484800000,0.07610043
COLLECTUSDT,0.00082903,1767499200000,0.08165419
COLLECTUSDT,0.00074458,1767513600000,0.08811447
COLLECTUSDT,0.00044740,1767528000001,0.08422444
COLLECTUSDT,0.00005000,1767542400001,0.07612994
COLLECTUSDT,0.00027517,1767556800002,0.07380476
COLLECTUSDT,0.00042035,1767571200000,0.07112618
COLLECTUSDT,0.00053765,1767585600001,0.07458343
COLLECTUSDT,0.00028664,1767600000000,0.07880121
COLLECTUSDT,0.00040549,1767614400000,0.07731834
COLLECTUSDT,0.00028243,1767628800000,0.08605000
COLLECTUSDT,0.00085913,1767643200000,0.08520545
COLLECTUSDT,0.00060924,1767657600010,0.08662089
COLLECTUSDT,0.00015887,1767672000000,0.08489618
COLLECTUSDT,0.00019708,1767686400000,0.08912002
COLLECTUSDT,0.00005000,1767700800000,0.08941000
COLLECTUSDT,0.00005000,1767715200000,0.09275374
COLLECTUSDT,0.00089676,1767729600002,0.08249456
COLLECTUSDT,0.00055376,1767744000001,0.08133212
COLLECTUSDT,0.00058496,1767758400003,0.08220931
COLLECTUSDT,0.00048638,1767772800001,0.08200651
COLLECTUSDT,0.00028566,1767787200000,0.08451000
COLLECTUSDT,0.00062203,1767801600001,0.08489977
COLLECTUSDT,0.00074255,1767816000001,0.08691160
COLLECTUSDT,0.00062454,1767830400001,0.08414232
COLLECTUSDT,0.00057635,1767844800000,0.08743000
COLLECTUSDT,0.00065810,1767859200000,0.09143636
COLLECTUSDT,0.00044214,1767873600002,0.08891000
COLLECTUSDT,0.00052059,1767888000000,0.08833942
COLLECTUSDT,0.00029117,1767902400000,0.08990000
COLLECTUSDT,0.00050273,1767916800003,0.09054615
COLLECTUSDT,0.00054445,1767931200000,0.09028490
