symbol,funding_rate,funding_time,mark_price
CRVUSDT,0.00146007,1598947200000,
CRVUSDT,0.00033086,1598976000000,
CRVUSDT,0.00126357,1599004800000,
CRVUSDT,0.00185862,1599033600006,
CRVUSDT,0.00025770,1599062400000,
CRVUSDT,0.00064743,1599091200001,
CRVUSDT,0.00016674,1599120000004,
CRVUSDT,0.00010000,1599148800000,
CRVUSDT,0.00010000,1599177600005,
CRVUSDT,0.00010000,1599206400000,
CRVUSDT,0.00010000,1599235200006,
CRVUSDT,0.00010000,1599264000000,
CRVUSDT,0.00010000,1599292800004,
CRVUSDT,0.00010000,1599321600001,
CRVUSDT,0.00010000,1599350400004,
CRVUSDT,-0.00019203,1599379200000,
CRVUSDT,0.00010000,1599408000000,
CRVUSDT,0.00010000,1599436800002,
CRVUSDT,0.00010000,1599465600004,
CRVUSDT,0.00010000,1599494400001,
CRVUSDT,-0.00181284,1599523200007,
CRVUSDT,0.00010000,1599552000006,
CRVUSDT,0.00010000,1599580800014,
CRVUSDT,-0.00321159,1599609600000,
CRVUSDT,-0.00019381,1599638400000,
CRVUSDT,0.00010000,1599667200000,
CRVUSDT,0.00010000,1599696000000,
CRVUSDT,-0.00039623,1599724800005,
CRVUSDT,0.00010000,1599753600000,
CRVUSDT,0.00010000,1599782400000,
CRVUSDT,0.00010000,1599811200008,
CRVUSDT,0.00010000,1599840000000,
CRVUSDT,0.00010000,1599868800008,
CRVUSDT,0.00010000,1599897600000,
CRVUSDT,0.00010000,1599926400008,
CRVUSDT,0.00010000,1599955200000,
CRVUSDT,0.00013672,1599984000000,
CRVUSDT,0.00010000,1600012800004,
CRVUSDT,0.00010000,1600041600003,
CRVUSDT,0.00010000,1600070400008,
CRVUSDT,0.00010000,1600099200000,
CRVUSDT,0.00010000,1600128000000,
CRVUSDT,0.00010000,1600156800010,
CRVUSDT,0.00010000,1600185600003,
CRVUSDT,0.00010000,1600214400014,
CRVUSDT,0.00010000,1600243200000,
CRVUSDT,0.00010000,1600272000001,
CRVUSDT,0.00010000,1600300800006,
CRVUSDT,0.00010000,1600329600012,
CRVUSDT,0.00010000,1600358400000,
CRVUSDT,0.00010000,1600387200001,
CRVUSDT,0.00010000,1600416000002,
CRVUSDT,0.00010000,1600444800002,
CRVUSDT,0.00010000,1600473600000,
CRVUSDT,0.00010000,1600502400005,
CRVUSDT,0.00010000,1600531200008,
CRVUSDT,0.00010000,1600560000002,
CRVUSDT,0.00010000,1600588800005,
CRVUSDT,0.00010000,1600617600005,
CRVUSDT,0.00010000,1600646400000,
CRVUSDT,0.00010000,1600675200001,
CRVUSDT,0.00010000,1600704000000,
CRVUSDT,0.00010000,1600732800001,
CRVUSDT,0.00010000,1600761600000,
CRVUSDT,0.00010000,1600790400004,
CRVUSDT,0.00010000,1600819200007,
CRVUSDT,0.00010000,1600848000001,
CRVUSDT,0.00010000,1600876800001,
CRVUSDT,-0.00208959,1600905600000,
CRVUSDT,0.00010000,1600934400000,
CRVUSDT,0.00010000,1600963200000,
CRVUSDT,0.00005479,1600992000009,
CRVUSDT,-0.00064815,1601020800045,
CRVUSDT,0.00010000,1601049600000,
CRVUSDT,0.00010000,1601078400000,
CRVUSDT,0.00010000,1601107200000,
CRVUSDT,0.00010000,1601136000005,
CRVUSDT,0.00010000,1601164800000,
CRVUSDT,0.00010000,1601193600000,
CRVUSDT,0.00010000,1601222400019,
CRVUSDT,0.00010000,1601251200001,
CRVUSDT,0.00010000,1601280000000,
CRVUSDT,0.00010000,1601308800002,
CRVUSDT,0.00010000,1601337600000,
CRVUSDT,0.00010000,1601366400000,
CRVUSDT,0.00010000,1601395200000,
CRVUSDT,0.00010000,1601424000005,
CRVUSDT,0.00010000,1601452800000,
CRVUSDT,0.00010000,1601481600000,
CRVUSDT,0.00010000,1601510400000,
CRVUSDT,0.00010000,1601539200000,
CRVUSDT,0.00010000,1601568000000,
CRVUSDT,0.00010000,1601596800011,
CRVUSDT,0.00010000,1601625600000,
CRVUSDT,-0.00049063,1601654400005,
CRVUSDT,0.00010000,1601683200000,
CRVUSDT,0.00010000,1601712000001,
CRVUSDT,0.00010000,1601740800000,
CRVUSDT,0.00010000,1601769600000,
CRVUSDT,0.00010000,1601798400003,
CRVUSDT,0.00010000,1601827200001,
CRVUSDT,0.00010000,1601856000000,
CRVUSDT,0.00010000,1601884800000,
CRVUSDT,-0.00075861,1601913600012,
CRVUSDT,-0.00027247,1601942400000,
CRVUSDT,0.00000512,1601971200005,
CRVUSDT,-0.00532316,1602000000000,
CRVUSDT,-0.00750000,1602028800000,
CRVUSDT,-0.00284092,1602057600000,
CRVUSDT,-0.00267383,1602086400000,
CRVUSDT,-0.00417180,1602115200000,
CRVUSDT,-0.00473371,1602144000009,
CRVUSDT,-0.00336622,1602172800003,
CRVUSDT,-0.00074990,1602201600001,
CRVUSDT,-0.00131033,1602230400000,
CRVUSDT,0.00002626,1602259200004,
CRVUSDT,0.00010000,1602288000005,
CRVUSDT,-0.00020808,1602316800000,
CRVUSDT,-0.00085395,1602345600011,
CRVUSDT,-0.00030129,1602374400002,
CRVUSDT,-0.00151810,1602403200003,
CRVUSDT,-0.00021228,1602432000004,
CRVUSDT,-0.00060367,1602460800001,
CRVUSDT,-0.00038557,1602489600000,
CRVUSDT,-0.00024161,1602518400011,
CRVUSDT,-0.00011232,1602547200003,
CRVUSDT,0.00010000,1602576000000,
CRVUSDT,-0.00038419,1602604800001,
CRVUSDT,-0.00114461,1602633600001,
CRVUSDT,0.00010000,1602662400000,
CRVUSDT,-0.00079697,1602691200001,
CRVUSDT,-0.00240733,1602720000000,
CRVUSDT,-0.00004552,1602748800000,
CRVUSDT,-0.00125588,1602777600000,
CRVUSDT,-0.00028488,1602806400002,
CRVUSDT,-0.00038965,1602835200003,
CRVUSDT,-0.00097003,1602864000000,
CRVUSDT,-0.00227592,1602892800006,
CRVUSDT,-0.00102433,1602921600007,
CRVUSDT,-0.00232131,1602950400009,
CRVUSDT,-0.00014860,1602979200006,
CRVUSDT,-0.00016857,1603008000000,
CRVUSDT,-0.00003792,1603036800000,
CRVUSDT,0.00010000,1603065600000,
CRVUSDT,-0.00095796,1603094400000,
CRVUSDT,-0.00015110,1603123200000,
CRVUSDT,-0.00045226,1603152000015,
CRVUSDT,-0.00086044,1603180800000,
CRVUSDT,-0.00082422,1603209600008,
CRVUSDT,-0.00021910,1603238400009,
CRVUSDT,0.00010000,1603267200004,
CRVUSDT,-0.00004678,1603296000000,
CRVUSDT,-0.00024847,1603324800000,
CRVUSDT,-0.00034870,1603353600000,
CRVUSDT,0.00010000,1603382400004,
CRVUSDT,0.00010000,1603411200007,
CRVUSDT,0.00010000,1603440000000,
CRVUSDT,0.00010000,1603468800000,
CRVUSDT,0.00010000,1603497600000,
CRVUSDT,0.00008801,1603526400000,
CRVUSDT,0.00010000,1603555200008,
CRVUSDT,0.00010000,1603584000005,
CRVUSDT,-0.00124087,1603612800014,
CRVUSDT,-0.00135198,1603641600000,
CRVUSDT,-0.00155787,1603670400004,
CRVUSDT,-0.00323280,1603699200000,
CRVUSDT,-0.00494470,1603728000000,
CRVUSDT,-0.00285841,1603756800000,
CRVUSDT,-0.00052545,1603785600000,
CRVUSDT,-0.00600390,1603814400000,
CRVUSDT,-0.00750000,1603843200000,
CRVUSDT,-0.00365375,1603872000006,
CRVUSDT,-0.00571763,1603900800001,
CRVUSDT,-0.00137557,1603929600000,
CRVUSDT,-0.00223869,1603958400000,
CRVUSDT,-0.00317322,1603987200000,
CRVUSDT,-0.00055398,1604016000000,
CRVUSDT,-0.00350681,1604044800002,
CRVUSDT,-0.00078418,1604073600002,
CRVUSDT,-0.00137735,1604102400003,
CRVUSDT,-0.00060447,1604131200000,
CRVUSDT,-0.00349105,1604160000000,
CRVUSDT,-0.00602426,1604188800000,
CRVUSDT,-0.00277503,1604217600000,
CRVUSDT,-0.00126197,1604246400000,
CRVUSDT,-0.00165053,1604275200000,
CRVUSDT,-0.00075748,1604304000010,
CRVUSDT,-0.00019475,1604332800000,
CRVUSDT,-0.00144625,1604361600000,
CRVUSDT,-0.00014279,1604390400004,
CRVUSDT,-0.00107208,1604419200009,
CRVUSDT,-0.00156758,1604448000000,
CRVUSDT,-0.00313953,1604476800000,
CRVUSDT,-0.00152450,1604505600005,
CRVUSDT,-0.00043437,1604534400017,
CRVUSDT,-0.00088691,1604563200001,
CRVUSDT,-0.00056257,1604592000000,
CRVUSDT,0.00010000,1604620800000,
CRVUSDT,-0.00050515,1604649600001,
CRVUSDT,-0.00046696,1604678400001,
CRVUSDT,-0.00179327,1604707200001,
CRVUSDT,0.00010000,1604736000000,
CRVUSDT,0.00010000,1604764800006,
CRVUSDT,-0.00452830,1604793600000,
CRVUSDT,-0.00142490,1604822400000,
CRVUSDT,-0.00070501,1604851200000,
CRVUSDT,-0.00178674,1604880000007,
CRVUSDT,-0.00024034,1604908800001,
CRVUSDT,-0.00106809,1604937600002,
CRVUSDT,-0.00000194,1604966400003,
CRVUSDT,-0.00046422,1604995200011,
CRVUSDT,-0.00361145,1605024000000,
CRVUSDT,-0.00323550,1605052800000,
CRVUSDT,-0.00337709,1605081600009,
CRVUSDT,-0.00116822,1605110400003,
CRVUSDT,-0.00126915,1605139200001,
CRVUSDT,-0.00341553,1605168000001,
CRVUSDT,-0.00244303,1605196800000,
CRVUSDT,-0.00035030,1605225600000,
CRVUSDT,-0.00035428,1605254400000,
CRVUSDT,-0.00054910,1605283200000,
CRVUSDT,-0.00039498,1605312000005,
CRVUSDT,-0.00160188,1605340800004,
CRVUSDT,-0.00268692,1605369600001,
CRVUSDT,-0.00156274,1605398400001,
CRVUSDT,-0.00228119,1605427200000,
CRVUSDT,-0.00125084,1605456000003,
CRVUSDT,-0.00624767,1605484800000,
CRVUSDT,-0.00076866,1605513600010,
CRVUSDT,-0.00084763,1605542400001,
CRVUSDT,-0.00190714,1605571200002,
CRVUSDT,-0.00166606,1605600000003,
CRVUSDT,-0.00110325,1605628800003,
CRVUSDT,-0.00114480,1605657600005,
CRVUSDT,-0.00103400,1605686400006,
CRVUSDT,0.00010000,1605715200000,
CRVUSDT,-0.00044217,1605744000008,
CRVUSDT,0.00010000,1605772800000,
CRVUSDT,0.00012920,1605801600001,
CRVUSDT,0.00010000,1605830400003,
CRVUSDT,0.00010840,1605859200005,
CRVUSDT,0.00072848,1605888000000,
CRVUSDT,0.00013886,1605916800000,
CRVUSDT,0.00034848,1605945600000,
CRVUSDT,0.00230223,1605974400001,
CRVUSDT,0.00151776,1606003200005,
CRVUSDT,0.00010000,1606032000000,
CRVUSDT,0.00010000,1606060800000,
CRVUSDT,0.00142121,1606089600005,
CRVUSDT,0.00123544,1606118400000,
CRVUSDT,0.00218542,1606147200003,
CRVUSDT,0.00192883,1606176000000,
CRVUSDT,0.00248205,1606204800000,
CRVUSDT,0.00010000,1606233600005,
CRVUSDT,0.00034696,1606262400005,
CRVUSDT,0.00064885,1606291200005,
CRVUSDT,0.00196034,1606320000015,
CRVUSDT,0.00010000,1606348800012,
CRVUSDT,-0.00189546,1606377600002,
CRVUSDT,-0.00103394,1606406400001,
CRVUSDT,-0.00346103,1606435200001,
CRVUSDT,-0.00000814,1606464000000,
CRVUSDT,-0.00175497,1606492800007,
CRVUSDT,0.00010000,1606521600007,
CRVUSDT,-0.00099969,1606550400012,
CRVUSDT,0.00010000,1606579200000,
CRVUSDT,-0.00121908,1606608000007,
CRVUSDT,0.00006926,1606636800000,
CRVUSDT,0.00044594,1606665600000,
CRVUSDT,0.00024427,1606694400004,
CRVUSDT,0.00034152,1606723200007,
CRVUSDT,0.00010000,1606752000000,
CRVUSDT,0.00020893,1606780800000,
CRVUSDT,0.00044416,1606809600003,
CRVUSDT,0.00027111,1606838400000,
CRVUSDT,0.00022633,1606867200001,
CRVUSDT,0.00053878,1606896000011,
CRVUSDT,0.00050325,1606924800005,
CRVUSDT,0.00010000,1606953600001,
CRVUSDT,0.00028476,1606982400031,
CRVUSDT,0.00034013,1607011200000,
CRVUSDT,0.00015031,1607040000006,
CRVUSDT,0.00010000,1607068800009,
CRVUSDT,-0.00021274,1607097600000,
CRVUSDT,-0.00047904,1607126400000,
CRVUSDT,0.00010000,1607155200000,
CRVUSDT,-0.00008968,1607184000000,
CRVUSDT,-0.00075116,1607212800004,
CRVUSDT,-0.00033603,1607241600000,
CRVUSDT,-0.00032986,1607270400001,
CRVUSDT,0.00001762,1607299200000,
CRVUSDT,0.00010000,1607328000008,
CRVUSDT,0.00010000,1607356800000,
CRVUSDT,0.00010000,1607385600003,
CRVUSDT,0.00010000,1607414400003,
CRVUSDT,0.00010000,1607443200033,
CRVUSDT,-0.00023540,1607472000000,
CRVUSDT,0.00003183,1607500800010,
CRVUSDT,-0.00074932,1607529600000,
CRVUSDT,0.00010000,1607558400000,
CRVUSDT,0.00010000,1607587200000,
CRVUSDT,0.00010000,1607616000007,
CRVUSDT,0.00010000,1607644800000,
CRVUSDT,0.00010000,1607673600016,
CRVUSDT,0.00010000,1607702400010,
CRVUSDT,0.00010000,1607731200009,
CRVUSDT,0.00010000,1607760000002,
CRVUSDT,0.00010000,1607788800000,
CRVUSDT,0.00010000,1607817600007,
CRVUSDT,0.00010000,1607846400000,
CRVUSDT,0.00014621,1607875200000,
CRVUSDT,0.00010000,1607904000000,
CRVUSDT,0.00010000,1607932800000,
CRVUSDT,0.00010000,1607961600000,
CRVUSDT,0.00046650,1607990400006,
CRVUSDT,0.00048613,1608019200001,
CRVUSDT,0.00013437,1608048000000,
CRVUSDT,0.00027397,1608076800001,
CRVUSDT,0.00010000,1608105600000,
CRVUSDT,0.00099699,1608134400000,
CRVUSDT,0.00095465,1608163200000,
CRVUSDT,0.00084052,1608192000000,
CRVUSDT,0.00167640,1608220800011,
CRVUSDT,0.00078820,1608249600000,
CRVUSDT,0.00114097,1608278400000,
CRVUSDT,0.00050514,1608307200000,
CRVUSDT,0.00101234,1608336000000,
CRVUSDT,0.00077067,1608364800018,
CRVUSDT,0.00124997,1608393600000,
CRVUSDT,0.00019846,1608422400001,
CRVUSDT,0.00086519,1608451200011,
CRVUSDT,0.00031899,1608480000023,
CRVUSDT,0.00045838,1608508800011,
CRVUSDT,0.00064908,1608537600000,
CRVUSDT,0.00010000,1608566400000,
CRVUSDT,0.00010000,1608595200001,
CRVUSDT,0.00010000,1608624000006,
CRVUSDT,0.00010000,1608652800000,
CRVUSDT,0.00010000,1608681600000,
CRVUSDT,0.00010000,1608710400000,
CRVUSDT,0.00010000,1608739200000,
CRVUSDT,-0.00182510,1608768000012,
CRVUSDT,-0.00091986,1608796800009,
CRVUSDT,-0.00090858,1608825600001,
CRVUSDT,-0.00109038,1608854400000,
CRVUSDT,-0.00058424,1608883200000,
CRVUSDT,0.00010000,1608912000000,
CRVUSDT,0.00010000,1608940800009,
CRVUSDT,-0.00026219,1608969600001,
CRVUSDT,-0.00072065,1608998400006,
CRVUSDT,0.00010000,1609027200000,
CRVUSDT,0.00010000,1609056000000,
CRVUSDT,0.00010000,1609084800001,
CRVUSDT,0.00010000,1609113600015,
CRVUSDT,0.00010000,1609142400019,
CRVUSDT,0.00010000,1609171200000,
CRVUSDT,0.00010000,1609200000004,
CRVUSDT,-0.00005689,1609228800003,
CRVUSDT,-0.00013347,1609257600000,
CRVUSDT,-0.00027366,1609286400001,
CRVUSDT,-0.00230336,1609315200001,
CRVUSDT,-0.00263223,1609344000012,
CRVUSDT,-0.00332684,1609372800009,
CRVUSDT,-0.00019135,1609401600000,
CRVUSDT,-0.00075078,1609430400010,
CRVUSDT,-0.00220905,1609459200002,
CRVUSDT,-0.00053413,1609488000006,
CRVUSDT,-0.00163854,1609516800003,
CRVUSDT,-0.00142992,1609545600000,
CRVUSDT,-0.00180153,1609574400000,
CRVUSDT,-0.00089089,1609603200006,
CRVUSDT,-0.00060536,1609632000018,
CRVUSDT,0.00007116,1609660800000,
CRVUSDT,-0.00012711,1609689600002,
CRVUSDT,0.00010000,1609718400000,
CRVUSDT,0.00149218,1609747200000,
CRVUSDT,0.00010000,1609776000000,
CRVUSDT,0.00010000,1609804800020,
CRVUSDT,0.00010000,1609833600003,
CRVUSDT,0.00010000,1609862400003,
CRVUSDT,0.00024063,1609891200010,
CRVUSDT,0.00203069,1609920000003,
CRVUSDT,0.00208449,1609948800000,
CRVUSDT,0.00062069,1609977600007,
CRVUSDT,0.00283512,1610006400000,
CRVUSDT,0.00175410,1610035200004,
CRVUSDT,0.00052876,1610064000000,
CRVUSDT,0.00010000,1610092800000,
CRVUSDT,0.00107698,1610121600000,
CRVUSDT,0.00011087,1610150400009,
CRVUSDT,0.00035794,1610179200004,
CRVUSDT,0.00195079,1610208000000,
CRVUSDT,0.00338633,1610236800000,
CRVUSDT,0.00282315,1610265600005,
CRVUSDT,0.00072528,1610294400000,
CRVUSDT,0.00041305,1610323200000,
CRVUSDT,0.00010000,1610352000012,
CRVUSDT,0.00010000,1610380800000,
CRVUSDT,-0.00033294,1610409600000,
CRVUSDT,0.00001643,1610438400000,
CRVUSDT,-0.00032865,1610467200008,
CRVUSDT,-0.00020156,1610496000001,
CRVUSDT,-0.00007128,1610524800000,
CRVUSDT,0.00010000,1610553600003,
CRVUSDT,0.00010000,1610582400000,
CRVUSDT,0.00010000,1610611200012,
CRVUSDT,0.00010000,1610640000000,
CRVUSDT,0.00010000,1610668800002,
CRVUSDT,0.00010000,1610697600000,
CRVUSDT,0.00040864,1610726400004,
CRVUSDT,0.00010000,1610755200000,
CRVUSDT,0.00010000,1610784000008,
CRVUSDT,0.00084554,1610812800000,
CRVUSDT,0.00010000,1610841600009,
CRVUSDT,0.00010000,1610870400000,
CRVUSDT,0.00010000,1610899200001,
CRVUSDT,-0.00059844,1610928000000,
CRVUSDT,0.00010000,1610956800004,
CRVUSDT,0.00131944,1610985600000,
CRVUSDT,0.00088126,1611014400000,
CRVUSDT,0.00203953,1611043200005,
CRVUSDT,0.00219734,1611072000012,
CRVUSDT,0.00018963,1611100800012,
CRVUSDT,0.00011618,1611129600001,
CRVUSDT,0.00010000,1611158400001,
CRVUSDT,0.00010000,1611187200000,
CRVUSDT,0.00010000,1611216000000,
CRVUSDT,-0.00017671,1611244800004,
CRVUSDT,0.00010000,1611273600012,
CRVUSDT,0.00010000,1611302400003,
CRVUSDT,-0.00009316,1611331200001,
CRVUSDT,-0.00087241,1611360000000,
CRVUSDT,-0.00125687,1611388800002,
CRVUSDT,-0.00030479,1611417600000,
