symbol,funding_rate,funding_time,mark_price
DOGEUSDT,0.00010000,1594368000001,
DOGEUSDT,-0.00301393,1594396800000,
DOGEUSDT,0.00004111,1594425600000,
DOGEUSDT,0.00001285,1594454400000,
DOGEUSDT,0.00010000,1594483200000,
DOGEUSDT,0.00010000,1594512000000,
DOGEUSDT,0.00010000,1594540800000,
DOGEUSDT,0.00010000,1594569600000,
DOGEUSDT,0.00026293,1594598400000,
DOGEUSDT,0.00010000,1594627200001,
DOGEUSDT,0.00000196,1594656000000,
DOGEUSDT,-0.00070381,1594684800001,
DOGEUSDT,-0.00122571,1594713600000,
DOGEUSDT,0.00010000,1594742400000,
DOGEUSDT,0.00010000,1594771200000,
DOGEUSDT,-0.00017488,1594800000000,
DOGEUSDT,-0.00077381,1594828800000,
DOGEUSDT,-0.00004990,1594857600000,
DOGEUSDT,0.00010000,1594886400002,
DOGEUSDT,0.00010000,1594915200001,
DOGEUSDT,0.00016338,1594944000001,
DOGEUSDT,0.00010000,1594972800000,
DOGEUSDT,0.00010000,1595001600000,
DOGEUSDT,0.00010000,1595030400003,
DOGEUSDT,0.00010000,1595059200001,
DOGEUSDT,0.00010000,1595088000000,
DOGEUSDT,0.00010000,1595116800000,
DOGEUSDT,0.00010000,1595145600000,
DOGEUSDT,-0.00012246,1595174400000,
DOGEUSDT,0.00010000,1595203200000,
DOGEUSDT,0.00010000,1595232000000,
DOGEUSDT,0.00010000,1595260800001,
DOGEUSDT,-0.00014116,1595289600000,
DOGEUSDT,0.00010000,1595318400001,
DOGEUSDT,0.00010000,1595347200004,
DOGEUSDT,0.00010000,1595376000000,
DOGEUSDT,0.00010000,1595404800000,
DOGEUSDT,0.00010000,1595433600000,
DOGEUSDT,0.00010000,1595462400001,
DOGEUSDT,0.00010000,1595491200000,
DOGEUSDT,0.00010000,1595520000001,
DOGEUSDT,0.00010000,1595548800000,
DOGEUSDT,0.00010000,1595577600000,
DOGEUSDT,-0.00012831,1595606400000,
DOGEUSDT,0.00010000,1595635200000,
DOGEUSDT,0.00010000,1595664000001,
DOGEUSDT,0.00010000,1595692800000,
DOGEUSDT,0.00010000,1595721600000,
DOGEUSDT,0.00010000,1595750400000,
DOGEUSDT,0.00010000,1595779200000,
DOGEUSDT,0.00010000,1595808000000,
DOGEUSDT,0.00010000,1595836800000,
DOGEUSDT,0.00010000,1595865600000,
DOGEUSDT,0.00010000,1595894400000,
DOGEUSDT,0.00010000,1595923200001,
DOGEUSDT,0.00010000,1595952000000,
DOGEUSDT,0.00020606,1595980800000,
DOGEUSDT,0.00010000,1596009600000,
DOGEUSDT,0.00010000,1596038400000,
DOGEUSDT,0.00010000,1596067200000,
DOGEUSDT,0.00010000,1596096000001,
DOGEUSDT,0.00040705,1596124800000,
DOGEUSDT,0.00010000,1596153600000,
DOGEUSDT,0.00010000,1596182400001,
DOGEUSDT,0.00010000,1596211200000,
DOGEUSDT,0.00010000,1596240000005,
DOGEUSDT,0.00068087,1596268800000,
DOGEUSDT,0.00010000,1596297600001,
DOGEUSDT,0.00137919,1596326400000,
DOGEUSDT,0.00010000,1596355200001,
DOGEUSDT,0.00010000,1596384000001,
DOGEUSDT,0.00010000,1596412800000,
DOGEUSDT,0.00010000,1596441600001,
DOGEUSDT,0.00010000,1596470400000,
DOGEUSDT,0.00010000,1596499200003,
DOGEUSDT,0.00010000,1596528000000,
DOGEUSDT,0.00047835,1596556800000,
DOGEUSDT,0.00033250,1596585600000,
DOGEUSDT,0.00010000,1596614400000,
DOGEUSDT,0.00010000,1596643200000,
DOGEUSDT,0.00017576,1596672000000,
DOGEUSDT,0.00060956,1596700800007,
DOGEUSDT,0.00045661,1596729600000,
DOGEUSDT,0.00010000,1596758400001,
DOGEUSDT,0.00047011,1596787200000,
DOGEUSDT,0.00010000,1596816000000,
DOGEUSDT,0.00010000,1596844800000,
DOGEUSDT,0.00010000,1596873600000,
DOGEUSDT,0.00010000,1596902400000,
DOGEUSDT,0.00010000,1596931200000,
DOGEUSDT,0.00035771,1596960000000,
DOGEUSDT,0.00010000,1596988800000,
DOGEUSDT,0.00010000,1597017600001,
DOGEUSDT,0.00010000,1597046400000,
DOGEUSDT,0.00030326,1597075200001,
DOGEUSDT,0.00010000,1597104000001,
DOGEUSDT,0.00021211,1597132800000,
DOGEUSDT,0.00010000,1597161600001,
DOGEUSDT,0.00029378,1597190400000,
DOGEUSDT,0.00075149,1597219200000,
DOGEUSDT,0.00015499,1597248000000,
DOGEUSDT,0.00010000,1597276800002,
DOGEUSDT,0.00010000,1597305600000,
DOGEUSDT,0.00010000,1597334400000,
DOGEUSDT,0.00010000,1597363200000,
DOGEUSDT,0.00010000,1597392000000,
DOGEUSDT,0.00074047,1597420800000,
DOGEUSDT,0.00103786,1597449600000,
DOGEUSDT,0.00010000,1597478400001,
DOGEUSDT,0.00047135,1597507200001,
DOGEUSDT,0.00030573,1597536000000,
DOGEUSDT,0.00010000,1597564800000,
DOGEUSDT,0.00010000,1597593600000,
DOGEUSDT,0.00012587,1597622400000,
DOGEUSDT,0.00065669,1597651200000,
DOGEUSDT,0.00047078,1597680000000,
DOGEUSDT,0.00034516,1597708800001,
DOGEUSDT,0.00065254,1597737600008,
DOGEUSDT,0.00010000,1597766400000,
DOGEUSDT,0.00021476,1597795200000,
DOGEUSDT,0.00010000,1597824000000,
DOGEUSDT,0.00010000,1597852800000,
DOGEUSDT,0.00010000,1597881600001,
DOGEUSDT,0.00010000,1597910400000,
DOGEUSDT,0.00010000,1597939200000,
DOGEUSDT,0.00010000,1597968000000,
DOGEUSDT,0.00010000,1597996800000,
DOGEUSDT,0.00013282,1598025600017,
DOGEUSDT,0.00010000,1598054400000,
DOGEUSDT,0.00010000,1598083200000,
DOGEUSDT,0.00010000,1598112000000,
DOGEUSDT,0.00010000,1598140800000,
DOGEUSDT,0.00025912,1598169600000,
DOGEUSDT,0.00010000,1598198400000,
DOGEUSDT,0.00010000,1598227200006,
DOGEUSDT,0.00049988,1598256000001,
DOGEUSDT,0.00018552,1598284800000,
DOGEUSDT,0.00010000,1598313600000,
DOGEUSDT,0.00010000,1598342400000,
DOGEUSDT,0.00010000,1598371200000,
DOGEUSDT,0.00010000,1598400000000,
DOGEUSDT,-0.00015585,1598428800008,
DOGEUSDT,-0.00028052,1598457600002,
DOGEUSDT,0.00010000,1598486400000,
DOGEUSDT,0.00010000,1598515200010,
DOGEUSDT,0.00010000,1598544000000,
DOGEUSDT,0.00010000,1598572800000,
DOGEUSDT,0.00010000,1598601600001,
DOGEUSDT,0.00010000,1598630400000,
DOGEUSDT,0.00009560,1598659200002,
DOGEUSDT,0.00010000,1598688000006,
DOGEUSDT,0.00010000,1598716800003,
DOGEUSDT,0.00010000,1598745600000,
DOGEUSDT,0.00010000,1598774400000,
DOGEUSDT,0.00010000,1598803200000,
DOGEUSDT,0.00010000,1598832000000,
DOGEUSDT,0.00010000,1598860800001,
DOGEUSDT,0.00010000,1598889600001,
DOGEUSDT,0.00010000,1598918400000,
DOGEUSDT,0.00010000,1598947200000,
DOGEUSDT,0.00010000,1598976000000,
DOGEUSDT,0.00010000,1599004800000,
DOGEUSDT,0.00010000,1599033600006,
DOGEUSDT,0.00010000,1599062400000,
DOGEUSDT,0.00010000,1599091200001,
DOGEUSDT,0.00010000,1599120000004,
DOGEUSDT,0.00010000,1599148800000,
DOGEUSDT,-0.00008813,1599177600005,
DOGEUSDT,-0.00130878,1599206400000,
DOGEUSDT,0.00010000,1599235200006,
DOGEUSDT,0.00010000,1599264000000,
DOGEUSDT,0.00010000,1599292800004,
DOGEUSDT,-0.00086354,1599321600001,
DOGEUSDT,-0.00071195,1599350400004,
DOGEUSDT,-0.00073545,1599379200000,
DOGEUSDT,-0.00009537,1599408000000,
DOGEUSDT,0.00010000,1599436800002,
DOGEUSDT,0.00008700,1599465600004,
DOGEUSDT,0.00010000,1599494400001,
DOGEUSDT,0.00010000,1599523200007,
DOGEUSDT,0.00010000,1599552000006,
DOGEUSDT,0.00010000,1599580800014,
DOGEUSDT,0.00010000,1599609600000,
DOGEUSDT,0.00010000,1599638400000,
DOGEUSDT,0.00010000,1599667200000,
DOGEUSDT,0.00010000,1599696000000,
DOGEUSDT,0.00010000,1599724800005,
DOGEUSDT,0.00010000,1599753600000,
DOGEUSDT,-0.00070159,1599782400000,
DOGEUSDT,-0.00046276,1599811200008,
DOGEUSDT,-0.00041752,1599840000000,
DOGEUSDT,0.00010000,1599868800008,
DOGEUSDT,0.00010000,1599897600000,
DOGEUSDT,0.00010000,1599926400008,
DOGEUSDT,0.00010000,1599955200000,
DOGEUSDT,0.00010000,1599984000000,
DOGEUSDT,0.00010000,1600012800004,
DOGEUSDT,0.00010000,1600041600003,
DOGEUSDT,0.00010000,1600070400008,
DOGEUSDT,0.00010000,1600099200000,
DOGEUSDT,-0.00019651,1600128000000,
DOGEUSDT,0.00005076,1600156800010,
DOGEUSDT,0.00007672,1600185600003,
DOGEUSDT,-0.00165676,1600214400014,
DOGEUSDT,0.00010000,1600243200000,
DOGEUSDT,-0.00021291,1600272000001,
DOGEUSDT,0.00010000,1600300800006,
DOGEUSDT,0.00010000,1600329600012,
DOGEUSDT,0.00010000,1600358400000,
DOGEUSDT,0.00010000,1600387200001,
DOGEUSDT,0.00010000,1600416000002,
DOGEUSDT,0.00010000,1600444800002,
DOGEUSDT,0.00010000,1600473600000,
DOGEUSDT,0.00000587,1600502400005,
DOGEUSDT,-0.00004057,1600531200008,
DOGEUSDT,-0.00091049,1600560000002,
DOGEUSDT,0.00003116,1600588800005,
DOGEUSDT,0.00010000,1600617600005,
DOGEUSDT,0.00010000,1600646400000,
DOGEUSDT,0.00010000,1600675200001,
DOGEUSDT,-0.00083538,1600704000000,
DOGEUSDT,-0.00108782,1600732800001,
DOGEUSDT,-0.00067204,1600761600000,
DOGEUSDT,-0.00008134,1600790400004,
DOGEUSDT,-0.00035487,1600819200007,
DOGEUSDT,-0.00044215,1600848000001,
DOGEUSDT,-0.00038616,1600876800001,
DOGEUSDT,-0.00067262,1600905600000,
DOGEUSDT,-0.00121838,1600934400000,
DOGEUSDT,-0.00073621,1600963200000,
DOGEUSDT,0.00008416,1600992000009,
DOGEUSDT,-0.00036614,1601020800045,
DOGEUSDT,-0.00008339,1601049600000,
DOGEUSDT,-0.00102632,1601078400000,
DOGEUSDT,-0.00026216,1601107200000,
DOGEUSDT,-0.00013096,1601136000005,
DOGEUSDT,-0.00040288,1601164800000,
DOGEUSDT,-0.00074788,1601193600000,
DOGEUSDT,0.00009100,1601222400019,
DOGEUSDT,0.00010000,1601251200001,
DOGEUSDT,0.00004844,1601280000000,
DOGEUSDT,0.00010000,1601308800002,
DOGEUSDT,-0.00037903,1601337600000,
DOGEUSDT,0.00010000,1601366400000,
DOGEUSDT,-0.00013194,1601395200000,
DOGEUSDT,-0.00057077,1601424000005,
DOGEUSDT,0.00010000,1601452800000,
DOGEUSDT,0.00010000,1601481600000,
DOGEUSDT,0.00010000,1601510400000,
DOGEUSDT,-0.00038039,1601539200000,
DOGEUSDT,-0.00008745,1601568000000,
DOGEUSDT,0.00010000,1601596800011,
DOGEUSDT,-0.00010268,1601625600000,
DOGEUSDT,0.00010000,1601654400005,
DOGEUSDT,-0.00022421,1601683200000,
DOGEUSDT,0.00004336,1601712000001,
DOGEUSDT,0.00010000,1601740800000,
DOGEUSDT,-0.00015667,1601769600000,
DOGEUSDT,0.00010000,1601798400003,
DOGEUSDT,0.00000304,1601827200001,
DOGEUSDT,0.00010000,1601856000000,
DOGEUSDT,-0.00032298,1601884800000,
DOGEUSDT,-0.00012493,1601913600012,
DOGEUSDT,-0.00002740,1601942400000,
DOGEUSDT,-0.00034633,1601971200005,
DOGEUSDT,-0.00001528,1602000000000,
DOGEUSDT,-0.00008687,1602028800000,
DOGEUSDT,0.00010000,1602057600000,
DOGEUSDT,0.00010000,1602086400000,
DOGEUSDT,-0.00015541,1602115200000,
DOGEUSDT,-0.00056364,1602144000009,
DOGEUSDT,-0.00000546,1602172800003,
DOGEUSDT,0.00010000,1602201600001,
DOGEUSDT,0.00010000,1602230400000,
DOGEUSDT,0.00010000,1602259200004,
DOGEUSDT,0.00010000,1602288000005,
DOGEUSDT,-0.00029996,1602316800000,
DOGEUSDT,0.00010000,1602345600011,
DOGEUSDT,0.00010000,1602374400002,
DOGEUSDT,-0.00059079,1602403200003,
DOGEUSDT,-0.00035401,1602432000004,
DOGEUSDT,-0.00009191,1602460800001,
DOGEUSDT,0.00010000,1602489600000,
DOGEUSDT,0.00010000,1602518400011,
DOGEUSDT,0.00010000,1602547200003,
DOGEUSDT,0.00010000,1602576000000,
DOGEUSDT,0.00010000,1602604800001,
DOGEUSDT,0.00010000,1602633600001,
DOGEUSDT,0.00004338,1602662400000,
DOGEUSDT,-0.00026075,1602691200001,
DOGEUSDT,0.00010000,1602720000000,
DOGEUSDT,0.00010000,1602748800000,
DOGEUSDT,0.00010000,1602777600000,
DOGEUSDT,0.00009360,1602806400002,
DOGEUSDT,0.00010000,1602835200003,
DOGEUSDT,-0.00006838,1602864000000,
DOGEUSDT,0.00010000,1602892800006,
DOGEUSDT,0.00002226,1602921600007,
DOGEUSDT,0.00005603,1602950400009,
DOGEUSDT,0.00010000,1602979200006,
DOGEUSDT,0.00010000,1603008000000,
DOGEUSDT,0.00010000,1603036800000,
DOGEUSDT,0.00010000,1603065600000,
DOGEUSDT,0.00010000,1603094400000,
DOGEUSDT,0.00010000,1603123200000,
DOGEUSDT,0.00010000,1603152000015,
DOGEUSDT,0.00010000,1603180800000,
DOGEUSDT,-0.00038998,1603209600008,
DOGEUSDT,0.00010000,1603238400009,
DOGEUSDT,0.00010000,1603267200004,
DOGEUSDT,0.00010000,1603296000000,
DOGEUSDT,-0.00004554,1603324800000,
DOGEUSDT,0.00010000,1603353600000,
DOGEUSDT,0.00010000,1603382400004,
DOGEUSDT,0.00010000,1603411200007,
