symbol,funding_rate,funding_time,mark_price
DOTUSDT,0.00010000,1597910400000,
DOTUSDT,0.00010000,1597939200000,
DOTUSDT,0.00010000,1597968000000,
DOTUSDT,0.00010000,1597996800000,
DOTUSDT,0.00010000,1598025600017,
DOTUSDT,0.00010000,1598054400000,
DOTUSDT,0.00152252,1598083200000,
DOTUSDT,0.00059014,1598112000000,
DOTUSDT,0.00146278,1598140800000,
DOTUSDT,0.00094542,1598169600000,
DOTUSDT,0.00175345,1598198400000,
DOTUSDT,0.00100486,1598227200006,
DOTUSDT,0.00151206,1598256000001,
DOTUSDT,0.00098471,1598284800000,
DOTUSDT,0.00020789,1598313600000,
DOTUSDT,0.00094866,1598342400000,
DOTUSDT,0.00036307,1598371200000,
DOTUSDT,0.00071638,1598400000000,
DOTUSDT,0.00123278,1598428800008,
DOTUSDT,0.00087605,1598457600002,
DOTUSDT,0.00139804,1598486400000,
DOTUSDT,0.00080406,1598515200010,
DOTUSDT,0.00089898,1598544000000,
DOTUSDT,0.00040777,1598572800000,
DOTUSDT,0.00032604,1598601600001,
DOTUSDT,0.00031897,1598630400000,
DOTUSDT,0.00029340,1598659200002,
DOTUSDT,0.00123961,1598688000006,
DOTUSDT,0.00073415,1598716800003,
DOTUSDT,0.00159891,1598745600000,
DOTUSDT,0.00185894,1598774400000,
DOTUSDT,0.00191828,1598803200000,
DOTUSDT,0.00204053,1598832000000,
DOTUSDT,0.00103170,1598860800001,
DOTUSDT,0.00132406,1598889600001,
DOTUSDT,0.00080415,1598918400000,
DOTUSDT,0.00115788,1598947200000,
DOTUSDT,0.00136882,1598976000000,
DOTUSDT,0.00165512,1599004800000,
DOTUSDT,0.00062099,1599033600006,
DOTUSDT,0.00010000,1599062400000,
DOTUSDT,0.00010000,1599091200001,
DOTUSDT,0.00018917,1599120000004,
DOTUSDT,0.00012161,1599148800000,
DOTUSDT,0.00010000,1599177600005,
DOTUSDT,0.00010000,1599206400000,
DOTUSDT,0.00010000,1599235200006,
DOTUSDT,0.00010000,1599264000000,
DOTUSDT,0.00010000,1599292800004,
DOTUSDT,0.00010000,1599321600001,
DOTUSDT,0.00010000,1599350400004,
DOTUSDT,0.00010000,1599379200000,
DOTUSDT,0.00010000,1599408000000,
DOTUSDT,0.00010000,1599436800002,
DOTUSDT,0.00010000,1599465600004,
DOTUSDT,0.00010000,1599494400001,
DOTUSDT,0.00010000,1599523200007,
DOTUSDT,0.00010000,1599552000006,
DOTUSDT,0.00010000,1599580800014,
DOTUSDT,0.00010000,1599609600000,
DOTUSDT,0.00010000,1599638400000,
DOTUSDT,0.00010000,1599667200000,
DOTUSDT,0.00010000,1599696000000,
DOTUSDT,0.00010000,1599724800005,
DOTUSDT,0.00010000,1599753600000,
DOTUSDT,0.00010000,1599782400000,
DOTUSDT,0.00010000,1599811200008,
DOTUSDT,0.00010000,1599840000000,
DOTUSDT,0.00010000,1599868800008,
DOTUSDT,0.00010000,1599897600000,
DOTUSDT,0.00010000,1599926400008,
DOTUSDT,0.00010000,1599955200000,
DOTUSDT,0.00010822,1599984000000,
DOTUSDT,0.00010000,1600012800004,
DOTUSDT,0.00010000,1600041600003,
DOTUSDT,0.00019947,1600070400008,
DOTUSDT,0.00033042,1600099200000,
DOTUSDT,0.00022414,1600128000000,
DOTUSDT,0.00010000,1600156800010,
DOTUSDT,0.00010000,1600185600003,
DOTUSDT,0.00012038,1600214400014,
DOTUSDT,0.00010000,1600243200000,
DOTUSDT,0.00015451,1600272000001,
DOTUSDT,0.00010000,1600300800006,
DOTUSDT,0.00040469,1600329600012,
DOTUSDT,0.00045066,1600358400000,
DOTUSDT,0.00053804,1600387200001,
DOTUSDT,0.00061089,1600416000002,
DOTUSDT,0.00042384,1600444800002,
DOTUSDT,0.00024640,1600473600000,
DOTUSDT,0.00030378,1600502400005,
DOTUSDT,0.00029433,1600531200008,
DOTUSDT,0.00010000,1600560000002,
DOTUSDT,0.00010632,1600588800005,
DOTUSDT,0.00010000,1600617600005,
DOTUSDT,0.00010000,1600646400000,
DOTUSDT,0.00010000,1600675200001,
DOTUSDT,0.00010000,1600704000000,
DOTUSDT,0.00010000,1600732800001,
DOTUSDT,0.00010000,1600761600000,
DOTUSDT,0.00010000,1600790400004,
DOTUSDT,0.00010000,1600819200007,
DOTUSDT,0.00010000,1600848000001,
DOTUSDT,0.00010000,1600876800001,
DOTUSDT,0.00010000,1600905600000,
DOTUSDT,0.00010000,1600934400000,
DOTUSDT,0.00010000,1600963200000,
DOTUSDT,0.00010000,1600992000009,
DOTUSDT,0.00010000,1601020800045,
DOTUSDT,0.00010000,1601049600000,
DOTUSDT,0.00010000,1601078400000,
DOTUSDT,0.00010000,1601107200000,
DOTUSDT,0.00010000,1601136000005,
DOTUSDT,0.00010000,1601164800000,
DOTUSDT,0.00010000,1601193600000,
DOTUSDT,0.00010000,1601222400019,
DOTUSDT,0.00010000,1601251200001,
DOTUSDT,0.00010000,1601280000000,
DOTUSDT,0.00010000,1601308800002,
DOTUSDT,0.00010000,1601337600000,
DOTUSDT,0.00010000,1601366400000,
DOTUSDT,0.00010000,1601395200000,
DOTUSDT,0.00010000,1601424000005,
DOTUSDT,0.00010000,1601452800000,
DOTUSDT,0.00010000,1601481600000,
DOTUSDT,0.00010000,1601510400000,
DOTUSDT,0.00010000,1601539200000,
DOTUSDT,0.00010000,1601568000000,
DOTUSDT,0.00010000,1601596800011,
DOTUSDT,0.00010000,1601625600000,
DOTUSDT,0.00010000,1601654400005,
DOTUSDT,0.00010000,1601683200000,
DOTUSDT,0.00010000,1601712000001,
DOTUSDT,0.00010000,1601740800000,
DOTUSDT,0.00010000,1601769600000,
DOTUSDT,0.00006305,1601798400003,
DOTUSDT,0.00006511,1601827200001,
DOTUSDT,-0.00014911,1601856000000,
DOTUSDT,-0.00022961,1601884800000,
DOTUSDT,0.00010000,1601913600012,
DOTUSDT,0.00010000,1601942400000,
DOTUSDT,-0.00045968,1601971200005,
DOTUSDT,-0.00049631,1602000000000,
DOTUSDT,-0.00115963,1602028800000,
DOTUSDT,-0.00024144,1602057600000,
DOTUSDT,0.00010000,1602086400000,
DOTUSDT,0.00009008,1602115200000,
DOTUSDT,0.00010000,1602144000009,
DOTUSDT,0.00010000,1602172800003,
DOTUSDT,0.00010000,1602201600001,
DOTUSDT,0.00010000,1602230400000,
DOTUSDT,0.00010000,1602259200004,
DOTUSDT,0.00010000,1602288000005,
DOTUSDT,0.00010000,1602316800000,
DOTUSDT,0.00010000,1602345600011,
DOTUSDT,0.00010000,1602374400002,
DOTUSDT,0.00010000,1602403200003,
DOTUSDT,0.00010000,1602432000004,
DOTUSDT,0.00010000,1602460800001,
DOTUSDT,0.00010000,1602489600000,
DOTUSDT,0.00010000,1602518400011,
DOTUSDT,0.00010000,1602547200003,
DOTUSDT,0.00010000,1602576000000,
DOTUSDT,0.00010000,1602604800001,
DOTUSDT,0.00010000,1602633600001,
DOTUSDT,0.00010000,1602662400000,
DOTUSDT,0.00011496,1602691200001,
DOTUSDT,0.00010000,1602720000000,
DOTUSDT,0.00010000,1602748800000,
DOTUSDT,0.00010000,1602777600000,
DOTUSDT,0.00010000,1602806400002,
DOTUSDT,0.00010000,1602835200003,
DOTUSDT,0.00010000,1602864000000,
DOTUSDT,0.00010000,1602892800006,
DOTUSDT,0.00010000,1602921600007,
DOTUSDT,0.00010000,1602950400009,
DOTUSDT,0.00010000,1602979200006,
DOTUSDT,0.00010000,1603008000000,
DOTUSDT,0.00010000,1603036800000,
DOTUSDT,0.00010000,1603065600000,
DOTUSDT,0.00010000,1603094400000,
DOTUSDT,0.00010000,1603123200000,
DOTUSDT,0.00010000,1603152000015,
DOTUSDT,0.00010000,1603180800000,
DOTUSDT,0.00010000,1603209600008,
DOTUSDT,0.00010000,1603238400009,
DOTUSDT,0.00010000,1603267200004,
DOTUSDT,0.00010000,1603296000000,
DOTUSDT,0.00010000,1603324800000,
DOTUSDT,0.00010000,1603353600000,
DOTUSDT,0.00010000,1603382400004,
DOTUSDT,0.00010000,1603411200007,
DOTUSDT,0.00010000,1603440000000,
DOTUSDT,0.00028597,1603468800000,
DOTUSDT,0.00010000,1603497600000,
DOTUSDT,0.00010000,1603526400000,
DOTUSDT,0.00010000,1603555200008,
DOTUSDT,0.00010000,1603584000005,
DOTUSDT,0.00010000,1603612800014,
DOTUSDT,0.00010000,1603641600000,
DOTUSDT,0.00010000,1603670400004,
DOTUSDT,0.00010000,1603699200000,
DOTUSDT,0.00010000,1603728000000,
DOTUSDT,0.00010000,1603756800000,
DOTUSDT,0.00010000,1603785600000,
DOTUSDT,0.00010000,1603814400000,
DOTUSDT,0.00010000,1603843200000,
DOTUSDT,0.00010000,1603872000006,
DOTUSDT,0.00010000,1603900800001,
DOTUSDT,0.00010000,1603929600000,
DOTUSDT,0.00010000,1603958400000,
DOTUSDT,0.00010000,1603987200000,
DOTUSDT,0.00003564,1604016000000,
DOTUSDT,0.00010000,1604044800002,
DOTUSDT,0.00010000,1604073600002,
DOTUSDT,0.00010000,1604102400003,
DOTUSDT,0.00010000,1604131200000,
DOTUSDT,0.00010000,1604160000000,
DOTUSDT,0.00010000,1604188800000,
DOTUSDT,0.00010000,1604217600000,
DOTUSDT,0.00010000,1604246400000,
DOTUSDT,0.00010000,1604275200000,
DOTUSDT,0.00010000,1604304000010,
DOTUSDT,0.00010000,1604332800000,
DOTUSDT,0.00010000,1604361600000,
DOTUSDT,0.00010000,1604390400004,
DOTUSDT,0.00003103,1604419200009,
DOTUSDT,-0.00028869,1604448000000,
DOTUSDT,-0.00007100,1604476800000,
DOTUSDT,0.00010000,1604505600005,
DOTUSDT,0.00010000,1604534400017,
DOTUSDT,0.00010000,1604563200001,
DOTUSDT,0.00010000,1604592000000,
DOTUSDT,0.00010000,1604620800000,
DOTUSDT,0.00010000,1604649600001,
DOTUSDT,0.00010000,1604678400001,
DOTUSDT,0.00010000,1604707200001,
DOTUSDT,0.00010000,1604736000000,
DOTUSDT,0.00043192,1604764800006,
DOTUSDT,0.00010000,1604793600000,
DOTUSDT,0.00010000,1604822400000,
DOTUSDT,0.00010000,1604851200000,
DOTUSDT,0.00010000,1604880000007,
DOTUSDT,0.00010000,1604908800001,
DOTUSDT,0.00010000,1604937600002,
DOTUSDT,0.00010000,1604966400003,
DOTUSDT,0.00010000,1604995200011,
DOTUSDT,0.00010000,1605024000000,
DOTUSDT,0.00010000,1605052800000,
