symbol,funding_rate,funding_time,mark_price
ETHUSDT,0.00010000,1577836800000,
ETHUSDT,0.00007354,1577865600000,
ETHUSDT,-0.00016125,1577894400000,
ETHUSDT,0.00005047,1577923200002,
ETHUSDT,0.00010000,1577952000000,
ETHUSDT,0.00010000,1577980800000,
ETHUSDT,0.00010000,1578009600000,
ETHUSDT,0.00010000,1578038400000,
ETHUSDT,0.00010000,1578067200001,
ETHUSDT,0.00010000,1578096000000,
ETHUSDT,0.00010000,1578124800000,
ETHUSDT,0.00010000,1578153600000,
ETHUSDT,0.00010000,1578182400000,
ETHUSDT,0.00010000,1578211200000,
ETHUSDT,0.00010000,1578240000000,
ETHUSDT,0.00010000,1578268800000,
ETHUSDT,0.00010000,1578297600000,
ETHUSDT,0.00010000,1578326400000,
ETHUSDT,0.00010000,1578355200000,
ETHUSDT,0.00010000,1578384000001,
ETHUSDT,0.00010000,1578412800000,
ETHUSDT,0.00010000,1578441600000,
ETHUSDT,0.00010000,1578470400000,
ETHUSDT,0.00010000,1578499200001,
ETHUSDT,0.00010000,1578528000000,
ETHUSDT,0.00010000,1578556800000,
ETHUSDT,0.00010000,1578585600000,
ETHUSDT,0.00010000,1578614400000,
ETHUSDT,0.00010000,1578643200000,
ETHUSDT,0.00010000,1578672000000,
ETHUSDT,0.00010000,1578700800000,
ETHUSDT,0.00010000,1578729600000,
ETHUSDT,0.00010000,1578758400000,
ETHUSDT,0.00010000,1578787200000,
ETHUSDT,0.00010000,1578816000000,
ETHUSDT,0.00010000,1578844800000,
ETHUSDT,0.00010000,1578873600001,
ETHUSDT,0.00010000,1578902400000,
ETHUSDT,0.00010000,1578931200000,
ETHUSDT,0.00010000,1578960000000,
ETHUSDT,0.00010000,1578988800000,
ETHUSDT,0.00010000,1579017600001,
ETHUSDT,0.00011544,1579046400000,
ETHUSDT,0.00020223,1579075200000,
ETHUSDT,0.00031864,1579104000000,
ETHUSDT,0.00017165,1579132800000,
ETHUSDT,0.00038406,1579161600000,
ETHUSDT,0.00042240,1579190400000,
ETHUSDT,0.00018772,1579219200000,
ETHUSDT,0.00010000,1579248000000,
ETHUSDT,0.00020327,1579276800000,
ETHUSDT,0.00010000,1579305600001,
ETHUSDT,0.00010000,1579334400001,
ETHUSDT,0.00011014,1579363200000,
ETHUSDT,0.00044662,1579392000000,
ETHUSDT,0.00019851,1579420800000,
ETHUSDT,0.00023852,1579449600000,
ETHUSDT,0.00047503,1579478400000,
ETHUSDT,0.00054081,1579507200000,
ETHUSDT,0.00038562,1579536000000,
ETHUSDT,0.00021637,1579564800000,
ETHUSDT,0.00016823,1579593600000,
ETHUSDT,0.00018627,1579622400000,
ETHUSDT,0.00015350,1579651200000,
ETHUSDT,0.00010000,1579680000001,
ETHUSDT,0.00010000,1579708800000,
ETHUSDT,0.00010000,1579737600000,
ETHUSDT,0.00010000,1579766400000,
ETHUSDT,0.00021994,1579795200000,
ETHUSDT,0.00017114,1579824000000,
ETHUSDT,0.00017748,1579852800000,
ETHUSDT,0.00025923,1579881600001,
ETHUSDT,0.00010000,1579910400000,
ETHUSDT,0.00010000,1579939200000,
ETHUSDT,0.00027793,1579968000001,
ETHUSDT,0.00031959,1579996800000,
ETHUSDT,0.00026387,1580025600000,
ETHUSDT,0.00010000,1580054400000,
ETHUSDT,0.00010000,1580083200000,
ETHUSDT,0.00010000,1580112000001,
