symbol,funding_rate,funding_time,mark_price
FARTCOINUSDT,0.00013548,1734724800000,1.13433000
FARTCOINUSDT,0.00114393,1734739200000,1.05500000
FARTCOINUSDT,0.00052371,1734753600000,0.94766900
FARTCOINUSDT,0.00079655,1734768000000,0.85304943
FARTCOINUSDT,0.00005000,1734782400000,0.89090000
FARTCOINUSDT,0.00005000,1734796800001,0.84910000
FARTCOINUSDT,0.00027959,1734811200000,0.79546900
FARTCOINUSDT,0.00013454,1734825600000,0.79819044
FARTCOINUSDT,0.00042398,1734840000000,0.79130000
FARTCOINUSDT,0.00019834,1734854400000,0.80480000
FARTCOINUSDT,0.00005000,1734868800000,0.79493000
FARTCOINUSDT,0.00005000,1734883200000,0.76246483
FARTCOINUSDT,0.00005000,1734897600000,0.72520000
FARTCOINUSDT,0.00017931,1734912000000,0.69783333
FARTCOINUSDT,0.00070870,1734926400000,0.72370000
FARTCOINUSDT,0.00005000,1734940800000,0.65189756
FARTCOINUSDT,0.00011578,1734955200000,0.67610000
FARTCOINUSDT,0.00039131,1734969600001,0.61582878
FARTCOINUSDT,0.00005000,1734984000000,0.74907133
FARTCOINUSDT,0.00005000,1734998400000,0.80181000
FARTCOINUSDT,0.00005000,1735012800000,0.74320000
FARTCOINUSDT,0.00002823,1735027200000,0.78456333
FARTCOINUSDT,0.00005000,1735041600000,0.88287722
FARTCOINUSDT,-0.00010407,1735056000001,0.99119644
FARTCOINUSDT,0.00005000,1735070400000,1.08618633
FARTCOINUSDT,0.00021132,1735084800001,1.21520000
FARTCOINUSDT,0.00072878,1735099200001,1.26560122
FARTCOINUSDT,0.00038439,1735113600000,1.16457000
FARTCOINUSDT,0.00028752,1735128000000,1.16240000
FARTCOINUSDT,0.00022253,1735142400000,1.16721411
FARTCOINUSDT,0.00013101,1735156800000,1.11771078
FARTCOINUSDT,0.00023777,1735171200000,1.18843828
FARTCOINUSDT,0.00006960,1735185600001,1.14348689
FARTCOINUSDT,0.00050465,1735200000000,0.98157600
FARTCOINUSDT,0.00005000,1735214400000,0.99064333
FARTCOINUSDT,0.00005000,1735228800000,0.93910000
FARTCOINUSDT,0.00005000,1735243200001,0.91574333
FARTCOINUSDT,0.00005000,1735257600000,0.97790411
FARTCOINUSDT,0.00005000,1735272000000,0.97338822
FARTCOINUSDT,0.00005000,1735286400000,1.00925822
FARTCOINUSDT,0.00005000,1735300800000,1.13063678
FARTCOINUSDT,0.00005000,1735315200000,0.94938533
FARTCOINUSDT,-0.00006366,1735329600001,0.97960000
FARTCOINUSDT,0.00005000,1735344000001,0.87509778
FARTCOINUSDT,0.00005000,1735358400000,0.89441333
FARTCOINUSDT,0.00005000,1735372800000,0.87348333
FARTCOINUSDT,0.00006409,1735387200000,0.86354460
FARTCOINUSDT,0.00005000,1735401600000,0.86939833
FARTCOINUSDT,0.00020365,1735416000000,0.93693644
FARTCOINUSDT,0.00005000,1735430400000,0.98500000
FARTCOINUSDT,0.00005000,1735444800000,0.98180589
FARTCOINUSDT,0.00007069,1735459200000,1.02236822
FARTCOINUSDT,0.00020329,1735473600000,0.93319700
FARTCOINUSDT,0.00006664,1735488000000,0.90040000
FARTCOINUSDT,0.00005000,1735502400000,0.82522000
FARTCOINUSDT,0.00005000,1735516800000,0.86617333
FARTCOINUSDT,0.00005000,1735531200001,0.85610000
FARTCOINUSDT,0.00008989,1735545600001,0.83320000
FARTCOINUSDT,0.00005000,1735560000000,0.83124056
FARTCOINUSDT,0.00031380,1735574400000,0.79220000
FARTCOINUSDT,0.00005000,1735588800000,0.92578000
FARTCOINUSDT,0.00005000,1735603200000,0.88089500
FARTCOINUSDT,0.00015963,1735617600000,0.85954333
FARTCOINUSDT,0.00005000,1735632000000,0.83980944
FARTCOINUSDT,0.00005000,1735646400001,0.81891356
FARTCOINUSDT,0.00020810,1735660800000,1.04344378
FARTCOINUSDT,0.00015789,1735675200000,0.97287711
FARTCOINUSDT,0.00005000,1735689600015,0.93600000
FARTCOINUSDT,0.00005000,1735704000004,1.02300444
FARTCOINUSDT,0.00005000,1735718400000,1.02010000
FARTCOINUSDT,0.00005000,1735732800002,0.98534322
FARTCOINUSDT,0.00005000,1735747200001,0.94860000
FARTCOINUSDT,0.00005000,1735761600000,0.94820000
FARTCOINUSDT,0.00005000,1735776000000,0.97920000
FARTCOINUSDT,0.00034458,1735790400000,1.11550000
FARTCOINUSDT,0.00083237,1735804800006,1.24720000
FARTCOINUSDT,0.00138430,1735819200007,1.38035667
FARTCOINUSDT,0.00092896,1735833600000,1.38160000
FARTCOINUSDT,0.00089568,1735848000001,1.37376244
FARTCOINUSDT,0.00067911,1735862400000,1.33890889
FARTCOINUSDT,0.00029657,1735876800001,1.32670000
FARTCOINUSDT,0.00014927,1735891200000,1.29825689
FARTCOINUSDT,0.00019823,1735905600000,1.40490000
FARTCOINUSDT,0.00024624,1735920000000,1.56612411
FARTCOINUSDT,0.00029086,1735934400001,1.56945922
FARTCOINUSDT,0.00022265,1735948800000,1.52300000
FARTCOINUSDT,0.00025327,1735963200000,1.48901478
FARTCOINUSDT,0.00017239,1735977600000,1.44537478
FARTCOINUSDT,0.00008493,1735992000000,1.42930000
FARTCOINUSDT,0.00019606,1736006400000,1.43602933
FARTCOINUSDT,0.00010882,1736020800001,1.44425978
FARTCOINUSDT,0.00022356,1736035200000,1.42655256
FARTCOINUSDT,0.00014251,1736049600000,1.39810000
FARTCOINUSDT,0.00020436,1736064000000,1.32570878
FARTCOINUSDT,0.00021879,1736078400000,1.33640000
FARTCOINUSDT,0.00019099,1736092800000,1.29325622
FARTCOINUSDT,0.00005000,1736107200000,1.26279511
FARTCOINUSDT,0.00005000,1736121600000,1.30295411
FARTCOINUSDT,0.00005000,1736136000000,1.37387000
FARTCOINUSDT,0.00005000,1736150400001,1.33510000
FARTCOINUSDT,0.00017210,1736164800000,1.24690000
FARTCOINUSDT,0.00005000,1736179200000,1.34526444
FARTCOINUSDT,0.00014478,1736193600000,1.27310167
FARTCOINUSDT,0.00021584,1736208000000,1.16873333
FARTCOINUSDT,0.00052318,1736222400000,1.15040000
FARTCOINUSDT,0.00011559,1736236800000,1.21511256
FARTCOINUSDT,0.00026131,1736251200001,1.21688911
FARTCOINUSDT,0.00038420,1736265600008,1.15937500
FARTCOINUSDT,0.00030823,1736280000000,1.15410000
