symbol,funding_rate,funding_time,mark_price
FILUSDT,-0.00750000,1602835200003,
FILUSDT,-0.00750000,1602864000000,
FILUSDT,-0.00750000,1602892800006,
FILUSDT,-0.00750000,1602921600007,
FILUSDT,-0.00750000,1602950400009,
FILUSDT,-0.00750000,1602979200006,
FILUSDT,-0.00750000,1603008000000,
FILUSDT,-0.00750000,1603036800000,
FILUSDT,-0.00750000,1603065600000,
FILUSDT,-0.00750000,1603094400000,
FILUSDT,-0.00750000,1603123200000,
FILUSDT,-0.00750000,1603152000015,
FILUSDT,-0.00750000,1603180800000,
FILUSDT,-0.00750000,1603209600008,
FILUSDT,-0.00750000,1603238400009,
FILUSDT,-0.00750000,1603267200004,
FILUSDT,-0.00750000,1603296000000,
FILUSDT,-0.00237781,1603324800000,
FILUSDT,-0.00609826,1603353600000,
FILUSDT,-0.00353528,1603382400004,
FILUSDT,-0.00750000,1603411200007,
FILUSDT,-0.00750000,1603440000000,
FILUSDT,-0.00750000,1603468800000,
FILUSDT,-0.00750000,1603497600000,
FILUSDT,-0.00750000,1603526400000,
FILUSDT,-0.00750000,1603555200008,
FILUSDT,-0.00750000,1603584000005,
FILUSDT,-0.00750000,1603612800014,
FILUSDT,-0.00750000,1603641600000,
FILUSDT,-0.00750000,1603670400004,
FILUSDT,-0.00750000,1603699200000,
FILUSDT,-0.00750000,1603728000000,
FILUSDT,-0.00750000,1603756800000,
FILUSDT,-0.00750000,1603785600000,
FILUSDT,-0.00750000,1603814400000,
FILUSDT,-0.00750000,1603843200000,
FILUSDT,-0.00616829,1603872000006,
FILUSDT,-0.00750000,1603900800001,
FILUSDT,-0.00320528,1603929600000,
FILUSDT,-0.00342497,1603958400000,
FILUSDT,-0.00285467,1603987200000,
FILUSDT,-0.00126858,1604016000000,
FILUSDT,-0.00464884,1604044800002,
FILUSDT,-0.00207311,1604073600002,
FILUSDT,-0.00141812,1604102400003,
FILUSDT,-0.00207770,1604131200000,
FILUSDT,-0.00123738,1604160000000,
FILUSDT,-0.00245452,1604188800000,
FILUSDT,-0.00220503,1604217600000,
FILUSDT,-0.00086395,1604246400000,
FILUSDT,-0.00107061,1604275200000,
FILUSDT,-0.00147186,1604304000010,
FILUSDT,-0.00139484,1604332800000,
FILUSDT,-0.00065394,1604361600000,
FILUSDT,-0.00246570,1604390400004,
FILUSDT,-0.00076940,1604419200009,
FILUSDT,-0.00029481,1604448000000,
FILUSDT,-0.00169867,1604476800000,
FILUSDT,-0.00172025,1604505600005,
FILUSDT,-0.00083814,1604534400017,
FILUSDT,-0.00162517,1604563200001,
FILUSDT,-0.00039812,1604592000000,
FILUSDT,-0.00008301,1604620800000,
FILUSDT,-0.00037817,1604649600001,
FILUSDT,0.00010000,1604678400001,
FILUSDT,-0.00103745,1604707200001,
FILUSDT,0.00010000,1604736000000,
FILUSDT,-0.00166956,1604764800006,
FILUSDT,-0.00135191,1604793600000,
FILUSDT,-0.00015653,1604822400000,
FILUSDT,-0.00023392,1604851200000,
FILUSDT,0.00010000,1604880000007,
FILUSDT,-0.00136275,1604908800001,
FILUSDT,-0.00112241,1604937600002,
FILUSDT,-0.00327771,1604966400003,
FILUSDT,0.00018722,1604995200011,
FILUSDT,0.00010000,1605024000000,
FILUSDT,0.00010000,1605052800000,
FILUSDT,0.00010000,1605081600009,
FILUSDT,-0.00005428,1605110400003,
FILUSDT,-0.00134108,1605139200001,
FILUSDT,-0.00005696,1605168000001,
FILUSDT,-0.00074896,1605196800000,
FILUSDT,-0.00136250,1605225600000,
FILUSDT,-0.00019748,1605254400000,
FILUSDT,-0.00040062,1605283200000,
FILUSDT,-0.00029114,1605312000005,
FILUSDT,-0.00065982,1605340800004,
FILUSDT,-0.00019486,1605369600001,
FILUSDT,0.00005330,1605398400001,
FILUSDT,-0.00095711,1605427200000,
FILUSDT,0.00004344,1605456000003,
FILUSDT,-0.00132423,1605484800000,
FILUSDT,-0.00008413,1605513600010,
FILUSDT,0.00010000,1605542400001,
FILUSDT,-0.00030309,1605571200002,
FILUSDT,-0.00005353,1605600000003,
FILUSDT,-0.00137215,1605628800003,
FILUSDT,0.00010000,1605657600005,
FILUSDT,-0.00071919,1605686400006,
FILUSDT,-0.00072317,1605715200000,
FILUSDT,0.00010000,1605744000008,
FILUSDT,-0.00030286,1605772800000,
FILUSDT,-0.00053490,1605801600001,
FILUSDT,-0.00063292,1605830400003,
FILUSDT,0.00010000,1605859200005,
FILUSDT,0.00062661,1605888000000,
FILUSDT,0.00010000,1605916800000,
FILUSDT,0.00010000,1605945600000,
FILUSDT,0.00121853,1605974400001,
FILUSDT,0.00062966,1606003200005,
FILUSDT,0.00010000,1606032000000,
FILUSDT,-0.00009906,1606060800000,
FILUSDT,0.00103545,1606089600005,
FILUSDT,0.00054932,1606118400000,
FILUSDT,0.00010000,1606147200003,
FILUSDT,0.00038166,1606176000000,
FILUSDT,0.00104141,1606204800000,
FILUSDT,0.00010000,1606233600005,
FILUSDT,0.00010000,1606262400005,
