symbol,funding_rate,funding_time,mark_price
GIGGLEUSDT,0.00229427,1760011200002,97.67748424
GIGGLEUSDT,0.00242291,1760025600000,86.78000000
GIGGLEUSDT,0.00185109,1760040000010,88.36362837
GIGGLEUSDT,0.00192728,1760054400005,88.23187554
GIGGLEUSDT,0.00096884,1760068800001,82.76484236
GIGGLEUSDT,0.00105483,1760083200002,89.68259473
GIGGLEUSDT,0.00015323,1760097600004,94.46000000
GIGGLEUSDT,0.00137394,1760112000014,104.87000000
GIGGLEUSDT,0.00075442,1760126400003,122.70742432
GIGGLEUSDT,0.01141151,1760140800000,106.35440540
GIGGLEUSDT,0.00170657,1760155200000,127.85614547
GIGGLEUSDT,0.00165201,1760169600003,130.19176025
GIGGLEUSDT,0.00006334,1760184000003,121.83875484
GIGGLEUSDT,0.00131839,1760198400000,127.71935919
GIGGLEUSDT,0.00036142,1760212800001,116.60000000
GIGGLEUSDT,0.00223263,1760227200004,130.70342018
GIGGLEUSDT,0.00184096,1760241600001,143.47000000
GIGGLEUSDT,0.00101902,1760256000002,129.48880732
GIGGLEUSDT,0.00015056,1760270400001,135.17786590
GIGGLEUSDT,0.00235898,1760284800000,154.15095979
GIGGLEUSDT,0.00024777,1760299200000,150.30692399
GIGGLEUSDT,0.00031973,1760313600003,141.49379665
GIGGLEUSDT,0.00069620,1760328000000,143.66000000
GIGGLEUSDT,0.00005000,1760342400002,138.53619731
GIGGLEUSDT,0.00005000,1760356800001,131.33910646
GIGGLEUSDT,0.00044603,1760371200003,131.18000000
GIGGLEUSDT,0.00050601,1760385600002,134.49553456
GIGGLEUSDT,0.00005000,1760400000000,129.89811260
GIGGLEUSDT,0.00058101,1760414400000,126.39000000
GIGGLEUSDT,0.00038464,1760428800000,118.53306334
GIGGLEUSDT,0.00005280,1760443200000,115.28000000
GIGGLEUSDT,0.00128365,1760457600000,123.87000000
GIGGLEUSDT,0.00049663,1760472000000,128.33260916
GIGGLEUSDT,0.00016259,1760486400006,131.48000000
GIGGLEUSDT,0.00069720,1760500800001,128.06000000
GIGGLEUSDT,0.00074683,1760515200002,127.09000000
GIGGLEUSDT,0.00053274,1760529600005,125.39593245
GIGGLEUSDT,0.00008850,1760544000000,117.71000000
GIGGLEUSDT,0.00005000,1760558400004,111.47000000
GIGGLEUSDT,-0.00010221,1760572800000,103.90252188
GIGGLEUSDT,-0.00009939,1760587200000,112.96000000
GIGGLEUSDT,-0.00007222,1760601600003,117.54117297
GIGGLEUSDT,0.00018460,1760616000000,123.44000000
GIGGLEUSDT,-0.00030275,1760630400002,111.90000000
GIGGLEUSDT,0.00020517,1760644800003,111.55000000
GIGGLEUSDT,0.00143458,1760659200001,118.33000000
GIGGLEUSDT,0.00037956,1760673600001,122.15000000
GIGGLEUSDT,0.00037187,1760688000005,108.16000000
GIGGLEUSDT,0.00161052,1760702400000,119.44144576
GIGGLEUSDT,0.00148410,1760716800003,116.86230517
GIGGLEUSDT,0.00028693,1760731200004,115.87104678
GIGGLEUSDT,0.00056014,1760745600000,116.56000000
GIGGLEUSDT,0.00116114,1760760000000,118.08000000
GIGGLEUSDT,0.00077674,1760774400002,118.44496866
GIGGLEUSDT,0.00005000,1760788800007,111.73225972
GIGGLEUSDT,0.00021888,1760803200001,107.94161821
GIGGLEUSDT,0.00030271,1760817600000,114.14126316
GIGGLEUSDT,0.00056110,1760832000001,113.25670175
GIGGLEUSDT,0.00107678,1760846400000,112.97000000
GIGGLEUSDT,0.00077004,1760860800001,109.15000000
GIGGLEUSDT,0.00102983,1760875200000,111.31043734
GIGGLEUSDT,0.00148216,1760889600001,117.46709074
GIGGLEUSDT,0.00074406,1760904000000,116.87662011
GIGGLEUSDT,0.00063813,1760918400004,116.87758252
GIGGLEUSDT,0.00038363,1760932800000,117.92612136
GIGGLEUSDT,0.00086105,1760947200001,121.03251923
GIGGLEUSDT,-0.00027594,1760961600000,113.68291873
GIGGLEUSDT,0.00014654,1760976000000,129.38361008
GIGGLEUSDT,0.00078175,1760990400000,125.32037616
GIGGLEUSDT,0.00005000,1761004800009,126.08152690
GIGGLEUSDT,0.00058552,1761019200003,121.42786648
GIGGLEUSDT,0.00078374,1761033600000,129.36946665
GIGGLEUSDT,0.00005000,1761048000000,126.92759695
GIGGLEUSDT,0.00037838,1761062400000,129.80640382
GIGGLEUSDT,0.00008594,1761076800001,123.88056503
GIGGLEUSDT,0.00005000,1761091200004,117.49918062
GIGGLEUSDT,0.00035292,1761105600000,118.61638279
GIGGLEUSDT,0.00111348,1761120000000,122.93281425
GIGGLEUSDT,0.00113060,1761134400000,119.86500000
GIGGLEUSDT,0.00037763,1761148800000,115.62298345
GIGGLEUSDT,0.00061748,1761163200004,110.44595161
GIGGLEUSDT,0.00060558,1761177600000,111.23418224
GIGGLEUSDT,0.00062880,1761192000000,113.93798106
GIGGLEUSDT,0.00037649,1761206400001,114.00430012
GIGGLEUSDT,0.00020795,1761220800000,108.87459639
GIGGLEUSDT,0.00049973,1761235200004,104.90543407
GIGGLEUSDT,0.00054085,1761249600000,107.15822246
GIGGLEUSDT,0.00059395,1761264000000,110.85560132
GIGGLEUSDT,0.00005000,1761278400002,107.06000000
GIGGLEUSDT,0.00046604,1761292800000,103.92243910
GIGGLEUSDT,0.00035220,1761307200002,101.54749123
GIGGLEUSDT,0.00042755,1761321600009,90.47281524
GIGGLEUSDT,0.00016582,1761336000000,91.76000000
GIGGLEUSDT,0.00110355,1761350400000,89.65000000
GIGGLEUSDT,0.00098910,1761364800000,273.42000000
GIGGLEUSDT,0.00048465,1761379200001,221.66680217
GIGGLEUSDT,0.00009356,1761393600000,251.62088261
GIGGLEUSDT,0.00007304,1761408000001,228.28000000
GIGGLEUSDT,0.00005000,1761422400002,233.94000000
GIGGLEUSDT,0.00026843,1761436800001,234.01000000
GIGGLEUSDT,0.00035117,1761451200000,238.52000000
GIGGLEUSDT,0.00039877,1761465600001,231.51000000
GIGGLEUSDT,0.00005000,1761480000002,218.31107930
GIGGLEUSDT,0.00015281,1761494400000,213.89590749
GIGGLEUSDT,0.00005000,1761508800000,189.89000000
GIGGLEUSDT,0.00005000,1761523200000,186.50626872
GIGGLEUSDT,0.00005000,1761537600000,179.11940529
GIGGLEUSDT,0.00005000,1761552000005,188.73633847
GIGGLEUSDT,0.00005000,1761566400003,185.66791410
GIGGLEUSDT,0.00005000,1761580800000,183.90794926
GIGGLEUSDT,0.00005000,1761595200001,168.52000000
GIGGLEUSDT,0.00005000,1761609600000,170.08777093
GIGGLEUSDT,0.00005000,1761624000004,174.26529515
GIGGLEUSDT,0.00005000,1761638400000,177.82000000
GIGGLEUSDT,0.00005000,1761652800000,164.77467988
GIGGLEUSDT,0.00005000,1761667200004,162.65670925
GIGGLEUSDT,0.00005000,1761681600004,167.11000000
GIGGLEUSDT,0.00005000,1761696000004,168.07356828
GIGGLEUSDT,0.00005000,1761710400005,163.90525184
GIGGLEUSDT,0.00005000,1761724800005,148.87086957
GIGGLEUSDT,0.00005000,1761739200011,143.96268874
GIGGLEUSDT,0.00005000,1761753600000,133.62893478
GIGGLEUSDT,0.00005000,1761768000008,129.59702643
GIGGLEUSDT,0.00005000,1761782400004,130.10524229
GIGGLEUSDT,0.00005000,1761796800001,125.46217391
GIGGLEUSDT,0.00005000,1761811200008,116.58356828
GIGGLEUSDT,0.00005000,1761825600006,103.49280942
GIGGLEUSDT,0.00005000,1761840000001,104.86000000
GIGGLEUSDT,0.00005000,1761854400000,107.97269897
GIGGLEUSDT,0.00005000,1761868800000,104.66072834
GIGGLEUSDT,0.00005000,1761883200000,92.97178414
GIGGLEUSDT,0.00005000,1761897600008,97.15684348
GIGGLEUSDT,0.00005000,1761912000008,99.63000000
GIGGLEUSDT,0.00005000,1761926400007,93.16327262
GIGGLEUSDT,0.00005000,1761940800001,93.61000000
GIGGLEUSDT,0.00005000,1761955200001,95.09432792
GIGGLEUSDT,0.00005000,1761969600000,105.14530686
GIGGLEUSDT,0.00005000,1761984000000,94.72554272
GIGGLEUSDT,0.00005000,1761998400000,93.06000000
GIGGLEUSDT,0.00005000,1762012800000,88.78000000
GIGGLEUSDT,0.00005000,1762027200003,91.93328039
GIGGLEUSDT,0.00005000,1762041600007,93.47758965
GIGGLEUSDT,0.00005000,1762056000002,91.36000000
GIGGLEUSDT,0.00005000,1762070400000,91.61522984
GIGGLEUSDT,0.00005000,1762084800001,84.89902527
GIGGLEUSDT,0.00005000,1762099200001,83.65387726
GIGGLEUSDT,0.00005000,1762113600001,83.41678095
GIGGLEUSDT,0.00005000,1762128000000,84.53000000
GIGGLEUSDT,0.00005000,1762142400003,76.76000000
GIGGLEUSDT,0.00005000,1762156800010,74.19539290
GIGGLEUSDT,-0.00005544,1762171200002,59.08617381
GIGGLEUSDT,-0.00016697,1762185600000,69.29632143
GIGGLEUSDT,0.00005000,1762200000008,64.27218833
GIGGLEUSDT,0.00005000,1762214400002,59.74000000
GIGGLEUSDT,0.00005000,1762228800000,59.13716667
GIGGLEUSDT,-0.00008103,1762243200004,47.73234777
GIGGLEUSDT,-0.00108349,1762257600000,90.32006490
GIGGLEUSDT,0.00005000,1762272000000,82.35135439
GIGGLEUSDT,0.00005000,1762286400001,110.07780952
GIGGLEUSDT,0.00005000,1762300800000,106.45158454
GIGGLEUSDT,0.00005000,1762315200005,99.11955836
GIGGLEUSDT,0.00008786,1762329600000,128.80000000
GIGGLEUSDT,0.00006546,1762344000000,129.83838448
GIGGLEUSDT,0.00005000,1762358400004,175.68805054
GIGGLEUSDT,0.00039458,1762372800001,237.29440714
GIGGLEUSDT,0.00016491,1762387200001,260.16205298
GIGGLEUSDT,0.00021275,1762401600009,229.20021661
GIGGLEUSDT,0.00005000,1762416000000,223.26240417
GIGGLEUSDT,0.00005000,1762430400001,231.59000000
GIGGLEUSDT,0.00005000,1762444800001,190.34098155
GIGGLEUSDT,0.00005000,1762459200006,207.29000000
GIGGLEUSDT,0.00005000,1762473600005,210.50286282
GIGGLEUSDT,0.00005000,1762488000000,187.74000000
GIGGLEUSDT,0.00005000,1762502400003,179.83000000
GIGGLEUSDT,0.00005000,1762516800005,147.51119615
GIGGLEUSDT,0.00005000,1762531200005,163.82010714
GIGGLEUSDT,0.00005000,1762545600000,162.67933512
GIGGLEUSDT,0.00005000,1762560000011,158.40599579
GIGGLEUSDT,0.00005000,1762574400001,139.14000000
GIGGLEUSDT,0.00005000,1762588800015,129.94000000
GIGGLEUSDT,0.00005000,1762603200000,138.78000000
GIGGLEUSDT,0.00004595,1762617600001,122.76886402
GIGGLEUSDT,0.00005000,1762632000006,130.57000000
GIGGLEUSDT,0.00005000,1762646400004,127.31998304
GIGGLEUSDT,0.00001641,1762660800000,143.34000000
GIGGLEUSDT,-0.00001039,1762675200000,167.99852976
GIGGLEUSDT,-0.00139520,1762689600000,192.14000000
GIGGLEUSDT,-0.00022759,1762704000005,158.54797783
GIGGLEUSDT,-0.00055542,1762718400010,171.52000000
GIGGLEUSDT,0.00005000,1762732800000,165.71093920
GIGGLEUSDT,0.00003413,1762747200005,159.56303810
GIGGLEUSDT,-0.00057263,1762761600000,168.03000000
GIGGLEUSDT,0.00005000,1762776000003,165.82022202
GIGGLEUSDT,0.00002702,1762790400003,153.49432560
GIGGLEUSDT,0.00004717,1762804800000,154.89406758
GIGGLEUSDT,0.00005000,1762819200007,157.02084176
GIGGLEUSDT,0.00005000,1762833600003,162.96000000
GIGGLEUSDT,0.00005000,1762848000000,152.83092857
GIGGLEUSDT,0.00005000,1762862400002,155.36753791
GIGGLEUSDT,0.00005000,1762876800009,169.05949076
GIGGLEUSDT,0.00005000,1762891200000,157.19583929
GIGGLEUSDT,0.00005000,1762905600000,153.66406845
GIGGLEUSDT,0.00005000,1762920000000,156.34000000
GIGGLEUSDT,0.00005000,1762934400002,165.85748988
GIGGLEUSDT,0.00005000,1762948800000,164.32000000
GIGGLEUSDT,0.00005000,1762963200000,169.28785714
GIGGLEUSDT,0.00004590,1762977600001,173.28000000
GIGGLEUSDT,0.00005000,1762992000002,167.47911310
GIGGLEUSDT,0.00000160,1763006400000,165.64000000
GIGGLEUSDT,0.00005000,1763020800000,171.12311372
GIGGLEUSDT,0.00005000,1763035200001,167.93000000
GIGGLEUSDT,0.00000830,1763049600001,156.80444043
GIGGLEUSDT,0.00005000,1763064000004,149.43000000
GIGGLEUSDT,0.00005000,1763078400000,153.17000000
GIGGLEUSDT,0.00005000,1763092800000,148.00000000
GIGGLEUSDT,0.00005000,1763107200000,146.21814107
GIGGLEUSDT,0.00005000,1763121600001,141.57361673
GIGGLEUSDT,0.00001524,1763136000001,144.29447834
GIGGLEUSDT,0.00000351,1763150400000,145.84051564
GIGGLEUSDT,0.00005000,1763164800005,141.71000000
GIGGLEUSDT,0.00001919,1763179200015,143.11000000
GIGGLEUSDT,0.00004369,1763193600000,143.82000000
GIGGLEUSDT,0.00004443,1763208000008,147.99042118
GIGGLEUSDT,0.00000923,1763222400001,145.52000000
GIGGLEUSDT,0.00000757,1763236800003,144.43053309
GIGGLEUSDT,0.00005000,1763251200001,143.89176053
GIGGLEUSDT,0.00005000,1763265600003,144.28000000
GIGGLEUSDT,0.00001838,1763280000000,143.28000000
GIGGLEUSDT,0.00005000,1763294400003,138.23000000
GIGGLEUSDT,0.00003612,1763308800000,135.08000000
GIGGLEUSDT,0.00005000,1763323200000,128.62000000
GIGGLEUSDT,0.00005000,1763337600003,131.19190313
GIGGLEUSDT,0.00002953,1763352000001,132.17000000
GIGGLEUSDT,0.00005000,1763366400003,131.55000000
GIGGLEUSDT,0.00005000,1763380800000,134.21154753
GIGGLEUSDT,0.00005000,1763395200000,133.15166065
GIGGLEUSDT,0.00005000,1763409600003,134.39540132
GIGGLEUSDT,0.00005000,1763424000002,131.12827557
GIGGLEUSDT,0.00005000,1763438400000,137.09106498
GIGGLEUSDT,0.00005000,1763452800004,140.15250963
GIGGLEUSDT,0.00005000,1763467200000,134.21000000
GIGGLEUSDT,0.00004635,1763481600000,135.49000000
GIGGLEUSDT,0.00005000,1763496000002,135.88689049
GIGGLEUSDT,0.00005000,1763510400000,139.98000000
GIGGLEUSDT,0.00005000,1763524800000,136.85000000
GIGGLEUSDT,0.00005000,1763539200000,135.87000000
GIGGLEUSDT,0.00005000,1763553600000,138.87132130
GIGGLEUSDT,0.00005000,1763568000008,132.78000000
GIGGLEUSDT,0.00001210,1763582400000,122.21098676
GIGGLEUSDT,0.00000644,1763596800000,130.58000000
GIGGLEUSDT,0.00005000,1763611200006,129.04000000
GIGGLEUSDT,0.00005000,1763625600000,129.05491637
GIGGLEUSDT,0.00005000,1763640000003,125.64900903
GIGGLEUSDT,0.00002097,1763654400000,120.39000000
GIGGLEUSDT,0.00005000,1763668800002,111.29000000
GIGGLEUSDT,0.00000522,1763683200001,113.06000000
GIGGLEUSDT,0.00002335,1763697600000,114.50009085
