symbol,funding_rate,funding_time,mark_price
GUNUSDT,-0.00055867,1743436800000,0.10000000
GUNUSDT,-0.00012218,1743451200000,0.08740000
GUNUSDT,0.00005000,1743465600000,0.07743199
GUNUSDT,0.00005000,1743480000001,0.08020903
GUNUSDT,0.00005000,1743494400001,0.07420000
GUNUSDT,0.00005000,1743508800000,0.06725502
GUNUSDT,0.00005000,1743523200000,0.06556599
GUNUSDT,0.00005000,1743537600003,0.05914164
GUNUSDT,0.00005000,1743552000001,0.06305063
GUNUSDT,0.00005000,1743566400001,0.05573046
GUNUSDT,0.00005000,1743580800000,0.05895587
GUNUSDT,0.00005000,1743595200002,0.05706364
GUNUSDT,0.00005000,1743609600000,0.05238877
GUNUSDT,0.00005000,1743624000000,0.05603706
GUNUSDT,0.00005000,1743638400000,0.05291872
GUNUSDT,-0.00034082,1743652800000,0.05363593
GUNUSDT,0.00005000,1743667200000,0.04996832
GUNUSDT,-0.00007010,1743681600000,0.04517938
GUNUSDT,-0.00058931,1743696000000,0.04590000
GUNUSDT,-0.00073688,1743710400000,0.04548767
GUNUSDT,0.00005000,1743724800000,0.04410827
GUNUSDT,0.00005000,1743739200000,0.04266518
GUNUSDT,0.00005000,1743753600000,0.04365459
GUNUSDT,-0.00031299,1743768000000,0.04362907
GUNUSDT,-0.00032356,1743782400000,0.04290000
GUNUSDT,-0.00040983,1743796800001,0.04140000
GUNUSDT,-0.00086025,1743811200000,0.04150200
GUNUSDT,-0.00090933,1743825600000,0.04290000
GUNUSDT,-0.00032291,1743840000000,0.04420089
GUNUSDT,-0.00033295,1743854400000,0.04380000
GUNUSDT,-0.00113424,1743868800000,0.04543026
GUNUSDT,-0.00390073,1743883200000,0.05930000
GUNUSDT,-0.00173818,1743897600000,0.05590000
GUNUSDT,-0.00212433,1743912000000,0.05950000
GUNUSDT,-0.00608756,1743926400000,0.06754595
GUNUSDT,-0.00143505,1743940800001,0.05811836
GUNUSDT,-0.00110376,1743955200002,0.05790000
GUNUSDT,-0.00007905,1743969600001,0.05558827
GUNUSDT,-0.00007146,1743984000000,0.05700000
GUNUSDT,-0.00064989,1743998400000,0.04920000
GUNUSDT,-0.00010781,1744012800000,0.04962446
GUNUSDT,-0.00032285,1744027200000,0.04823030
GUNUSDT,-0.00003011,1744041600000,0.05033307
GUNUSDT,-0.00029063,1744056000000,0.05440000
GUNUSDT,0.00005000,1744070400000,0.05335703
GUNUSDT,-0.00006830,1744084800000,0.05086398
GUNUSDT,-0.00050146,1744099200000,0.04691171
GUNUSDT,-0.00061378,1744113600000,0.04583848
GUNUSDT,-0.00078006,1744128000000,0.04286287
GUNUSDT,-0.00040405,1744142400000,0.04262711
GUNUSDT,-0.00081894,1744156800000,0.04310000
GUNUSDT,-0.00010721,1744171200000,0.04356337
GUNUSDT,-0.00045336,1744185600001,0.04300000
GUNUSDT,-0.00048708,1744200000000,0.04338796
GUNUSDT,-0.00067142,1744214400000,0.04625500
GUNUSDT,-0.00052807,1744228800000,0.05096545
GUNUSDT,0.00005000,1744243200000,0.05050000
GUNUSDT,0.00003417,1744257600000,0.04978986
GUNUSDT,-0.00023225,1744272000000,0.04630000
GUNUSDT,0.00005000,1744286400000,0.04454185
GUNUSDT,0.00005000,1744300800000,0.04330000
GUNUSDT,-0.00020016,1744315200000,0.04330000
GUNUSDT,-0.00050731,1744329600001,0.04253642
GUNUSDT,-0.00036065,1744344000001,0.04350000
GUNUSDT,-0.00091695,1744358400000,0.04294514
GUNUSDT,-0.00103045,1744372800000,0.04590000
GUNUSDT,-0.00032659,1744387200000,0.05198338
GUNUSDT,0.00005000,1744401600001,0.05401169
GUNUSDT,0.00005000,1744416000000,0.05490928
GUNUSDT,0.00005000,1744430400000,0.05414603
GUNUSDT,-0.00013192,1744444800001,0.05250000
GUNUSDT,-0.00127520,1744459200001,0.04808724
GUNUSDT,-0.00071484,1744473600000,0.05540801
GUNUSDT,0.00005000,1744488000000,0.05535243
GUNUSDT,0.00005000,1744502400000,0.05576048
GUNUSDT,0.00000208,1744516800000,0.05513287
GUNUSDT,0.00005000,1744531200000,0.05177458
GUNUSDT,-0.00021483,1744545600000,0.05090000
GUNUSDT,-0.00032326,1744560000000,0.05432563
GUNUSDT,0.00005000,1744574400000,0.05468170
GUNUSDT,0.00005000,1744588800000,0.05236567
GUNUSDT,0.00005000,1744603200000,0.05200000
GUNUSDT,-0.00012137,1744617600000,0.05640000
GUNUSDT,-0.00001012,1744632000002,0.05195988
GUNUSDT,0.00005000,1744646400000,0.05034989
GUNUSDT,0.00005000,1744660800000,0.05030000
GUNUSDT,-0.00013624,1744675200000,0.04868007
GUNUSDT,-0.00043852,1744689600001,0.04800000
GUNUSDT,-0.00014149,1744704000000,0.04917357
GUNUSDT,-0.00121845,1744718400000,0.04683923
GUNUSDT,0.00003710,1744732800001,0.04818483
GUNUSDT,0.00005000,1744747200000,0.04618365
GUNUSDT,0.00005000,1744761600000,0.04636484
GUNUSDT,-0.00083440,1744776000000,0.04905444
GUNUSDT,0.00005000,1744790400000,0.04880562
GUNUSDT,0.00002134,1744804800000,0.04950000
GUNUSDT,0.00003153,1744819200000,0.04960000
GUNUSDT,-0.00016428,1744833600000,0.04995531
GUNUSDT,-0.00039187,1744848000001,0.04980000
GUNUSDT,-0.00033944,1744862400000,0.05079909
GUNUSDT,-0.00042286,1744876800000,0.05189353
GUNUSDT,-0.00166296,1744891200000,0.04806000
GUNUSDT,-0.00088102,1744905600001,0.05398115
GUNUSDT,0.00005000,1744920000001,0.05239173
GUNUSDT,-0.00110886,1744934400000,0.04925266
GUNUSDT,-0.00164721,1744948800000,0.05112114
GUNUSDT,-0.00028943,1744963200000,0.04913437
GUNUSDT,-0.00072820,1744977600000,0.04837000
GUNUSDT,-0.00056114,1744992000000,0.04749199
GUNUSDT,-0.00157938,1745006400000,0.04684680
GUNUSDT,-0.00106877,1745020800000,0.04710000
GUNUSDT,-0.00065842,1745035200000,0.04762000
GUNUSDT,-0.00085331,1745049600000,0.04618903
GUNUSDT,-0.00040987,1745064000000,0.04915296
GUNUSDT,-0.00011308,1745078400000,0.05104000
