symbol,funding_rate,funding_time,mark_price
HUMAUSDT,-0.00265214,1748275200002,0.07164110
HUMAUSDT,-0.00091351,1748289600000,0.06721600
HUMAUSDT,-0.00073592,1748304000003,0.06697229
HUMAUSDT,-0.00034410,1748318400000,0.06257923
HUMAUSDT,-0.00010429,1748332800001,0.06382115
HUMAUSDT,-0.00001196,1748347200005,0.06226700
HUMAUSDT,-0.00005858,1748361600005,0.05985710
HUMAUSDT,-0.00042504,1748376000005,0.05818493
HUMAUSDT,0.00005000,1748390400002,0.05923273
HUMAUSDT,-0.00002721,1748404800010,0.05803900
HUMAUSDT,-0.00024169,1748419200003,0.05483620
HUMAUSDT,0.00005000,1748433600000,0.05532400
HUMAUSDT,0.00005000,1748448000002,0.05340400
HUMAUSDT,0.00005000,1748462400000,0.05102300
HUMAUSDT,0.00005000,1748476800000,0.05203000
HUMAUSDT,0.00004980,1748491200000,0.05340923
HUMAUSDT,0.00003725,1748505600006,0.05458700
HUMAUSDT,0.00005000,1748520000001,0.05318000
HUMAUSDT,0.00005000,1748534400000,0.05260532
HUMAUSDT,0.00005000,1748548800010,0.05394900
HUMAUSDT,0.00005000,1748563200003,0.05149099
HUMAUSDT,0.00002898,1748577600000,0.04784100
HUMAUSDT,0.00005000,1748592000003,0.04531900
HUMAUSDT,0.00005000,1748606400006,0.04463001
HUMAUSDT,0.00005000,1748620800000,0.04513954
HUMAUSDT,0.00005000,1748635200005,0.04364300
HUMAUSDT,0.00004037,1748649600000,0.03824800
HUMAUSDT,0.00005000,1748664000004,0.03725828
HUMAUSDT,0.00002021,1748678400000,0.03770600
HUMAUSDT,-0.00004362,1748692800000,0.03576117
HUMAUSDT,-0.00004958,1748707200000,0.03657100
HUMAUSDT,0.00005000,1748721600004,0.03687862
HUMAUSDT,-0.00002740,1748736000001,0.03711507
HUMAUSDT,0.00000451,1748750400001,0.03709600
HUMAUSDT,0.00000090,1748764800002,0.03712600
HUMAUSDT,0.00005000,1748779200008,0.03656934
HUMAUSDT,0.00005000,1748793600000,0.03805800
HUMAUSDT,0.00005000,1748808000003,0.03714866
HUMAUSDT,0.00005000,1748822400001,0.03689900
HUMAUSDT,-0.00007013,1748836800004,0.03698879
HUMAUSDT,0.00005000,1748851200000,0.03845594
HUMAUSDT,-0.00038991,1748865600002,0.03824300
HUMAUSDT,0.00005000,1748880000000,0.03970568
HUMAUSDT,-0.00005481,1748894400002,0.03905500
HUMAUSDT,-0.00000387,1748908800000,0.03912700
HUMAUSDT,-0.00018640,1748923200001,0.04179250
HUMAUSDT,-0.00062137,1748937600000,0.04164207
HUMAUSDT,-0.00018126,1748952000000,0.04210091
HUMAUSDT,0.00005000,1748966400001,0.04198000
HUMAUSDT,0.00005000,1748980800000,0.04209401
HUMAUSDT,0.00005000,1748995200000,0.04146534
HUMAUSDT,0.00005000,1749009600001,0.04173204
HUMAUSDT,0.00005000,1749024000000,0.03961300
HUMAUSDT,-0.00008554,1749038400000,0.03966400
HUMAUSDT,0.00005000,1749052800000,0.03987897
HUMAUSDT,0.00005000,1749067200001,0.03823884
HUMAUSDT,0.00004259,1749081600016,0.03781098
HUMAUSDT,0.00005000,1749096000001,0.03865776
HUMAUSDT,0.00005000,1749110400000,0.03799478
HUMAUSDT,0.00005000,1749124800003,0.03895200
HUMAUSDT,-0.00005731,1749139200000,0.04211109
HUMAUSDT,0.00005000,1749153600002,0.04056391
HUMAUSDT,-0.00009364,1749168000002,0.04122400
HUMAUSDT,-0.00007201,1749182400000,0.04155002
HUMAUSDT,-0.00019285,1749196800000,0.04272448
HUMAUSDT,-0.00130585,1749211200002,0.04563364
HUMAUSDT,0.00005000,1749225600006,0.04460547
HUMAUSDT,-0.00019869,1749240000000,0.04822400
HUMAUSDT,-0.00108342,1749254400000,0.05004100
HUMAUSDT,-0.00084293,1749268800000,0.05028200
HUMAUSDT,-0.00007689,1749283200000,0.05210636
HUMAUSDT,0.00002039,1749297600000,0.05278610
HUMAUSDT,-0.00077309,1749312000002,0.05428900
HUMAUSDT,-0.00064907,1749326400002,0.05428000
HUMAUSDT,-0.00025171,1749340800000,0.05521949
HUMAUSDT,0.00005000,1749355200000,0.05355100
HUMAUSDT,0.00004902,1749369600000,0.05128800
HUMAUSDT,-0.00066084,1749384000020,0.05070519
HUMAUSDT,-0.00209109,1749398400000,0.05388900
HUMAUSDT,-0.00056329,1749412800001,0.05286000
HUMAUSDT,-0.00004583,1749427200000,0.05291382
HUMAUSDT,-0.00026308,1749441600003,0.05062541
HUMAUSDT,-0.00051555,1749456000001,0.04926600
HUMAUSDT,-0.00040969,1749470400000,0.05066886
HUMAUSDT,-0.00023918,1749484800001,0.05011665
HUMAUSDT,0.00000977,1749499200012,0.04992348
HUMAUSDT,0.00005000,1749513600000,0.05089747
HUMAUSDT,-0.00020705,1749528000000,0.05112000
HUMAUSDT,-0.00077454,1749542400001,0.05441000
HUMAUSDT,0.00004259,1749556800005,0.05226852
HUMAUSDT,0.00005000,1749571200003,0.05045592
HUMAUSDT,-0.00006980,1749585600010,0.04949766
HUMAUSDT,-0.00015260,1749600000000,0.04850700
HUMAUSDT,-0.00033441,1749614400006,0.04736093
HUMAUSDT,-0.00033605,1749628800000,0.04714100
HUMAUSDT,-0.00059814,1749643200007,0.04907400
HUMAUSDT,-0.00014783,1749657600010,0.04818200
HUMAUSDT,-0.00004104,1749672000012,0.04649500
HUMAUSDT,-0.00005458,1749686400002,0.04658000
HUMAUSDT,0.00003461,1749700800000,0.04634900
HUMAUSDT,-0.00001734,1749715200003,0.04549107
HUMAUSDT,0.00005000,1749729600001,0.04559900
HUMAUSDT,0.00004445,1749744000001,0.04427556
HUMAUSDT,0.00005000,1749758400003,0.04218700
HUMAUSDT,-0.00013696,1749772800000,0.04041725
HUMAUSDT,0.00001321,1749787200002,0.03895899
HUMAUSDT,0.00004396,1749801600001,0.03863096
HUMAUSDT,0.00005000,1749816000000,0.03827200
HUMAUSDT,0.00005000,1749830400004,0.03918740
