symbol,funding_rate,funding_time,mark_price
LTCUSDT,0.00010000,1578556800000,
LTCUSDT,0.00010000,1578585600000,
LTCUSDT,0.00010000,1578614400000,
LTCUSDT,-0.00016501,1578643200000,
LTCUSDT,0.00010000,1578672000000,
LTCUSDT,-0.00008340,1578700800000,
LTCUSDT,0.00010000,1578729600000,
LTCUSDT,0.00030815,1578758400000,
LTCUSDT,0.00009409,1578787200000,
LTCUSDT,0.00010000,1578816000000,
LTCUSDT,0.00010000,1578844800000,
LTCUSDT,0.00010000,1578873600001,
LTCUSDT,0.00010000,1578902400000,
LTCUSDT,0.00010000,1578931200000,
LTCUSDT,0.00010000,1578960000000,
LTCUSDT,0.00010000,1578988800000,
LTCUSDT,0.00010000,1579017600001,
LTCUSDT,0.00061688,1579046400000,
LTCUSDT,0.00038757,1579075200000,
LTCUSDT,0.00019672,1579104000000,
LTCUSDT,0.00010000,1579132800000,
LTCUSDT,0.00010000,1579161600000,
LTCUSDT,0.00010000,1579190400000,
LTCUSDT,0.00038011,1579219200000,
LTCUSDT,0.00089497,1579248000000,
LTCUSDT,0.00062640,1579276800000,
LTCUSDT,0.00072004,1579305600001,
LTCUSDT,0.00070400,1579334400001,
LTCUSDT,0.00086863,1579363200000,
LTCUSDT,0.00031874,1579392000000,
LTCUSDT,0.00043069,1579420800000,
LTCUSDT,0.00010000,1579449600000,
LTCUSDT,0.00010000,1579478400000,
LTCUSDT,0.00010000,1579507200000,
LTCUSDT,0.00010000,1579536000000,
LTCUSDT,0.00010000,1579564800000,
LTCUSDT,0.00010000,1579593600000,
LTCUSDT,0.00000000,1579622400000,
LTCUSDT,0.00000000,1579651200000,
LTCUSDT,0.00000000,1579680000001,
LTCUSDT,0.00005852,1579708800000,
LTCUSDT,0.00000000,1579737600000,
LTCUSDT,0.00000000,1579766400000,
LTCUSDT,0.00000000,1579795200000,
LTCUSDT,0.00050623,1579824000000,
LTCUSDT,0.00000000,1579852800000,
LTCUSDT,0.00021518,1579881600001,
LTCUSDT,0.00000000,1579910400000,
LTCUSDT,0.00032998,1579939200000,
LTCUSDT,0.00003385,1579968000001,
LTCUSDT,0.00000000,1579996800000,
LTCUSDT,0.00000000,1580025600000,
LTCUSDT,0.00047684,1580054400000,
LTCUSDT,0.00037236,1580083200000,
LTCUSDT,0.00000000,1580112000001,
LTCUSDT,0.00000000,1580140800000,
LTCUSDT,0.00000000,1580169600000,
LTCUSDT,0.00000000,1580198400000,
LTCUSDT,0.00000000,1580227200000,
LTCUSDT,0.00047398,1580256000001,
LTCUSDT,0.00031957,1580284800000,
LTCUSDT,0.00018885,1580313600002,
LTCUSDT,0.00064070,1580342400000,
LTCUSDT,0.00038925,1580371200000,
LTCUSDT,0.00020806,1580400000000,
LTCUSDT,0.00034859,1580428800000,
LTCUSDT,0.00043136,1580457600000,
LTCUSDT,0.00035987,1580486400000,
LTCUSDT,0.00004512,1580515200000,
LTCUSDT,0.00000000,1580544000000,
LTCUSDT,0.00000000,1580572800000,
LTCUSDT,0.00000000,1580601600000,
LTCUSDT,0.00034305,1580630400000,
LTCUSDT,0.00024822,1580659200000,
LTCUSDT,0.00010603,1580688000000,
LTCUSDT,0.00026918,1580716800000,
LTCUSDT,0.00066319,1580745600000,
LTCUSDT,0.00033326,1580774400000,
LTCUSDT,0.00060785,1580803200001,
LTCUSDT,0.00091288,1580832000000,
LTCUSDT,0.00083890,1580860800002,
LTCUSDT,0.00058266,1580889600000,
LTCUSDT,0.00037833,1580918400000,
LTCUSDT,0.00062993,1580947200000,
LTCUSDT,0.00079581,1580976000000,
LTCUSDT,0.00038130,1581004800000,
LTCUSDT,0.00022691,1581033600000,
LTCUSDT,0.00044607,1581062400000,
LTCUSDT,0.00067636,1581091200001,
LTCUSDT,0.00067884,1581120000000,
LTCUSDT,0.00043124,1581148800000,
LTCUSDT,0.00060968,1581177600000,
LTCUSDT,0.00084067,1581206400000,
LTCUSDT,0.00085242,1581235200000,
LTCUSDT,0.00137143,1581264000000,
LTCUSDT,0.00107550,1581292800000,
LTCUSDT,0.00124711,1581321600000,
LTCUSDT,0.00257734,1581350400009,
LTCUSDT,0.00114991,1581379200000,
LTCUSDT,0.00071154,1581408000000,
LTCUSDT,0.00089628,1581436800000,
LTCUSDT,0.00261646,1581465600000,
LTCUSDT,0.00380638,1581494400001,
LTCUSDT,0.00177824,1581523200000,
LTCUSDT,0.00186684,1581552000001,
LTCUSDT,0.00208011,1581580800000,
LTCUSDT,0.00121200,1581609600000,
LTCUSDT,0.00111041,1581638400000,
LTCUSDT,0.00137557,1581667200000,
LTCUSDT,0.00112572,1581696000000,
LTCUSDT,0.00232886,1581724800000,
LTCUSDT,0.00119330,1581753600000,
LTCUSDT,0.00156575,1581782400000,
LTCUSDT,0.00077213,1581811200000,
LTCUSDT,0.00059134,1581840000000,
LTCUSDT,0.00044673,1581868800000,
LTCUSDT,0.00012864,1581897600000,
LTCUSDT,0.00042877,1581926400000,
LTCUSDT,0.00087128,1581955200000,
LTCUSDT,0.00089338,1581984000000,
LTCUSDT,0.00075242,1582012800000,
LTCUSDT,0.00040888,1582041600000,
LTCUSDT,0.00035974,1582070400000,
LTCUSDT,0.00114557,1582099200001,
LTCUSDT,0.00100893,1582128000000,
LTCUSDT,0.00044646,1582156800004,
LTCUSDT,0.00010345,1582185600000,
LTCUSDT,0.00023802,1582214400000,
LTCUSDT,0.00006182,1582243200000,
LTCUSDT,0.00000000,1582272000000,
LTCUSDT,0.00007988,1582300800000,
LTCUSDT,0.00021740,1582329600000,
LTCUSDT,0.00000000,1582358400001,
LTCUSDT,0.00000000,1582387200000,
LTCUSDT,0.00000000,1582416000000,
LTCUSDT,0.00000000,1582444800000,
LTCUSDT,0.00000000,1582473600000,
LTCUSDT,0.00001369,1582502400015,
LTCUSDT,0.00074132,1582531200000,
LTCUSDT,0.00054680,1582560000000,
LTCUSDT,0.00036702,1582588800001,
LTCUSDT,0.00027615,1582617600000,
LTCUSDT,0.00051432,1582646400001,
LTCUSDT,0.00021345,1582675200000,
LTCUSDT,0.00001300,1582704000001,
LTCUSDT,0.00014046,1582732800000,
LTCUSDT,0.00000000,1582761600001,
LTCUSDT,0.00000000,1582790400001,
LTCUSDT,0.00000000,1582819200000,
LTCUSDT,0.00017859,1582848000000,
LTCUSDT,0.00024069,1582876800000,
LTCUSDT,0.00000000,1582905600000,
LTCUSDT,0.00001030,1582934400000,
LTCUSDT,0.00019322,1582963200000,
LTCUSDT,0.00019450,1582992000000,
LTCUSDT,0.00007028,1583020800000,
LTCUSDT,0.00005268,1583049600000,
LTCUSDT,0.00064455,1583078400001,
LTCUSDT,0.00008340,1583107200000,
LTCUSDT,0.00027295,1583136000000,
LTCUSDT,0.00019238,1583164800004,
LTCUSDT,0.00018696,1583193600000,
LTCUSDT,0.00017006,1583222400003,
LTCUSDT,0.00011977,1583251200000,
LTCUSDT,0.00007458,1583280000002,
LTCUSDT,0.00033646,1583308800000,
LTCUSDT,0.00030938,1583337600001,
LTCUSDT,0.00007628,1583366400000,
LTCUSDT,0.00036266,1583395200000,
LTCUSDT,0.00044170,1583424000000,
LTCUSDT,0.00018252,1583452800003,
LTCUSDT,0.00046643,1583481600000,
LTCUSDT,0.00045990,1583510400000,
LTCUSDT,0.00051075,1583539200000,
LTCUSDT,0.00047273,1583568000001,
LTCUSDT,0.00055764,1583596800000,
LTCUSDT,0.00028872,1583625600001,
LTCUSDT,0.00031618,1583654400000,
LTCUSDT,0.00026588,1583683200006,
LTCUSDT,0.00000000,1583712000000,
LTCUSDT,0.00000000,1583740800000,
LTCUSDT,0.00018345,1583769600000,
LTCUSDT,0.00008665,1583798400000,
LTCUSDT,0.00000000,1583827200000,
LTCUSDT,0.00000000,1583856000000,
LTCUSDT,0.00000000,1583884800001,
LTCUSDT,0.00007912,1583913600000,
LTCUSDT,0.00018760,1583942400000,
LTCUSDT,0.00000000,1583971200001,
LTCUSDT,0.00036905,1584000000001,
LTCUSDT,-0.00029357,1584028800000,
LTCUSDT,0.00000000,1584057600000,
LTCUSDT,-0.00120210,1584086400000,
LTCUSDT,-0.00200203,1584115200002,
LTCUSDT,-0.00002385,1584144000000,
LTCUSDT,0.00000000,1584172800001,
LTCUSDT,0.00000000,1584201600000,
LTCUSDT,0.00000000,1584230400000,
LTCUSDT,0.00000000,1584259200000,
LTCUSDT,0.00000000,1584288000001,
LTCUSDT,0.00000000,1584316800000,
LTCUSDT,0.00000000,1584345600000,
LTCUSDT,0.00000000,1584374400001,
LTCUSDT,0.00000000,1584403200000,
LTCUSDT,0.00000000,1584432000000,
LTCUSDT,0.00000000,1584460800000,
LTCUSDT,0.00000000,1584489600000,
LTCUSDT,-0.00020393,1584518400000,
LTCUSDT,-0.00000592,1584547200000,
LTCUSDT,0.00000000,1584576000000,
LTCUSDT,0.00000000,1584604800000,
LTCUSDT,0.00000000,1584633600000,
LTCUSDT,0.00000000,1584662400000,
LTCUSDT,0.00000000,1584691200000,
LTCUSDT,0.00000000,1584720000000,
LTCUSDT,0.00000000,1584748800000,
LTCUSDT,0.00000000,1584777600000,
LTCUSDT,0.00000000,1584806400000,
LTCUSDT,0.00000000,1584835200000,
LTCUSDT,0.00000000,1584864000001,
LTCUSDT,0.00000000,1584892800000,
LTCUSDT,0.00000000,1584921600000,
LTCUSDT,0.00000000,1584950400000,
LTCUSDT,0.00001405,1584979200000,
LTCUSDT,0.00003143,1585008000000,
LTCUSDT,0.00015391,1585036800000,
LTCUSDT,0.00002556,1585065600000,
LTCUSDT,0.00024735,1585094400000,
LTCUSDT,0.00013691,1585123200000,
LTCUSDT,0.00001324,1585152000001,
LTCUSDT,0.00000000,1585180800006,
LTCUSDT,0.00001078,1585209600002,
LTCUSDT,0.00000000,1585238400000,
LTCUSDT,0.00001128,1585267200000,
LTCUSDT,0.00000000,1585296000000,
LTCUSDT,0.00000000,1585324800000,
LTCUSDT,0.00000000,1585353600000,
LTCUSDT,0.00000000,1585382400000,
LTCUSDT,0.00000000,1585411200000,
LTCUSDT,0.00000000,1585440000000,
LTCUSDT,0.00000000,1585468800001,
LTCUSDT,0.00000000,1585497600000,
LTCUSDT,0.00000000,1585526400000,
LTCUSDT,0.00000000,1585555200000,
LTCUSDT,0.00016172,1585584000000,
LTCUSDT,0.00000000,1585612800000,
LTCUSDT,0.00000000,1585641600001,
LTCUSDT,0.00000000,1585670400001,
LTCUSDT,0.00012329,1585699200002,
LTCUSDT,0.00000000,1585728000000,
LTCUSDT,0.00000000,1585756800001,
LTCUSDT,0.00000000,1585785600000,
LTCUSDT,0.00000000,1585814400000,
LTCUSDT,0.00000000,1585843200000,
LTCUSDT,0.00020405,1585872000000,
LTCUSDT,0.00023227,1585900800000,
LTCUSDT,0.00000000,1585929600000,
LTCUSDT,0.00000000,1585958400000,
LTCUSDT,0.00000000,1585987200000,
LTCUSDT,0.00000000,1586016000000,
LTCUSDT,0.00000000,1586044800001,
LTCUSDT,0.00032130,1586073600000,
LTCUSDT,0.00007853,1586102400000,
LTCUSDT,0.00000000,1586131200000,
LTCUSDT,0.00000000,1586160000000,
LTCUSDT,0.00002064,1586188800000,
LTCUSDT,0.00030828,1586217600000,
LTCUSDT,0.00029502,1586246400000,
LTCUSDT,0.00008266,1586275200000,
LTCUSDT,0.00006106,1586304000000,
LTCUSDT,0.00007861,1586332800000,
LTCUSDT,0.00017487,1586361600000,
LTCUSDT,0.00041157,1586390400000,
LTCUSDT,0.00012520,1586419200001,
LTCUSDT,0.00001419,1586448000000,
LTCUSDT,0.00000000,1586476800001,
LTCUSDT,0.00000000,1586505600000,
LTCUSDT,0.00000000,1586534400000,
LTCUSDT,0.00000000,1586563200000,
LTCUSDT,0.00000000,1586592000000,
LTCUSDT,0.00000000,1586620800000,
LTCUSDT,0.00000000,1586649600000,
LTCUSDT,0.00000000,1586678400006,
LTCUSDT,0.00000000,1586707200001,
LTCUSDT,0.00000000,1586736000001,
LTCUSDT,0.00000000,1586764800000,
LTCUSDT,0.00000000,1586793600000,
LTCUSDT,0.00000000,1586822400000,
LTCUSDT,0.00000000,1586851200000,
LTCUSDT,0.00000000,1586880000000,
LTCUSDT,0.00000000,1586908800000,
LTCUSDT,0.00000000,1586937600000,
LTCUSDT,0.00000000,1586966400000,
LTCUSDT,0.00000000,1586995200000,
LTCUSDT,0.00000000,1587024000000,
LTCUSDT,0.00000000,1587052800000,
LTCUSDT,0.00000000,1587081600000,
LTCUSDT,0.00000000,1587110400000,
LTCUSDT,0.00000000,1587139200000,
LTCUSDT,0.00000000,1587168000000,
LTCUSDT,0.00000000,1587196800000,
LTCUSDT,0.00000000,1587225600000,
LTCUSDT,0.00000000,1587254400000,
LTCUSDT,0.00000000,1587283200000,
LTCUSDT,0.00000000,1587312000000,
LTCUSDT,0.00000000,1587340800000,
LTCUSDT,0.00000000,1587369600000,
LTCUSDT,0.00000000,1587398400000,
LTCUSDT,0.00000000,1587427200000,
LTCUSDT,0.00000000,1587456000001,
LTCUSDT,0.00000000,1587484800000,
LTCUSDT,0.00000000,1587513600001,
LTCUSDT,0.00000000,1587542400000,
LTCUSDT,0.00000000,1587571200000,
LTCUSDT,0.00000000,1587600000000,
LTCUSDT,0.00000000,1587628800001,
LTCUSDT,0.00000000,1587657600000,
LTCUSDT,0.00009409,1587686400000,
LTCUSDT,0.00000000,1587715200000,
LTCUSDT,0.00048651,1587744000000,
LTCUSDT,0.00087545,1587772800003,
LTCUSDT,0.00073075,1587801600000,
LTCUSDT,0.00048500,1587830400000,
LTCUSDT,0.00000000,1587859200000,
LTCUSDT,0.00017949,1587888000000,
LTCUSDT,0.00025381,1587916800000,
LTCUSDT,0.00021345,1587945600000,
LTCUSDT,0.00016602,1587974400005,
LTCUSDT,0.00009339,1588003200000,
LTCUSDT,0.00000000,1588032000000,
LTCUSDT,0.00007596,1588060800000,
LTCUSDT,0.00038223,1588089600000,
LTCUSDT,0.00059389,1588118400000,
LTCUSDT,0.00041070,1588147200001,
LTCUSDT,0.00040543,1588176000000,
LTCUSDT,0.00071270,1588204800000,
LTCUSDT,0.00049497,1588233600000,
LTCUSDT,0.00018034,1588262400000,
LTCUSDT,0.00027320,1588291200000,
LTCUSDT,0.00047315,1588320000000,
LTCUSDT,0.00020413,1588348800000,
LTCUSDT,0.00014787,1588377600000,
LTCUSDT,0.00003518,1588406400000,
LTCUSDT,0.00034545,1588435200000,
LTCUSDT,0.00046417,1588464000000,
LTCUSDT,0.00030860,1588492800000,
LTCUSDT,0.00034341,1588521600000,
LTCUSDT,0.00016899,1588550400000,
LTCUSDT,0.00016281,1588579200005,
LTCUSDT,0.00032485,1588608000000,
LTCUSDT,0.00000000,1588636800000,
LTCUSDT,0.00003588,1588665600000,
