symbol,funding_rate,funding_time,mark_price
NAORISUSDT,0.00005000,1753948800009,0.00000000
NAORISUSDT,0.00005000,1753963200003,0.00000000
NAORISUSDT,-0.00126888,1753977600000,0.05153931
NAORISUSDT,0.00005000,1753992000000,0.05410000
NAORISUSDT,0.00005000,1754006400001,0.05423501
NAORISUSDT,0.00005000,1754020800000,0.05047380
NAORISUSDT,0.00196582,1754035200003,0.04630000
NAORISUSDT,0.00106307,1754049600001,0.04582949
NAORISUSDT,0.00054068,1754064000000,0.04271304
NAORISUSDT,0.00064083,1754078400004,0.04170000
NAORISUSDT,0.00113598,1754092800004,0.04124249
NAORISUSDT,0.00005000,1754107200000,0.03840000
NAORISUSDT,0.00053725,1754121600000,0.03611855
NAORISUSDT,0.00035374,1754136000005,0.03544576
NAORISUSDT,0.00063681,1754150400000,0.03430000
NAORISUSDT,0.00009170,1754164800001,0.03537509
NAORISUSDT,0.00005000,1754179200000,0.03480000
NAORISUSDT,0.00054864,1754193600000,0.03594477
NAORISUSDT,0.00021028,1754208000000,0.04312317
NAORISUSDT,0.00005000,1754222400001,0.04069544
NAORISUSDT,0.00005000,1754236800003,0.03990692
NAORISUSDT,0.00005000,1754251200002,0.03832324
NAORISUSDT,0.00026219,1754265600004,0.04030000
NAORISUSDT,0.00005000,1754280000000,0.04057448
NAORISUSDT,0.00015432,1754294400000,0.03770000
NAORISUSDT,0.00005000,1754308800006,0.03614635
NAORISUSDT,0.00005000,1754323200002,0.03658162
NAORISUSDT,0.00026788,1754337600007,0.03731293
NAORISUSDT,0.00062751,1754352000000,0.03800000
NAORISUSDT,0.00005000,1754366400000,0.03520000
NAORISUSDT,0.00005000,1754380800000,0.03420000
NAORISUSDT,0.00019660,1754395200004,0.03550252
NAORISUSDT,0.00061187,1754409600000,0.03545234
NAORISUSDT,0.00005000,1754424000003,0.03083287
NAORISUSDT,0.00005000,1754438400005,0.02970328
NAORISUSDT,0.00005000,1754452800000,0.02930000
NAORISUSDT,0.00005000,1754467200000,0.03058891
NAORISUSDT,0.00010465,1754481600000,0.03110000
NAORISUSDT,0.00005000,1754496000000,0.03161898
NAORISUSDT,0.00005000,1754510400000,0.03206770
NAORISUSDT,0.00019063,1754524800003,0.03231744
NAORISUSDT,0.00020712,1754539200004,0.03135788
