symbol,funding_rate,funding_time,mark_price
PAXGUSDT,0.00010000,1743062400001,3043.66765212
PAXGUSDT,-0.00035585,1743076800000,3061.90769650
PAXGUSDT,0.00005000,1743091200002,3061.03131666
PAXGUSDT,0.00005000,1743105600000,3056.99000000
PAXGUSDT,0.00005000,1743120000001,3056.42383395
PAXGUSDT,0.00005000,1743134400000,3073.45987161
PAXGUSDT,0.00005000,1743148800001,3078.33770180
PAXGUSDT,-0.00002316,1743163200000,3080.41000000
PAXGUSDT,0.00004501,1743177600000,3084.37000000
PAXGUSDT,-0.00000504,1743192000000,3086.63118023
PAXGUSDT,-0.00002102,1743206400000,3089.50629376
PAXGUSDT,0.00005000,1743220800001,3098.13000000
PAXGUSDT,0.00005000,1743235200000,3094.70000000
PAXGUSDT,0.00001842,1743249600000,3104.89000000
PAXGUSDT,0.00005000,1743264000000,3110.76000000
PAXGUSDT,0.00005000,1743278400000,3110.53000000
PAXGUSDT,-0.00013924,1743292800000,3115.65090255
PAXGUSDT,0.00005000,1743307200000,3120.46000000
PAXGUSDT,0.00005000,1743321600000,3114.90658925
PAXGUSDT,0.00005000,1743336000000,3127.97414882
PAXGUSDT,0.00005000,1743350400000,3130.13428752
PAXGUSDT,0.00005000,1743364800000,3117.20467749
PAXGUSDT,0.00005000,1743379200000,3105.16653620
PAXGUSDT,0.00005000,1743393600000,3124.98000000
PAXGUSDT,0.00005000,1743408000000,3149.33750581
PAXGUSDT,0.00003302,1743422400000,3143.24649963
PAXGUSDT,0.00001088,1743436800000,3147.80013129
PAXGUSDT,0.00005000,1743451200000,3146.61390246
PAXGUSDT,0.00005000,1743465600000,3145.52130037
PAXGUSDT,0.00005000,1743480000001,3161.71486502
PAXGUSDT,0.00005000,1743494400001,3153.89126813
PAXGUSDT,0.00005000,1743508800000,3148.09320435
PAXGUSDT,0.00005000,1743523200000,3133.82000000
PAXGUSDT,0.00005000,1743537600003,3133.24524571
PAXGUSDT,0.00005000,1743552000001,3130.42290997
PAXGUSDT,-0.00000207,1743566400001,3137.74607076
PAXGUSDT,0.00005000,1743580800000,3130.99000000
PAXGUSDT,0.00005000,1743595200002,3128.93000000
PAXGUSDT,0.00005000,1743609600000,3132.77603045
PAXGUSDT,0.00005000,1743624000000,3140.92540259
PAXGUSDT,-0.00046432,1743638400000,3188.00000000
PAXGUSDT,0.00005000,1743652800000,3167.93880382
PAXGUSDT,-0.00000084,1743667200000,3147.50000000
PAXGUSDT,0.00004460,1743681600000,3102.36000000
PAXGUSDT,0.00005000,1743696000000,3119.30000000
PAXGUSDT,-0.00000760,1743710400000,3121.17769340
PAXGUSDT,0.00005000,1743724800000,3125.49580810
PAXGUSDT,-0.00004247,1743739200000,3108.35472055
PAXGUSDT,0.00005000,1743753600000,3106.47000000
PAXGUSDT,0.00005000,1743768000000,3126.62355983
PAXGUSDT,-0.00007636,1743782400000,3053.30775281
PAXGUSDT,-0.00002823,1743796800001,3060.18386028
PAXGUSDT,0.00005000,1743811200000,3053.90000000
PAXGUSDT,0.00005000,1743825600000,3055.75725606
PAXGUSDT,-0.00008220,1743840000000,3053.83000000
PAXGUSDT,0.00005000,1743854400000,3062.25000000
PAXGUSDT,-0.00017666,1743868800000,3055.07000000
PAXGUSDT,0.00005000,1743883200000,3060.30371406
PAXGUSDT,0.00005000,1743897600000,3067.00000000
