symbol,funding_rate,funding_time,mark_price
PLAYUSDT,0.00005000,1753948800009,0.03289711
PLAYUSDT,0.00128099,1753963200003,0.03480000
PLAYUSDT,0.00098606,1753977600000,0.03528935
PLAYUSDT,0.00039569,1753992000000,0.03532831
PLAYUSDT,0.00016958,1754006400001,0.03543000
PLAYUSDT,0.00088768,1754020800000,0.03638000
PLAYUSDT,0.00072957,1754035200003,0.03458000
PLAYUSDT,0.00135358,1754049600001,0.03503000
PLAYUSDT,0.00085194,1754064000000,0.03252022
PLAYUSDT,0.00044718,1754078400004,0.03156574
PLAYUSDT,0.00084093,1754092800004,0.03293000
PLAYUSDT,0.00057753,1754107200000,0.03436000
PLAYUSDT,0.00059190,1754121600000,0.03399000
PLAYUSDT,0.00205906,1754136000005,0.02939000
PLAYUSDT,0.00045147,1754150400000,0.02939000
PLAYUSDT,0.00134621,1754164800001,0.03130311
PLAYUSDT,0.00051767,1754179200000,0.02984517
PLAYUSDT,0.00078018,1754193600000,0.03076000
PLAYUSDT,0.00084270,1754208000000,0.03174704
PLAYUSDT,0.00061155,1754222400001,0.03147000
PLAYUSDT,0.00068291,1754236800003,0.03188818
PLAYUSDT,0.00075351,1754251200002,0.03292356
PLAYUSDT,0.00089512,1754265600004,0.03258000
PLAYUSDT,0.00054416,1754280000000,0.03413000
PLAYUSDT,0.00126206,1754294400000,0.03508886
PLAYUSDT,0.00091693,1754308800006,0.03417000
PLAYUSDT,0.00077359,1754323200002,0.03485996
PLAYUSDT,0.00060228,1754337600007,0.03521705
PLAYUSDT,0.00045169,1754352000000,0.03571000
PLAYUSDT,0.00042047,1754366400000,0.03403152
PLAYUSDT,0.00065827,1754380800000,0.03177508
PLAYUSDT,0.00109343,1754395200004,0.03393000
PLAYUSDT,0.00046517,1754409600000,0.03395317
PLAYUSDT,0.00017471,1754424000003,0.03494000
PLAYUSDT,0.00018285,1754438400005,0.03457000
PLAYUSDT,0.00059397,1754452800000,0.03585046
PLAYUSDT,0.00005000,1754467200000,0.03372146
PLAYUSDT,0.00005000,1754481600000,0.03355974
PLAYUSDT,0.00005000,1754496000000,0.03457000
PLAYUSDT,0.00005000,1754510400000,0.03480000
PLAYUSDT,0.00005000,1754524800003,0.03535000
