symbol,funding_rate,funding_time,mark_price
PUMPUSDT,0.00008823,1744473600000,0.11493475
PUMPUSDT,0.00033829,1744488000000,0.11931000
PUMPUSDT,0.00005000,1744502400000,0.12194714
PUMPUSDT,0.00005000,1744516800000,0.12784205
PUMPUSDT,0.00005000,1744531200000,0.10530000
PUMPUSDT,0.00005000,1744545600000,0.10476000
PUMPUSDT,0.00005000,1744560000000,0.10159143
PUMPUSDT,0.00005000,1744574400000,0.10909000
PUMPUSDT,0.00005000,1744588800000,0.10282429
PUMPUSDT,0.00006644,1744603200000,0.10910181
PUMPUSDT,0.00005000,1744617600000,0.11029167
PUMPUSDT,0.00005000,1744632000002,0.10856286
PUMPUSDT,0.00005000,1744646400000,0.09586057
PUMPUSDT,0.00005000,1744660800000,0.09135176
PUMPUSDT,0.00005000,1744675200000,0.10423095
PUMPUSDT,0.00005000,1744689600001,0.10905552
PUMPUSDT,0.00005000,1744704000000,0.10762000
PUMPUSDT,0.00005000,1744718400000,0.10521000
PUMPUSDT,0.00005000,1744732800001,0.09872274
PUMPUSDT,0.00005000,1744747200000,0.10106000
PUMPUSDT,0.00005000,1744761600000,0.09855000
PUMPUSDT,0.00005000,1744776000000,0.14102867
PUMPUSDT,0.00005000,1744790400000,0.14025143
PUMPUSDT,0.00005000,1744804800000,0.14091021
PUMPUSDT,0.00005000,1744819200000,0.14229000
PUMPUSDT,0.00005000,1744833600000,0.15767000
PUMPUSDT,0.00005000,1744848000001,0.15968571
PUMPUSDT,0.00005000,1744862400000,0.15739000
PUMPUSDT,0.00005000,1744876800000,0.16027000
PUMPUSDT,0.00005000,1744891200000,0.15922245
PUMPUSDT,0.00005000,1744905600001,0.16267000
PUMPUSDT,-0.00010596,1744920000001,0.16710906
PUMPUSDT,0.00005000,1744934400000,0.16346038
PUMPUSDT,0.00005000,1744948800000,0.15380000
PUMPUSDT,0.00005000,1744963200000,0.15734000
PUMPUSDT,0.00005000,1744977600000,0.15961640
PUMPUSDT,0.00005000,1744992000000,0.15958000
PUMPUSDT,0.00005000,1745006400000,0.16409429
PUMPUSDT,0.00005000,1745020800000,0.16200000
PUMPUSDT,0.00013098,1745035200000,0.15809000
PUMPUSDT,0.00005000,1745049600000,0.15571571
PUMPUSDT,0.00021121,1745064000000,0.15303000
PUMPUSDT,0.00005000,1745078400000,0.15982000
PUMPUSDT,0.00005000,1745092800000,0.15220574
PUMPUSDT,0.00005000,1745107200000,0.15419174
PUMPUSDT,0.00010320,1745121600000,0.16283000
PUMPUSDT,0.00005000,1745136000000,0.15775000
PUMPUSDT,0.00005000,1745150400001,0.15346143
PUMPUSDT,0.00005000,1745164800000,0.15801750
PUMPUSDT,0.00005000,1745179200000,0.15863971
PUMPUSDT,0.00016199,1745193600000,0.17218619
PUMPUSDT,0.00005000,1745208000000,0.16794000
PUMPUSDT,0.00005000,1745222400005,0.16483060
PUMPUSDT,0.00068238,1745236800002,0.16516000
PUMPUSDT,0.00014033,1745251200003,0.17956000
PUMPUSDT,0.00007943,1745265600006,0.17305000
PUMPUSDT,0.00005000,1745280000008,0.17530695
PUMPUSDT,0.00057968,1745294400000,0.16872017
PUMPUSDT,-0.00009181,1745308800000,0.16183000
PUMPUSDT,-0.00028816,1745323200001,0.18633250
PUMPUSDT,0.00005000,1745337600000,0.20013000
PUMPUSDT,0.00005000,1745352000004,0.20102452
PUMPUSDT,0.00010716,1745366400000,0.20876429
PUMPUSDT,0.00032438,1745380800000,0.23040857
PUMPUSDT,-0.00416261,1745395200002,0.12319000
PUMPUSDT,-0.00048908,1745409600005,0.10213538
PUMPUSDT,0.00005000,1745424000000,0.10322214
PUMPUSDT,0.00005000,1745438400001,0.09222314
PUMPUSDT,-0.00007342,1745452800000,0.08882549
PUMPUSDT,-0.00222919,1745467200003,0.08554000
PUMPUSDT,-0.00581101,1745481600001,0.08669000
PUMPUSDT,-0.00332252,1745496000001,0.09043000
PUMPUSDT,-0.00199050,1745510400001,0.08812488
PUMPUSDT,-0.00125184,1745524800006,0.08905158
PUMPUSDT,-0.00133307,1745539200007,0.09605000
PUMPUSDT,-0.00044196,1745553600001,0.09201654
PUMPUSDT,0.00005000,1745568000002,0.09052173
PUMPUSDT,0.00005000,1745582400000,0.08885125
PUMPUSDT,-0.00011775,1745596800003,0.08742379
PUMPUSDT,0.00005000,1745611200001,0.08745875
PUMPUSDT,-0.00000689,1745625600002,0.08648000
PUMPUSDT,-0.00034923,1745640000001,0.08864500
PUMPUSDT,0.00005000,1745654400000,0.08856000
PUMPUSDT,0.00005000,1745668800000,0.08626771
PUMPUSDT,0.00005000,1745683200002,0.08747250
PUMPUSDT,0.00005000,1745697600000,0.08655750
PUMPUSDT,0.00005000,1745712000001,0.08758000
PUMPUSDT,0.00005000,1745726400001,0.08528229
PUMPUSDT,0.00005000,1745740800000,0.08548000
PUMPUSDT,0.00005000,1745755200000,0.08710058
PUMPUSDT,0.00005000,1745769600000,0.08496862
PUMPUSDT,0.00005000,1745784000003,0.08162000
PUMPUSDT,0.00005000,1745798400001,0.08239112
PUMPUSDT,0.00005000,1745812800001,0.08212742
PUMPUSDT,0.00005000,1745827200003,0.08317000
PUMPUSDT,0.00005000,1745841600000,0.08242975
PUMPUSDT,0.00005000,1745856000005,0.08171875
PUMPUSDT,0.00005000,1745870400002,0.08354000
PUMPUSDT,0.00005000,1745884800000,0.08519000
PUMPUSDT,0.00005000,1745899200000,0.08373771
PUMPUSDT,0.00005000,1745913600000,0.08351000
PUMPUSDT,0.00005000,1745928000001,0.08103217
PUMPUSDT,0.00005000,1745942400010,0.08279654
PUMPUSDT,0.00005000,1745956800002,0.08338904
PUMPUSDT,0.00005000,1745971200001,0.08225917
PUMPUSDT,0.00005000,1745985600001,0.08117250
PUMPUSDT,0.00005284,1746000000000,0.08153283
PUMPUSDT,0.00005000,1746014400001,0.08226000
PUMPUSDT,0.00005000,1746028800003,0.07998250
PUMPUSDT,0.00005000,1746043200002,0.08021375
PUMPUSDT,0.00005000,1746057600000,0.08031596
PUMPUSDT,0.00017110,1746072000008,0.08038000
PUMPUSDT,0.00041952,1746086400000,0.08015162
PUMPUSDT,0.00018356,1746100800001,0.08116850
PUMPUSDT,0.00005000,1746115200001,0.08294000
PUMPUSDT,0.00005000,1746129600000,0.08132517
PUMPUSDT,0.00005000,1746144000000,0.08116000
PUMPUSDT,0.00005000,1746158400000,0.08024638
PUMPUSDT,0.00015914,1746172800000,0.08040917
PUMPUSDT,0.00016740,1746187200005,0.07863750
PUMPUSDT,0.00005000,1746201600003,0.08036000
PUMPUSDT,0.00005000,1746216000003,0.07886000
PUMPUSDT,0.00021079,1746230400000,0.08173086
PUMPUSDT,0.00012540,1746244800001,0.08157000
PUMPUSDT,0.00011668,1746259200000,0.08355000
PUMPUSDT,0.00031825,1746273600006,0.08260000
PUMPUSDT,0.00005000,1746288000000,0.08337271
PUMPUSDT,0.00008652,1746302400000,0.08424533
PUMPUSDT,0.00029393,1746316800001,0.08479896
PUMPUSDT,0.00005000,1746331200004,0.08033000
PUMPUSDT,0.00007936,1746345600001,0.08214654
PUMPUSDT,0.00005000,1746360000006,0.08121000
PUMPUSDT,0.00005000,1746374400002,0.07681712
PUMPUSDT,0.00005000,1746388800000,0.07342242
PUMPUSDT,0.00005000,1746403200000,0.07343875
PUMPUSDT,0.00005000,1746417600000,0.07403188
PUMPUSDT,0.00019462,1746432000000,0.07470475
PUMPUSDT,0.00016713,1746446400000,0.07476000
PUMPUSDT,0.00005000,1746460800006,0.07476000
PUMPUSDT,0.00005000,1746475200000,0.07406750
PUMPUSDT,0.00005000,1746489600002,0.07522000
PUMPUSDT,0.00005000,1746504000000,0.07550862
PUMPUSDT,0.00024219,1746518400005,0.07556250
PUMPUSDT,0.00005000,1746532800000,0.07289000
PUMPUSDT,0.00005000,1746547200000,0.07508108
PUMPUSDT,0.00005000,1746561600000,0.07508358
PUMPUSDT,0.00023164,1746576000002,0.07206748
PUMPUSDT,0.00025041,1746590400004,0.07069808
PUMPUSDT,0.00005000,1746604800000,0.07114000
PUMPUSDT,0.00005000,1746619200000,0.07028000
PUMPUSDT,0.00005000,1746633600006,0.06915000
PUMPUSDT,0.00005000,1746648000000,0.06775000
PUMPUSDT,0.00005000,1746662400000,0.06648000
PUMPUSDT,0.00023106,1746676800005,0.06783177
PUMPUSDT,0.00011021,1746691200001,0.06954433
PUMPUSDT,0.00018270,1746705600000,0.07091000
PUMPUSDT,0.00015375,1746720000002,0.07113888
PUMPUSDT,0.00020553,1746734400006,0.07127110
PUMPUSDT,0.00018842,1746748800001,0.07217352
PUMPUSDT,0.00016403,1746763200000,0.07165898
PUMPUSDT,0.00043091,1746777600006,0.07240000
PUMPUSDT,0.00040268,1746792000000,0.07374081
PUMPUSDT,0.00009073,1746806400000,0.07328185
PUMPUSDT,0.00014185,1746820800000,0.07400285
PUMPUSDT,0.00048201,1746835200001,0.07542060
PUMPUSDT,0.00005000,1746849600003,0.07749008
PUMPUSDT,0.00019342,1746864000000,0.07634000
PUMPUSDT,0.00005000,1746878400000,0.07413060
PUMPUSDT,0.00011553,1746892800001,0.07374000
PUMPUSDT,0.00028230,1746907200000,0.07548777
PUMPUSDT,0.00106810,1746921600000,0.07804000
PUMPUSDT,0.00056220,1746936000000,0.07927485
PUMPUSDT,0.00013040,1746950400001,0.07670000
PUMPUSDT,0.00008881,1746964800001,0.07727000
PUMPUSDT,0.00005000,1746979200001,0.07687990
PUMPUSDT,0.00017154,1746993600000,0.07850000
PUMPUSDT,0.00026176,1747008000004,0.07804923
PUMPUSDT,0.00033717,1747022400003,0.07800683
PUMPUSDT,0.00023156,1747036800000,0.07845000
PUMPUSDT,0.00005000,1747051200000,0.07762000
PUMPUSDT,0.00012217,1747065600000,0.07764000
PUMPUSDT,0.00032992,1747080000004,0.07687000
PUMPUSDT,0.00062651,1747094400000,0.07885000
PUMPUSDT,0.00005000,1747108800000,0.07383000
PUMPUSDT,0.00005000,1747123200008,0.07994000
PUMPUSDT,0.00019807,1747137600000,0.07845000
PUMPUSDT,0.00005000,1747152000001,0.07807646
PUMPUSDT,0.00021344,1747166400006,0.08028000
PUMPUSDT,0.00029727,1747180800007,0.07959697
PUMPUSDT,0.00025694,1747195200000,0.08028712
PUMPUSDT,0.00032970,1747209600000,0.08002642
PUMPUSDT,0.00024729,1747224000000,0.07857635
