symbol,funding_rate,funding_time,mark_price
QUSDT,0.00112720,1756800000005,0.01077215
QUSDT,0.00056344,1756814400003,0.01139900
QUSDT,0.00012346,1756828800007,0.00879190
QUSDT,0.00005000,1756843200001,0.00958600
QUSDT,0.00005000,1756857600006,0.00927300
QUSDT,0.00035980,1756872000003,0.01195964
QUSDT,0.00005000,1756886400002,0.00965153
QUSDT,0.00005000,1756900800000,0.00917300
QUSDT,0.00005000,1756915200002,0.00928162
QUSDT,0.00005000,1756929600006,0.00966794
QUSDT,0.00005000,1756944000002,0.01040100
QUSDT,0.00005000,1756958400000,0.00969063
QUSDT,0.00005000,1756972800000,0.00895200
QUSDT,0.00005000,1756987200002,0.00863000
QUSDT,0.00005000,1757001600000,0.00860000
QUSDT,0.00005000,1757016000000,0.00939000
QUSDT,0.00043963,1757030400001,0.01010000
QUSDT,0.00005000,1757044800000,0.00933267
QUSDT,0.00005000,1757059200006,0.00899661
QUSDT,0.00005000,1757073600001,0.00909878
QUSDT,0.00005000,1757088000000,0.00867130
QUSDT,0.00005000,1757102400000,0.00850004
QUSDT,0.00005000,1757116800000,0.00824800
QUSDT,0.00005000,1757131200000,0.00847342
QUSDT,0.00005000,1757145600005,0.00841225
QUSDT,0.00011820,1757160000000,0.00943000
QUSDT,0.00005000,1757174400000,0.00945740
QUSDT,0.00005917,1757188800001,0.00941301
QUSDT,0.00023675,1757203200000,0.00979500
QUSDT,0.00008450,1757217600008,0.00926654
QUSDT,0.00025606,1757232000000,0.01031946
QUSDT,0.00011638,1757246400000,0.01053019
QUSDT,0.00005000,1757260800000,0.01005855
QUSDT,0.00029458,1757275200003,0.00981441
QUSDT,0.00005000,1757289600007,0.00990692
QUSDT,0.00023801,1757304000008,0.01108660
QUSDT,0.00005000,1757318400000,0.01015584
QUSDT,0.00023619,1757332800005,0.01104585
QUSDT,0.00049205,1757347200000,0.01234359
QUSDT,0.00066904,1757361600001,0.02216430
QUSDT,0.00033873,1757376000000,0.01844986
QUSDT,0.00005000,1757390400000,0.01542600
QUSDT,0.00005000,1757404800000,0.01620209
QUSDT,0.00047407,1757419200004,0.01531100
QUSDT,0.00005000,1757433600000,0.01390042
QUSDT,0.00005000,1757448000000,0.01368222
QUSDT,0.00005000,1757462400000,0.01429852
QUSDT,0.00008942,1757476800001,0.01413185
QUSDT,0.00010216,1757491200002,0.01449775
QUSDT,0.00005000,1757505600004,0.01411068
QUSDT,0.00036174,1757520000000,0.01420300
QUSDT,0.00006969,1757534400007,0.01551180
QUSDT,0.00038132,1757548800000,0.01639606
QUSDT,0.00020938,1757563200003,0.01529661
QUSDT,0.00053876,1757577600000,0.01574549
QUSDT,0.00054615,1757592000005,0.01476829
QUSDT,0.00026868,1757606400001,0.01397250
QUSDT,0.00007830,1757620800001,0.01482200
QUSDT,0.00019589,1757635200002,0.01502505
QUSDT,0.00005000,1757649600004,0.01508100
QUSDT,0.00005000,1757664000001,0.01493900
QUSDT,0.00007978,1757678400001,0.01508606
QUSDT,0.00005000,1757692800005,0.01586253
QUSDT,0.00019383,1757707200000,0.01592053
QUSDT,0.00061626,1757721600005,0.01654253
QUSDT,0.00049254,1757736000002,0.01542796
QUSDT,0.00100933,1757750400002,0.01671200
QUSDT,0.00023416,1757764800005,0.01750094
QUSDT,0.00005000,1757779200000,0.01657000
QUSDT,0.00037550,1757793600001,0.01793088
QUSDT,0.00190576,1757808000006,0.02291730
QUSDT,0.00089221,1757822400001,0.02188500
QUSDT,0.00100577,1757836800000,0.02771974
QUSDT,0.00155323,1757851200004,0.03254172
QUSDT,0.00091871,1757865600001,0.03000700
QUSDT,0.00023514,1757880000000,0.02300005
QUSDT,0.00027538,1757894400006,0.02238483
QUSDT,0.00038436,1757908800000,0.02398785
QUSDT,0.00054727,1757923200002,0.02499500
QUSDT,0.00018997,1757937600003,0.02672100
QUSDT,0.00005000,1757952000001,0.02613300
QUSDT,0.00022758,1757966400001,0.02702656
QUSDT,0.00020670,1757980800001,0.02897278
QUSDT,0.00009493,1757995200000,0.02951502
QUSDT,0.00021558,1758009600000,0.03086132
QUSDT,0.00022974,1758024000002,0.03272620
QUSDT,0.00040390,1758038400000,0.02752178
QUSDT,0.00005000,1758052800004,0.02744609
QUSDT,0.00028794,1758067200001,0.03000470
QUSDT,0.00069006,1758081600004,0.03191856
QUSDT,0.00017397,1758096000000,0.03495700
QUSDT,0.00069020,1758110400000,0.03762811
QUSDT,0.00031203,1758124800003,0.03621000
QUSDT,0.00043169,1758139200000,0.03347822
QUSDT,0.00017875,1758153600006,0.03100400
QUSDT,0.00013755,1758168000001,0.03373400
QUSDT,0.00043311,1758182400002,0.03477061
QUSDT,0.00022721,1758196800000,0.03344700
QUSDT,0.00033782,1758211200000,0.03187814
QUSDT,0.00031876,1758225600008,0.03520433
QUSDT,0.00030787,1758240000000,0.03470972
QUSDT,0.00025255,1758254400003,0.03265082
QUSDT,0.00006515,1758268800005,0.03336100
QUSDT,0.00043256,1758283200000,0.03425465
QUSDT,0.00019214,1758297600000,0.03164500
QUSDT,0.00009601,1758312000004,0.03290486
QUSDT,0.00015171,1758326400000,0.03102655
QUSDT,0.00013203,1758340800000,0.03071600
QUSDT,0.00019330,1758355200000,0.03108858
QUSDT,0.00028752,1758369600008,0.02928600
QUSDT,0.00044095,1758384000002,0.03058469
QUSDT,0.00047301,1758398400000,0.02795951
QUSDT,0.00070079,1758412800000,0.02783873
QUSDT,0.00068065,1758427200002,0.02861100
QUSDT,0.00065120,1758441600000,0.02883131
QUSDT,0.00071263,1758456000002,0.02792600
QUSDT,0.00033298,1758470400000,0.02791045
QUSDT,0.00048020,1758484800000,0.02754000
QUSDT,0.00034530,1758499200005,0.02751300
QUSDT,0.00018581,1758513600000,0.02628407
QUSDT,0.00007718,1758528000003,0.02486352
QUSDT,0.00005000,1758542400005,0.02417616
QUSDT,0.00015226,1758556800000,0.02424589
QUSDT,0.00042533,1758571200001,0.02736896
QUSDT,0.00073075,1758585600000,0.02820860
QUSDT,0.00029371,1758600000012,0.02420500
QUSDT,0.00051942,1758614400001,0.02358500
QUSDT,0.00039706,1758628800000,0.02395684
QUSDT,0.00059582,1758643200000,0.02484000
QUSDT,0.00035564,1758657600001,0.02581537
QUSDT,0.00024615,1758672000003,0.02502946
QUSDT,0.00036611,1758686400000,0.02473177
QUSDT,0.00034294,1758700800001,0.02577900
QUSDT,0.00044222,1758715200001,0.02701207
QUSDT,0.00023406,1758729600002,0.02802684
QUSDT,0.00015620,1758744000001,0.02557981
QUSDT,0.00005000,1758758400000,0.02467682
QUSDT,0.00005000,1758772800000,0.02493000
QUSDT,0.00012573,1758787200001,0.02620700
QUSDT,0.00007972,1758801600000,0.02506162
QUSDT,0.00032519,1758816000000,0.02450805
QUSDT,0.00034130,1758830400000,0.02467022
QUSDT,0.00015908,1758844800000,0.02394318
QUSDT,0.00017382,1758859200002,0.02348400
QUSDT,0.00005000,1758873600000,0.02388322
QUSDT,0.00005000,1758888000000,0.02359080
QUSDT,0.00005000,1758902400008,0.02358353
QUSDT,0.00033125,1758916800005,0.02591730
QUSDT,0.00061442,1758931200000,0.02717300
QUSDT,0.00050262,1758945600000,0.02911600
QUSDT,0.00034131,1758960000010,0.02707458
QUSDT,0.00038152,1758974400003,0.02831586
QUSDT,0.00022161,1758988800003,0.02749168
QUSDT,0.00050231,1759003200002,0.02864700
QUSDT,0.00059082,1759017600000,0.02795800
QUSDT,0.00047060,1759032000002,0.02908600
QUSDT,0.00005000,1759046400000,0.02809783
QUSDT,0.00005000,1759060800000,0.02826034
QUSDT,0.00006940,1759075200000,0.02899124
QUSDT,0.00010072,1759089600004,0.02836288
QUSDT,0.00022735,1759104000000,0.02978900
QUSDT,0.00026052,1759118400000,0.02985900
QUSDT,0.00005000,1759132800002,0.02923198
QUSDT,0.00046132,1759147200000,0.02999835
QUSDT,0.00031267,1759161600001,0.02957813
QUSDT,0.00006572,1759176000000,0.02910798
QUSDT,0.00034607,1759190400002,0.02988600
QUSDT,0.00024259,1759204800000,0.02970200
QUSDT,0.00005000,1759219200005,0.03074379
QUSDT,0.00005000,1759233600000,0.03095767
QUSDT,0.00010545,1759248000000,0.03080002
QUSDT,0.00027480,1759262400000,0.03170400
