symbol,funding_rate,funding_time,mark_price
RESOLVUSDT,0.00005000,1749556800005,0.10000002
RESOLVUSDT,-0.00458960,1749571200003,0.31835282
RESOLVUSDT,0.00005000,1749585600010,0.33781496
RESOLVUSDT,0.00005000,1749600000000,0.35088069
RESOLVUSDT,-0.00075630,1749614400006,0.31406524
RESOLVUSDT,0.00005000,1749628800000,0.32359926
RESOLVUSDT,-0.00230920,1749643200007,0.36817753
RESOLVUSDT,-0.00469684,1749657600010,0.39083000
RESOLVUSDT,-0.00074374,1749672000012,0.36357843
RESOLVUSDT,-0.00274358,1749686400002,0.34231000
RESOLVUSDT,0.00005000,1749700800000,0.34747552
RESOLVUSDT,-0.00024734,1749715200003,0.34422000
RESOLVUSDT,-0.00013744,1749729600001,0.31578000
RESOLVUSDT,0.00002747,1749744000001,0.29683000
RESOLVUSDT,0.00005000,1749758400003,0.27203647
RESOLVUSDT,-0.00036977,1749772800000,0.26823000
RESOLVUSDT,-0.00027394,1749787200002,0.24854503
RESOLVUSDT,-0.00064650,1749801600001,0.25143447
RESOLVUSDT,-0.00142874,1749816000000,0.24908000
RESOLVUSDT,-0.00081676,1749830400004,0.25408000
RESOLVUSDT,-0.00057826,1749844800001,0.26315937
RESOLVUSDT,-0.00249971,1749859200000,0.28733540
RESOLVUSDT,-0.00038875,1749873600000,0.26528137
RESOLVUSDT,-0.00037611,1749888000000,0.26440000
RESOLVUSDT,-0.00068399,1749902400007,0.25745000
RESOLVUSDT,-0.00032131,1749916800000,0.25954000
RESOLVUSDT,-0.00024694,1749931200005,0.24690769
RESOLVUSDT,-0.00105479,1749945600005,0.25656000
RESOLVUSDT,-0.00103916,1749960000004,0.25955596
RESOLVUSDT,0.00001952,1749974400009,0.25239007
RESOLVUSDT,-0.00031039,1749988800000,0.25000811
RESOLVUSDT,-0.00035604,1750003200000,0.25099671
RESOLVUSDT,0.00003103,1750017600000,0.24484388
RESOLVUSDT,-0.00003637,1750032000000,0.24196000
RESOLVUSDT,0.00001985,1750046400009,0.25060000
RESOLVUSDT,0.00005000,1750060800000,0.25832540
RESOLVUSDT,0.00005000,1750075200000,0.26126216
RESOLVUSDT,0.00005000,1750089600003,0.26293000
RESOLVUSDT,-0.00006342,1750104000000,0.27147000
RESOLVUSDT,0.00005000,1750118400000,0.25319435
RESOLVUSDT,0.00005000,1750132800000,0.25454000
RESOLVUSDT,0.00005000,1750147200006,0.25083000
RESOLVUSDT,0.00005000,1750161600001,0.24577000
RESOLVUSDT,-0.00007360,1750176000001,0.23322058
RESOLVUSDT,-0.00019698,1750190400000,0.23281449
RESOLVUSDT,0.00005000,1750204800001,0.22669000
RESOLVUSDT,-0.00029753,1750219200001,0.22398000
