symbol,funding_rate,funding_time,mark_price
RIVERUSDT,-0.00606611,1760716800003,3.32942364
RIVERUSDT,0.00054806,1760731200004,3.66065240
RIVERUSDT,0.00117316,1760745600000,3.68013717
RIVERUSDT,0.00132858,1760760000000,3.77069785
RIVERUSDT,0.00112414,1760774400002,3.62181965
RIVERUSDT,-0.00016614,1760788800007,3.67973129
RIVERUSDT,-0.00999876,1760803200001,4.48636209
RIVERUSDT,0.00254500,1760817600000,4.27805466
RIVERUSDT,0.00114940,1760832000001,4.34067158
RIVERUSDT,0.00074420,1760846400000,3.65702440
RIVERUSDT,0.00005000,1760860800001,4.22600000
RIVERUSDT,0.00006121,1760875200000,4.19600000
RIVERUSDT,0.00046428,1760889600001,3.89500000
RIVERUSDT,0.00005000,1760904000000,3.84700000
RIVERUSDT,0.00093018,1760918400004,4.00160138
RIVERUSDT,0.00038170,1760932800000,3.63300000
RIVERUSDT,0.00040764,1760947200001,3.87354026
RIVERUSDT,0.00068044,1760961600000,4.01998701
RIVERUSDT,0.00079723,1760976000000,3.86049847
RIVERUSDT,0.00033610,1760990400000,4.06054571
RIVERUSDT,0.00039675,1761004800009,4.22633553
RIVERUSDT,0.00044675,1761019200003,4.15613409
RIVERUSDT,0.00017605,1761033600000,4.51267192
RIVERUSDT,0.00020674,1761048000000,4.65166155
RIVERUSDT,0.00034156,1761062400000,6.92613987
RIVERUSDT,0.00009009,1761076800001,5.98734731
RIVERUSDT,0.00114159,1761091200004,5.55189064
RIVERUSDT,0.00137639,1761105600000,4.99578699
RIVERUSDT,0.00031216,1761120000000,5.29901103
RIVERUSDT,0.00005000,1761134400000,6.69494405
RIVERUSDT,0.00005000,1761148800000,7.80459791
RIVERUSDT,0.00005000,1761163200004,7.88421881
RIVERUSDT,0.00005000,1761177600000,8.13665985
RIVERUSDT,0.00005000,1761192000000,8.49557446
RIVERUSDT,0.00005000,1761206400001,8.80509440
RIVERUSDT,0.00007134,1761220800000,9.31916443
RIVERUSDT,0.00045621,1761235200004,8.41697317
RIVERUSDT,0.00028227,1761249600000,8.92914106
RIVERUSDT,0.00024896,1761264000000,9.72603302
RIVERUSDT,0.00023165,1761278400002,9.47282275
RIVERUSDT,0.00035311,1761292800000,9.87200000
RIVERUSDT,0.00033526,1761307200002,8.91600000
RIVERUSDT,0.00005000,1761321600009,8.81946456
RIVERUSDT,0.00005000,1761336000000,8.06000000
RIVERUSDT,0.00005000,1761350400000,6.71234485
RIVERUSDT,0.00005000,1761364800000,7.66800000
RIVERUSDT,0.00005000,1761379200001,6.80039443
RIVERUSDT,0.00005000,1761393600000,6.72740262
RIVERUSDT,0.00005000,1761408000001,7.02988779
RIVERUSDT,0.00005000,1761422400002,7.23887788
RIVERUSDT,0.00005000,1761436800001,7.51000467
RIVERUSDT,0.00005000,1761451200000,7.40100000
RIVERUSDT,0.00005000,1761465600001,7.17700000
RIVERUSDT,0.00005000,1761480000002,7.04543667
RIVERUSDT,0.00005000,1761494400000,7.14225515
RIVERUSDT,0.00005000,1761508800000,7.25300000
RIVERUSDT,0.00005000,1761523200000,7.29300000
RIVERUSDT,0.00005000,1761537600000,7.18173233
RIVERUSDT,0.00005000,1761552000005,6.89642733
RIVERUSDT,0.00147513,1761566400003,7.31113273
RIVERUSDT,0.00191112,1761580800000,7.11733230
RIVERUSDT,0.00127984,1761595200001,7.12500000
RIVERUSDT,0.00221060,1761609600000,7.25387869
RIVERUSDT,0.00059332,1761624000004,7.61817459
RIVERUSDT,-0.00138262,1761638400000,7.87999686
RIVERUSDT,0.00058256,1761652800000,7.79244741
RIVERUSDT,0.00127669,1761667200004,8.30484287
RIVERUSDT,0.00071646,1761681600004,8.07400000
RIVERUSDT,0.00079105,1761696000004,8.13887588
RIVERUSDT,0.00023089,1761710400005,7.96762208
RIVERUSDT,0.00005000,1761724800005,7.79922503
RIVERUSDT,0.00013560,1761739200011,7.92300000
RIVERUSDT,0.00037994,1761753600000,7.91808992
