symbol,funding_rate,funding_time,mark_price
ROBOUSDT,0.00015930,1772193600000,0.03910000
ROBOUSDT,-0.00005210,1772208000001,0.03431332
ROBOUSDT,0.00020190,1772222400007,0.03756000
ROBOUSDT,0.00005000,1772236800000,0.04026000
ROBOUSDT,-0.00081912,1772251200002,0.04322440
ROBOUSDT,-0.00194972,1772265600000,0.03861393
ROBOUSDT,-0.00206349,1772280000001,0.03696800
ROBOUSDT,-0.00060523,1772294400004,0.03822964
ROBOUSDT,-0.00059600,1772308800000,0.03827000
ROBOUSDT,0.00005000,1772323200005,0.03757000
ROBOUSDT,0.00005000,1772337600000,0.03834284
ROBOUSDT,-0.00061369,1772352000000,0.03773000
ROBOUSDT,-0.00127058,1772366400000,0.03705000
ROBOUSDT,-0.00091047,1772380800002,0.03815334
ROBOUSDT,-0.00009113,1772395200001,0.03891000
ROBOUSDT,-0.00006396,1772409600001,0.04027023
ROBOUSDT,-0.00051626,1772424000001,0.04023816
ROBOUSDT,-0.00052513,1772438400007,0.03927785
ROBOUSDT,0.00005000,1772452800002,0.04705134
ROBOUSDT,0.00005000,1772467200000,0.05639000
ROBOUSDT,0.00005000,1772481600000,0.05899000
ROBOUSDT,0.00005000,1772496000000,0.05659000
ROBOUSDT,-0.00128408,1772510400009,0.05059656
ROBOUSDT,-0.00160566,1772524800000,0.04818000
ROBOUSDT,-0.00098050,1772539200017,0.04535620
ROBOUSDT,-0.00051081,1772553600007,0.04427769
ROBOUSDT,-0.00111856,1772568000000,0.04929065
ROBOUSDT,-0.00051679,1772582400001,0.04942000
ROBOUSDT,-0.00047108,1772596800000,0.05210196
ROBOUSDT,-0.00026940,1772611200005,0.04835000
