symbol,funding_rate,funding_time,mark_price
SAHARAUSDT,0.00005000,1750939200005,0.00000000
SAHARAUSDT,-0.02000000,1750953600007,0.09281000
SAHARAUSDT,-0.01513301,1750957200000,0.09886245
SAHARAUSDT,-0.00598948,1750960800007,0.09040938
SAHARAUSDT,-0.01158679,1750964400001,0.08622000
SAHARAUSDT,-0.00333176,1750968000000,0.08870575
SAHARAUSDT,-0.00013502,1750971600004,0.08896000
SAHARAUSDT,-0.00410812,1750975200001,0.09047102
SAHARAUSDT,-0.00487167,1750978800000,0.09107000
SAHARAUSDT,-0.00646718,1750982400000,0.09352000
SAHARAUSDT,-0.00121419,1750986000000,0.08219423
SAHARAUSDT,-0.00461803,1750989600000,0.08325000
SAHARAUSDT,-0.00085986,1750993200000,0.08461000
SAHARAUSDT,-0.00343232,1750996800001,0.08067000
SAHARAUSDT,-0.00114046,1751000400005,0.08095000
SAHARAUSDT,-0.00084012,1751004000010,0.08023984
SAHARAUSDT,-0.00126048,1751007600002,0.08019479
SAHARAUSDT,-0.00243940,1751011200000,0.08232127
SAHARAUSDT,-0.00487703,1751014800006,0.08362000
SAHARAUSDT,-0.00334107,1751018400000,0.08676368
SAHARAUSDT,-0.00439964,1751022000001,0.08821957
SAHARAUSDT,-0.00478042,1751025600003,0.08551606
SAHARAUSDT,-0.00095822,1751029200000,0.08296000
SAHARAUSDT,-0.00113337,1751032800000,0.08421000
SAHARAUSDT,-0.00059363,1751036400003,0.08183383
SAHARAUSDT,-0.00086617,1751040000009,0.08126546
SAHARAUSDT,-0.00128733,1751043600000,0.08254000
SAHARAUSDT,-0.00121045,1751047200003,0.08278000
SAHARAUSDT,-0.00019196,1751050800000,0.08184000
SAHARAUSDT,-0.00152438,1751054400002,0.08149050
SAHARAUSDT,-0.00149780,1751058000001,0.08324240
SAHARAUSDT,-0.00015034,1751061600000,0.08359097
SAHARAUSDT,-0.00015044,1751065200003,0.08401000
SAHARAUSDT,-0.00085775,1751068800001,0.08418958
