symbol,funding_rate,funding_time,mark_price
SIGNUSDT,-0.00386046,1745841600000,0.07707514
SIGNUSDT,-0.00009028,1745856000005,0.07594147
SIGNUSDT,0.00005000,1745870400002,0.07689000
SIGNUSDT,0.00005000,1745884800000,0.08077971
SIGNUSDT,0.00005000,1745899200000,0.07555388
SIGNUSDT,-0.02000000,1745913600000,0.12025000
SIGNUSDT,-0.00783939,1745920800002,0.10865074
SIGNUSDT,-0.00016594,1745924400000,0.10502242
SIGNUSDT,-0.00024795,1745928000001,0.10605159
SIGNUSDT,-0.00241153,1745931600001,0.09894952
SIGNUSDT,0.00001250,1745935200006,0.10003709
SIGNUSDT,0.00001250,1745938800003,0.10187012
SIGNUSDT,-0.00039330,1745942400010,0.10314570
SIGNUSDT,0.00001250,1745946000001,0.10123172
SIGNUSDT,0.00001250,1745949600003,0.10098000
SIGNUSDT,-0.00054879,1745953200003,0.10306000
SIGNUSDT,-0.00037778,1745956800002,0.10338000
SIGNUSDT,-0.00131153,1745960400000,0.10540000
SIGNUSDT,-0.00072611,1745964000001,0.10327455
SIGNUSDT,-0.00100597,1745967600004,0.09990000
SIGNUSDT,-0.00038401,1745971200001,0.10100428
SIGNUSDT,-0.00003820,1745974800003,0.09926499
SIGNUSDT,-0.00017411,1745978400004,0.09471766
SIGNUSDT,0.00001250,1745982000000,0.09592173
SIGNUSDT,0.00001250,1745985600001,0.09539000
SIGNUSDT,0.00001250,1745989200005,0.09665968
SIGNUSDT,-0.00010250,1745992800002,0.10137000
SIGNUSDT,-0.00034086,1745996400000,0.10022000
SIGNUSDT,-0.00066754,1746000000000,0.10503518
SIGNUSDT,-0.00148682,1746003600003,0.10431002
SIGNUSDT,-0.00113098,1746007200002,0.10060149
SIGNUSDT,-0.00087945,1746010800003,0.10014905
SIGNUSDT,-0.00086420,1746014400001,0.09779000
SIGNUSDT,-0.00122387,1746018000000,0.09649176
SIGNUSDT,-0.00073316,1746021600000,0.09124906
SIGNUSDT,-0.00085058,1746025200007,0.09294696
SIGNUSDT,-0.00059914,1746028800003,0.09467723
SIGNUSDT,-0.00081267,1746032400003,0.09337000
SIGNUSDT,-0.00073856,1746036000001,0.09409440
SIGNUSDT,-0.00090241,1746039600000,0.09303000
SIGNUSDT,-0.00077772,1746043200002,0.09388000
SIGNUSDT,-0.00044651,1746046800000,0.09399000
SIGNUSDT,-0.00077221,1746050400001,0.09488232
SIGNUSDT,-0.00073367,1746054000000,0.09517338
SIGNUSDT,-0.00049621,1746057600000,0.09548166
SIGNUSDT,-0.00073145,1746061200000,0.09559278
SIGNUSDT,-0.00116635,1746064800000,0.09915074
SIGNUSDT,-0.00072891,1746068400008,0.09663000
SIGNUSDT,-0.00083835,1746072000008,0.09700000
SIGNUSDT,-0.00013083,1746075600001,0.09548000
SIGNUSDT,-0.00010991,1746079200000,0.09435366
SIGNUSDT,-0.00016164,1746082800000,0.09487000
SIGNUSDT,0.00000977,1746086400000,0.09396215
SIGNUSDT,-0.00024464,1746090000000,0.09289775
SIGNUSDT,-0.00035528,1746093600005,0.09338680
SIGNUSDT,-0.00011039,1746097200000,0.09313315
SIGNUSDT,-0.00020265,1746100800001,0.09225000
SIGNUSDT,-0.00124324,1746104400004,0.09299000
SIGNUSDT,-0.00172245,1746108000003,0.09245390
SIGNUSDT,-0.00232136,1746111600001,0.09372000
SIGNUSDT,-0.00078269,1746115200001,0.08963000
SIGNUSDT,-0.00090138,1746118800000,0.08711000
SIGNUSDT,-0.00127129,1746122400000,0.08846294
SIGNUSDT,-0.00247885,1746126000005,0.08801684
SIGNUSDT,-0.00115823,1746129600000,0.08696000
SIGNUSDT,-0.00092841,1746133200003,0.08755125
SIGNUSDT,-0.00050428,1746136800000,0.08825000
SIGNUSDT,-0.00063504,1746140400002,0.08774146
SIGNUSDT,-0.00047252,1746144000000,0.08750000
SIGNUSDT,-0.00101952,1746147600000,0.08630323
SIGNUSDT,-0.00137092,1746151200007,0.08498000
SIGNUSDT,-0.00126682,1746154800007,0.08823060
SIGNUSDT,-0.00164911,1746158400000,0.08931051
SIGNUSDT,-0.00241846,1746162000000,0.08797273
SIGNUSDT,-0.00168329,1746165600006,0.08689000
SIGNUSDT,-0.00082507,1746169200000,0.08656000
SIGNUSDT,0.00001250,1746172800000,0.08573000
SIGNUSDT,0.00000341,1746176400003,0.08545000
SIGNUSDT,0.00001250,1746180000001,0.08540000
SIGNUSDT,-0.00005028,1746183600000,0.08527624
SIGNUSDT,0.00001250,1746187200005,0.08468000
SIGNUSDT,0.00001250,1746190800000,0.08495488
SIGNUSDT,0.00001250,1746194400002,0.08514000
SIGNUSDT,0.00001250,1746198000001,0.08531078
SIGNUSDT,0.00001250,1746201600003,0.08439134
SIGNUSDT,0.00001250,1746205200000,0.08284270
SIGNUSDT,0.00001250,1746208800001,0.08348259
SIGNUSDT,0.00001250,1746212400012,0.08326000
SIGNUSDT,0.00001250,1746216000003,0.08307000
SIGNUSDT,0.00001250,1746219600003,0.08341000
SIGNUSDT,0.00001250,1746223200006,0.08335774
SIGNUSDT,0.00001250,1746226800001,0.08362000
SIGNUSDT,-0.00004319,1746230400000,0.08430169
SIGNUSDT,-0.00040087,1746234000001,0.08644951
SIGNUSDT,-0.00114902,1746237600001,0.08751194
SIGNUSDT,-0.00139551,1746241200000,0.08720391
SIGNUSDT,-0.00073852,1746244800001,0.08682549
SIGNUSDT,-0.00018556,1746248400000,0.08675651
SIGNUSDT,-0.00018283,1746252000000,0.08792306
SIGNUSDT,-0.00002787,1746255600001,0.08847000
SIGNUSDT,-0.00051824,1746259200000,0.08855806
SIGNUSDT,-0.00068860,1746262800004,0.09037000
SIGNUSDT,-0.00420956,1746266400000,0.09460868
SIGNUSDT,-0.00142608,1746270000000,0.09174000
SIGNUSDT,-0.00064074,1746273600006,0.09072778
SIGNUSDT,0.00001250,1746277200002,0.08962000
SIGNUSDT,0.00001250,1746280800000,0.08929150
SIGNUSDT,0.00001250,1746284400000,0.09090000
SIGNUSDT,-0.00018068,1746288000000,0.09313948
SIGNUSDT,-0.00404766,1746291600002,0.09596000
SIGNUSDT,-0.00168926,1746295200001,0.09492000
SIGNUSDT,-0.00166111,1746298800010,0.09440651
SIGNUSDT,-0.00018329,1746302400000,0.09376000
SIGNUSDT,0.00001250,1746306000000,0.09326000
SIGNUSDT,0.00001250,1746309600000,0.09292872
SIGNUSDT,0.00001250,1746313200000,0.09531000
SIGNUSDT,0.00001250,1746316800001,0.09261000
SIGNUSDT,-0.00010461,1746320400006,0.08913000
SIGNUSDT,0.00001250,1746324000001,0.08771432
SIGNUSDT,0.00001250,1746327600000,0.08509244
SIGNUSDT,0.00001250,1746331200004,0.08459607
SIGNUSDT,0.00001250,1746334800000,0.08510739
SIGNUSDT,0.00001250,1746338400000,0.08446054
SIGNUSDT,0.00001250,1746342000000,0.08452113
SIGNUSDT,0.00001250,1746345600001,0.08396973
SIGNUSDT,0.00001250,1746349200001,0.08303000
SIGNUSDT,0.00001250,1746352800001,0.08218773
SIGNUSDT,0.00001250,1746356400003,0.08274013
SIGNUSDT,-0.00015135,1746360000006,0.08401000
SIGNUSDT,-0.00045962,1746363600003,0.08358945
SIGNUSDT,0.00001250,1746367200000,0.08302000
SIGNUSDT,0.00001250,1746370800005,0.08346000
SIGNUSDT,-0.00019423,1746374400002,0.08240000
SIGNUSDT,-0.00057196,1746378000000,0.08309000
SIGNUSDT,-0.00068196,1746381600000,0.08335000
SIGNUSDT,-0.00115515,1746385200007,0.08406143
SIGNUSDT,-0.00094978,1746388800000,0.08561000
SIGNUSDT,0.00001041,1746392400000,0.08385000
SIGNUSDT,-0.00009635,1746396000003,0.08437659
SIGNUSDT,-0.00031037,1746399600001,0.08395755
SIGNUSDT,-0.00011141,1746403200000,0.08369587
SIGNUSDT,-0.00029154,1746406800000,0.08273665
SIGNUSDT,-0.00016522,1746410400000,0.08094937
SIGNUSDT,0.00001250,1746414000001,0.08334058
SIGNUSDT,-0.00001045,1746417600000,0.08230780
SIGNUSDT,0.00001250,1746421200002,0.08254841
SIGNUSDT,0.00001250,1746424800006,0.08283000
SIGNUSDT,0.00001250,1746428400004,0.08217000
SIGNUSDT,0.00001250,1746432000000,0.08150969
SIGNUSDT,0.00001250,1746435600000,0.08130000
SIGNUSDT,0.00001250,1746439200000,0.08042000
SIGNUSDT,0.00001250,1746442800000,0.07899513
SIGNUSDT,0.00001250,1746446400000,0.07898035
SIGNUSDT,0.00001250,1746450000003,0.07927441
SIGNUSDT,0.00001250,1746453600002,0.07925000
SIGNUSDT,0.00001250,1746457200000,0.07954910
SIGNUSDT,0.00001250,1746460800006,0.07867000
SIGNUSDT,0.00001250,1746464400000,0.07870000
SIGNUSDT,0.00001250,1746468000001,0.07904000
SIGNUSDT,0.00001250,1746471600000,0.07896000
SIGNUSDT,-0.00007233,1746475200000,0.07868000
SIGNUSDT,0.00001250,1746478800004,0.07830052
SIGNUSDT,0.00001250,1746482400003,0.07887000
SIGNUSDT,0.00001250,1746486000000,0.07913000
SIGNUSDT,-0.00010069,1746489600002,0.07906158
SIGNUSDT,0.00001250,1746493200001,0.07822506
SIGNUSDT,0.00001250,1746496800000,0.07788615
SIGNUSDT,0.00001250,1746500400005,0.07932000
SIGNUSDT,0.00001250,1746504000000,0.08017000
SIGNUSDT,0.00001250,1746507600002,0.08079788
SIGNUSDT,0.00001250,1746511200006,0.07998000
SIGNUSDT,0.00001250,1746514800002,0.07959807
SIGNUSDT,0.00001250,1746518400005,0.07873000
SIGNUSDT,-0.00024393,1746522000007,0.07491000
SIGNUSDT,-0.00021582,1746525600004,0.07409000
SIGNUSDT,-0.00075258,1746529200000,0.07556813
SIGNUSDT,-0.00000569,1746532800000,0.07409708
SIGNUSDT,-0.00029794,1746536400004,0.07512696
SIGNUSDT,0.00001250,1746540000000,0.07611000
SIGNUSDT,0.00001250,1746543600000,0.07696179
SIGNUSDT,0.00001250,1746547200000,0.07623000
SIGNUSDT,0.00001250,1746550800002,0.07620000
SIGNUSDT,0.00001250,1746554400002,0.07772365
SIGNUSDT,0.00001250,1746558000011,0.07873980
SIGNUSDT,0.00001250,1746561600000,0.07812386
SIGNUSDT,0.00001250,1746565200001,0.07673836
SIGNUSDT,0.00001250,1746568800000,0.07615799
SIGNUSDT,0.00001250,1746572400000,0.07791879
SIGNUSDT,0.00001250,1746576000002,0.07724000
SIGNUSDT,0.00001250,1746579600000,0.07697000
SIGNUSDT,0.00001250,1746583200003,0.07859000
SIGNUSDT,0.00001250,1746586800001,0.07779084
SIGNUSDT,0.00001250,1746590400004,0.07653000
SIGNUSDT,0.00001250,1746594000001,0.07594000
SIGNUSDT,0.00001250,1746597600001,0.07519494
SIGNUSDT,0.00001250,1746601200008,0.07482000
SIGNUSDT,0.00001250,1746604800000,0.07510169
SIGNUSDT,0.00001250,1746608400000,0.07495000
