symbol,funding_rate,funding_time,mark_price
SUIUSDT,0.00010000,1683129600011,
SUIUSDT,-0.00192157,1683158400000,
SUIUSDT,-0.00003131,1683187200000,
SUIUSDT,-0.00111865,1683216000011,
SUIUSDT,-0.00032820,1683244800002,
SUIUSDT,0.00010000,1683273600000,
SUIUSDT,0.00010000,1683302400000,
SUIUSDT,0.00010000,1683331200009,
SUIUSDT,0.00010000,1683360000000,
SUIUSDT,0.00010000,1683388800000,
SUIUSDT,0.00010000,1683417600000,
SUIUSDT,0.00010000,1683446400000,
SUIUSDT,0.00010000,1683475200006,
SUIUSDT,0.00010000,1683504000000,
SUIUSDT,-0.00001972,1683532800007,
SUIUSDT,-0.00012136,1683561600015,
SUIUSDT,-0.00099759,1683590400015,
SUIUSDT,-0.00001113,1683619200000,
SUIUSDT,-0.00132376,1683648000000,
SUIUSDT,-0.00254000,1683676800007,
SUIUSDT,-0.00286299,1683705600003,
SUIUSDT,0.00010000,1683734400000,
SUIUSDT,0.00005483,1683763200011,
SUIUSDT,-0.00017154,1683792000000,
SUIUSDT,0.00010000,1683820800005,
SUIUSDT,-0.00007031,1683849600020,
SUIUSDT,-0.00005917,1683878400001,
SUIUSDT,-0.00005787,1683907200010,
SUIUSDT,0.00001178,1683936000000,
SUIUSDT,0.00008279,1683964800000,
SUIUSDT,0.00010000,1683993600026,
SUIUSDT,0.00010000,1684022400029,
SUIUSDT,0.00010000,1684051200010,
SUIUSDT,0.00010000,1684080000008,
SUIUSDT,0.00004780,1684108800006,
SUIUSDT,-0.00006129,1684137600005,
SUIUSDT,-0.00006221,1684166400008,
SUIUSDT,-0.00021438,1684195200021,
SUIUSDT,-0.00046704,1684224000000,
SUIUSDT,0.00000143,1684252800000,
SUIUSDT,-0.00001752,1684281600010,
SUIUSDT,0.00004174,1684310400000,
SUIUSDT,0.00010000,1684339200001,
SUIUSDT,0.00004980,1684368000000,
SUIUSDT,0.00010000,1684396800026,
SUIUSDT,0.00002045,1684425600019,
SUIUSDT,0.00000034,1684454400000,
SUIUSDT,0.00010000,1684483200002,
SUIUSDT,0.00010000,1684512000000,
SUIUSDT,0.00010000,1684540800005,
SUIUSDT,0.00010000,1684569600014,
SUIUSDT,0.00010000,1684598400020,
SUIUSDT,0.00010000,1684627200014,
SUIUSDT,0.00010000,1684656000001,
SUIUSDT,0.00010000,1684684800015,
SUIUSDT,0.00004126,1684713600028,
SUIUSDT,0.00004541,1684742400000,
SUIUSDT,0.00010000,1684771200012,
SUIUSDT,0.00009707,1684800000006,
SUIUSDT,0.00010000,1684828800014,
SUIUSDT,0.00010000,1684857600008,
SUIUSDT,0.00010000,1684886400000,
SUIUSDT,-0.00001585,1684915200025,
SUIUSDT,0.00004230,1684944000008,
SUIUSDT,-0.00005261,1684972800000,
SUIUSDT,0.00010000,1685001600025,
SUIUSDT,0.00010000,1685030400016,
SUIUSDT,0.00010000,1685059200000,
SUIUSDT,0.00010000,1685088000024,
SUIUSDT,0.00010000,1685116800012,
SUIUSDT,0.00010000,1685145600012,
SUIUSDT,0.00010000,1685174400018,
SUIUSDT,0.00010000,1685203200008,
SUIUSDT,0.00010000,1685232000017,
SUIUSDT,0.00010000,1685260800015,
SUIUSDT,0.00010000,1685289600000,
SUIUSDT,0.00010000,1685318400000,
SUIUSDT,0.00010000,1685347200020,
SUIUSDT,0.00010000,1685376000011,
SUIUSDT,0.00010000,1685404800003,
SUIUSDT,0.00010000,1685433600000,
