symbol,funding_rate,funding_time,mark_price
SWELLUSDT,0.00010000,1731081600000,0.05058160
SWELLUSDT,-0.00048426,1731096000000,0.04894000
SWELLUSDT,0.00005000,1731110400000,0.05561000
SWELLUSDT,-0.00021338,1731124800000,0.05925000
SWELLUSDT,-0.00078890,1731139200000,0.06321960
SWELLUSDT,-0.00057526,1731153600000,0.06567000
SWELLUSDT,-0.00226116,1731168000000,0.06300890
SWELLUSDT,0.00005000,1731182400000,0.06149920
SWELLUSDT,0.00005000,1731196800000,0.06175000
SWELLUSDT,0.00005000,1731211200000,0.06078706
SWELLUSDT,-0.00026201,1731225600000,0.06045262
SWELLUSDT,0.00005000,1731240000000,0.06157226
SWELLUSDT,0.00023704,1731254400000,0.05350000
SWELLUSDT,-0.00056790,1731268800000,0.05460165
SWELLUSDT,-0.00117959,1731283200001,0.04915378
SWELLUSDT,0.00029818,1731297600000,0.04997980
SWELLUSDT,0.00006470,1731312000000,0.04401660
SWELLUSDT,0.00005000,1731326400000,0.04649571
SWELLUSDT,-0.00065625,1731340800000,0.04638800
SWELLUSDT,-0.00068335,1731355200000,0.04618104
SWELLUSDT,0.00005000,1731369600002,0.04387960
SWELLUSDT,0.00036620,1731384000000,0.04098000
SWELLUSDT,0.00005000,1731398400000,0.04113968
SWELLUSDT,-0.00062557,1731412800000,0.03689440
SWELLUSDT,0.00005000,1731427200000,0.03608837
SWELLUSDT,0.00020473,1731441600000,0.03646345
SWELLUSDT,0.00005000,1731456000000,0.03772000
SWELLUSDT,-0.00248808,1731470400000,0.04025000
SWELLUSDT,0.00028271,1731484800010,0.03825242
SWELLUSDT,0.00019775,1731499200001,0.03811275
SWELLUSDT,0.00035029,1731513600000,0.03654183
SWELLUSDT,0.00010721,1731528000000,0.03540784
SWELLUSDT,0.00037982,1731542400001,0.03514182
SWELLUSDT,-0.00557379,1731556800000,0.05731000
SWELLUSDT,-0.00801056,1731571200000,0.04293378
SWELLUSDT,0.00076874,1731585600001,0.03856398
SWELLUSDT,0.00038810,1731600000000,0.03709059
SWELLUSDT,0.00014029,1731614400000,0.03892250
SWELLUSDT,0.00008365,1731628800000,0.03640000
SWELLUSDT,0.00014916,1731643200001,0.03754208
SWELLUSDT,0.00044321,1731657600000,0.03970062
SWELLUSDT,0.00052849,1731672000000,0.03916000
SWELLUSDT,0.00052737,1731686400000,0.03656975
SWELLUSDT,0.00015156,1731700800000,0.03715000
SWELLUSDT,0.00037257,1731715200001,0.03872599
SWELLUSDT,0.00054065,1731729600001,0.03934000
SWELLUSDT,0.00060566,1731744000001,0.03901066
SWELLUSDT,0.00052818,1731758400000,0.03924893
SWELLUSDT,0.00030888,1731772800000,0.04452850
SWELLUSDT,0.00013568,1731787200000,0.04455580
SWELLUSDT,0.00005000,1731801600000,0.04358552
SWELLUSDT,0.00005594,1731816000000,0.04023635
SWELLUSDT,0.00039088,1731830400000,0.04101400
SWELLUSDT,0.00065272,1731844800000,0.04079838
SWELLUSDT,0.00028839,1731859200001,0.04023000
SWELLUSDT,0.00005000,1731873600001,0.03929305
SWELLUSDT,0.00012700,1731888000000,0.03898000
SWELLUSDT,0.00043379,1731902400000,0.03966000
SWELLUSDT,0.00057111,1731916800000,0.03959042
SWELLUSDT,0.00055866,1731931200000,0.03832878
SWELLUSDT,0.00076351,1731945600000,0.03952000
SWELLUSDT,0.00061383,1731960000000,0.03846000
SWELLUSDT,0.00066638,1731974400000,0.03942000
SWELLUSDT,0.00057530,1731988800000,0.03847000
SWELLUSDT,0.00074770,1732003200000,0.03801117
SWELLUSDT,0.00034115,1732017600000,0.03803000
SWELLUSDT,0.00052026,1732032000000,0.03718308
SWELLUSDT,0.00056652,1732046400001,0.03735636
SWELLUSDT,0.00009578,1732060800003,0.03642743
SWELLUSDT,0.00028285,1732075200000,0.03466000
SWELLUSDT,0.00030228,1732089600000,0.03501268
SWELLUSDT,0.00007195,1732104000000,0.03481775
SWELLUSDT,0.00034936,1732118400000,0.03448000
SWELLUSDT,0.00023886,1732132800000,0.03259129
SWELLUSDT,0.00005000,1732147200001,0.03246000
SWELLUSDT,0.00005000,1732161600000,0.03173866
SWELLUSDT,0.00023200,1732176000000,0.03220000
SWELLUSDT,0.00041492,1732190400000,0.03153524
SWELLUSDT,0.00055277,1732204800001,0.03394000
SWELLUSDT,0.00047192,1732219200000,0.03547000
SWELLUSDT,0.00058519,1732233600000,0.03466000
SWELLUSDT,0.00043561,1732248000000,0.03411853
SWELLUSDT,0.00048764,1732262400000,0.03375071
SWELLUSDT,0.00056460,1732276800000,0.03415552
SWELLUSDT,0.00046701,1732291200001,0.03296000
SWELLUSDT,0.00022396,1732305600000,0.03231993
SWELLUSDT,0.00045454,1732320000000,0.03377737
SWELLUSDT,0.00061423,1732334400000,0.03470000
SWELLUSDT,0.00073962,1732348800000,0.03539833
SWELLUSDT,0.00052677,1732363200000,0.03596013
SWELLUSDT,0.00060619,1732377600000,0.03759000
SWELLUSDT,0.00067906,1732392000000,0.03733605
SWELLUSDT,0.00057186,1732406400001,0.03726434
SWELLUSDT,0.00041117,1732420800000,0.03668085
SWELLUSDT,0.00005000,1732435200000,0.03662856
SWELLUSDT,0.00025770,1732449600000,0.03414000
SWELLUSDT,0.00005000,1732464000000,0.03271655
SWELLUSDT,0.00005000,1732478400000,0.03410000
SWELLUSDT,0.00026112,1732492800000,0.03579000
SWELLUSDT,0.00019929,1732507200000,0.03557000
SWELLUSDT,0.00022041,1732521600000,0.03580156
