symbol,funding_rate,funding_time,mark_price
SXPUSDT,0.00010000,1595318400001,
SXPUSDT,0.00054850,1595347200004,
SXPUSDT,0.00036336,1595376000000,
SXPUSDT,0.00010000,1595404800000,
SXPUSDT,0.00106871,1595433600000,
SXPUSDT,0.00175271,1595462400001,
SXPUSDT,0.00046031,1595491200000,
SXPUSDT,0.00054581,1595520000001,
SXPUSDT,0.00032898,1595548800000,
SXPUSDT,0.00026920,1595577600000,
SXPUSDT,0.00041129,1595606400000,
SXPUSDT,0.00044828,1595635200000,
SXPUSDT,0.00073526,1595664000001,
SXPUSDT,0.00143180,1595692800000,
SXPUSDT,0.00345027,1595721600000,
SXPUSDT,0.00302243,1595750400000,
SXPUSDT,0.00204839,1595779200000,
SXPUSDT,0.00169983,1595808000000,
SXPUSDT,0.00232952,1595836800000,
SXPUSDT,0.00139623,1595865600000,
SXPUSDT,0.00027178,1595894400000,
SXPUSDT,0.00078725,1595923200001,
SXPUSDT,0.00153218,1595952000000,
SXPUSDT,0.00067284,1595980800000,
SXPUSDT,0.00231303,1596009600000,
SXPUSDT,0.00171297,1596038400000,
SXPUSDT,0.00105417,1596067200000,
SXPUSDT,0.00144971,1596096000001,
SXPUSDT,0.00145256,1596124800000,
SXPUSDT,0.00139238,1596153600000,
SXPUSDT,0.00299769,1596182400001,
SXPUSDT,0.00148392,1596211200000,
SXPUSDT,0.00229542,1596240000005,
SXPUSDT,0.00256273,1596268800000,
SXPUSDT,0.00200578,1596297600001,
SXPUSDT,0.00622019,1596326400000,
SXPUSDT,0.00176244,1596355200001,
SXPUSDT,0.00010000,1596384000001,
SXPUSDT,0.00010000,1596412800000,
SXPUSDT,0.00050802,1596441600001,
SXPUSDT,0.00070691,1596470400000,
SXPUSDT,0.00010000,1596499200003,
SXPUSDT,0.00010000,1596528000000,
SXPUSDT,0.00077697,1596556800000,
SXPUSDT,0.00115887,1596585600000,
SXPUSDT,0.00143768,1596614400000,
SXPUSDT,0.00173283,1596643200000,
SXPUSDT,0.00174659,1596672000000,
SXPUSDT,0.00130407,1596700800007,
SXPUSDT,0.00186025,1596729600000,
SXPUSDT,0.00102141,1596758400001,
SXPUSDT,0.00194066,1596787200000,
SXPUSDT,0.00065143,1596816000000,
SXPUSDT,0.00058469,1596844800000,
SXPUSDT,0.00089020,1596873600000,
SXPUSDT,0.00189156,1596902400000,
SXPUSDT,0.00111821,1596931200000,
SXPUSDT,0.00122907,1596960000000,
SXPUSDT,0.00142119,1596988800000,
SXPUSDT,0.00247231,1597017600001,
SXPUSDT,0.00218915,1597046400000,
SXPUSDT,0.00160025,1597075200001,
SXPUSDT,0.00277118,1597104000001,
