symbol,funding_rate,funding_time,mark_price
TRIAUSDT,0.00005000,1770379200003,0.02574985
TRIAUSDT,-0.00223711,1770393600000,0.02424500
TRIAUSDT,0.00004758,1770408000005,0.02318285
TRIAUSDT,0.00003353,1770422400003,0.02384000
TRIAUSDT,0.00005000,1770436800024,0.02401797
TRIAUSDT,-0.00012090,1770451200000,0.02207000
TRIAUSDT,-0.00070388,1770465600007,0.02014844
TRIAUSDT,-0.00015505,1770480000010,0.01902000
TRIAUSDT,0.00005000,1770494400000,0.01967848
TRIAUSDT,-0.00020862,1770508800003,0.01884706
TRIAUSDT,-0.00150745,1770523200002,0.01746229
TRIAUSDT,-0.00181360,1770537600000,0.01728000
TRIAUSDT,-0.00075481,1770552000005,0.01703122
TRIAUSDT,-0.00053279,1770566400000,0.01584000
TRIAUSDT,-0.00002335,1770580800000,0.01717000
TRIAUSDT,0.00005000,1770595200002,0.01688716
TRIAUSDT,-0.00027814,1770609600012,0.01614000
TRIAUSDT,0.00005000,1770624000001,0.01648000
TRIAUSDT,0.00005000,1770638400003,0.01724000
TRIAUSDT,-0.00050800,1770652800007,0.01790000
TRIAUSDT,0.00005000,1770667200006,0.01732000
TRIAUSDT,-0.00010651,1770681600000,0.01767000
TRIAUSDT,0.00005000,1770696000000,0.01633362
TRIAUSDT,0.00005000,1770710400007,0.01548455
TRIAUSDT,0.00005000,1770724800000,0.01508613
TRIAUSDT,0.00005000,1770739200000,0.01445000
TRIAUSDT,0.00005000,1770753600007,0.01421150
TRIAUSDT,0.00005000,1770768000000,0.01465000
TRIAUSDT,-0.00006823,1770782400000,0.01428185
TRIAUSDT,0.00005000,1770796800006,0.01402000
TRIAUSDT,0.00005000,1770811200000,0.01498638
TRIAUSDT,0.00011863,1770825600000,0.01716162
TRIAUSDT,0.00005000,1770840000003,0.01575357
TRIAUSDT,0.00005000,1770854400000,0.01592319
TRIAUSDT,0.00005000,1770868800000,0.01749886
TRIAUSDT,0.00005000,1770883200001,0.01639253
TRIAUSDT,0.00005000,1770897600002,0.01563970
