symbol,funding_rate,funding_time,mark_price
UNIUSDT,0.00010000,1600329600012,
UNIUSDT,0.00010000,1600358400000,
UNIUSDT,0.00010000,1600387200001,
UNIUSDT,-0.00740000,1600416000002,
UNIUSDT,-0.00750000,1600444800002,
UNIUSDT,-0.00131719,1600473600000,
UNIUSDT,-0.00029712,1600502400005,
UNIUSDT,-0.00037158,1600531200008,
UNIUSDT,0.00011944,1600560000002,
UNIUSDT,0.00010000,1600588800005,
UNIUSDT,0.00071743,1600617600005,
UNIUSDT,0.00010000,1600646400000,
UNIUSDT,0.00010000,1600675200001,
UNIUSDT,0.00010000,1600704000000,
UNIUSDT,0.00010000,1600732800001,
UNIUSDT,0.00010000,1600761600000,
UNIUSDT,0.00010000,1600790400004,
UNIUSDT,0.00010000,1600819200007,
UNIUSDT,-0.00041675,1600848000001,
UNIUSDT,-0.00269894,1600876800001,
UNIUSDT,-0.00064055,1600905600000,
UNIUSDT,-0.00133393,1600934400000,
UNIUSDT,-0.00257834,1600963200000,
UNIUSDT,-0.00036761,1600992000009,
UNIUSDT,-0.00091582,1601020800045,
UNIUSDT,-0.00021653,1601049600000,
UNIUSDT,0.00010000,1601078400000,
UNIUSDT,0.00010000,1601107200000,
UNIUSDT,0.00010000,1601136000005,
UNIUSDT,0.00015401,1601164800000,
UNIUSDT,0.00016577,1601193600000,
UNIUSDT,0.00023287,1601222400019,
UNIUSDT,0.00067745,1601251200001,
UNIUSDT,0.00010000,1601280000000,
UNIUSDT,0.00025121,1601308800002,
UNIUSDT,0.00023149,1601337600000,
UNIUSDT,0.00034554,1601366400000,
UNIUSDT,0.00024027,1601395200000,
UNIUSDT,0.00030164,1601424000005,
UNIUSDT,0.00039594,1601452800000,
UNIUSDT,0.00010000,1601481600000,
UNIUSDT,0.00022484,1601510400000,
UNIUSDT,0.00028747,1601539200000,
UNIUSDT,0.00017782,1601568000000,
UNIUSDT,0.00051812,1601596800011,
UNIUSDT,0.00079814,1601625600000,
UNIUSDT,0.00010000,1601654400005,
UNIUSDT,0.00010000,1601683200000,
UNIUSDT,0.00010000,1601712000001,
UNIUSDT,0.00010000,1601740800000,
UNIUSDT,0.00010000,1601769600000,
UNIUSDT,0.00010000,1601798400003,
UNIUSDT,0.00010000,1601827200001,
UNIUSDT,0.00010000,1601856000000,
UNIUSDT,0.00010000,1601884800000,
UNIUSDT,0.00052962,1601913600012,
UNIUSDT,0.00010000,1601942400000,
UNIUSDT,0.00025766,1601971200005,
UNIUSDT,0.00060949,1602000000000,
UNIUSDT,0.00058529,1602028800000,
UNIUSDT,-0.00053524,1602057600000,
UNIUSDT,0.00010000,1602086400000,
UNIUSDT,-0.00029745,1602115200000,
UNIUSDT,0.00007316,1602144000009,
UNIUSDT,-0.00029459,1602172800003,
UNIUSDT,0.00028063,1602201600001,
UNIUSDT,0.00068859,1602230400000,
UNIUSDT,0.00039026,1602259200004,
UNIUSDT,0.00010000,1602288000005,
UNIUSDT,0.00010000,1602316800000,
UNIUSDT,0.00010000,1602345600011,
UNIUSDT,0.00010000,1602374400002,
UNIUSDT,0.00010000,1602403200003,
UNIUSDT,0.00010000,1602432000004,
UNIUSDT,0.00010000,1602460800001,
UNIUSDT,0.00010000,1602489600000,
UNIUSDT,0.00010000,1602518400011,
UNIUSDT,0.00010000,1602547200003,
UNIUSDT,0.00010000,1602576000000,
UNIUSDT,0.00010000,1602604800001,
UNIUSDT,0.00010000,1602633600001,
UNIUSDT,0.00010000,1602662400000,
UNIUSDT,0.00010000,1602691200001,
UNIUSDT,0.00010000,1602720000000,
UNIUSDT,0.00010000,1602748800000,
UNIUSDT,0.00010000,1602777600000,
UNIUSDT,0.00010000,1602806400002,
UNIUSDT,-0.00088690,1602835200003,
UNIUSDT,-0.00039167,1602864000000,
UNIUSDT,-0.00037420,1602892800006,
UNIUSDT,-0.00033851,1602921600007,
UNIUSDT,0.00001387,1602950400009,
UNIUSDT,-0.00065126,1602979200006,
UNIUSDT,-0.00013459,1603008000000,
UNIUSDT,0.00010000,1603036800000,
UNIUSDT,-0.00156203,1603065600000,
UNIUSDT,0.00010000,1603094400000,
UNIUSDT,0.00010000,1603123200000,
UNIUSDT,0.00010000,1603152000015,
UNIUSDT,0.00010000,1603180800000,
UNIUSDT,0.00010000,1603209600008,
UNIUSDT,0.00010000,1603238400009,
UNIUSDT,0.00010000,1603267200004,
UNIUSDT,0.00010000,1603296000000,
UNIUSDT,0.00010000,1603324800000,
UNIUSDT,0.00010000,1603353600000,
UNIUSDT,0.00011442,1603382400004,
UNIUSDT,0.00010000,1603411200007,
UNIUSDT,0.00010000,1603440000000,
UNIUSDT,0.00010000,1603468800000,
UNIUSDT,0.00020546,1603497600000,
UNIUSDT,0.00036615,1603526400000,
UNIUSDT,0.00046906,1603555200008,
UNIUSDT,0.00048222,1603584000005,
UNIUSDT,0.00039338,1603612800014,
UNIUSDT,0.00018870,1603641600000,
UNIUSDT,0.00010000,1603670400004,
UNIUSDT,0.00010000,1603699200000,
UNIUSDT,0.00010000,1603728000000,
UNIUSDT,0.00010000,1603756800000,
UNIUSDT,0.00010000,1603785600000,
UNIUSDT,0.00010000,1603814400000,
UNIUSDT,0.00010000,1603843200000,
UNIUSDT,0.00010000,1603872000006,
UNIUSDT,0.00010000,1603900800001,
UNIUSDT,0.00010000,1603929600000,
UNIUSDT,0.00010000,1603958400000,
UNIUSDT,0.00010000,1603987200000,
UNIUSDT,0.00010000,1604016000000,
UNIUSDT,0.00010000,1604044800002,
UNIUSDT,0.00010000,1604073600002,
UNIUSDT,0.00010000,1604102400003,
UNIUSDT,0.00010000,1604131200000,
UNIUSDT,0.00010000,1604160000000,
UNIUSDT,0.00010000,1604188800000,
UNIUSDT,0.00010000,1604217600000,
UNIUSDT,0.00010000,1604246400000,
UNIUSDT,0.00010000,1604275200000,
UNIUSDT,0.00010000,1604304000010,
UNIUSDT,0.00010000,1604332800000,
UNIUSDT,0.00010000,1604361600000,
UNIUSDT,0.00010000,1604390400004,
UNIUSDT,0.00010000,1604419200009,
UNIUSDT,0.00010000,1604448000000,
UNIUSDT,0.00010000,1604476800000,
UNIUSDT,0.00010000,1604505600005,
UNIUSDT,0.00010000,1604534400017,
UNIUSDT,0.00010000,1604563200001,
UNIUSDT,0.00010000,1604592000000,
UNIUSDT,0.00010000,1604620800000,
UNIUSDT,0.00010000,1604649600001,
UNIUSDT,0.00010000,1604678400001,
UNIUSDT,0.00010000,1604707200001,
UNIUSDT,0.00010000,1604736000000,
UNIUSDT,0.00010000,1604764800006,
UNIUSDT,0.00010000,1604793600000,
UNIUSDT,0.00010000,1604822400000,
UNIUSDT,0.00010000,1604851200000,
UNIUSDT,0.00010000,1604880000007,
UNIUSDT,0.00010000,1604908800001,
UNIUSDT,0.00010000,1604937600002,
UNIUSDT,0.00010000,1604966400003,
UNIUSDT,0.00010000,1604995200011,
UNIUSDT,0.00010000,1605024000000,
UNIUSDT,0.00010000,1605052800000,
UNIUSDT,0.00010000,1605081600009,
UNIUSDT,0.00010000,1605110400003,
UNIUSDT,0.00010000,1605139200001,
UNIUSDT,0.00010000,1605168000001,
UNIUSDT,0.00010000,1605196800000,
UNIUSDT,0.00010000,1605225600000,
UNIUSDT,0.00010000,1605254400000,
UNIUSDT,0.00010000,1605283200000,
UNIUSDT,-0.00128763,1605312000005,
UNIUSDT,0.00010000,1605340800004,
UNIUSDT,-0.00012312,1605369600001,
UNIUSDT,0.00010000,1605398400001,
UNIUSDT,-0.00031650,1605427200000,
UNIUSDT,0.00010000,1605456000003,
UNIUSDT,0.00010000,1605484800000,
UNIUSDT,0.00010000,1605513600010,
UNIUSDT,0.00010000,1605542400001,
UNIUSDT,0.00013445,1605571200002,
UNIUSDT,0.00028928,1605600000003,
UNIUSDT,0.00032445,1605628800003,
UNIUSDT,0.00114486,1605657600005,
UNIUSDT,0.00043001,1605686400006,
UNIUSDT,0.00020418,1605715200000,
UNIUSDT,0.00018911,1605744000008,
UNIUSDT,0.00011921,1605772800000,
UNIUSDT,0.00057968,1605801600001,
UNIUSDT,0.00053494,1605830400003,
UNIUSDT,0.00068796,1605859200005,
UNIUSDT,0.00096621,1605888000000,
UNIUSDT,0.00052513,1605916800000,
UNIUSDT,0.00052510,1605945600000,
UNIUSDT,0.00138876,1605974400001,
UNIUSDT,0.00096978,1606003200005,
