symbol,funding_rate,funding_time,mark_price
VIRTUALUSDT,0.00005000,1733846400000,1.55702438
VIRTUALUSDT,0.00005000,1733860800001,1.59249072
VIRTUALUSDT,0.00005000,1733875200000,1.56337877
VIRTUALUSDT,0.00005000,1733889600000,1.55402537
VIRTUALUSDT,0.00005000,1733904000000,1.59546177
VIRTUALUSDT,0.00005000,1733918400000,1.68266363
VIRTUALUSDT,0.00034335,1733932800001,1.75070000
VIRTUALUSDT,0.00048564,1733947200000,1.79844754
VIRTUALUSDT,0.00048074,1733961600001,1.90984858
VIRTUALUSDT,0.00052868,1733976000000,1.93861057
VIRTUALUSDT,0.00018596,1733990400000,1.85140000
VIRTUALUSDT,0.00005000,1734004800000,1.90360000
VIRTUALUSDT,0.00039230,1734019200001,1.92569840
VIRTUALUSDT,0.00032353,1734033600000,1.93604867
VIRTUALUSDT,0.00075747,1734048000000,2.17649233
VIRTUALUSDT,0.00019143,1734062400000,2.22740000
VIRTUALUSDT,0.00015709,1734076800000,2.35494844
VIRTUALUSDT,0.00043130,1734091200000,2.31786980
VIRTUALUSDT,0.00005000,1734105600001,2.33820000
VIRTUALUSDT,0.00005000,1734120000001,2.40759448
VIRTUALUSDT,0.00012785,1734134400000,2.46004424
VIRTUALUSDT,0.00005000,1734148800000,2.51117900
VIRTUALUSDT,0.00005000,1734163200000,2.46968464
VIRTUALUSDT,0.00005000,1734177600000,2.55583100
VIRTUALUSDT,0.00005000,1734192000000,2.57840000
VIRTUALUSDT,0.00005000,1734206400000,2.52000000
VIRTUALUSDT,0.00005000,1734220800000,2.45052808
VIRTUALUSDT,0.00005000,1734235200000,2.43410278
VIRTUALUSDT,0.00005000,1734249600000,2.35713744
VIRTUALUSDT,0.00034331,1734264000000,2.42560000
VIRTUALUSDT,0.00053698,1734278400000,2.47510000
VIRTUALUSDT,0.00056577,1734292800001,2.64350000
VIRTUALUSDT,0.00033599,1734307200000,2.71425403
VIRTUALUSDT,0.00017891,1734321600000,2.71140000
VIRTUALUSDT,0.00046139,1734336000001,2.84710000
VIRTUALUSDT,0.00030295,1734350400000,2.85464114
VIRTUALUSDT,0.00037550,1734364800000,3.15896675
VIRTUALUSDT,0.00108112,1734379200000,3.03469379
VIRTUALUSDT,0.00061077,1734393600000,2.95740000
VIRTUALUSDT,0.00005000,1734408000000,2.88290000
VIRTUALUSDT,0.00005000,1734422400000,2.78936465
VIRTUALUSDT,0.00015560,1734436800000,2.70836054
VIRTUALUSDT,0.00005000,1734451200000,2.58530000
VIRTUALUSDT,0.00005000,1734465600000,2.61204365
VIRTUALUSDT,0.00005000,1734480000000,2.57930000
VIRTUALUSDT,0.00005000,1734494400000,2.68440000
VIRTUALUSDT,0.00017240,1734508800000,2.79380825
VIRTUALUSDT,0.00005000,1734523200000,2.90030000
VIRTUALUSDT,0.00005000,1734537600000,2.74918725
VIRTUALUSDT,0.00005000,1734552000000,2.64920700
VIRTUALUSDT,0.00005000,1734566400000,2.53187150
VIRTUALUSDT,0.00005000,1734580800000,2.58200000
VIRTUALUSDT,-0.00043714,1734595200000,2.54959073
VIRTUALUSDT,-0.00004279,1734609600000,2.69750000
VIRTUALUSDT,-0.00016439,1734624000000,2.45627335
VIRTUALUSDT,0.00005000,1734638400000,2.24543525
VIRTUALUSDT,0.00005000,1734652800000,2.27140000
VIRTUALUSDT,0.00005000,1734667200001,2.31534870
VIRTUALUSDT,0.00005000,1734681600001,2.19361389
VIRTUALUSDT,0.00005000,1734696000000,2.05250214
VIRTUALUSDT,0.00005000,1734710400014,2.31681393
VIRTUALUSDT,0.00005000,1734724800000,2.65580000
VIRTUALUSDT,0.00005000,1734739200000,2.83079725
VIRTUALUSDT,-0.00001935,1734753600000,2.74343032
VIRTUALUSDT,-0.00022211,1734768000000,2.75451190
VIRTUALUSDT,0.00005000,1734782400000,2.70472911
VIRTUALUSDT,0.00005000,1734796800001,2.67183800
VIRTUALUSDT,0.00005000,1734811200000,2.63317015
VIRTUALUSDT,-0.00001614,1734825600000,2.50030000
VIRTUALUSDT,-0.00014083,1734840000000,2.46781211
VIRTUALUSDT,-0.00014862,1734854400000,2.41990000
VIRTUALUSDT,-0.00061891,1734868800000,2.44610000
VIRTUALUSDT,-0.00005811,1734883200000,2.36050000
VIRTUALUSDT,-0.00051710,1734897600000,2.25390000
VIRTUALUSDT,0.00003505,1734912000000,2.33200000
VIRTUALUSDT,0.00005000,1734926400000,2.47344333
VIRTUALUSDT,0.00005000,1734940800000,2.45470000
VIRTUALUSDT,0.00005000,1734955200000,2.68830800
VIRTUALUSDT,0.00005000,1734969600001,2.53519256
VIRTUALUSDT,0.00076141,1734984000000,2.77810000
VIRTUALUSDT,0.00077097,1734998400000,3.03307544
VIRTUALUSDT,0.00008990,1735012800000,3.10659968
VIRTUALUSDT,0.00043195,1735027200000,3.18160000
VIRTUALUSDT,0.00027822,1735041600000,3.16620000
VIRTUALUSDT,0.00034102,1735056000001,3.20069002
VIRTUALUSDT,0.00034179,1735070400000,3.06576687
VIRTUALUSDT,0.00029392,1735084800001,3.03760000
VIRTUALUSDT,0.00005598,1735099200001,2.93610149
VIRTUALUSDT,0.00005000,1735113600000,3.13318045
VIRTUALUSDT,0.00017593,1735128000000,3.14764807
VIRTUALUSDT,0.00024879,1735142400000,3.18510000
VIRTUALUSDT,0.00069132,1735156800000,3.13870000
VIRTUALUSDT,0.00027588,1735171200000,3.17180000
VIRTUALUSDT,0.00007819,1735185600001,3.19546232
VIRTUALUSDT,0.00025987,1735200000000,3.11769812
VIRTUALUSDT,0.00005000,1735214400000,2.98230000
VIRTUALUSDT,0.00005000,1735228800000,2.95190000
VIRTUALUSDT,0.00005000,1735243200001,2.96060000
VIRTUALUSDT,0.00005000,1735257600000,3.02707625
VIRTUALUSDT,0.00005000,1735272000000,3.06736940
VIRTUALUSDT,0.00005000,1735286400000,3.04896967
VIRTUALUSDT,0.00005000,1735300800000,3.29835667
VIRTUALUSDT,0.00039617,1735315200000,3.42449542
VIRTUALUSDT,0.00020808,1735329600001,3.53997630
VIRTUALUSDT,0.00046658,1735344000001,3.54670000
VIRTUALUSDT,0.00012161,1735358400000,3.48125070
VIRTUALUSDT,0.00005000,1735372800000,3.45800000
VIRTUALUSDT,0.00005000,1735387200000,3.42090000
VIRTUALUSDT,0.00005000,1735401600000,3.40682362
VIRTUALUSDT,0.00005000,1735416000000,3.31380000
VIRTUALUSDT,0.00005000,1735430400000,3.40888421
VIRTUALUSDT,0.00005000,1735444800000,3.46933325
VIRTUALUSDT,0.00005000,1735459200000,3.72830000
VIRTUALUSDT,0.00005095,1735473600000,3.65560000
VIRTUALUSDT,0.00005000,1735488000000,3.59276372
VIRTUALUSDT,0.00005000,1735502400000,3.68444364
VIRTUALUSDT,0.00005000,1735516800000,3.60113619
VIRTUALUSDT,0.00005000,1735531200001,3.48685263
VIRTUALUSDT,0.00005000,1735545600001,3.47135750
VIRTUALUSDT,0.00005000,1735560000000,3.55310000
VIRTUALUSDT,0.00005000,1735574400000,3.35851169
VIRTUALUSDT,0.00005000,1735588800000,3.54752944
VIRTUALUSDT,0.00010941,1735603200000,3.50980000
VIRTUALUSDT,0.00014430,1735617600000,3.47700000
VIRTUALUSDT,0.00005000,1735632000000,3.57542375
VIRTUALUSDT,0.00005000,1735646400001,3.72508538
VIRTUALUSDT,0.00050153,1735660800000,3.98510000
VIRTUALUSDT,0.00060540,1735675200000,4.01001451
VIRTUALUSDT,0.00039097,1735689600015,3.92638049
VIRTUALUSDT,0.00005000,1735704000004,4.10050000
VIRTUALUSDT,0.00005000,1735718400000,4.02610000
VIRTUALUSDT,0.00005000,1735732800002,3.91501030
VIRTUALUSDT,0.00005000,1735747200001,4.00530000
VIRTUALUSDT,0.00015421,1735761600000,4.26260000
VIRTUALUSDT,0.00009392,1735776000000,4.62346750
VIRTUALUSDT,0.00052046,1735790400000,4.89800000
VIRTUALUSDT,0.00061539,1735804800006,5.01540000
VIRTUALUSDT,0.00038893,1735819200007,4.65960000
VIRTUALUSDT,0.00019148,1735833600000,4.55790000
VIRTUALUSDT,0.00047109,1735848000001,4.45850000
VIRTUALUSDT,0.00014402,1735862400000,4.54160000
VIRTUALUSDT,0.00015881,1735876800001,4.43280217
VIRTUALUSDT,0.00042975,1735891200000,4.15990908
VIRTUALUSDT,0.00007510,1735905600000,4.28000000
VIRTUALUSDT,0.00013026,1735920000000,4.38517750
VIRTUALUSDT,0.00019636,1735934400001,4.28070000
VIRTUALUSDT,0.00039907,1735948800000,4.28370000
VIRTUALUSDT,0.00048010,1735963200000,4.21329492
VIRTUALUSDT,0.00038273,1735977600000,4.27560000
VIRTUALUSDT,0.00016348,1735992000000,4.22620000
VIRTUALUSDT,0.00010616,1736006400000,4.24385500
VIRTUALUSDT,0.00038943,1736020800001,4.33872192
VIRTUALUSDT,0.00037008,1736035200000,4.41834050
VIRTUALUSDT,0.00010653,1736049600000,4.40670000
VIRTUALUSDT,0.00005000,1736064000000,4.25440000
VIRTUALUSDT,0.00005000,1736078400000,4.13630000
VIRTUALUSDT,0.00013400,1736092800000,4.03808433
VIRTUALUSDT,0.00024609,1736107200000,4.02240958
VIRTUALUSDT,0.00017845,1736121600000,4.00620000
VIRTUALUSDT,0.00018741,1736136000000,4.14010000
VIRTUALUSDT,0.00015873,1736150400001,4.10670000
VIRTUALUSDT,0.00010463,1736164800000,4.14533750
VIRTUALUSDT,0.00036173,1736179200000,4.36550325
VIRTUALUSDT,0.00005000,1736193600000,4.18860000
VIRTUALUSDT,0.00005000,1736208000000,3.86390000
VIRTUALUSDT,0.00015398,1736222400000,3.88850000
VIRTUALUSDT,0.00013335,1736236800000,3.85517842
VIRTUALUSDT,0.00021172,1736251200001,3.83340000
VIRTUALUSDT,0.00032948,1736265600008,3.88470000
VIRTUALUSDT,0.00009221,1736280000000,3.66880000
VIRTUALUSDT,0.00005000,1736294400001,3.69611275
VIRTUALUSDT,0.00005000,1736308800006,3.64308317
VIRTUALUSDT,0.00039452,1736323200000,3.53228550
VIRTUALUSDT,0.00005000,1736337600000,3.47579250
VIRTUALUSDT,0.00005000,1736352000000,3.42150000
VIRTUALUSDT,0.00005000,1736366400000,3.63357167
VIRTUALUSDT,0.00005000,1736380800000,3.59208147
VIRTUALUSDT,0.00005000,1736395200001,3.36520000
VIRTUALUSDT,0.00005000,1736409600000,3.23011100
VIRTUALUSDT,0.00005000,1736424000000,3.30470000
VIRTUALUSDT,0.00016830,1736438400000,3.31299433
VIRTUALUSDT,0.00012146,1736452800000,3.10570000
VIRTUALUSDT,0.00042553,1736467200000,3.12180000
VIRTUALUSDT,0.00043750,1736481600000,3.22226325
VIRTUALUSDT,0.00031632,1736496000000,3.26449692
VIRTUALUSDT,0.00005000,1736510400000,3.32523333
VIRTUALUSDT,0.00005000,1736524800000,3.03921792
VIRTUALUSDT,0.00005000,1736539200001,3.23249000
VIRTUALUSDT,0.00005000,1736553600000,3.15276500
VIRTUALUSDT,0.00005000,1736568000000,2.91030000
VIRTUALUSDT,0.00005000,1736582400000,2.94789725
VIRTUALUSDT,0.00007989,1736596800000,2.96007267
VIRTUALUSDT,0.00005000,1736611200000,2.94856117
VIRTUALUSDT,0.00015844,1736625600000,2.95432759
VIRTUALUSDT,0.00005000,1736640000000,2.99242293
VIRTUALUSDT,0.00005000,1736654400000,2.95550000
VIRTUALUSDT,0.00005000,1736668800000,2.94484208
VIRTUALUSDT,0.00005000,1736683200000,2.81954367
VIRTUALUSDT,0.00005000,1736697600000,2.76647158
VIRTUALUSDT,0.00005000,1736712000000,2.70263583
VIRTUALUSDT,0.00005000,1736726400000,2.68448233
VIRTUALUSDT,0.00005000,1736740800000,2.53840000
VIRTUALUSDT,0.00018491,1736755200000,2.50151942
VIRTUALUSDT,0.00025646,1736769600000,2.24249767
VIRTUALUSDT,0.00012040,1736784000000,2.50004402
VIRTUALUSDT,0.00058570,1736798400000,2.44940000
VIRTUALUSDT,0.00078101,1736812800000,2.67350000
VIRTUALUSDT,0.00005000,1736827200000,2.60587611
VIRTUALUSDT,0.00005000,1736841600000,2.63100000
VIRTUALUSDT,0.00005000,1736856000000,2.73328908
VIRTUALUSDT,0.00005000,1736870400000,2.88499000
VIRTUALUSDT,0.00005000,1736884800000,2.97648033
VIRTUALUSDT,0.00005000,1736899200000,3.00861800
VIRTUALUSDT,0.00005000,1736913600000,2.92070000
VIRTUALUSDT,0.00005000,1736928000000,2.97460000
VIRTUALUSDT,0.00005000,1736942400000,2.99980667
VIRTUALUSDT,0.00005000,1736956800000,3.50735067
VIRTUALUSDT,0.00069850,1736971200000,3.96116567
VIRTUALUSDT,0.00032831,1736985600000,3.78614511
VIRTUALUSDT,0.00005000,1737000000000,3.70092189
VIRTUALUSDT,0.00005000,1737014400000,3.86269322
VIRTUALUSDT,0.00005000,1737028800000,3.74911289
VIRTUALUSDT,0.00005000,1737043200000,3.59378022
VIRTUALUSDT,0.00005000,1737057600000,3.54719389
VIRTUALUSDT,0.00005000,1737072000004,3.34520000
VIRTUALUSDT,0.00005000,1737086400000,3.45336533
VIRTUALUSDT,0.00005000,1737100800000,3.47410000
VIRTUALUSDT,0.00005000,1737115200013,3.42460667
VIRTUALUSDT,0.00005000,1737129600008,3.31605556
VIRTUALUSDT,0.00005000,1737144000005,3.33909667
VIRTUALUSDT,0.00005000,1737158400000,3.31977278
VIRTUALUSDT,0.00005000,1737172800003,3.02750733
VIRTUALUSDT,0.00005000,1737187200007,2.90650000
VIRTUALUSDT,0.00010146,1737201600000,2.92320000
VIRTUALUSDT,0.00005000,1737216000000,2.87943744
VIRTUALUSDT,0.00023894,1737230400000,2.94060000
VIRTUALUSDT,0.00005000,1737244800000,3.06407000
VIRTUALUSDT,0.00005000,1737259200000,3.01950700
VIRTUALUSDT,0.00015572,1737273600000,2.85030456
VIRTUALUSDT,0.00057200,1737288000000,2.84630000
VIRTUALUSDT,0.00011754,1737302400000,2.91609759
VIRTUALUSDT,0.00008480,1737316800000,2.99074933
VIRTUALUSDT,0.00033940,1737331200000,2.58500000
VIRTUALUSDT,0.00005000,1737345600000,2.63700000
VIRTUALUSDT,0.00033313,1737360000009,2.80091241
VIRTUALUSDT,0.00033463,1737374400002,2.71438644
VIRTUALUSDT,0.00025113,1737388800000,2.56780000
VIRTUALUSDT,0.00005000,1737403200001,2.68450161
VIRTUALUSDT,0.00021145,1737417600000,2.70289920
VIRTUALUSDT,0.00005000,1737432000000,2.52616067
VIRTUALUSDT,0.00013549,1737446400000,2.62060000
VIRTUALUSDT,0.00015813,1737460800000,2.59480000
VIRTUALUSDT,0.00012200,1737475200000,2.52450000
VIRTUALUSDT,0.00011537,1737489600000,2.76547956
VIRTUALUSDT,0.00018083,1737504000000,2.73130000
VIRTUALUSDT,0.00005000,1737518400000,2.98270000
VIRTUALUSDT,0.00005000,1737532800000,3.02610000
VIRTUALUSDT,0.00005000,1737547200000,3.02411790
VIRTUALUSDT,0.00005315,1737561600000,3.07710057
VIRTUALUSDT,0.00005000,1737576000000,2.91293963
VIRTUALUSDT,0.00017360,1737590400001,2.75400000
VIRTUALUSDT,0.00020618,1737604800001,2.62420000
VIRTUALUSDT,0.00005000,1737619200000,2.62800000
VIRTUALUSDT,0.00005000,1737633600000,2.61858383
VIRTUALUSDT,0.00017540,1737648000000,2.67439907
VIRTUALUSDT,0.00007720,1737662400000,2.61380000
VIRTUALUSDT,0.00005000,1737676800000,2.58150000
VIRTUALUSDT,0.00005000,1737691200000,2.54441320
VIRTUALUSDT,0.00005000,1737705600000,2.61338700
VIRTUALUSDT,0.00005000,1737720000001,2.66870000
VIRTUALUSDT,0.00005000,1737734400000,2.60085123
VIRTUALUSDT,0.00005000,1737748800000,2.59830693
VIRTUALUSDT,0.00005000,1737763200000,2.44212543
VIRTUALUSDT,0.00005000,1737777600000,2.42278940
VIRTUALUSDT,0.00005000,1737792000000,2.38138300
VIRTUALUSDT,0.00014336,1737806400000,2.63382930
VIRTUALUSDT,0.00005000,1737820800001,2.58056373
VIRTUALUSDT,0.00010527,1737835200001,2.52020000
VIRTUALUSDT,0.00020716,1737849600000,2.44040000
VIRTUALUSDT,0.00022233,1737864000000,2.51843920
VIRTUALUSDT,0.00005000,1737878400000,2.47400000
VIRTUALUSDT,0.00005000,1737892800000,2.50678400
VIRTUALUSDT,0.00005000,1737907200000,2.41120000
VIRTUALUSDT,0.00005000,1737921600000,2.41545000
VIRTUALUSDT,0.00005000,1737936000000,2.25388000
VIRTUALUSDT,0.00005000,1737950400000,2.11414220
VIRTUALUSDT,0.00005000,1737964800000,1.96308200
VIRTUALUSDT,0.00005000,1737979200001,1.97409600
VIRTUALUSDT,0.00005000,1737993600000,2.11896093
VIRTUALUSDT,0.00005000,1738008000000,2.09640493
VIRTUALUSDT,0.00005000,1738022400000,2.13670000
VIRTUALUSDT,0.00013175,1738036800000,2.09610000
VIRTUALUSDT,0.00005000,1738051200000,1.99797000
VIRTUALUSDT,0.00005000,1738065600000,2.00915700
VIRTUALUSDT,0.00005000,1738080000000,1.96927137
VIRTUALUSDT,0.00005000,1738094400000,1.95306300
VIRTUALUSDT,0.00005000,1738108800000,1.86633993
VIRTUALUSDT,0.00005000,1738123200001,1.92850000
VIRTUALUSDT,0.00005000,1738137600000,2.03780000
