symbol,funding_rate,funding_time,mark_price
VVVUSDT,0.00010000,1738137600000,11.08982051
VVVUSDT,-0.00049974,1738152000000,9.63571772
VVVUSDT,-0.00005666,1738166400000,8.80463821
VVVUSDT,0.00005000,1738180800000,9.37541780
VVVUSDT,0.00005000,1738195200000,9.40946008
VVVUSDT,0.00005000,1738209600000,8.69100000
VVVUSDT,0.00005000,1738224000000,7.42200965
VVVUSDT,0.00005000,1738238400000,7.82317631
VVVUSDT,-0.00028512,1738252800000,7.88100000
VVVUSDT,0.00005000,1738267200000,7.02898767
VVVUSDT,0.00005000,1738281600000,6.52512344
VVVUSDT,0.00005000,1738296000000,5.71760844
VVVUSDT,-0.00002990,1738310400000,5.79500000
VVVUSDT,0.00005000,1738324800001,6.04207943
VVVUSDT,0.00000720,1738339200000,6.04786850
VVVUSDT,0.00005000,1738353600000,5.64800000
VVVUSDT,0.00005000,1738368000000,5.66992063
VVVUSDT,0.00005000,1738382400000,5.66320632
VVVUSDT,-0.00012186,1738396800000,5.68379403
VVVUSDT,-0.00021156,1738411200000,5.42388306
VVVUSDT,0.00005000,1738425600000,5.32847155
VVVUSDT,-0.00017611,1738440000000,4.43624106
VVVUSDT,0.00003257,1738454400001,3.98100000
VVVUSDT,-0.00200769,1738468800000,3.89929495
VVVUSDT,-0.00028425,1738483200000,3.82400000
VVVUSDT,0.00005000,1738497600000,3.34600000
VVVUSDT,0.00005000,1738512000000,3.48715243
VVVUSDT,-0.00005724,1738526400000,3.31200000
VVVUSDT,-0.00019683,1738540800000,3.36506520
VVVUSDT,-0.00094419,1738555200000,2.94144276
VVVUSDT,-0.00002680,1738569600000,2.92350323
VVVUSDT,0.00005000,1738584000000,3.03800000
VVVUSDT,-0.00023535,1738598400000,4.11666368
VVVUSDT,-0.00102077,1738612800000,5.40200000
VVVUSDT,0.00004621,1738627200000,5.51336891
VVVUSDT,-0.00004598,1738641600001,4.48893255
VVVUSDT,-0.00132535,1738656000001,4.04089564
VVVUSDT,-0.00030591,1738670400001,4.13179292
VVVUSDT,-0.00215384,1738684800000,5.00750368
VVVUSDT,-0.00023227,1738699200000,5.09600000
VVVUSDT,-0.00010857,1738713600001,5.16265537
VVVUSDT,-0.00540914,1738728000000,5.57686327
VVVUSDT,-0.00264025,1738742400001,5.56573600
VVVUSDT,-0.00368843,1738756800000,6.23888766
VVVUSDT,-0.00094524,1738771200000,5.73044563
VVVUSDT,-0.00108927,1738785600000,5.79460315
VVVUSDT,-0.00637166,1738800000001,6.12700000
VVVUSDT,-0.00821490,1738814400001,6.09608221
VVVUSDT,-0.00511934,1738828800001,5.67770106
VVVUSDT,-0.00478348,1738843200000,5.83646502
VVVUSDT,-0.00332688,1738857600000,5.62600000
VVVUSDT,-0.00047806,1738872000000,5.08419742
VVVUSDT,-0.00376703,1738886400000,5.16100000
VVVUSDT,-0.00004855,1738900800000,5.39902094
VVVUSDT,-0.00020932,1738915200000,5.35665595
VVVUSDT,0.00003408,1738929600000,5.80886200
VVVUSDT,-0.00301708,1738944000000,6.72922863
VVVUSDT,-0.00034438,1738958400000,6.44100000
VVVUSDT,-0.00305808,1738972800000,6.11000000
VVVUSDT,-0.00036870,1738987200000,6.04154182
VVVUSDT,-0.00019541,1739001600000,6.05100000
VVVUSDT,-0.00282289,1739016000000,6.35327410
VVVUSDT,-0.00156874,1739030400000,6.05349718
VVVUSDT,-0.00063954,1739044800000,6.84684043
VVVUSDT,-0.00034919,1739059200000,7.29830790
VVVUSDT,-0.00069691,1739073600000,7.38215506
VVVUSDT,-0.00099881,1739088000000,6.82955801
VVVUSDT,-0.00111125,1739102400000,6.71805526
VVVUSDT,-0.00143664,1739116800000,7.10965461
VVVUSDT,-0.00070168,1739131200007,6.73487253
VVVUSDT,-0.00042561,1739145600000,7.13600000
VVVUSDT,-0.00020615,1739160000000,7.20260254
VVVUSDT,-0.00041316,1739174400000,7.27446810
VVVUSDT,-0.00044292,1739188800000,7.69907749
VVVUSDT,-0.00062628,1739203200000,8.02400000
VVVUSDT,-0.00131331,1739217600001,8.44840648
VVVUSDT,-0.00123791,1739232000000,8.14100000
VVVUSDT,-0.00028331,1739246400000,8.33643331
VVVUSDT,-0.00053058,1739260800000,8.22538628
VVVUSDT,-0.00030509,1739275200000,8.00662538
VVVUSDT,-0.00011757,1739289600000,7.96500000
VVVUSDT,-0.00018207,1739304000000,7.77900000
VVVUSDT,-0.00003324,1739318400000,7.28153461
VVVUSDT,-0.00017244,1739332800000,6.99700000
VVVUSDT,-0.00002765,1739347200000,6.45782781
VVVUSDT,-0.00094792,1739361600001,6.54716498
VVVUSDT,0.00005000,1739376000001,6.21400000
VVVUSDT,-0.00000285,1739390400000,6.49289775
VVVUSDT,0.00005000,1739404800001,6.35500000
VVVUSDT,0.00005000,1739419200000,6.35682519
VVVUSDT,0.00005000,1739433600000,5.83296127
VVVUSDT,0.00005000,1739448000000,5.42891036
VVVUSDT,0.00001634,1739462400001,5.36268474
VVVUSDT,0.00005000,1739476800000,5.43714761
VVVUSDT,0.00005000,1739491200000,5.57159658
VVVUSDT,-0.00012525,1739505600000,5.81100000
VVVUSDT,-0.00042976,1739520000001,6.34005042
VVVUSDT,-0.00027679,1739534400000,6.04590373
VVVUSDT,0.00005000,1739548800000,5.99100000
VVVUSDT,0.00005000,1739563200000,6.09600000
VVVUSDT,0.00005000,1739577600000,6.09333389
VVVUSDT,0.00005000,1739592000000,6.22665234
VVVUSDT,0.00005000,1739606400000,6.16208413
VVVUSDT,-0.00010561,1739620800000,6.00600000
VVVUSDT,-0.00021109,1739635200000,5.79574018
VVVUSDT,-0.00004248,1739649600001,5.76900000
VVVUSDT,-0.00006275,1739664000000,5.77195001
VVVUSDT,0.00005000,1739678400000,5.61464475
VVVUSDT,0.00003026,1739692800000,5.90328866
VVVUSDT,0.00005000,1739707200000,6.02116825
VVVUSDT,0.00005000,1739721600000,6.00394399
VVVUSDT,0.00005000,1739736000000,5.98763472
VVVUSDT,0.00005000,1739750400000,5.95300000
VVVUSDT,0.00002456,1739764800001,6.09030261
VVVUSDT,-0.00007208,1739779200000,5.70300000
VVVUSDT,0.00005000,1739793600004,6.12000000
VVVUSDT,0.00005000,1739808000000,5.83400000
VVVUSDT,-0.00017255,1739822400001,5.51764829
VVVUSDT,-0.00011043,1739836800000,5.61400000
VVVUSDT,-0.00009823,1739851200000,5.57393748
VVVUSDT,-0.00025328,1739865600000,5.22455781
VVVUSDT,-0.00013872,1739880000000,5.43362320
VVVUSDT,-0.00033778,1739894400000,5.39353982
VVVUSDT,0.00005000,1739908800000,5.43800000
VVVUSDT,0.00005000,1739923200000,5.30481756
VVVUSDT,-0.00006569,1739937600000,5.10900000
VVVUSDT,-0.00020787,1739952000000,4.96730685
VVVUSDT,-0.00024269,1739966400000,5.00200000
VVVUSDT,-0.00003752,1739980800000,5.07261478
VVVUSDT,0.00005000,1739995200000,5.02290619
VVVUSDT,-0.00024787,1740009600000,4.51900000
VVVUSDT,0.00005000,1740024000000,4.71700000
VVVUSDT,0.00005000,1740038400000,4.85932676
VVVUSDT,0.00005000,1740052800000,4.97649817
VVVUSDT,0.00005000,1740067200000,4.83006954
VVVUSDT,0.00005000,1740081600000,4.77300000
VVVUSDT,0.00005000,1740096000001,4.76062342
VVVUSDT,0.00005000,1740110400000,4.42134936
VVVUSDT,0.00005000,1740124800000,4.48000000
VVVUSDT,-0.00005392,1740139200000,4.63600000
VVVUSDT,-0.00021988,1740153600000,4.28426297
VVVUSDT,-0.00020750,1740168000000,4.27095499
VVVUSDT,-0.00017689,1740182400000,4.19236789
VVVUSDT,-0.00006397,1740196800000,4.21408548
VVVUSDT,0.00002015,1740211200000,4.36100000
VVVUSDT,-0.00007003,1740225600000,4.47700000
VVVUSDT,-0.00009220,1740240000000,4.57197531
VVVUSDT,0.00003762,1740254400000,4.36336676
VVVUSDT,-0.00006896,1740268800000,4.46800000
VVVUSDT,-0.00010131,1740283200000,4.38100000
VVVUSDT,-0.00003558,1740297600000,4.46054943
VVVUSDT,-0.00014582,1740312000000,4.36300000
VVVUSDT,-0.00077933,1740326400000,4.11747522
VVVUSDT,0.00005000,1740340800000,4.15643548
VVVUSDT,0.00005000,1740355200000,4.28672469
VVVUSDT,0.00005000,1740369600000,4.23159046
VVVUSDT,0.00000682,1740384000000,4.23100000
VVVUSDT,0.00000251,1740398400001,4.26300000
VVVUSDT,0.00004436,1740412800000,4.16600000
VVVUSDT,-0.00000610,1740427200000,4.47238826
VVVUSDT,0.00005000,1740441600000,4.40251478
VVVUSDT,0.00002291,1740456000000,4.45600000
VVVUSDT,-0.00000928,1740470400000,3.97691377
VVVUSDT,0.00005000,1740484800000,4.18628963
VVVUSDT,-0.00010795,1740499200000,3.99900000
VVVUSDT,0.00005000,1740513600000,4.52495625
VVVUSDT,0.00005000,1740528000000,4.69500000
VVVUSDT,0.00005000,1740542400000,4.60621148
VVVUSDT,0.00005000,1740556800000,4.55900000
VVVUSDT,0.00005000,1740571200001,4.30200000
VVVUSDT,0.00000045,1740585600000,4.47099119
VVVUSDT,0.00005000,1740600000000,4.31000000
VVVUSDT,0.00005000,1740614400001,4.56838451
VVVUSDT,0.00005000,1740628800001,4.49032231
VVVUSDT,0.00005000,1740643200000,4.39500000
VVVUSDT,-0.00016460,1740657600006,4.19000000
VVVUSDT,-0.00003247,1740672000000,4.21900000
VVVUSDT,-0.00012338,1740686400001,4.09115366
VVVUSDT,-0.00022229,1740700800001,3.97500000
VVVUSDT,-0.00017211,1740715200000,3.68596705
VVVUSDT,-0.00017009,1740729600000,3.70961450
VVVUSDT,-0.00016494,1740744000000,3.81600000
VVVUSDT,0.00005000,1740758400000,4.10407851
VVVUSDT,0.00001807,1740772800000,4.02000000
VVVUSDT,0.00005000,1740787200000,4.04138797
VVVUSDT,-0.00011445,1740801600000,4.02900000
VVVUSDT,0.00005000,1740816000000,4.01100000
VVVUSDT,0.00003073,1740830400001,3.90700000
VVVUSDT,-0.00003032,1740844800001,3.85080920
VVVUSDT,-0.00009358,1740859200000,3.85200000
VVVUSDT,0.00005000,1740873600000,3.88215521
VVVUSDT,-0.00001367,1740888000000,3.96372336
VVVUSDT,-0.00003764,1740902400000,3.94105236
VVVUSDT,-0.00025208,1740916800000,3.98429979
VVVUSDT,-0.00023061,1740931200000,3.90834277
VVVUSDT,0.00005000,1740945600000,4.17703743
VVVUSDT,-0.00007488,1740960000001,4.15011268
VVVUSDT,-0.00042930,1740974400000,3.91516360
VVVUSDT,-0.00059417,1740988800000,3.77200000
VVVUSDT,-0.00018537,1741003200001,3.74149817
VVVUSDT,-0.00029289,1741017600000,3.43200000
VVVUSDT,0.00005000,1741032000000,3.29900000
VVVUSDT,0.00001086,1741046400001,3.22100000
VVVUSDT,0.00005000,1741060800000,3.12087052
VVVUSDT,0.00005000,1741075200005,3.10300000
VVVUSDT,0.00005000,1741089600000,3.07030947
VVVUSDT,0.00005000,1741104000000,3.17453426
VVVUSDT,0.00005000,1741118400000,3.32158660
VVVUSDT,0.00005000,1741132800000,3.23225970
VVVUSDT,0.00005000,1741147200000,3.14300000
VVVUSDT,0.00005000,1741161600000,3.26530796
VVVUSDT,0.00005000,1741176000000,3.24856953
VVVUSDT,0.00005000,1741190400000,3.26493033
VVVUSDT,0.00005000,1741204800000,3.35300000
VVVUSDT,0.00005000,1741219200000,3.34650670
VVVUSDT,0.00005000,1741233600000,3.32216283
VVVUSDT,0.00005000,1741248000001,3.33901510
VVVUSDT,0.00005000,1741262400001,3.39475975
VVVUSDT,0.00005000,1741276800000,3.36900000
VVVUSDT,0.00005000,1741291200000,3.25256148
VVVUSDT,0.00005000,1741305600000,3.19997675
VVVUSDT,0.00005000,1741320000000,3.13750034
VVVUSDT,0.00005000,1741334400001,3.18600000
VVVUSDT,0.00005000,1741348800000,3.17485714
VVVUSDT,0.00005000,1741363200000,3.21278351
VVVUSDT,0.00005000,1741377600000,3.23757698
VVVUSDT,0.00005000,1741392000000,3.07158507
VVVUSDT,0.00005000,1741406400000,3.10500000
VVVUSDT,-0.00003339,1741420800001,3.08264236
VVVUSDT,-0.00019177,1741435200001,3.01600000
VVVUSDT,0.00005000,1741449600001,2.95259263
VVVUSDT,0.00005000,1741464000001,3.04600000
VVVUSDT,0.00005000,1741478400001,3.02509669
VVVUSDT,0.00005000,1741492800000,3.05100000
VVVUSDT,0.00005000,1741507200000,2.99569117
VVVUSDT,0.00005000,1741521600000,2.94601004
VVVUSDT,0.00005000,1741536000000,2.85009447
VVVUSDT,0.00005000,1741550400000,2.80600000
VVVUSDT,0.00005000,1741564800000,2.81200000
VVVUSDT,0.00005000,1741579200000,2.87295005
VVVUSDT,0.00005000,1741593600000,2.92513897
VVVUSDT,0.00005000,1741608000000,2.99618234
VVVUSDT,0.00005000,1741622400000,2.79433400
VVVUSDT,0.00005000,1741636800000,2.54285593
VVVUSDT,0.00005000,1741651200000,2.59900000
VVVUSDT,0.00005000,1741665600000,2.68200000
VVVUSDT,0.00005000,1741680000000,2.77244619
VVVUSDT,0.00005000,1741694400000,2.77315566
VVVUSDT,0.00005000,1741708800001,2.81500000
VVVUSDT,0.00005000,1741723200001,3.17400000
VVVUSDT,0.00005000,1741737600000,3.10875650
VVVUSDT,0.00005000,1741752000001,3.16351217
VVVUSDT,0.00005000,1741766400000,3.21092492
VVVUSDT,0.00005000,1741780800000,3.20819894
VVVUSDT,0.00005000,1741795200001,3.24818571
VVVUSDT,0.00005000,1741809600000,3.36411564
VVVUSDT,0.00002208,1741824000000,3.61447525
VVVUSDT,0.00005000,1741838400000,3.64059247
VVVUSDT,0.00005000,1741852800000,3.55100000
VVVUSDT,0.00005000,1741867200000,3.56400000
VVVUSDT,0.00003864,1741881600000,3.52714863
VVVUSDT,0.00005000,1741896000000,3.38796100
VVVUSDT,0.00005000,1741910400000,3.45548787
VVVUSDT,0.00005000,1741924800000,3.39500000
VVVUSDT,0.00005000,1741939200000,3.46494697
VVVUSDT,0.00005000,1741953600000,3.58000000
VVVUSDT,0.00005000,1741968000000,3.59657811
VVVUSDT,-0.00029514,1741982400000,3.48892180
VVVUSDT,0.00000282,1741996800000,3.37818742
VVVUSDT,-0.00002702,1742011200000,3.39110189
VVVUSDT,-0.00020007,1742025600000,3.43500000
VVVUSDT,0.00005000,1742040000000,3.48303829
VVVUSDT,-0.00002460,1742054400000,3.45552051
VVVUSDT,-0.00046604,1742068800000,3.51650737
VVVUSDT,-0.00033826,1742083200000,3.49566592
VVVUSDT,-0.00032418,1742097600000,3.75922706
VVVUSDT,-0.00056627,1742112000000,3.73800000
VVVUSDT,-0.00102288,1742126400000,3.88000000
VVVUSDT,-0.00103749,1742140800000,3.76500000
VVVUSDT,-0.00036558,1742155200000,3.67100000
VVVUSDT,-0.00031193,1742169600000,3.60000000
VVVUSDT,-0.00073937,1742184000000,3.65900000
VVVUSDT,-0.00036088,1742198400000,3.71100000
VVVUSDT,-0.00036097,1742212800000,3.71674788
VVVUSDT,-0.00052691,1742227200000,3.65800000
VVVUSDT,-0.00050275,1742241600000,3.61086320
VVVUSDT,-0.00031508,1742256000000,3.53764154
VVVUSDT,-0.00056865,1742270400000,3.42270146
VVVUSDT,-0.00046285,1742284800000,3.37897203
VVVUSDT,0.00005000,1742299200001,3.33735952
VVVUSDT,-0.00037542,1742313600000,3.27800000
VVVUSDT,-0.00037555,1742328000000,3.32226945
VVVUSDT,-0.00022768,1742342400000,3.28200000
VVVUSDT,-0.00002221,1742356800000,3.28429048
VVVUSDT,-0.00010925,1742371200000,3.28018515
VVVUSDT,-0.00036759,1742385600000,3.35300000
VVVUSDT,-0.00005711,1742400000000,3.31935960
VVVUSDT,-0.00002756,1742414400000,3.28500000
VVVUSDT,-0.00037950,1742428800000,3.36600000
VVVUSDT,-0.00078571,1742443200000,3.35800000
VVVUSDT,-0.00022329,1742457600000,3.33014999
VVVUSDT,-0.00076686,1742472000000,3.47900000
VVVUSDT,-0.00019717,1742486400000,3.37632002
VVVUSDT,0.00005000,1742500800000,3.38618152
VVVUSDT,0.00005000,1742515200000,3.32502674
VVVUSDT,-0.00027909,1742529600000,3.26200000
VVVUSDT,0.00001417,1742544000000,3.22891429
VVVUSDT,-0.00060198,1742558400000,3.22650514
VVVUSDT,0.00005000,1742572800000,3.14533743
VVVUSDT,0.00005000,1742587200000,3.16764409
VVVUSDT,0.00000477,1742601600000,3.12703944
VVVUSDT,-0.00006087,1742616000001,3.24160049
VVVUSDT,0.00005000,1742630400004,3.18395231
VVVUSDT,-0.00026765,1742644800013,3.21400000
VVVUSDT,0.00005000,1742659200000,3.16832012
VVVUSDT,0.00000761,1742673600001,3.32210059
VVVUSDT,-0.00012252,1742688000000,3.23500000
VVVUSDT,0.00001004,1742702400000,3.20785408
VVVUSDT,0.00005000,1742716800000,3.12696166
VVVUSDT,0.00005000,1742731200000,3.05400000
VVVUSDT,-0.00022948,1742745600000,2.99400000
VVVUSDT,-0.00010866,1742760000000,3.00591869
VVVUSDT,0.00005000,1742774400000,3.02766523
VVVUSDT,0.00005000,1742788800000,3.08225336
VVVUSDT,0.00005000,1742803200000,3.23100000
VVVUSDT,0.00005000,1742817600000,3.27395475
VVVUSDT,0.00005000,1742832000000,3.18241020
VVVUSDT,0.00005000,1742846400004,3.17587606
VVVUSDT,0.00005000,1742860800001,3.17794818
VVVUSDT,-0.00004108,1742875200000,3.10200088
VVVUSDT,-0.00004718,1742889600000,3.01210952
VVVUSDT,0.00005000,1742904000000,3.09137661
VVVUSDT,0.00005000,1742918400000,3.09299524
VVVUSDT,0.00005000,1742932800000,3.11700000
VVVUSDT,0.00005000,1742947200000,3.09954784
VVVUSDT,-0.00031736,1742961600001,3.06700000
VVVUSDT,0.00005000,1742976000000,3.18772345
VVVUSDT,0.00005000,1742990400000,3.23280355
VVVUSDT,-0.00020521,1743004800001,3.05100000
VVVUSDT,-0.00029378,1743019200000,3.03825966
VVVUSDT,-0.00015382,1743033600001,2.98200000
VVVUSDT,-0.00021375,1743048000000,3.07100000
VVVUSDT,-0.00020049,1743062400001,3.02300000
VVVUSDT,-0.00014958,1743076800000,2.98100000
VVVUSDT,0.00005000,1743091200002,2.98018885
VVVUSDT,0.00005000,1743105600000,2.91200000
VVVUSDT,0.00005000,1743120000001,2.92283531
VVVUSDT,0.00002509,1743134400000,2.87400000
VVVUSDT,0.00001186,1743148800001,2.75400000
VVVUSDT,0.00005000,1743163200000,2.82200000
VVVUSDT,0.00001045,1743177600000,2.78700000
VVVUSDT,0.00005000,1743192000000,2.76455442
VVVUSDT,0.00005000,1743206400000,2.78700000
VVVUSDT,-0.00008179,1743220800001,2.72400000
VVVUSDT,-0.00003727,1743235200000,2.68136427
VVVUSDT,0.00000425,1743249600000,2.59800000
VVVUSDT,0.00005000,1743264000000,2.62200000
VVVUSDT,-0.00002388,1743278400000,2.58940607
VVVUSDT,0.00005000,1743292800000,2.62500000
VVVUSDT,-0.00024604,1743307200000,2.64927651
VVVUSDT,-0.00045409,1743321600000,2.66448333
VVVUSDT,-0.00018505,1743336000000,2.64127143
VVVUSDT,0.00001321,1743350400000,2.69603684
VVVUSDT,-0.00013584,1743364800000,2.68200000
VVVUSDT,0.00001094,1743379200000,2.67700000
VVVUSDT,0.00005000,1743393600000,2.63800000
VVVUSDT,-0.00022435,1743408000000,2.61436905
VVVUSDT,0.00005000,1743422400000,2.69836513
VVVUSDT,-0.00024671,1743436800000,2.66100988
VVVUSDT,-0.00027490,1743451200000,2.61544214
VVVUSDT,0.00002066,1743465600000,2.58735947
VVVUSDT,-0.00006129,1743480000001,2.66300000
VVVUSDT,-0.00008044,1743494400001,2.67400000
VVVUSDT,-0.00034405,1743508800000,2.62471429
VVVUSDT,-0.00007332,1743523200000,2.77422905
VVVUSDT,-0.00016467,1743537600003,2.67100000
VVVUSDT,0.00005000,1743552000001,2.72200000
VVVUSDT,-0.00027370,1743566400001,2.59000000
VVVUSDT,-0.00016839,1743580800000,2.56800000
VVVUSDT,0.00005000,1743595200002,2.61100000
VVVUSDT,0.00005000,1743609600000,2.63900000
VVVUSDT,-0.00022485,1743624000000,2.52761216
VVVUSDT,-0.00050341,1743638400000,2.35500000
VVVUSDT,-0.00038522,1743652800000,2.42201532
VVVUSDT,-0.00005752,1743667200000,2.36257762
VVVUSDT,-0.00004985,1743681600000,2.33444991
VVVUSDT,-0.00011817,1743696000000,2.27300000
VVVUSDT,-0.00004165,1743710400000,2.30285714
VVVUSDT,-0.00004869,1743724800000,2.31800000
VVVUSDT,-0.00015327,1743739200000,2.41037920
VVVUSDT,-0.00006611,1743753600000,2.44345999
VVVUSDT,0.00001324,1743768000000,2.33950806
VVVUSDT,-0.00023326,1743782400000,2.45740982
VVVUSDT,-0.00021177,1743796800001,2.47125501
VVVUSDT,-0.00009811,1743811200000,2.44100000
VVVUSDT,-0.00014512,1743825600000,2.42100000
VVVUSDT,0.00005000,1743840000000,2.42500000
VVVUSDT,-0.00002715,1743854400000,2.42148022
VVVUSDT,-0.00019762,1743868800000,2.36846945
VVVUSDT,0.00005000,1743883200000,2.39284762
VVVUSDT,0.00005000,1743897600000,2.40564680
VVVUSDT,-0.00039108,1743912000000,2.35565952
VVVUSDT,0.00004522,1743926400000,2.33313810
VVVUSDT,0.00004102,1743940800001,2.34563095
VVVUSDT,-0.00040857,1743955200002,2.31224762
VVVUSDT,-0.00024004,1743969600001,2.13400000
VVVUSDT,0.00005000,1743984000000,2.10376508
VVVUSDT,-0.00019303,1743998400000,2.03415984
VVVUSDT,-0.00021869,1744012800000,1.84631769
VVVUSDT,-0.00003636,1744027200000,1.88829753
VVVUSDT,0.00005000,1744041600000,2.06331731
VVVUSDT,0.00005000,1744056000000,2.03504253
VVVUSDT,-0.00013598,1744070400000,2.00900000
VVVUSDT,-0.00004911,1744084800000,2.05600000
VVVUSDT,0.00005000,1744099200000,2.03927158
VVVUSDT,-0.00018728,1744113600000,2.10017606
VVVUSDT,0.00000931,1744128000000,2.00800000
VVVUSDT,-0.00010770,1744142400000,1.93530831
VVVUSDT,0.00003426,1744156800000,1.88877453
VVVUSDT,-0.00029918,1744171200000,1.85137540
VVVUSDT,-0.00007183,1744185600001,1.92515723
VVVUSDT,0.00002421,1744200000000,1.88464872
VVVUSDT,-0.00008299,1744214400000,1.92800443
VVVUSDT,0.00005000,1744228800000,2.14742857
VVVUSDT,0.00005000,1744243200000,2.15300000
VVVUSDT,0.00001086,1744257600000,2.07100000
VVVUSDT,-0.00053863,1744272000000,2.00000000
VVVUSDT,-0.00031055,1744286400000,2.00185714
VVVUSDT,-0.00012225,1744300800000,1.89269960
VVVUSDT,-0.00002843,1744315200000,1.93071429
VVVUSDT,0.00005000,1744329600001,1.95901429
VVVUSDT,-0.00025570,1744344000001,2.04488256
VVVUSDT,-0.00035527,1744358400000,2.04100000
VVVUSDT,0.00001236,1744372800000,2.06835585
VVVUSDT,-0.00006101,1744387200000,2.06428852
VVVUSDT,-0.00007320,1744401600001,2.09470025
VVVUSDT,0.00002962,1744416000000,2.08700000
VVVUSDT,0.00005000,1744430400000,2.07609762
VVVUSDT,0.00005000,1744444800001,2.16889568
VVVUSDT,-0.00061009,1744459200001,2.19033860
VVVUSDT,-0.00055801,1744473600000,2.30118697
VVVUSDT,-0.00038902,1744488000000,2.30140716
VVVUSDT,-0.00054097,1744502400000,2.29400000
VVVUSDT,-0.00041231,1744516800000,2.22300000
VVVUSDT,0.00004206,1744531200000,2.24217774
VVVUSDT,0.00003115,1744545600000,2.18371382
VVVUSDT,-0.00025614,1744560000000,2.09100000
VVVUSDT,-0.00030994,1744574400000,2.03900000
VVVUSDT,0.00003082,1744588800000,2.02354110
VVVUSDT,-0.00037645,1744603200000,2.12911391
VVVUSDT,0.00005000,1744617600000,2.10700000
VVVUSDT,0.00003593,1744632000002,2.16542857
VVVUSDT,-0.00047527,1744646400000,2.04733510
VVVUSDT,0.00005000,1744660800000,2.03700000
VVVUSDT,-0.00011165,1744675200000,2.01394286
VVVUSDT,-0.00000366,1744689600001,2.07589709
VVVUSDT,-0.00036900,1744704000000,2.02000000
VVVUSDT,-0.00000115,1744718400000,1.99243350
VVVUSDT,0.00003534,1744732800001,1.97841800
VVVUSDT,-0.00044156,1744747200000,1.94388812
VVVUSDT,-0.00027233,1744761600000,1.94279334
VVVUSDT,-0.00005812,1744776000000,1.97574524
VVVUSDT,0.00005000,1744790400000,1.93428090
VVVUSDT,-0.00020677,1744804800000,1.97800000
VVVUSDT,-0.00031626,1744819200000,1.94500000
VVVUSDT,-0.00014068,1744833600000,1.94600000
VVVUSDT,-0.00010688,1744848000001,1.94900000
VVVUSDT,-0.00029569,1744862400000,1.96600000
VVVUSDT,0.00005000,1744876800000,2.10800000
VVVUSDT,-0.00038918,1744891200000,2.10300000
VVVUSDT,-0.00105535,1744905600001,2.22535708
VVVUSDT,-0.00042952,1744920000001,2.19077647
VVVUSDT,-0.00048276,1744934400000,2.17400000
VVVUSDT,-0.00048482,1744948800000,2.20300000
VVVUSDT,-0.00037825,1744963200000,2.20251741
VVVUSDT,-0.00045484,1744977600000,2.19600000
VVVUSDT,-0.00019393,1744992000000,2.17057143
VVVUSDT,-0.00011883,1745006400000,2.19500000
VVVUSDT,-0.00057766,1745020800000,2.16112803
VVVUSDT,-0.00015479,1745035200000,2.17200000
