symbol,funding_rate,funding_time,mark_price
WLDUSDT,-0.00001454,1690214400000,
WLDUSDT,0.00010000,1690243200000,
WLDUSDT,-0.00056380,1690272000000,
WLDUSDT,-0.00017855,1690300800000,
WLDUSDT,-0.00019517,1690329600000,
WLDUSDT,-0.00080385,1690358400001,
WLDUSDT,-0.00032028,1690387200000,
WLDUSDT,-0.00002886,1690416000000,
WLDUSDT,-0.00008107,1690444800000,
WLDUSDT,-0.00001054,1690473600001,
WLDUSDT,0.00010000,1690502400000,
WLDUSDT,-0.00015753,1690531200000,
WLDUSDT,0.00010000,1690560000000,
WLDUSDT,0.00010000,1690588800000,
WLDUSDT,0.00010000,1690617600000,
WLDUSDT,-0.00023169,1690646400001,
WLDUSDT,-0.00013029,1690675200000,
WLDUSDT,-0.00035637,1690704000000,
WLDUSDT,0.00008041,1690732800000,
WLDUSDT,-0.00007221,1690761600000,
WLDUSDT,0.00010000,1690790400000,
WLDUSDT,0.00005911,1690819200001,
WLDUSDT,0.00010000,1690848000000,
WLDUSDT,0.00010000,1690876800000,
WLDUSDT,0.00010000,1690905600000,
WLDUSDT,-0.00017752,1690934400000,
WLDUSDT,-0.00013767,1690963200000,
WLDUSDT,-0.00075961,1690992000000,
WLDUSDT,-0.00008857,1691020800000,
WLDUSDT,0.00002318,1691049600000,
WLDUSDT,0.00001977,1691078400001,
WLDUSDT,0.00010000,1691107200000,
WLDUSDT,0.00008902,1691136000000,
WLDUSDT,0.00010000,1691164800000,
WLDUSDT,0.00010000,1691193600000,
WLDUSDT,0.00010000,1691222400000,
WLDUSDT,0.00010000,1691251200001,
WLDUSDT,0.00010000,1691280000000,
WLDUSDT,0.00010000,1691308800001,
WLDUSDT,0.00010000,1691337600005,
WLDUSDT,0.00010000,1691366400000,
WLDUSDT,0.00010000,1691395200000,
WLDUSDT,0.00010000,1691424000000,
WLDUSDT,0.00010000,1691452800000,
WLDUSDT,0.00010000,1691481600000,
WLDUSDT,0.00010000,1691510400000,
WLDUSDT,0.00001282,1691539200000,
WLDUSDT,0.00009846,1691568000000,
WLDUSDT,0.00010000,1691596800000,
WLDUSDT,0.00010000,1691625600001,
WLDUSDT,0.00010000,1691654400000,
WLDUSDT,0.00010000,1691683200000,
WLDUSDT,0.00004218,1691712000000,
WLDUSDT,-0.00000257,1691740800000,
WLDUSDT,0.00006069,1691769600000,
WLDUSDT,0.00003449,1691798400000,
WLDUSDT,-0.00007653,1691827200000,
WLDUSDT,-0.00037121,1691856000000,
WLDUSDT,0.00002280,1691884800000,
WLDUSDT,-0.00010860,1691913600000,
WLDUSDT,0.00005123,1691942400000,
WLDUSDT,0.00008939,1691971200001,
WLDUSDT,0.00010000,1692000000000,
WLDUSDT,0.00010000,1692028800000,
WLDUSDT,0.00001207,1692057600001,
WLDUSDT,0.00010000,1692086400000,
WLDUSDT,0.00010000,1692115200000,
WLDUSDT,0.00010000,1692144000000,
WLDUSDT,0.00010000,1692172800001,
WLDUSDT,0.00010000,1692201600000,
WLDUSDT,0.00010000,1692230400000,
WLDUSDT,0.00010000,1692259200000,
WLDUSDT,0.00010000,1692288000000,
WLDUSDT,-0.00018571,1692316800000,
WLDUSDT,-0.00000336,1692345600000,
WLDUSDT,-0.00012995,1692374400000,
WLDUSDT,-0.00033439,1692403200000,
WLDUSDT,-0.00009203,1692432000000,
WLDUSDT,-0.00022594,1692460800000,
WLDUSDT,-0.00024597,1692489600000,
WLDUSDT,-0.00029980,1692518400000,
WLDUSDT,-0.00021455,1692547200000,
WLDUSDT,-0.00019510,1692576000000,
WLDUSDT,-0.00012137,1692604800000,
WLDUSDT,-0.00014984,1692633600000,
WLDUSDT,-0.00014210,1692662400000,
WLDUSDT,-0.00025633,1692691200000,
WLDUSDT,-0.00009213,1692720000000,
WLDUSDT,-0.00006283,1692748800000,
WLDUSDT,-0.00016125,1692777600000,
WLDUSDT,-0.00020587,1692806400000,
WLDUSDT,-0.00006233,1692835200000,
WLDUSDT,0.00000059,1692864000000,
WLDUSDT,-0.00006423,1692892800000,
WLDUSDT,-0.00011298,1692921600000,
WLDUSDT,-0.00021868,1692950400000,
WLDUSDT,-0.00007326,1692979200000,
WLDUSDT,-0.00009747,1693008000000,
WLDUSDT,-0.00017396,1693036800000,
WLDUSDT,-0.00019896,1693065600000,
WLDUSDT,-0.00004393,1693094400000,
WLDUSDT,-0.00001188,1693123200000,
WLDUSDT,-0.00001732,1693152000000,
WLDUSDT,-0.00003125,1693180800000,
WLDUSDT,0.00010000,1693209600001,
WLDUSDT,0.00000220,1693238400001,
WLDUSDT,-0.00001485,1693267200000,
WLDUSDT,-0.00004947,1693296000000,
WLDUSDT,-0.00041739,1693324800000,
WLDUSDT,0.00010000,1693353600000,
WLDUSDT,0.00010000,1693382400000,
WLDUSDT,0.00008579,1693411200000,
WLDUSDT,0.00010000,1693440000000,
