symbol,funding_rate,funding_time,mark_price
XRPUSDT,0.00010000,1578297600000,
XRPUSDT,0.00487889,1578326400000,
XRPUSDT,0.00180851,1578355200000,
XRPUSDT,0.00075005,1578384000001,
XRPUSDT,0.00022266,1578412800000,
XRPUSDT,0.00010000,1578441600000,
XRPUSDT,0.00139017,1578470400000,
XRPUSDT,0.00065731,1578499200001,
XRPUSDT,0.00010000,1578528000000,
XRPUSDT,0.00010000,1578556800000,
XRPUSDT,0.00010000,1578585600000,
XRPUSDT,0.00010000,1578614400000,
XRPUSDT,0.00010000,1578643200000,
XRPUSDT,0.00010000,1578672000000,
XRPUSDT,0.00010000,1578700800000,
XRPUSDT,0.00010000,1578729600000,
XRPUSDT,0.00010000,1578758400000,
XRPUSDT,0.00010000,1578787200000,
XRPUSDT,0.00010000,1578816000000,
XRPUSDT,0.00010000,1578844800000,
XRPUSDT,0.00022677,1578873600001,
XRPUSDT,0.00010000,1578902400000,
XRPUSDT,0.00010000,1578931200000,
XRPUSDT,0.00023193,1578960000000,
XRPUSDT,0.00010000,1578988800000,
XRPUSDT,0.00058179,1579017600001,
XRPUSDT,0.00275417,1579046400000,
XRPUSDT,0.00181173,1579075200000,
XRPUSDT,0.00180187,1579104000000,
XRPUSDT,0.00109311,1579132800000,
XRPUSDT,0.00010000,1579161600000,
XRPUSDT,0.00010000,1579190400000,
XRPUSDT,0.00010000,1579219200000,
XRPUSDT,0.00010000,1579248000000,
XRPUSDT,0.00010000,1579276800000,
XRPUSDT,0.00010000,1579305600001,
XRPUSDT,0.00010000,1579334400001,
XRPUSDT,0.00033018,1579363200000,
XRPUSDT,0.00185072,1579392000000,
XRPUSDT,0.00164121,1579420800000,
XRPUSDT,0.00087585,1579449600000,
XRPUSDT,0.00049196,1579478400000,
XRPUSDT,0.00010000,1579507200000,
XRPUSDT,0.00010000,1579536000000,
XRPUSDT,0.00010000,1579564800000,
XRPUSDT,0.00010000,1579593600000,
XRPUSDT,0.00034253,1579622400000,
XRPUSDT,0.00017282,1579651200000,
XRPUSDT,0.00013911,1579680000001,
XRPUSDT,0.00010000,1579708800000,
XRPUSDT,0.00042104,1579737600000,
XRPUSDT,0.00029574,1579766400000,
XRPUSDT,0.00010000,1579795200000,
XRPUSDT,0.00010000,1579824000000,
XRPUSDT,0.00010000,1579852800000,
XRPUSDT,0.00010000,1579881600001,
XRPUSDT,0.00010000,1579910400000,
XRPUSDT,0.00010000,1579939200000,
XRPUSDT,0.00010000,1579968000001,
XRPUSDT,0.00010000,1579996800000,
XRPUSDT,0.00010000,1580025600000,
XRPUSDT,0.00010000,1580054400000,
XRPUSDT,0.00010000,1580083200000,
XRPUSDT,0.00010000,1580112000001,
XRPUSDT,0.00010000,1580140800000,
XRPUSDT,0.00010000,1580169600000,
XRPUSDT,0.00025437,1580198400000,
XRPUSDT,0.00029490,1580227200000,
XRPUSDT,0.00111354,1580256000001,
XRPUSDT,0.00108821,1580284800000,
XRPUSDT,0.00129547,1580313600002,
XRPUSDT,0.00104493,1580342400000,
XRPUSDT,0.00084960,1580371200000,
XRPUSDT,0.00094568,1580400000000,
XRPUSDT,0.00163247,1580428800000,
XRPUSDT,0.00139455,1580457600000,
XRPUSDT,0.00065705,1580486400000,
XRPUSDT,0.00011588,1580515200000,
XRPUSDT,0.00021319,1580544000000,
XRPUSDT,0.00034136,1580572800000,
XRPUSDT,0.00073987,1580601600000,
XRPUSDT,0.00052875,1580630400000,
XRPUSDT,0.00070499,1580659200000,
XRPUSDT,0.00076429,1580688000000,
XRPUSDT,0.00060280,1580716800000,
XRPUSDT,0.00068694,1580745600000,
XRPUSDT,0.00097581,1580774400000,
XRPUSDT,0.00065478,1580803200001,
XRPUSDT,0.00087324,1580832000000,
XRPUSDT,0.00084913,1580860800002,
XRPUSDT,0.00015617,1580889600000,
XRPUSDT,0.00055073,1580918400000,
XRPUSDT,0.00154527,1580947200000,
XRPUSDT,0.00185237,1580976000000,
XRPUSDT,0.00129262,1581004800000,
XRPUSDT,0.00121796,1581033600000,
XRPUSDT,0.00107989,1581062400000,
XRPUSDT,0.00194481,1581091200001,
XRPUSDT,0.00098417,1581120000000,
XRPUSDT,0.00031831,1581148800000,
XRPUSDT,0.00068328,1581177600000,
XRPUSDT,0.00090964,1581206400000,
XRPUSDT,0.00094769,1581235200000,
XRPUSDT,0.00123672,1581264000000,
XRPUSDT,0.00084757,1581292800000,
XRPUSDT,0.00108900,1581321600000,
XRPUSDT,0.00073909,1581350400009,
XRPUSDT,0.00050019,1581379200000,
XRPUSDT,0.00063707,1581408000000,
XRPUSDT,0.00069900,1581436800000,
XRPUSDT,0.00271290,1581465600000,
XRPUSDT,0.00412417,1581494400001,
XRPUSDT,0.00225375,1581523200000,
XRPUSDT,0.00260997,1581552000001,
XRPUSDT,0.00399863,1581580800000,
XRPUSDT,0.00071174,1581609600000,
XRPUSDT,0.00046998,1581638400000,
XRPUSDT,0.00065324,1581667200000,
XRPUSDT,0.00123369,1581696000000,
XRPUSDT,0.00203384,1581724800000,
XRPUSDT,0.00074374,1581753600000,
XRPUSDT,0.00092091,1581782400000,
XRPUSDT,0.00010000,1581811200000,
XRPUSDT,0.00061959,1581840000000,
XRPUSDT,0.00013594,1581868800000,
XRPUSDT,0.00010000,1581897600000,
XRPUSDT,0.00010000,1581926400000,
XRPUSDT,0.00027680,1581955200000,
XRPUSDT,0.00032492,1581984000000,
XRPUSDT,0.00052507,1582012800000,
XRPUSDT,0.00047347,1582041600000,
XRPUSDT,0.00090213,1582070400000,
XRPUSDT,0.00063226,1582099200001,
XRPUSDT,0.00068491,1582128000000,
XRPUSDT,0.00014727,1582156800004,
XRPUSDT,0.00010000,1582185600000,
XRPUSDT,0.00010000,1582214400000,
XRPUSDT,0.00010000,1582243200000,
XRPUSDT,0.00021036,1582272000000,
XRPUSDT,0.00020904,1582300800000,
XRPUSDT,0.00017202,1582329600000,
XRPUSDT,0.00039830,1582358400001,
XRPUSDT,0.00036526,1582387200000,
XRPUSDT,0.00024281,1582416000000,
XRPUSDT,0.00064350,1582444800000,
XRPUSDT,0.00064068,1582473600000,
XRPUSDT,0.00045487,1582502400015,
XRPUSDT,0.00020174,1582531200000,
XRPUSDT,0.00010000,1582560000000,
XRPUSDT,0.00030932,1582588800001,
XRPUSDT,0.00029794,1582617600000,
XRPUSDT,0.00011103,1582646400001,
XRPUSDT,0.00010000,1582675200000,
