symbol,funding_rate,funding_time,mark_price
ZECUSDT,0.00010000,1580803200001,
ZECUSDT,0.00010000,1580832000000,
ZECUSDT,0.00010000,1580860800002,
ZECUSDT,0.00010000,1580889600000,
ZECUSDT,0.00043339,1580918400000,
ZECUSDT,0.00020820,1580947200000,
ZECUSDT,0.00080653,1580976000000,
ZECUSDT,0.00230612,1581004800000,
ZECUSDT,0.00294495,1581033600000,
ZECUSDT,0.00157251,1581062400000,
ZECUSDT,0.00407061,1581091200001,
ZECUSDT,0.00279491,1581120000000,
ZECUSDT,0.00133546,1581148800000,
ZECUSDT,0.00216647,1581177600000,
ZECUSDT,0.00258652,1581206400000,
ZECUSDT,0.00203331,1581235200000,
ZECUSDT,0.00232274,1581264000000,
ZECUSDT,0.00167637,1581292800000,
ZECUSDT,0.00087709,1581321600000,
ZECUSDT,0.00170397,1581350400009,
ZECUSDT,0.00187233,1581379200000,
ZECUSDT,0.00163620,1581408000000,
ZECUSDT,0.00107205,1581436800000,
ZECUSDT,0.00189552,1581465600000,
ZECUSDT,0.00357992,1581494400001,
ZECUSDT,0.00205988,1581523200000,
ZECUSDT,0.00215033,1581552000001,
ZECUSDT,0.00307153,1581580800000,
ZECUSDT,0.00032779,1581609600000,
ZECUSDT,0.00016377,1581638400000,
ZECUSDT,0.00010000,1581667200000,
ZECUSDT,0.00116953,1581696000000,
ZECUSDT,0.00266854,1581724800000,
ZECUSDT,0.00189436,1581753600000,
ZECUSDT,0.00228777,1581782400000,
ZECUSDT,0.00012316,1581811200000,
ZECUSDT,0.00010000,1581840000000,
ZECUSDT,0.00010000,1581868800000,
ZECUSDT,0.00010000,1581897600000,
ZECUSDT,0.00010000,1581926400000,
ZECUSDT,0.00010000,1581955200000,
ZECUSDT,0.00010000,1581984000000,
ZECUSDT,0.00010000,1582012800000,
ZECUSDT,0.00014757,1582041600000,
ZECUSDT,0.00126202,1582070400000,
ZECUSDT,0.00125256,1582099200001,
ZECUSDT,0.00158252,1582128000000,
ZECUSDT,0.00040562,1582156800004,
ZECUSDT,0.00010000,1582185600000,
ZECUSDT,0.00010000,1582214400000,
ZECUSDT,0.00018372,1582243200000,
ZECUSDT,0.00010000,1582272000000,
ZECUSDT,0.00082904,1582300800000,
ZECUSDT,0.00010000,1582329600000,
ZECUSDT,0.00010000,1582358400001,
ZECUSDT,0.00022003,1582387200000,
ZECUSDT,0.00010000,1582416000000,
ZECUSDT,0.00047539,1582444800000,
ZECUSDT,0.00051094,1582473600000,
ZECUSDT,0.00064695,1582502400015,
ZECUSDT,0.00080841,1582531200000,
ZECUSDT,0.00075726,1582560000000,
ZECUSDT,0.00026112,1582588800001,
ZECUSDT,0.00010000,1582617600000,
ZECUSDT,0.00022717,1582646400001,
ZECUSDT,0.00033159,1582675200000,
ZECUSDT,0.00010000,1582704000001,
ZECUSDT,0.00010000,1582732800000,
ZECUSDT,0.00010000,1582761600001,
ZECUSDT,0.00010000,1582790400001,
ZECUSDT,0.00010000,1582819200000,
ZECUSDT,0.00010000,1582848000000,
ZECUSDT,0.00010000,1582876800000,
ZECUSDT,0.00010128,1582905600000,
ZECUSDT,0.00046544,1582934400000,
ZECUSDT,0.00065467,1582963200000,
ZECUSDT,0.00015666,1582992000000,
ZECUSDT,0.00010000,1583020800000,
ZECUSDT,0.00012782,1583049600000,
ZECUSDT,0.00010000,1583078400001,
ZECUSDT,0.00010000,1583107200000,
ZECUSDT,0.00010000,1583136000000,
ZECUSDT,0.00010000,1583164800004,
ZECUSDT,0.00010000,1583193600000,
ZECUSDT,0.00021947,1583222400003,
ZECUSDT,0.00010000,1583251200000,
ZECUSDT,0.00010000,1583280000002,
ZECUSDT,0.00010000,1583308800000,
ZECUSDT,0.00010000,1583337600001,
ZECUSDT,0.00010000,1583366400000,
ZECUSDT,0.00045193,1583395200000,
ZECUSDT,0.00023215,1583424000000,
ZECUSDT,0.00010000,1583452800003,
ZECUSDT,0.00025137,1583481600000,
ZECUSDT,0.00027392,1583510400000,
ZECUSDT,0.00038348,1583539200000,
ZECUSDT,0.00010000,1583568000001,
ZECUSDT,0.00010000,1583596800000,
ZECUSDT,0.00010000,1583625600001,
ZECUSDT,0.00020118,1583654400000,
ZECUSDT,0.00020187,1583683200006,
ZECUSDT,0.00010000,1583712000000,
ZECUSDT,0.00010000,1583740800000,
ZECUSDT,0.00010000,1583769600000,
ZECUSDT,-0.00002030,1583798400000,
ZECUSDT,0.00010000,1583827200000,
ZECUSDT,0.00010000,1583856000000,
