open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,5.39170,5.43200,5.37260,5.40270,583226.7,1741085999999,3151897.558500,29301,289347.9,1563819.606460
1741086000000,5.40280,5.45700,5.39490,5.40780,642506.4,1741089599999,3486525.682810,29930,337215.5,1829808.558780
1741089600000,5.40770,5.42850,5.35350,5.38770,717389.0,1741093199999,3865118.796770,32506,332020.2,1789400.019910
1741093200000,5.38780,5.38810,5.26720,5.30500,1526990.9,1741096799999,8114660.161040,60055,722621.0,3840696.246700
1741096800000,5.30500,5.55060,5.28780,5.33540,3013291.6,1741100399999,16323481.268520,102397,1485575.1,8048241.459580
1741100400000,5.33560,5.37250,5.22940,5.35380,2270687.8,1741103999999,12043939.337680,90960,1091761.3,5795643.358670
1741104000000,5.35390,5.36550,5.03250,5.21700,3502817.7,1741107599999,18090121.690420,113609,1630719.5,8420181.344540
1741107600000,5.21700,5.40470,5.20960,5.38220,1713270.1,1741111199999,9119886.879320,71600,868592.6,4625822.917890
1741111200000,5.38210,5.47370,5.34040,5.46480,1432985.0,1741114799999,7745520.503300,54549,728354.3,3938534.002830
1741114800000,5.46470,5.53050,5.44020,5.51300,1046862.1,1741118399999,5745623.114540,50874,492728.7,2704812.344690
1741118400000,5.51300,5.52570,5.39550,5.39980,1020889.8,1741121999999,5584423.833270,41554,466527.7,2554048.701400
1741122000000,5.39990,5.59520,5.38470,5.47270,1248132.2,1741125599999,6854929.625110,51851,636575.8,3496707.526610
1741125600000,5.47280,5.50580,5.43350,5.43570,616621.3,1741129199999,3372569.515090,22562,309080.4,1691622.321830
1741129200000,5.43540,5.46750,5.42040,5.45050,397841.6,1741132799999,2166850.464980,19594,196953.8,1072919.685380
1741132800000,5.45100,5.49380,5.42070,5.43080,689110.8,1741136399999,3757443.612730,34778,310278.4,1692257.739410
1741136400000,5.43090,5.53930,5.39440,5.53830,746789.5,1741139999999,4086035.026600,33592,414979.6,2270700.824570
1741140000000,5.53830,5.62670,5.52550,5.56820,1369925.9,1741143599999,7623741.789860,50556,697814.6,3884083.957540
1741143600000,5.56790,5.58410,5.43280,5.43500,857989.3,1741147199999,4730135.453530,31578,404036.6,2228291.994970
1741147200000,5.43530,5.48300,5.43370,5.47210,522532.2,1741150799999,2850469.756710,26545,252697.0,1378821.722590
1741150800000,5.47220,5.49260,5.44700,5.46150,414353.1,1741154399999,2266735.790550,18934,208421.8,1140297.550820
1741154400000,5.46150,5.50910,5.41770,5.48980,628797.5,1741157999999,3432464.891200,23853,348519.4,1903082.701060
1741158000000,5.48980,5.51670,5.44820,5.49520,617687.3,1741161599999,3386261.456490,24393,310686.5,1703342.506990
1741161600000,5.49530,5.69340,5.49000,5.66560,3073762.8,1741165199999,17305204.461690,81766,1485034.7,8353485.137800
