open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1758283200000,0.9900000,0.9900000,0.5528000,0.6228000,75556622,1758286799999,47507727.5899000,810203,37134313,23352674.4980000
1758286800000,0.6227000,0.7361000,0.6150000,0.7164000,73310169,1758290399999,49806371.7311000,549125,37023448,25145904.3070000
1758290400000,0.7164000,0.7352000,0.6401000,0.6625000,77055133,1758293999999,53041415.7052000,672451,37579139,25893242.7789000
1758294000000,0.6626000,0.6700000,0.6089000,0.6466000,60965233,1758297599999,39034535.6446000,492973,30540389,19568692.0574000
1758297600000,0.6466000,0.7224000,0.6418000,0.6911000,53819083,1758301199999,36510787.7878000,628878,27375866,18571933.6344000
1758301200000,0.6912000,0.8500000,0.6755000,0.7874000,155179469,1758304799999,121823156.4122000,1444438,78085520,61275106.7006000
1758304800000,0.7876000,0.8563000,0.7450000,0.7669000,94438910,1758308399999,76177130.6143000,672961,47454057,38315231.3796000
1758308400000,0.7671000,0.8233000,0.7321000,0.7434000,70249574,1758311999999,54744561.5833000,352622,35814379,27863794.0880000
1758312000000,0.7435000,0.7878000,0.7338000,0.7840000,34676797,1758315599999,26382382.0978000,328133,19614391,14925759.9191000
1758315600000,0.7840000,0.8560000,0.7818000,0.8194000,46708753,1758319199999,38179938.4072000,605826,23986077,19619652.8381000
1758319200000,0.8193000,0.8783000,0.7987000,0.8692000,30469129,1758322799999,25574078.9468000,326947,16076984,13512722.1408000
1758322800000,0.8694000,0.9069000,0.8488000,0.8865000,44353051,1758326399999,38909734.7590000,477006,21673709,19036890.2131000
1758326400000,0.8863000,0.9450000,0.8740000,0.9229000,47248412,1758329999999,43188155.6991000,531150,23219352,21248311.8251000
1758330000000,0.9230000,0.9710000,0.8550000,0.9546000,49812452,1758333599999,45190860.6714000,443541,24927990,22640581.2388000
1758333600000,0.9546000,0.9798000,0.9263000,0.9679000,48409800,1758337199999,46286138.4839000,444513,23272479,22259845.7855000
1758337200000,0.9680000,0.9837000,0.9122000,0.9254000,44371008,1758340799999,42124318.3660000,491205,21555058,20484014.6106000
1758340800000,0.9253000,0.9598000,0.8802000,0.9392000,51155438,1758344399999,47250583.6728000,508848,25718823,23792107.3622000
1758344400000,0.9394000,0.9432000,0.8921000,0.9098000,32699046,1758347999999,29975703.9455000,367348,16107974,14770257.6330000
1758348000000,0.9095000,0.9329000,0.8821000,0.9198000,39378769,1758351599999,35692924.5927000,340533,19775953,17938076.4984000
1758351600000,0.9198000,1.0260000,0.9182000,1.0064000,66899059,1758355199999,65191912.4372000,577980,33962678,33093304.0287000
1758355200000,1.0064000,1.0950000,1.0055000,1.0846000,100770138,1758358799999,106085700.8664000,974900,49891366,52547392.4834000
1758358800000,1.0846000,1.2257000,1.0331000,1.1983000,153299910,1758362399999,174276493.3669000,1904505,79419741,90444688.1643000
1758362400000,1.1982000,1.2352000,1.1320000,1.1802000,122532478,1758365999999,145223885.1012000,818174,59617204,70718882.9546000
1758366000000,1.1802000,1.2720000,1.1416000,1.1787000,120778484,1758369599999,145674814.4870000,741574,58754321,70997107.4748000
1758369600000,1.1788000,1.2293000,1.1619000,1.1875000,80241222,1758373199999,95979578.9097000,590255,40794498,48823260.0092000
1758373200000,1.1874000,1.2199000,1.1515000,1.1817000,85678426,1758376799999,101467384.4623000,796529,42232061,50071767.0268000
1758376800000,1.1818000,1.2635000,1.1620000,1.2540000,83613498,1758380399999,101107477.6574000,726821,43455314,52585864.9065000
1758380400000,1.2538000,1.3000000,1.2118000,1.2302000,125111531,1758383999999,157462915.7528000,1019410,60472220,76196106.4815000
1758384000000,1.2305000,1.3597000,1.2150000,1.3551000,99102377,1758387599999,126479021.6645000,851519,51786126,66184062.3932000
1758387600000,1.3553000,1.5215000,1.3360000,1.5031000,183694943,1758391199999,260889672.9091000,1277395,96018304,136576254.8402000
1758391200000,1.5032000,1.7450000,1.4469000,1.7097000,242129937,1758394799999,388050139.6445000,1445363,119312831,191408962.6858000
1758394800000,1.7095000,1.7914000,1.5136000,1.5659000,239895943,1758398399999,397030475.7101000,1564472,112033707,185704597.4687000
1758398400000,1.5660000,1.6880000,1.4854000,1.5277000,139878818,1758401999999,219940899.5663000,1007373,68198767,107449781.1780000
1758402000000,1.5278000,1.6321000,1.5174000,1.5890000,70725786,1758405599999,111960762.2028000,570291,36703483,58123888.3245000
1758405600000,1.5890000,1.7248000,1.5709000,1.6329000,73188141,1758409199999,120625566.4955000,617480,39033426,64377425.6844000
1758409200000,1.6330000,1.6915000,1.5605000,1.6609000,55937809,1758412799999,91063042.5201000,456511,26888051,43829175.7024000
1758412800000,1.6607000,1.7500000,1.6000000,1.6192000,79681117,1758416399999,135315771.9888000,632394,38689432,65882069.1088000
1758416400000,1.6194000,1.6688000,1.5330000,1.6133000,92893739,1758419999999,148586184.0349000,655242,45522368,72948540.7544000
1758420000000,1.6134000,1.6469000,1.5585000,1.6073000,49410442,1758423599999,79364474.4275000,376289,24639910,39607266.8619000
1758423600000,1.6074000,1.7219000,1.5840000,1.7202000,61683896,1758427199999,101689045.6572000,534458,31422424,51840403.6413000
1758427200000,1.7203000,1.8536000,1.6950000,1.7894000,130900902,1758430799999,232862283.6919000,1304494,66131672,117711686.5955000
1758430800000,1.7896000,1.8438000,1.7330000,1.8037000,75121652,1758434399999,134427356.5111000,764167,36245701,64887584.0253000
1758434400000,1.8037000,1.9787000,1.8010000,1.9448000,107746571,1758437999999,205567792.1731000,1030964,55910412,106703188.5876000
1758438000000,1.9447000,2.0200000,1.8100000,1.8826000,137854942,1758441599999,262100871.2279000,1107036,65430230,124518952.6296000
1758441600000,1.8825000,1.9000000,1.7528000,1.7819000,90156829,1758445199999,163905620.6401000,657225,41882884,76253364.7908000
1758445200000,1.7821000,1.8002000,1.5602000,1.6332000,215359657,1758448799999,358934284.5637000,991021,101581513,169336018.2968000
1758448800000,1.6332000,1.7580000,1.6330000,1.6622000,74679096,1758452399999,127089203.9397000,500689,37547451,63936044.7093000
1758452400000,1.6625000,1.7123000,1.5673000,1.5945000,74103300,1758455999999,120611177.8578000,529791,34547084,56319174.1213000
1758456000000,1.5944000,1.6943000,1.5834000,1.6079000,68436772,1758459599999,112712969.2505000,500587,33649664,55444567.9139000
1758459600000,1.6080000,1.6340000,1.5132000,1.5603000,107348425,1758463199999,167696796.4498000,600842,52089115,81473835.9634000
1758463200000,1.5603000,1.6666000,1.5238000,1.6401000,71170983,1758466799999,113608887.8909000,496995,36311658,57999864.6326000
1758466800000,1.6400000,1.7200000,1.5810000,1.5952000,75754709,1758470399999,124693481.4591000,498784,36391720,60001332.4708000
1758470400000,1.5952000,1.6435000,1.3941000,1.4404000,132120499,1758473999999,196426541.4379000,621233,59912322,89043512.5961000
1758474000000,1.4405000,1.4640000,1.3413000,1.4608000,131784554,1758477599999,184250041.7384000,539258,63531380,89050064.7704000
1758477600000,1.4609000,1.4882000,1.4025000,1.4580000,66469551,1758481199999,96456530.0094000,362825,32891451,47762729.3313000
1758481200000,1.4579000,1.5103000,1.3890000,1.4225000,52902372,1758484799999,76097770.2090000,315714,26159102,37679094.9974000
1758484800000,1.4227000,1.4947000,1.4189000,1.4873000,29762403,1758488399999,43589562.3112000,221355,15172390,22211233.2792000
1758488400000,1.4873000,1.5534000,1.4571000,1.5296000,34067179,1758491999999,51447066.9055000,229219,18722596,28314380.7308000
1758492000000,1.5295000,1.5591000,1.4633000,1.5317000,34100041,1758495599999,51549076.8721000,227045,17062673,25829138.1796000
1758495600000,1.5320000,1.5500000,1.3574000,1.3969000,55732187,1758499199999,80223841.7729000,318742,24204216,34926961.2299000
1758499200000,1.3969000,1.4873000,1.2800000,1.3298000,98840898,1758502799999,135045716.6430000,497800,44611227,61285684.6321000
1758502800000,1.3293000,1.4581000,1.3212000,1.4203000,63875983,1758506399999,89352873.0222000,343469,32517904,45499042.4080000
1758506400000,1.4207000,1.4686000,1.3567000,1.4306000,47918146,1758509999999,67352814.4811000,331053,23245407,32728944.4685000
1758510000000,1.4306000,1.5062000,1.3958000,1.4908000,42916053,1758513599999,62166215.4199000,332733,22438633,32558941.7229000
1758513600000,1.4910000,1.5659000,1.4550000,1.4690000,58178709,1758517199999,88555985.5593000,392662,28670318,43723244.3593000
1758517200000,1.4691000,1.4921000,1.4011000,1.4017000,44581974,1758520799999,64692583.1456000,363137,21111093,30697144.8480000
1758520800000,1.4020000,1.5400000,1.3170000,1.4955000,126161526,1758524399999,182476238.7055000,783822,61973433,89809780.1115000
1758524400000,1.4954000,1.5511000,1.4794000,1.5010000,72658674,1758527999999,110172937.4883000,446663,35204730,53419910.7548000
1758528000000,1.5011000,1.6600000,1.4713000,1.6243000,97425109,1758531599999,155438283.1493000,573032,49054065,78276650.4030000
1758531600000,1.6242000,1.6431000,1.4565000,1.4819000,86672701,1758535199999,133573606.6906000,521560,36969202,57134756.3712000
1758535200000,1.4820000,1.5453000,1.4500000,1.5304000,63639266,1758538799999,95255860.9393000,368248,32880439,49286487.2682000
1758538800000,1.5304000,1.6225000,1.5304000,1.5800000,54497570,1758542399999,86378972.3690000,468507,26986543,42773547.0667000
1758542400000,1.5801000,1.5988000,1.5241000,1.5708000,45846378,1758545999999,71421155.0703000,393403,22173856,34564091.1907000
1758546000000,1.5709000,1.6461000,1.4510000,1.5149000,102578860,1758549599999,158642796.5839000,578940,49294239,76294289.3200000
1758549600000,1.5146000,1.5152000,1.3431000,1.3782000,128205077,1758553199999,180708431.8485000,569624,56554399,79843860.5044000
1758553200000,1.3781000,1.4180000,1.2900000,1.3855000,132111847,1758556799999,180128476.9512000,567242,65507568,89527303.3127000
1758556800000,1.3856000,1.4100000,1.3082000,1.3953000,78993278,1758560399999,106402612.8126000,490570,39720889,53551349.4379000
1758560400000,1.3956000,1.4721000,1.3562000,1.4360000,91680660,1758563999999,130303753.8329000,446344,45284033,64396852.0294000
1758564000000,1.4361000,1.4614000,1.3686000,1.3773000,43875196,1758567599999,62409709.6296000,298229,19954819,28412157.4493000
1758567600000,1.3773000,1.4566000,1.3727000,1.4455000,38336858,1758571199999,54392185.2198000,214081,19791799,28079899.7480000
1758571200000,1.4451000,1.5750000,1.4345000,1.5404000,65721799,1758574799999,99732707.6744000,362153,34384609,52184179.2824000
