open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,19.8100,19.9890,19.6680,19.9320,442800,1741085999999,8786634.8010,43488,224743,4462516.3230
1741086000000,19.9310,20.1280,19.8540,19.8850,436365,1741089599999,8719276.9830,42326,225999,4516682.4950
1741089600000,19.8850,20.0360,19.6900,19.9450,577612,1741093199999,11462700.4930,51440,277859,5516822.9370
1741093200000,19.9440,19.9510,19.3660,19.5540,1126302,1741096799999,22037985.9530,94170,507712,9936561.9900
1741096800000,19.5550,20.5950,19.5030,19.7310,1848986,1741100399999,37060606.9600,162498,882293,17694273.2420
1741100400000,19.7310,19.9670,19.3200,19.9170,1464833,1741103999999,28794355.3920,145430,721573,14191541.4020
1741104000000,19.9180,19.9520,18.8280,19.5610,1991853,1741107599999,38487287.3090,143989,939631,18149970.3890
1741107600000,19.5620,20.2770,19.5260,20.1230,1611113,1741111199999,32185332.4310,97520,829544,16578895.4290
1741111200000,20.1240,20.2660,19.8720,20.1470,997173,1741114799999,20010382.8060,69384,427969,8592324.1030
1741114800000,20.1460,20.3820,19.9930,20.3050,1046742,1741118399999,21145256.9090,71883,509334,10292281.8550
1741118400000,20.3060,20.3900,19.8290,19.8790,675283,1741121999999,13610936.3450,51802,286398,5777673.6780
1741122000000,19.8790,20.5000,19.8300,20.1300,779901,1741125599999,15744069.0130,64934,382157,7712611.7970
1741125600000,20.1320,20.2250,19.9760,19.9910,297941,1741129199999,5993533.0950,27579,149147,3001152.5010
1741129200000,19.9910,20.0810,19.8900,19.9820,317940,1741132799999,6354521.3680,26061,150738,3013558.4990
1741132800000,19.9830,20.0690,19.7600,19.8150,416165,1741136399999,8283882.4220,41760,180878,3602154.6690
1741136400000,19.8150,20.0970,19.6700,20.0920,564875,1741139999999,11262580.9800,44984,307431,6129717.0520
1741140000000,20.0920,20.2750,19.9620,20.1060,465896,1741143599999,9360040.7090,41709,225514,4531193.3730
1741143600000,20.1050,20.1640,19.7430,19.7550,475529,1741147199999,9510986.1780,38960,205366,4110433.9910
1741147200000,19.7550,19.8840,19.7140,19.8430,376472,1741150799999,7457603.1410,33144,174771,3462027.8400
1741150800000,19.8430,19.9630,19.8050,19.9130,271339,1741154399999,5398629.6630,24104,123788,2462601.3390
1741154400000,19.9130,20.1220,19.7930,20.0860,367960,1741157999999,7340135.2760,27660,189629,3782397.2200
1741158000000,20.0870,20.1830,19.9710,20.1240,310174,1741161599999,6226287.1050,24963,154550,3103293.7760
1741161600000,20.1260,20.5300,20.1220,20.4320,772339,1741165199999,15721250.0420,39676,423763,8622893.1700
1741165200000,20.4340,20.8790,20.3720,20.7340,960240,1741168799999,19862740.0520,52972,456786,9451096.8380
1741168800000,20.7360,21.3440,20.6740,21.1800,1084842,1741172399999,22833470.4990,68917,521553,10971899.5110
1741172400000,21.1800,21.1900,20.8720,20.9760,546311,1741175999999,11484258.5710,45053,232226,4882940.6850
1741176000000,20.9770,21.2160,20.8760,21.0260,494951,1741179599999,10425802.3350,40728,256864,5412495.4530
1741179600000,21.0250,21.1020,20.7670,20.8690,586109,1741183199999,12267672.7470,50780,271488,5683449.3910
1741183200000,20.8690,20.9150,20.5090,20.5860,775055,1741186799999,16035910.9400,66967,378765,7838054.5750
1741186800000,20.5860,20.8880,20.2380,20.3920,1049679,1741190399999,21482524.1000,79809,506926,10370848.4540
1741190400000,20.3910,20.5570,20.0600,20.4330,876513,1741193999999,17767366.7470,61624,434201,8805462.9280
1741194000000,20.4320,20.8520,20.4210,20.6130,748121,1741197599999,15416893.6970,53901,387288,7983224.1830
1741197600000,20.6120,20.7430,20.4400,20.7020,596856,1741201199999,12272742.7900,46878,341350,7019583.4730
1741201200000,20.7020,21.2500,20.6950,21.2260,773836,1741204799999,16246087.5320,52301,424163,8903960.9160
1741204800000,21.2260,22.0100,21.2260,21.6720,1079530,1741208399999,23293556.6710,73154,532381,11484218.2870
1741208400000,21.6720,22.4540,21.6700,21.7520,1546268,1741211999999,34099114.2020,97428,782716,17254976.3540
1741212000000,21.7510,21.8570,21.3350,21.5740,770729,1741215599999,16627790.9550,44767,378032,8155849.6560
1741215600000,21.5740,21.8500,21.4820,21.7130,631325,1741219199999,13683080.8720,42219,307024,6655105.4250
1741219200000,21.7130,21.9390,21.6210,21.6730,621908,1741222799999,13538042.6280,46033,281604,6131998.9360
1741222800000,21.6720,22.0470,21.4370,21.6550,744956,1741226399999,16161577.4870,57008,341735,7420249.0540
1741226400000,21.6530,22.2190,21.6330,22.0800,667642,1741229999999,14618478.4210,56185,351980,7704539.1050
1741230000000,22.0800,22.4050,21.9760,22.3560,656155,1741233599999,14548048.3280,51693,338787,7513835.2600
1741233600000,22.3550,22.4790,22.1280,22.4000,484948,1741237199999,10815996.0460,41602,243165,5424391.7490
1741237200000,22.4010,22.5660,22.2130,22.2970,479782,1741240799999,10740326.0120,43886,233815,5234573.6870
1741240800000,22.2980,22.3920,21.9160,21.9290,527141,1741244399999,11660629.7440,36676,224450,4966689.9380
1741244400000,21.9280,21.9930,21.6300,21.6830,535274,1741247999999,11671305.4020,35135,234899,5123946.2430
1741248000000,21.6830,22.0400,21.6040,21.9330,507893,1741251599999,11081332.0420,37905,278120,6069090.1750
1741251600000,21.9330,21.9590,21.7000,21.8980,415382,1741255199999,9065897.5550,33468,204036,4454284.4630
1741255200000,21.8980,22.2330,21.8480,22.1240,505896,1741258799999,11165069.3670,40286,260580,5751431.3120
1741258800000,22.1240,22.2670,21.9450,21.9550,352757,1741262399999,7800643.2130,29585,142847,3160096.5690
