open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,308.40,308.64,305.25,307.37,18969.588,1741085999999,5828874.77861,33637,9381.948,2883527.89833
1741086000000,307.39,308.47,304.60,304.98,13590.513,1741089599999,4163113.56362,27179,6915.876,2118816.97959
1741089600000,304.99,305.17,301.29,302.61,18313.359,1741093199999,5544522.13754,32355,9234.732,2795851.62661
1741093200000,302.59,302.59,295.32,296.97,50348.492,1741096799999,14991449.05978,67636,23504.002,6999099.69503
1741096800000,296.97,319.51,296.48,307.17,137135.666,1741100399999,42278368.93599,125850,70336.262,21666099.85653
1741100400000,307.20,309.45,300.58,304.43,46914.090,1741103999999,14294077.81162,82080,23721.965,7228558.76860
1741104000000,304.43,304.62,290.88,300.47,47691.879,1741107599999,14164300.80495,76125,25289.167,7511003.36036
1741107600000,300.47,312.48,300.03,309.94,31448.292,1741111199999,9682672.71861,56514,14444.916,4442884.15490
1741111200000,309.94,313.03,308.58,312.30,14157.726,1741114799999,4400400.35590,30680,7047.321,2190970.73941
1741114800000,312.29,315.88,311.54,315.00,17779.046,1741118399999,5591589.27635,30227,9669.949,3042330.59950
1741118400000,314.99,316.08,311.53,312.09,15627.060,1741121999999,4911336.39600,31316,8250.743,2593980.85039
1741122000000,312.10,319.59,311.39,317.89,36697.414,1741125599999,11635695.03369,42897,22634.960,7178247.58838
1741125600000,317.88,322.68,317.13,319.50,20506.814,1741129199999,6565165.88629,27270,9728.405,3113981.73532
1741129200000,319.50,322.37,318.55,320.64,21505.013,1741132799999,6885510.26220,31723,9073.706,2905463.66233
1741132800000,320.63,329.88,319.46,326.26,60062.827,1741136399999,19563797.54186,71085,27898.427,9081269.47127
1741136400000,326.25,342.97,325.86,336.18,65131.078,1741139999999,21894741.97438,100246,31222.280,10491052.23666
1741140000000,336.18,350.00,331.40,345.16,99704.210,1741143599999,33930279.23144,95467,42027.687,14307502.72997
1741143600000,345.17,356.01,343.16,343.50,127446.218,1741147199999,44490126.83574,134010,55776.843,19495540.00412
1741147200000,343.50,347.70,342.77,345.38,28901.411,1741150799999,9977608.45612,53392,14441.757,4987693.11846
1741150800000,345.37,347.59,341.44,343.23,25110.268,1741154399999,8648066.82136,42780,12089.125,4165705.68750
1741154400000,343.24,360.47,340.00,355.33,90133.644,1741157999999,31642597.05553,96666,46587.642,16359573.05778
1741158000000,355.32,357.46,350.24,352.97,32671.492,1741161599999,11554218.11400,56469,17297.081,6117126.12163
1741161600000,352.97,356.88,351.83,352.17,25157.265,1741165199999,8901804.53973,45162,13529.433,4789156.79797
1741165200000,352.17,382.87,351.58,372.10,174714.586,1741168799999,65012398.25022,213115,85215.290,31657744.16483
1741168800000,372.09,380.79,371.40,377.76,71128.977,1741172399999,26813289.37312,113447,36058.822,13589266.42538
1741172400000,377.80,385.55,375.36,377.96,78942.335,1741175999999,30011723.05286,116944,38515.588,14644221.27498
1741176000000,377.97,388.46,376.73,383.61,92891.974,1741179599999,35694304.82700,129487,43159.875,16584896.33746
1741179600000,383.62,383.62,376.92,380.10,80898.395,1741183199999,30763137.02630,106820,42960.709,16340976.40311
1741183200000,380.11,384.80,374.19,379.46,133605.323,1741186799999,50629127.90254,150614,68009.846,25783404.91433
1741186800000,379.48,399.90,379.48,389.62,186919.423,1741190399999,72480948.25495,224297,97308.681,37743359.00604
1741190400000,389.60,395.00,382.13,389.68,150610.056,1741193999999,58391791.64904,173150,81140.879,31470825.62702
