open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,566.290,570.190,565.550,568.570,34467.10,1741085999999,19574047.75190,41560,20839.21,11834547.17270
1741086000000,568.570,571.980,567.670,570.830,34518.46,1741089599999,19669462.92190,46763,20549.00,11708828.79460
1741089600000,570.830,572.090,567.530,570.210,28505.51,1741093199999,16234099.76000,47956,14558.57,8290413.60880
1741093200000,570.210,570.610,562.880,564.450,53185.04,1741096799999,30138576.72330,83852,22288.88,12631673.44960
1741096800000,564.460,579.500,562.490,566.750,119225.88,1741100399999,68133324.71710,183232,57331.17,32772774.48550
1741100400000,566.760,571.650,561.750,570.640,67158.94,1741103999999,38095151.75040,127262,33378.19,18933510.81590
1741104000000,570.640,571.500,554.800,568.420,87270.36,1741107599999,49145124.31960,141710,42224.34,23779171.98090
1741107600000,568.450,576.450,567.800,574.750,55933.29,1741111199999,32031765.50210,86859,30548.37,17493686.05200
1741111200000,574.740,581.040,573.650,580.590,47387.95,1741114799999,27360197.60140,64693,24499.82,14148193.62080
1741114800000,580.590,583.490,578.680,583.350,57028.63,1741118399999,33147833.89660,68792,29459.84,17121791.83740
1741118400000,583.350,585.350,578.680,579.190,42496.71,1741121999999,24759458.63820,56637,20048.18,11690026.40480
1741122000000,579.200,588.280,578.140,584.730,43570.05,1741125599999,25470305.43910,68269,21854.69,12778910.63970
1741125600000,584.720,586.410,583.020,583.240,18831.11,1741129199999,11013847.37460,32537,8716.89,5097891.87230
1741129200000,583.240,584.760,581.600,583.800,17551.91,1741132799999,10233689.99290,30410,8475.62,4942283.16940
1741132800000,583.800,584.700,580.400,583.020,23956.66,1741136399999,13963408.09350,41110,11226.93,6543446.12800
1741136400000,583.030,589.930,581.430,589.920,34603.90,1741139999999,20301717.55290,48453,19425.50,11399550.52680
1741140000000,589.920,591.480,587.760,588.000,33080.17,1741143599999,19509316.84260,50698,16503.85,9734807.98130
1741143600000,588.000,590.590,585.250,585.480,18668.83,1741147199999,10995324.56730,36527,8254.07,4861996.82780
1741147200000,585.500,589.840,585.290,589.010,14987.50,1741150799999,8814289.02540,31395,6670.88,3922864.95950
1741150800000,589.030,590.740,588.590,590.360,10900.90,1741154399999,6428363.67950,23074,4895.02,2886555.98210
1741154400000,590.370,592.170,589.190,591.890,21441.83,1741157999999,12673757.75710,28440,13494.17,7977219.44660
1741158000000,591.890,593.580,590.640,592.830,25346.48,1741161599999,15014199.02290,33502,13219.47,7830136.68420
1741161600000,592.830,599.770,592.640,597.280,47741.37,1741165199999,28491096.47980,61570,25596.50,15272510.80140
1741165200000,597.270,604.180,596.540,600.170,47162.11,1741168799999,28355105.21140,58610,23947.54,14394896.05520
1741168800000,600.170,605.480,598.230,602.060,48695.01,1741172399999,29313311.93030,58030,23895.25,14383346.98730
1741172400000,602.070,603.230,597.310,598.380,27726.82,1741175999999,16649360.67260,44028,11493.23,6901638.67780
1741176000000,598.390,599.500,595.920,597.900,22137.64,1741179599999,13234130.48410,37875,11412.01,6822763.13610
1741179600000,597.900,598.490,593.670,595.030,30030.51,1741183199999,17897924.87920,46036,13372.24,7969895.19090
1741183200000,595.030,595.220,589.610,590.550,40438.49,1741186799999,23952895.52700,61916,17920.38,10614731.92950
1741186800000,590.560,594.330,589.310,590.910,34971.51,1741190399999,20699367.63800,61220,17340.99,10264928.55130
1741190400000,590.920,593.330,587.420,591.780,38452.42,1741193999999,22678628.66500,54492,19742.42,11645750.80340
1741194000000,591.770,594.870,590.780,592.920,29220.74,1741197599999,17312804.54940,44045,15791.42,9356047.12170
1741197600000,592.920,594.980,590.070,594.800,16557.05,1741201199999,9809873.78960,32514,8235.98,4880862.95250
1741201200000,594.810,597.160,593.860,594.720,14035.49,1741204799999,8356479.13440,30278,7283.72,4337049.52890
1741204800000,594.730,597.000,594.730,596.620,12331.03,1741208399999,7349386.63540,25750,6690.34,3987671.45050
1741208400000,596.610,597.010,594.220,596.080,11637.92,1741211999999,6931959.60310,22557,5350.42,3187221.95390
1741212000000,596.080,597.990,595.580,597.380,9830.00,1741215599999,5865568.41420,17773,5097.68,3041361.81610
1741215600000,597.380,598.870,596.680,597.930,12116.91,1741219199999,7242705.11840,23484,5876.41,3512773.13570
1741219200000,597.920,599.360,596.800,597.130,16454.32,1741222799999,9838198.64700,29156,6749.82,4036014.77700
1741222800000,597.130,605.720,596.540,602.270,30116.28,1741226399999,18111948.59270,45083,15600.92,9383658.97150
1741226400000,602.250,605.370,600.520,602.240,26413.93,1741229999999,15925604.12400,41254,12506.83,7539532.47090
1741230000000,602.240,603.550,600.300,601.630,15172.14,1741233599999,9128757.39870,28400,8018.78,4824666.00590
1741233600000,601.620,605.540,601.620,605.180,16659.21,1741237199999,10057976.28180,28719,8610.31,5198564.33650
1741237200000,605.180,611.260,604.660,611.190,70009.32,1741240799999,42622860.70960,61750,42647.54,25973571.58490
1741240800000,611.200,611.820,604.410,605.490,77036.30,1741244399999,46779052.44430,60034,25964.07,15774630.03720
1741244400000,605.500,607.590,603.380,604.710,17049.68,1741247999999,10331075.81690,25979,7144.61,4329038.32580
1741248000000,604.720,605.760,602.320,603.840,17414.45,1741251599999,10518208.32060,29570,7922.84,4786155.23300
1741251600000,603.840,603.900,599.680,600.110,19229.78,1741255199999,11566720.33000,30931,7262.02,4368277.40530
1741255200000,600.100,604.370,599.510,602.110,19980.64,1741258799999,12038322.39810,29213,11688.72,7042092.13570
1741258800000,602.100,604.260,601.640,603.600,12321.70,1741262399999,7432941.13710,20760,7398.83,4463435.28840
1741262400000,603.610,604.000,600.000,600.850,21541.34,1741265999999,12969317.64030,31426,9438.95,5682615.39370
