open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,0.191870,0.194000,0.191370,0.193730,150690223,1741085999999,29035939.001980,76213,74884037,14426648.061660
1741086000000,0.193720,0.195200,0.192930,0.193160,153964391,1741089599999,29858720.663330,78692,75188948,14580094.331230
1741089600000,0.193150,0.193990,0.191570,0.192640,148007134,1741093199999,28518348.093960,84195,70568308,13596699.623940
1741093200000,0.192630,0.192640,0.188160,0.188850,420796261,1741096799999,79853202.918350,154010,210388849,39926938.398210
1741096800000,0.188860,0.200180,0.188260,0.192550,950380178,1741100399999,185587866.563490,344948,474673761,92673141.479470
1741100400000,0.192560,0.193320,0.187700,0.192840,585992265,1741103999999,111910779.026950,260167,279068150,53300532.304220
1741104000000,0.192840,0.193230,0.182600,0.190820,749065032,1741107599999,140361922.375450,266924,367569171,68872264.121620
1741107600000,0.190820,0.197310,0.190590,0.196110,459602942,1741111199999,89311748.164770,184680,225419321,43822313.527900
1741111200000,0.196100,0.199430,0.195170,0.199000,242516410,1741114799999,47784125.553230,110611,128105027,25261082.082030
1741114800000,0.199000,0.201090,0.198200,0.200340,359657991,1741118399999,71868720.760350,134102,193716328,38725842.264810
1741118400000,0.200350,0.200970,0.196540,0.196990,234976939,1741121999999,46750287.986450,94281,101308506,20168510.546320
1741122000000,0.196990,0.202250,0.196110,0.199030,307789481,1741125599999,61408503.589860,108971,152259687,30398690.835950
1741125600000,0.199030,0.200190,0.198200,0.198390,120493464,1741129199999,24020259.694850,50413,58213393,11608075.405370
1741129200000,0.198390,0.199590,0.197490,0.198980,120377730,1741132799999,23898448.290220,58736,61831802,12276911.115170
1741132800000,0.198970,0.199800,0.197050,0.198000,157544501,1741136399999,31258634.317370,80547,69447143,13782835.866680
1741136400000,0.198010,0.201060,0.197020,0.201020,159940238,1741139999999,31913177.852810,76613,88889615,17738994.616300
1741140000000,0.201010,0.204170,0.199720,0.201790,286167966,1741143599999,57796810.806270,110106,158031522,31925644.322680
1741143600000,0.201780,0.203150,0.199200,0.199340,140564539,1741147199999,28346277.179120,75691,65945286,13311696.332920
1741147200000,0.199350,0.200150,0.196220,0.198300,298464708,1741150799999,59159783.784880,104927,129070396,25583286.754080
1741150800000,0.198310,0.199040,0.197470,0.197730,82141607,1741154399999,16281529.600970,45731,41317454,8190415.520540
1741154400000,0.197740,0.199490,0.196340,0.199100,115198823,1741157999999,22793718.205260,55064,60573305,11987429.511630
1741158000000,0.199100,0.200630,0.198640,0.199490,130612567,1741161599999,26066527.917210,58172,66565584,13284487.127630
1741161600000,0.199490,0.201400,0.199270,0.200440,103689259,1741165199999,20798551.288090,57708,56287912,11290858.033030
1741165200000,0.200440,0.204390,0.199940,0.202200,257108452,1741168799999,52108732.896780,99941,131832312,26729690.817870
1741168800000,0.202210,0.206560,0.201770,0.204680,320983097,1741172399999,65616652.463170,110557,155334790,31750230.085730
1741172400000,0.204690,0.205380,0.201900,0.202700,196411408,1741175999999,40017997.892770,74762,93187366,18991350.636040
