open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,2085.81,2105.70,2076.70,2098.39,5020.574,1741085999999,10501858.60544,9799,2523.022,5277966.36738
1741086000000,2098.16,2117.04,2093.50,2099.31,4894.261,1741089599999,10299784.94775,8662,2513.436,5289826.44099
1741089600000,2099.47,2111.00,2080.49,2101.51,7860.585,1741093199999,16474434.30006,12874,3935.965,8250579.71111
1741093200000,2101.60,2101.88,2050.51,2062.10,17618.176,1741096799999,36504534.24477,20305,8395.781,17393802.10979
1741096800000,2062.53,2157.78,2038.98,2076.49,36514.879,1741100399999,76738634.48254,42174,18094.797,38026925.11099
1741100400000,2076.32,2085.22,2023.38,2071.77,21804.284,1741103999999,44884112.65417,29713,11042.690,22734907.29737
1741104000000,2072.14,2074.91,1988.00,2059.94,27733.475,1741107599999,56427777.05186,35288,13332.890,27133587.44892
1741107600000,2060.09,2133.07,2056.64,2117.00,19997.901,1741111199999,42092523.72017,24474,10401.949,21896501.44071
1741111200000,2116.99,2151.90,2107.93,2146.52,8808.046,1741114799999,18769166.65403,12937,4559.376,9716008.52822
1741114800000,2146.20,2173.50,2138.51,2171.30,13523.480,1741118399999,29169617.63481,19788,6766.541,14601619.77366
1741118400000,2171.20,2191.88,2134.70,2137.11,15117.592,1741121999999,32730042.30781,20094,6734.181,14589010.58342
1741122000000,2137.76,2221.10,2125.01,2176.19,16511.744,1741125599999,35948298.34413,21971,8812.815,19166464.44310
1741125600000,2176.21,2186.42,2164.66,2165.18,5187.803,1741129199999,11290869.90565,7585,2605.923,5671436.25521
1741129200000,2165.29,2178.89,2157.80,2169.70,4696.196,1741132799999,10178108.00894,7368,2437.216,5283877.65895
1741132800000,2169.99,2174.69,2154.10,2163.69,4880.995,1741136399999,10559112.35255,9340,2272.046,4915387.58305
1741136400000,2163.41,2191.05,2153.48,2187.63,6475.740,1741139999999,14077364.85678,11263,3288.621,7149029.88375
1741140000000,2188.10,2189.39,2165.22,2177.60,5069.549,1741143599999,11040163.06925,10252,2293.381,4995237.22229
1741143600000,2177.40,2187.62,2157.09,2159.14,4136.875,1741147199999,9002974.46375,7983,1931.901,4205455.91040
1741147200000,2159.10,2173.76,2156.40,2171.60,3455.245,1741150799999,7481107.18769,7003,1678.529,3634929.10364
1741150800000,2171.70,2181.45,2168.87,2178.41,2967.981,1741154399999,6452585.47397,4622,1668.611,3627613.03386
1741154400000,2178.51,2193.90,2172.70,2189.03,2888.717,1741157999999,6303064.29826,5983,1538.021,3356633.00992
1741158000000,2189.04,2211.60,2186.73,2205.20,6538.440,1741161599999,14378669.83070,9807,3460.235,7609758.09966
1741161600000,2205.21,2224.85,2202.80,2212.05,6296.839,1741165199999,13940873.27710,11051,2974.075,6584294.25806
1741165200000,2211.90,2261.14,2210.35,2237.41,10999.531,1741168799999,24639706.76867,16951,5369.422,12024034.68453
1741168800000,2237.60,2272.17,2230.16,2236.69,12479.838,1741172399999,28045503.58625,19282,6419.842,14431700.88393
1741172400000,2236.70,2238.64,2208.12,2216.61,10088.106,1741175999999,22429724.82683,15552,4189.542,9321352.60735
1741176000000,2216.99,2231.80,2208.95,2216.80,9331.410,1741179599999,20718929.92445,19289,4039.399,8973414.97481
1741179600000,2216.90,2222.91,2192.21,2201.39,13126.863,1741183199999,28976440.33880,22771,5700.642,12584416.67659
1741183200000,2201.50,2205.28,2165.23,2170.03,15088.428,1741186799999,33001824.78519,32968,7396.474,16178241.40983
1741186800000,2170.19,2205.55,2170.11,2185.18,19458.043,1741190399999,42538657.98534,38275,10293.687,22499407.03491
1741190400000,2185.22,2196.50,2159.28,2188.93,19866.157,1741193999999,43247070.57330,35129,10680.770,23250846.52840
1741194000000,2188.52,2219.09,2180.86,2193.49,50057.447,1741197599999,110085381.37517,51630,25513.009,56107289.87489
1741197600000,2193.30,2207.09,2172.99,2203.67,55819.182,1741201199999,122194366.30883,40582,27293.936,59753683.87640
1741201200000,2203.89,2222.17,2200.07,2216.88,41176.359,1741204799999,91130848.82022,37422,21224.101,46970670.82946
1741204800000,2217.09,2234.10,2212.61,2230.20,55352.325,1741208399999,123146131.03009,38583,27526.679,61236138.63759
1741208400000,2230.32,2241.05,2218.08,2234.08,30500.622,1741211999999,67982469.17590,22197,14933.232,33283424.77845
1741212000000,2234.17,2240.99,2225.67,2236.49,11305.982,1741215599999,25229314.81378,9881,5634.921,12573295.90054
1741215600000,2236.50,2252.21,2229.30,2240.49,6568.994,1741219199999,14713685.47480,13344,3302.639,7398068.46868
1741219200000,2240.44,2256.60,2233.06,2237.00,14696.628,1741222799999,32974669.40006,27178,7336.302,16458072.00141
1741222800000,2237.10,2287.53,2233.41,2262.27,50993.638,1741226399999,115302613.02077,44635,24773.533,56003339.66137
1741226400000,2262.13,2289.60,2260.03,2283.59,94089.296,1741229999999,213779258.28404,60433,47435.926,107769220.96672
1741230000000,2283.41,2295.49,2273.18,2288.59,46415.481,1741233599999,105993531.91990,38722,23515.729,53697805.79700
1741233600000,2288.59,2306.09,2274.51,2298.69,33320.306,1741237199999,76247817.28632,24359,16519.885,37802893.00961
1741237200000,2298.22,2319.38,2291.90,2312.41,41598.968,1741240799999,95990403.66086,28317,21021.505,48506165.23298
1741240800000,2312.41,2313.69,2289.03,2291.11,35964.318,1741244399999,82682257.30145,23338,16248.217,37357671.30834
1741244400000,2291.14,2299.86,2278.02,2285.03,35145.067,1741247999999,80510067.01361,21515,16851.317,38603147.90557
1741248000000,2285.24,2300.56,2278.51,2292.30,39883.364,1741251599999,91317932.53577,27492,20138.474,46106816.12214
1741251600000,2292.30,2293.31,2275.28,2282.97,42465.822,1741255199999,97051379.87270,31043,20517.664,46886373.90562
1741255200000,2283.09,2304.58,2278.57,2292.89,36743.864,1741258799999,84303425.74299,26711,17804.441,40844718.64639
1741258800000,2293.15,2299.90,2282.41,2296.59,10703.384,1741262399999,24531761.31972,12612,4969.230,11388618.36629
1741262400000,2296.60,2297.69,2258.17,2266.52,23867.839,1741265999999,54281398.28041,27102,11255.167,25596077.35716
1741266000000,2266.53,2273.90,2243.11,2245.32,37362.098,1741269599999,84389585.94336,32613,16033.704,36216260.88499
1741269600000,2245.33,2256.25,2207.36,2223.89,53762.728,1741273199999,119893081.50137,40263,26542.696,59191084.84541
1741273200000,2223.90,2275.08,2220.53,2256.31,48166.062,1741276799999,108484438.78259,30742,24105.771,54294584.25175
1741276800000,2256.36,2264.58,2218.50,2220.94,47731.860,1741280399999,107088510.26195,26451,22996.989,51593906.09454
1741280400000,2221.00,2223.32,2174.70,2189.55,58358.080,1741283999999,128339108.54198,36840,28635.021,62977781.59993
1741284000000,2189.46,2205.40,2187.02,2200.25,37845.511,1741287599999,83122097.91788,20678,19303.030,42394540.98611
1741287600000,2200.05,2217.59,2180.02,2196.95,43510.144,1741291199999,95665931.54152,26098,21915.790,48186388.65000
1741291200000,2197.08,2211.99,2190.96,2199.10,46111.652,1741294799999,101557181.95857,24630,23344.404,51410598.94124
1741294800000,2199.18,2218.28,2196.59,2211.76,22195.059,1741298399999,48990656.82225,16612,11519.904,25426636.43951
1741298400000,2212.15,2228.90,2193.93,2210.34,13203.840,1741301999999,29249897.58711,21410,6608.950,14639945.04136
1741302000000,2210.34,2216.49,2199.83,2201.12,5537.749,1741305599999,12221134.88182,14745,2863.146,6318407.19675
1741305600000,2201.02,2226.91,2100.66,2116.31,45935.882,1741309199999,98647411.10216,77251,22930.568,49256770.81611
1741309200000,2116.11,2191.25,2107.62,2173.94,43622.180,1741312799999,94196363.44852,59805,22219.345,47974230.79676
