open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,2086.61,2106.73,2077.60,2099.26,137761.994,1741085999999,288308267.81501,236516,69449.217,145391834.56711
1741086000000,2099.26,2117.44,2094.55,2100.37,155249.778,1741089599999,326917791.04116,231279,83057.749,174928148.78353
1741089600000,2100.37,2112.08,2081.47,2102.76,214466.459,1741093199999,449642097.32351,279098,109048.029,228633404.39114
1741093200000,2102.75,2102.75,2050.77,2063.48,441259.525,1741096799999,914326481.63746,454915,206972.460,428973745.11476
1741096800000,2063.48,2158.19,2038.81,2077.07,1006639.223,1741100399999,2115999546.99535,859947,506218.510,1064587478.10697
1741100400000,2077.08,2086.25,2024.50,2073.79,634863.234,1741103999999,1308436249.55456,671897,321621.149,663085347.13999
1741104000000,2073.78,2076.38,1979.99,2060.87,796731.006,1741107599999,1621796202.14995,702188,375614.852,765049020.40620
1741107600000,2060.88,2134.16,2057.50,2117.90,565166.944,1741111199999,1189724771.98257,537867,291914.609,614414936.55614
1741111200000,2117.80,2152.71,2107.56,2146.83,313828.881,1741114799999,668655775.80951,357635,168025.949,358104155.26632
1741114800000,2146.83,2174.00,2137.90,2171.68,373232.149,1741118399999,805326432.14806,396706,190789.708,411808799.02984
1741118400000,2171.67,2192.50,2135.29,2138.16,383640.569,1741121999999,831035212.50119,367604,188103.948,407616612.28356
1741122000000,2138.17,2221.77,2125.60,2176.94,507171.153,1741125599999,1103440440.42369,455779,276252.830,600587317.42975
1741125600000,2176.86,2186.60,2165.13,2165.99,112622.033,1741129199999,245200714.55458,174505,55761.001,121438739.41863
1741129200000,2165.98,2179.58,2157.90,2170.51,117564.586,1741132799999,254873589.52438,165857,60266.282,130665165.45835
1741132800000,2170.51,2175.35,2154.53,2164.04,123610.648,1741136399999,267531275.59177,214180,56657.518,122624407.80098
1741136400000,2164.04,2192.00,2153.70,2188.58,154882.541,1741139999999,336761303.09971,240260,84270.169,183233315.38265
1741140000000,2188.59,2189.79,2165.68,2178.00,136708.130,1741143599999,297776107.09990,250961,64659.729,140861297.95078
1741143600000,2178.00,2188.45,2158.01,2159.70,116457.108,1741147199999,253329741.39781,217340,52536.792,114342622.92761
1741147200000,2159.72,2174.70,2156.93,2172.39,97235.795,1741150799999,210548873.16707,185697,51328.053,111161474.14505
1741150800000,2172.39,2182.00,2169.36,2179.21,64746.306,1741154399999,140844266.44198,134743,32789.896,71329707.19019
1741154400000,2179.20,2194.62,2173.26,2189.60,107377.031,1741157999999,234418407.11151,146282,61500.554,134348141.29355
1741158000000,2189.60,2212.29,2187.25,2206.02,177919.781,1741161599999,391401001.19197,243349,101548.168,223399032.69952
1741161600000,2206.02,2226.23,2203.50,2212.41,140674.601,1741165199999,311477319.15196,229912,66308.362,146823861.68472
1741165200000,2212.41,2261.80,2210.80,2238.03,381532.383,1741168799999,854922815.96842,395457,179327.420,401933329.74117
1741168800000,2238.04,2272.94,2230.00,2236.58,417510.686,1741172399999,939487549.61753,415532,205520.921,462576749.87280
1741172400000,2236.58,2238.62,2207.48,2216.60,245931.943,1741175999999,547009213.40829,303738,113750.948,253078092.65335
1741176000000,2216.60,2232.00,2209.05,2217.09,169232.256,1741179599999,375833803.09133,275724,85116.749,189051013.65456
1741179600000,2217.09,2223.18,2192.15,2201.45,268272.669,1741183199999,592045323.05219,352776,118814.435,262249722.95090
1741183200000,2201.49,2205.40,2165.30,2170.40,396834.256,1741186799999,867604529.01479,453412,193044.856,422149824.21479
1741186800000,2170.39,2204.62,2170.02,2185.61,334495.804,1741190399999,731224844.44172,426562,176359.315,385514933.75635
1741190400000,2185.61,2197.50,2160.47,2189.36,299923.870,1741193999999,652600979.13797,343896,155526.723,338556729.18575
