open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1742371200000,2.000000,2.035000,1.358000,1.820000,13626928.5,1742374799999,24612276.6051100,187344,6797436.8,12305188.2727700
1742374800000,1.818700,1.866600,1.730000,1.793500,4646890.0,1742378399999,8341781.9127000,87329,2273066.6,4088893.8370000
1742378400000,1.793600,1.890000,1.754600,1.807900,5655783.9,1742381999999,10304220.8096600,106023,2874958.9,5242025.2354900
1742382000000,1.808000,1.838900,1.602000,1.635200,6879203.0,1742385599999,11986453.1497000,107528,3265816.7,5695512.7414100
1742385600000,1.636000,1.710900,1.530100,1.602000,17427162.6,1742389199999,28144588.4874500,192354,8978720.8,14506976.7014500
1742389200000,1.601800,1.899900,1.475000,1.804200,22819749.3,1742392799999,38047382.7499400,246300,11838228.3,19758254.0923500
1742392800000,1.802200,1.887000,1.734100,1.749100,10154766.2,1742396399999,18130879.7780600,166765,5022447.0,8974412.0906000
1742396400000,1.748400,1.900000,1.718600,1.817400,9790106.9,1742399999999,17790750.7078700,139372,5146158.9,9359262.8089700
1742400000000,1.815800,1.837300,1.763300,1.791100,4729318.6,1742403599999,8516616.1370700,75628,2297686.7,4139428.1903600
1742403600000,1.790900,1.796700,1.754700,1.795300,2835819.7,1742407199999,5043347.4700100,43017,1445714.4,2571587.7457300
1742407200000,1.795400,1.835800,1.747200,1.803800,3057842.9,1742410799999,5451429.7857300,45645,1605888.9,2864923.1215400
1742410800000,1.803500,1.818900,1.730000,1.763200,2291965.6,1742414399999,4051606.0882900,37310,1134404.0,2006184.0852700
1742414400000,1.764200,1.769500,1.585000,1.619000,5167023.1,1742417999999,8570321.6093100,73408,2477287.0,4109019.1064500
1742418000000,1.620000,1.634900,1.552000,1.601700,3722507.2,1742421599999,5913605.0138400,59404,1863350.8,2962210.8762800
1742421600000,1.601800,1.749800,1.580100,1.738600,4607335.9,1742425199999,7659549.9614200,56527,2584315.7,4297178.1738700
1742425200000,1.738500,1.780000,1.706900,1.741800,3752681.4,1742428799999,6519977.7321900,51558,1959149.0,3404698.1877300
1742428800000,1.741800,1.845800,1.716000,1.764000,4763166.3,1742432399999,8469256.3661400,66851,2363981.5,4205262.8514000
1742432400000,1.763700,1.793400,1.681100,1.695500,3342294.2,1742435999999,5813160.8170500,52349,1527260.3,2658771.7181900
1742436000000,1.695400,1.734600,1.658400,1.703000,3182426.8,1742439599999,5401402.4154200,52668,1573603.5,2672751.0214200
1742439600000,1.703500,1.712900,1.680000,1.695400,1367935.0,1742443199999,2318938.2138300,28469,697698.1,1183424.2160200
