open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,13.770,13.893,13.678,13.845,726242.74,1741085999999,10014916.37997,36337,358581.50,4946061.33091
1741086000000,13.844,13.967,13.753,13.785,763189.18,1741089599999,10572954.66983,37916,372096.62,5155742.73554
1741089600000,13.785,13.945,13.645,13.834,1094213.01,1741093199999,15076681.85846,46090,580495.94,8000743.10969
1741093200000,13.834,13.835,13.376,13.433,2157586.68,1741096799999,29274696.91642,79051,947604.46,12860824.60585
1741096800000,13.434,14.230,13.388,13.631,3882136.49,1741100399999,53593487.48145,176380,1913728.32,26424673.63553
1741100400000,13.630,13.827,13.329,13.823,3684340.15,1741103999999,49973563.85896,150000,1598390.88,21700811.37246
1741104000000,13.824,13.858,13.063,13.670,3440030.29,1741107599999,46171530.37645,136267,1689977.91,22686881.61217
1741107600000,13.671,14.187,13.628,14.100,2439047.51,1741111199999,34031010.56721,105950,1230103.18,17162204.78489
1741111200000,14.100,14.430,14.019,14.361,1608254.68,1741114799999,22810814.30203,70231,791114.66,11229324.97496
1741114800000,14.360,14.521,14.299,14.503,1608132.69,1741118399999,23208345.34149,73868,756069.03,10913950.47937
1741118400000,14.503,14.780,14.323,14.333,1831932.53,1741121999999,26703740.33234,71570,894112.15,13040880.53056
1741122000000,14.334,15.345,14.302,14.948,4618031.92,1741125599999,68741242.37600,133585,2485385.78,36925615.15932
1741125600000,14.948,15.036,14.802,14.826,875663.01,1741129199999,13050338.02054,41309,410292.98,6114679.79210
1741129200000,14.827,14.922,14.633,14.855,1506638.83,1741132799999,22278923.39627,42014,620278.83,9188042.57780
1741132800000,14.855,14.969,14.654,14.735,952479.41,1741136399999,14103988.22210,47522,397414.98,5884826.88641
1741136400000,14.734,14.904,14.624,14.903,770363.86,1741139999999,11383103.04372,44245,419847.03,6205753.21300
1741140000000,14.903,15.090,14.807,14.963,855203.69,1741143599999,12776637.23803,49260,443056.68,6618492.98414
1741143600000,14.962,15.084,14.810,14.815,1062137.14,1741147199999,15918866.27452,45497,497943.52,7464325.37774
1741147200000,14.816,15.032,14.812,14.951,855669.56,1741150799999,12758445.62807,42308,452443.07,6746039.83509
1741150800000,14.952,15.067,14.892,14.956,473964.77,1741154399999,7100460.15393,27316,233630.33,3499974.65731
1741154400000,14.957,15.200,14.869,15.169,798381.12,1741157999999,12000024.78304,34471,440849.27,6626868.16500
1741158000000,15.169,15.450,15.068,15.440,1493284.97,1741161599999,22806400.60112,53650,724063.52,11064361.12055
1741161600000,15.440,15.987,15.356,15.868,2242300.05,1741165199999,35148398.83508,86713,1114024.65,17460985.59058
1741165200000,15.868,16.492,15.827,16.030,3204885.61,1741168799999,52044902.39378,134896,1449922.89,23532033.12952
1741168800000,16.030,16.381,15.919,16.128,2292959.38,1741172399999,36945851.51251,97424,1228284.74,19791266.29272
1741172400000,16.128,16.232,15.971,16.064,1227405.82,1741175999999,19759788.12136,61682,597296.84,9619022.46385
1741176000000,16.063,16.172,15.867,15.933,1331127.80,1741179599999,21332320.52745,60101,643603.49,10320958.39564
1741179600000,15.933,15.995,15.698,15.784,1827020.72,1741183199999,28950062.08038,84218,910923.14,14439726.47913
1741183200000,15.783,15.862,15.624,15.705,1546503.40,1741186799999,24351586.03777,81832,778330.29,12263216.61524
1741186800000,15.703,15.948,15.551,15.684,1676280.93,1741190399999,26380342.95689,89742,874738.92,13768591.73809
1741190400000,15.684,15.927,15.565,15.830,1400930.11,1741193999999,22020465.84368,68755,777017.27,12213054.30297
1741194000000,15.829,16.213,15.819,16.084,1834308.01,1741197599999,29354183.99743,76639,994805.05,15923197.90412
1741197600000,16.082,16.376,15.910,16.282,1952751.68,1741201199999,31456016.33533,77432,1044756.52,16842571.01761
1741201200000,16.283,16.426,16.238,16.333,971145.27,1741204799999,15856946.60267,48165,501015.01,8182217.02866
1741204800000,16.338,16.539,16.319,16.322,1135695.45,1741208399999,18673008.16999,48561,575551.78,9464689.35380
1741208400000,16.321,16.457,16.264,16.362,897353.90,1741211999999,14673709.25965,40242,468331.86,7660180.31900
1741212000000,16.362,16.405,16.272,16.321,547713.07,1741215599999,8937878.65228,25173,258070.28,4211638.38689
1741215600000,16.322,16.581,16.308,16.411,760273.01,1741219199999,12513257.44402,39273,427570.84,7039190.21777
1741219200000,16.413,16.633,16.369,16.495,1164323.61,1741222799999,19185999.72456,57334,551747.31,9095791.08830
1741222800000,16.495,17.063,16.405,16.869,1860281.58,1741226399999,31154100.78403,89948,937056.66,15692932.27760
1741226400000,16.870,17.295,16.851,17.147,1926748.69,1741229999999,33026563.76942,99408,961936.90,16487239.79367
1741230000000,17.148,17.336,17.071,17.214,1055977.19,1741233599999,18161825.96219,58559,551193.94,9479316.63409
1741233600000,17.215,17.266,16.996,17.168,1041474.11,1741237199999,17824364.15032,50512,489453.85,8378478.90320
1741237200000,17.169,17.320,17.092,17.223,987015.55,1741240799999,16975561.18950,51036,497837.86,8563676.19003
1741240800000,17.224,17.348,17.129,17.281,881258.04,1741244399999,15192749.04543,42500,411213.95,7090957.34519
1741244400000,17.282,17.383,16.864,16.899,1497761.62,1741247999999,25598574.60162,54632,639112.92,10931122.03397
1741248000000,16.899,17.257,16.847,17.141,1626697.77,1741251599999,27780232.21904,64596,882005.95,15063009.13472
1741251600000,17.140,17.262,17.087,17.241,1175206.92,1741255199999,20170785.69224,52467,573041.97,9836758.74728
1741255200000,17.243,17.660,17.202,17.505,2445982.68,1741258799999,42766932.63885,108782,1369118.78,23936716.10382
1741258800000,17.505,17.576,17.351,17.482,1136473.16,1741262399999,19832163.45621,46200,562465.33,9814131.74794
1741262400000,17.483,17.541,16.971,17.059,2010056.25,1741265999999,34583281.10940,79612,881275.22,15158897.43464
1741266000000,17.060,17.138,16.768,16.776,1488297.12,1741269599999,25254581.65123,70970,718396.93,12201491.58902
1741269600000,16.776,17.103,16.602,16.889,2807156.98,1741273199999,47266636.35879,111851,1516986.12,25553539.09587
1741273200000,16.889,17.461,16.844,17.233,2906278.68,1741276799999,50076763.45434,119485,1551992.20,26728780.29890
1741276800000,17.234,17.338,16.885,16.910,1656408.22,1741280399999,28253828.19486,76768,677212.52,11552189.44597
1741280400000,16.910,16.935,16.527,16.619,1770181.69,1741283999999,29611234.93516,84026,938030.64,15697690.92324
1741284000000,16.618,16.790,16.556,16.697,970025.07,1741287599999,16167105.79355,50898,517008.25,8619383.77331
1741287600000,16.696,16.956,16.597,16.802,1113118.84,1741291199999,18668119.72141,54133,582215.13,9767041.25884
1741291200000,16.802,17.025,16.758,16.894,891883.46,1741294799999,15083737.40267,49618,477556.47,8078919.92353
1741294800000,16.895,17.034,16.790,16.887,731927.19,1741298399999,12366379.78010,37147,357306.86,6038547.23017
1741298400000,16.882,17.284,16.812,17.074,1549468.27,1741301999999,26460680.56441,69588,818379.92,13977207.04521
1741302000000,17.075,17.227,16.976,17.046,913932.56,1741305599999,15630098.98244,44671,394942.35,6755968.14824
1741305600000,17.045,17.224,15.869,15.926,5295035.46,1741309199999,86892239.91235,214626,2512769.38,41258805.81929
1741309200000,15.927,16.659,15.862,16.496,2738761.92,1741312799999,44622573.55991,130648,1417897.31,23101754.80388
1741312800000,16.496,16.515,16.234,16.369,1238399.58,1741316399999,20295352.62942,61333,592285.55,9711761.18596
1741316400000,16.369,16.504,16.156,16.163,833919.25,1741319999999,13614761.60983,43202,384081.30,6277090.57833
1741320000000,16.164,16.438,16.151,16.278,866024.25,1741323599999,14114310.80362,37935,449787.81,7327247.20644
1741323600000,16.279,16.716,16.256,16.569,1334367.34,1741327199999,22088279.88595,52713,752839.01,12462194.77127
1741327200000,16.569,16.749,16.412,16.667,900000.33,1741330799999,14910334.16711,42372,470405.40,7796888.63462
1741330800000,16.668,17.175,16.656,17.174,1838147.23,1741334399999,31077647.68566,71499,925353.15,15645529.79543
1741334400000,17.175,17.287,16.783,16.879,1366421.14,1741337999999,23218533.73283,62770,595577.28,10119737.96227
1741338000000,16.878,17.194,16.863,17.048,1378957.60,1741341599999,23543177.39652,70989,649203.54,11080918.72780
1741341600000,17.049,17.218,16.954,17.176,1114784.59,1741345199999,19032878.01837,53330,587616.82,10039219.49431
1741345200000,17.176,17.369,17.102,17.136,1108915.59,1741348799999,19111919.86336,54862,508481.19,8764589.96413
1741348800000,17.135,17.204,16.800,16.899,1467117.80,1741352399999,24917418.55087,64433,735812.05,12502335.18276
1741352400000,16.899,17.528,16.872,17.022,2310126.12,1741355999999,39674828.37648,113844,1157601.70,19879048.79198
1741356000000,17.023,17.477,16.823,17.237,2372613.81,1741359599999,40720383.03503,116413,1226492.39,21052404.49784
1741359600000,17.236,17.406,16.758,16.914,2475350.47,1741363199999,42220624.12513,118039,1162199.03,19820319.51528
1741363200000,16.913,16.947,16.124,16.292,3510905.87,1741366799999,57841188.49890,156686,1710279.80,28164069.38315
1741366800000,16.292,16.735,16.188,16.457,2028109.90,1741370399999,33341046.38110,95339,1016477.75,16712935.87337
1741370400000,16.458,16.937,16.402,16.899,1529335.39,1741373999999,25482053.50727,81462,758480.01,12638537.89550
1741374000000,16.899,16.993,16.494,16.627,1279602.33,1741377599999,21450974.08281,67713,630967.37,10584303.47658
1741377600000,16.627,16.762,16.351,16.445,1642945.73,1741381199999,27192227.28893,80507,770716.46,12758418.76070
1741381200000,16.445,16.483,15.970,16.130,2802460.39,1741384799999,45326642.57550,121632,1407851.19,22775696.14443
1741384800000,16.129,16.143,15.826,15.980,1360179.85,1741388399999,21707193.55663,56037,622096.53,9930898.44996
1741388400000,15.980,16.003,15.722,15.928,1055173.16,1741391999999,16746059.39086,56761,486134.03,7718058.16205
1741392000000,15.929,16.024,15.795,15.973,746717.06,1741395599999,11874129.30195,50460,387347.82,6161679.94484
1741395600000,15.973,16.014,15.508,15.581,1468445.89,1741399199999,23031751.38394,61970,637306.94,9993399.12028
1741399200000,15.582,15.680,15.526,15.651,686672.14,1741402799999,10715940.86030,40644,348786.74,5443898.76968
1741402800000,15.651,15.721,15.417,15.683,883657.83,1741406399999,13748065.50278,42776,438942.09,6833347.66678
1741406400000,15.683,15.853,15.568,15.845,612033.56,1741409999999,9624100.33953,35584,347091.93,5460939.56595
1741410000000,15.845,15.846,15.655,15.689,420723.79,1741413599999,6624268.58067,24896,179527.51,2826927.89867
1741413600000,15.689,15.776,15.620,15.681,445028.33,1741417199999,6985752.09645,26864,218695.36,3434157.43569
1741417200000,15.680,15.760,15.518,15.540,563168.97,1741420799999,8803246.94839,30676,266059.93,4159272.58915
1741420800000,15.539,15.561,15.360,15.386,964770.18,1741424399999,14909377.16639,40517,427970.40,6614998.99505
1741424400000,15.386,15.514,15.239,15.299,1091260.85,1741427999999,16759917.29470,46067,517566.52,7953933.03383
1741428000000,15.299,15.558,15.295,15.469,852405.29,1741431599999,13161601.57337,38167,452021.24,6979839.72118
1741431600000,15.470,15.477,15.239,15.321,943186.47,1741435199999,14477879.23468,42919,461373.37,7081746.26687
1741435200000,15.322,15.440,15.177,15.389,1064643.76,1741438799999,16309436.94618,47612,577785.44,8850764.57901
1741438800000,15.389,15.558,15.366,15.490,761308.97,1741442399999,11778115.68180,38673,367095.86,5680615.51131
1741442400000,15.491,15.576,15.316,15.344,731203.72,1741445999999,11292483.86612,33743,331988.58,5128428.45066
1741446000000,15.343,15.404,15.250,15.294,521256.81,1741449599999,7989085.44650,28126,263808.46,4044249.09469
1741449600000,15.294,15.342,15.106,15.292,1000447.05,1741453199999,15225559.62568,45872,508362.02,7738081.53079
1741453200000,15.292,15.436,15.183,15.323,835966.03,1741456799999,12808944.75810,40896,384906.41,5900248.52304
1741456800000,15.323,15.446,15.270,15.425,485806.95,1741460399999,7456743.60433,24990,270782.63,4157261.92841
1741460400000,15.426,15.566,15.369,15.530,641133.49,1741463999999,9922137.99648,29443,326218.15,5049190.29154
1741464000000,15.530,15.543,15.395,15.409,386137.30,1741467599999,5967715.21353,21367,167315.73,2586159.92550
1741467600000,15.409,15.535,15.380,15.388,298923.09,1741471199999,4620086.96359,18110,155531.36,2403937.08733
1741471200000,15.388,15.426,15.237,15.360,509845.06,1741474799999,7819127.78259,25553,251733.62,3861298.51218
1741474800000,15.361,15.368,15.181,15.253,377969.17,1741478399999,5767331.78196,21913,149152.93,2276003.28449
1741478400000,15.253,15.331,15.185,15.232,415180.38,1741481999999,6336394.41313,22993,219022.49,3342882.39174
1741482000000,15.232,15.293,15.106,15.139,533433.04,1741485599999,8104850.93726,25388,257471.75,3913484.95396
1741485600000,15.138,15.189,15.020,15.054,663365.57,1741489199999,10019204.33515,28076,278443.73,4208178.03608
1741489200000,15.054,15.356,15.009,15.255,985413.41,1741492799999,14957147.12237,34117,519272.01,7879457.19453
1741492800000,15.255,15.343,15.193,15.278,452425.97,1741496399999,6903885.26838,23826,230616.02,3519476.36805
1741496400000,15.279,15.350,15.181,15.198,370457.22,1741499999999,5655656.71232,20472,168082.31,2566803.25077
1741500000000,15.199,15.200,15.078,15.118,394324.69,1741503599999,5968626.94474,22012,207699.51,3143833.73378
1741503600000,15.117,15.255,15.087,15.119,328342.33,1741507199999,4982102.21070,18867,162753.32,2469905.58771
1741507200000,15.120,15.121,14.977,15.000,506703.30,1741510799999,7628298.80639,24441,222544.00,3351406.95398
1741510800000,15.001,15.070,14.923,14.935,505251.74,1741514399999,7575763.45480,23039,237936.87,3568730.00045
1741514400000,14.935,14.981,14.643,14.680,1558193.35,1741517999999,23068579.38488,51722,605448.88,8960901.19819
1741518000000,14.681,14.745,14.622,14.687,709234.96,1741521599999,10411995.29642,32778,358054.51,5257548.37995
1741521600000,14.686,14.699,14.541,14.653,946395.94,1741525199999,13839366.31401,36551,468557.29,6853166.71036
1741525200000,14.649,14.699,14.371,14.378,1213122.31,1741528799999,17651910.12314,46110,522724.53,7611647.51108
1741528800000,14.378,14.503,14.260,14.332,1401493.28,1741532399999,20169643.17043,57234,727541.07,10474482.54498
