open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,101.78,102.71,100.72,102.48,273282.495,1741085999999,27849734.56546,67014,137665.776,14024418.62272
1741086000000,102.48,103.94,102.33,102.68,215556.726,1741089599999,22205352.24398,62275,101785.553,10482626.63498
1741089600000,102.68,103.08,101.36,102.21,190095.969,1741093199999,19424281.87886,54050,95686.202,9778295.34452
1741093200000,102.20,102.20,98.83,100.41,521790.915,1741096799999,52265975.81547,108592,252417.209,25295027.48022
1741096800000,100.41,106.21,99.90,101.36,833708.342,1741100399999,85829677.53669,193980,385989.854,39767351.74898
1741100400000,101.36,101.86,98.79,99.97,640791.778,1741103999999,64250554.67019,159580,319960.090,32092500.94057
1741104000000,99.97,100.40,93.83,99.00,1024012.927,1741107599999,99618817.37533,197638,498442.204,48488676.81333
1741107600000,99.00,102.94,98.82,101.73,539948.770,1741111199999,54676533.73536,113077,265873.403,26937605.72156
1741111200000,101.74,104.35,101.17,103.84,286462.995,1741114799999,29397986.14092,71494,155886.852,16008655.79370
1741114800000,103.84,104.78,103.19,103.72,330773.442,1741118399999,34402773.47025,73654,156270.580,16262187.43506
1741118400000,103.72,104.08,101.19,101.45,274648.124,1741121999999,28230333.50746,60421,109381.410,11254584.15870
1741122000000,101.45,104.68,101.01,102.51,285841.673,1741125599999,29384134.73624,67236,146408.617,15051434.17162
1741125600000,102.51,103.70,102.31,102.55,115743.171,1741129199999,11921039.72913,33252,52058.254,5362485.52212
1741129200000,102.56,103.79,101.84,103.57,150427.249,1741132799999,15473256.28696,38700,70886.622,7294524.23627
1741132800000,103.57,104.00,101.76,102.30,152639.495,1741136399999,15687968.47924,47856,68166.386,7005345.35949
1741136400000,102.29,104.28,101.61,104.27,153665.688,1741139999999,15861170.95371,44971,84029.791,8673081.33571
1741140000000,104.27,105.44,103.35,104.51,233226.415,1741143599999,24329571.01353,60459,121880.942,12723401.84127
1741143600000,104.50,104.72,102.02,102.10,174496.177,1741147199999,18068648.34455,45834,71945.736,7456779.13570
1741147200000,102.11,103.47,102.07,103.11,103493.722,1741150799999,10637145.76500,32726,55136.599,5666496.34134
1741150800000,103.11,103.48,102.46,102.79,83097.541,1741154399999,8552356.11101,22787,38835.966,3997275.76960
1741154400000,102.79,103.15,101.94,102.63,106034.641,1741157999999,10866795.71049,27979,58426.681,5990245.91352
1741158000000,102.63,103.11,101.90,102.39,125623.622,1741161599999,12862333.29872,32252,60029.181,6148113.53219
1741161600000,102.39,104.16,102.13,104.02,168734.904,1741165199999,17427572.93817,41569,88166.106,9105195.41005
1741165200000,104.02,105.89,103.83,104.56,320310.866,1741168799999,33619759.26445,65432,145960.281,15322762.88806
1741168800000,104.57,106.82,104.15,105.57,314251.548,1741172399999,33195356.10705,65855,161762.186,17083086.66718
1741172400000,105.58,105.62,103.33,103.80,225415.346,1741175999999,23563952.33734,51656,108866.946,11390214.67510
1741176000000,103.81,104.80,103.36,103.89,173867.965,1741179599999,18094121.07723,47661,91368.289,9513412.56851
1741179600000,103.89,104.13,102.01,102.60,276537.801,1741183199999,28497558.83358,60573,116846.166,12043569.29291
1741183200000,102.61,103.03,101.28,101.61,329077.222,1741186799999,33616041.68552,71532,166672.975,17037911.92588
1741186800000,101.61,103.12,100.55,101.90,340644.959,1741190399999,34614845.25729,77618,168885.370,17169740.60818
1741190400000,101.90,102.84,101.34,102.35,224645.772,1741193999999,22929247.75285,59470,109971.574,11229450.72713
1741194000000,102.34,104.37,102.18,103.48,216357.055,1741197599999,22322546.73933,56959,112879.903,11644453.94279
1741197600000,103.47,103.98,102.88,103.77,99949.909,1741201199999,10325539.90663,35687,46859.941,4841648.27292
1741201200000,103.77,104.63,103.40,103.93,94661.226,1741204799999,9845320.85312,34235,41251.532,4290964.41662
1741204800000,103.94,105.09,103.73,104.76,110837.510,1741208399999,11574751.65387,33128,52999.023,5535567.43328
1741208400000,104.75,105.26,104.13,104.98,104737.171,1741211999999,10968373.78770,30147,48827.542,5114808.60949
1741212000000,104.97,105.15,104.43,104.89,52620.314,1741215599999,5512190.58782,18640,24782.635,2596494.91466
1741215600000,104.89,105.14,104.46,104.66,81785.281,1741219199999,8572653.46741,28314,38000.161,3983676.16727
1741219200000,104.67,104.87,103.53,103.78,129667.705,1741222799999,13494995.70629,38701,54477.519,5667687.83874
1741222800000,103.77,106.21,103.66,105.30,176262.478,1741226399999,18525392.73614,53627,89129.373,9365787.41661
1741226400000,105.29,106.90,105.00,106.89,178356.648,1741229999999,18892476.84833,49058,95168.718,10081840.06250
1741230000000,106.89,107.50,106.55,107.27,161470.147,1741233599999,17282177.48047,44101,83245.118,8912153.83587
1741233600000,107.27,109.90,106.85,109.53,348029.931,1741237199999,37805412.10178,79337,174950.223,18994458.60364
1741237200000,109.52,112.93,109.16,110.18,522986.608,1741240799999,58208085.36759,111987,248486.891,27654167.34173
1741240800000,110.17,110.42,108.42,108.50,284459.374,1741244399999,31125155.21796,63876,121297.663,13279737.78402
1741244400000,108.50,108.87,107.11,108.06,313830.554,1741247999999,33930151.05444,65579,160466.728,17354545.24449
1741248000000,108.06,109.64,107.72,109.23,215060.846,1741251599999,23392298.64791,49753,107428.006,11691662.88838
1741251600000,109.23,109.26,107.08,107.59,259340.617,1741255199999,28030585.16940,54520,117695.269,12715594.60729
1741255200000,107.60,108.73,107.24,108.17,175590.780,1741258799999,18978819.78818,44128,98329.099,10630175.77632
1741258800000,108.16,108.35,107.00,107.17,170375.242,1741262399999,18309989.82483,37561,66148.242,7112101.83440
1741262400000,107.16,107.37,105.30,105.68,277299.900,1741265999999,29458695.95582,60394,120763.949,12832884.74171
1741266000000,105.69,106.33,105.10,105.55,201640.429,1741269599999,21333959.95142,49407,101940.377,10788012.44207
1741269600000,105.55,106.13,103.97,105.27,302994.946,1741273199999,31807360.22754,69216,147311.779,15474876.51817
1741273200000,105.27,106.92,104.84,105.38,312273.360,1741276799999,33081492.48259,71972,162366.337,17206056.26494
1741276800000,105.38,105.68,103.33,103.49,246947.244,1741280399999,25813431.70226,60692,113867.966,11913605.64940
1741280400000,103.48,103.57,102.03,102.53,271443.074,1741283999999,27877554.70048,63128,123493.122,12687049.34877
1741284000000,102.52,103.05,102.02,102.72,112273.440,1741287599999,11514057.70900,35898,61201.131,6277211.46652
1741287600000,102.71,103.96,102.42,103.15,136872.613,1741291199999,14136888.19303,43597,72813.368,7523177.15712
1741291200000,103.15,103.65,102.45,102.82,118113.810,1741294799999,12177320.10307,33021,55074.180,5680153.75639
1741294800000,102.82,103.69,102.61,103.66,99673.708,1741298399999,10282085.71098,27275,47484.962,4899106.56386
1741298400000,103.63,104.54,103.27,103.45,151897.166,1741301999999,15789853.60009,38353,76701.392,7973666.41685
1741302000000,103.45,103.93,102.94,103.33,110074.729,1741305599999,11387103.67198,27678,55136.155,5705156.18495
1741305600000,103.33,104.49,97.20,98.01,1014919.956,1741309199999,101733688.15794,196418,437069.579,43853388.83632
1741309200000,98.02,102.38,97.57,101.22,440613.272,1741312799999,44170899.48320,104488,233452.106,23396985.03817
1741312800000,101.20,101.55,100.46,100.67,170644.278,1741316399999,17231938.77992,44825,84388.353,8527394.50854
1741316400000,100.67,101.47,100.59,100.74,95748.447,1741319999999,9672450.62038,30178,45614.915,4607875.10559
1741320000000,100.74,101.42,100.51,100.77,85238.879,1741323599999,8603291.43239,28618,46397.500,4682955.05036
1741323600000,100.76,102.11,100.62,101.62,113691.213,1741327199999,11547875.79293,35525,60404.510,6136561.03846
1741327200000,101.62,102.55,101.04,102.34,112483.316,1741330799999,11448937.79386,29369,53441.893,5442374.38838
1741330800000,102.33,102.85,101.91,102.65,122677.475,1741334399999,12561607.55194,31136,61300.320,6278865.79223
1741334400000,102.65,102.94,101.84,102.65,147009.580,1741337999999,15050797.01136,38454,78952.505,8086635.25628
1741338000000,102.65,104.37,102.58,103.49,209504.796,1741341599999,21697575.18490,51341,108563.848,11240559.98153
1741341600000,103.50,104.66,103.40,104.47,97217.837,1741345199999,10115999.98557,29648,50762.730,5283779.92778
1741345200000,104.46,105.29,103.95,105.27,195337.821,1741348799999,20441261.55549,39200,81450.100,8526908.92189
1741348800000,105.27,105.46,103.58,104.27,235883.510,1741352399999,24639477.42991,51651,96356.731,10070940.52742
1741352400000,104.26,105.86,103.77,104.00,261313.511,1741355999999,27391125.89693,66640,128183.154,13444412.36916
1741356000000,104.01,105.85,103.55,104.71,234183.485,1741359599999,24509635.18330,66743,114477.803,11978399.10084
1741359600000,104.70,105.34,103.33,104.15,228201.209,1741363199999,23822473.95763,67645,109845.857,11471407.74577
1741363200000,104.15,104.38,102.11,102.89,257937.233,1741366799999,26596064.79923,79196,122067.459,12584881.13626
1741366800000,102.89,104.99,102.41,104.00,165132.141,1741370399999,17098840.98610,57167,85793.245,8884107.20272
1741370400000,104.01,105.65,103.76,105.26,168052.720,1741373999999,17622519.50055,51468,87547.658,9182327.56588
1741374000000,105.26,105.66,104.22,105.01,130832.582,1741377599999,13736859.21713,39648,57846.576,6076361.29215
1741377600000,105.01,106.58,104.33,105.61,203272.072,1741381199999,21433128.58272,60782,105000.660,11073146.03838
1741381200000,105.60,105.74,103.09,103.96,318216.188,1741384799999,33118242.06098,76746,148625.890,15470881.80946
