open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1765011600000,0.1864700,0.2455000,0.1700000,0.2355400,189836883,1765015199999,40470919.6913500,499535,93850706,20018861.5162700
1765015200000,0.2352900,0.2548800,0.2160600,0.2487600,134711003,1765018799999,31745514.3758300,395596,66896535,15783143.3156600
1765018800000,0.2489000,0.2560000,0.2024700,0.2191900,175604702,1765022399999,40123226.9807100,432956,85079661,19447191.6918800
1765022400000,0.2190800,0.2311800,0.2107200,0.2250200,90107687,1765025999999,19874470.8119300,249156,44819811,9895234.4040400
1765026000000,0.2249900,0.2344000,0.2134200,0.2296500,56442139,1765029599999,12514073.5838100,168154,27957319,6203414.0253100
1765029600000,0.2296500,0.2409200,0.2184600,0.2215100,69135928,1765033199999,15951489.3710900,197881,34699329,8011229.4951200
1765033200000,0.2214700,0.2255700,0.2063500,0.2142500,50822064,1765036799999,11002132.8005100,144118,24540930,5315057.6485600
1765036800000,0.2142500,0.2288800,0.2115500,0.2223500,42234055,1765040399999,9334007.6911400,121502,21054313,4653388.5949100
1765040400000,0.2223500,0.2265500,0.2157200,0.2225000,25537963,1765043999999,5648931.2043800,77044,12394967,2742242.8779100
1765044000000,0.2226200,0.2345000,0.2225100,0.2293500,27731349,1765047599999,6375509.3774400,91007,13792293,3171547.5452600
1765047600000,0.2294200,0.2829400,0.2192300,0.2658500,100407984,1765051199999,26138932.6722500,294611,50712366,13194418.9430500
1765051200000,0.2657300,0.2759200,0.2480000,0.2544800,81728642,1765054799999,21432504.0208900,241026,40614217,10660764.2342100
1765054800000,0.2545800,0.2646100,0.2357200,0.2481200,46690814,1765058399999,11581706.5782600,149847,23395371,5805937.1547500
1765058400000,0.2481300,0.2592800,0.2435500,0.2550100,28807621,1765061999999,7224648.3921600,103042,14890983,3736729.6173500
1765062000000,0.2550100,0.2577900,0.2058000,0.2286400,45900096,1765065599999,10777422.9464900,172154,21722100,5106542.1886400
1765065600000,0.2286500,0.2404200,0.2216900,0.2291300,33984873,1765069199999,7854548.1828000,145904,16920840,3913135.2090800
