open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1742634000000,0.0753200,0.0900000,0.0720300,0.0752000,131123335,1742637599999,10369552.9462900,60847,64970173,5147915.0072400
1742637600000,0.0750800,0.0830000,0.0730600,0.0795500,73151670,1742641199999,5627880.1154800,42572,37823747,2913131.2590100
1742641200000,0.0795200,0.0825400,0.0756000,0.0774400,52208046,1742644799999,4081781.9172900,38820,25373530,1986466.1431600
1742644800000,0.0775700,0.0800000,0.0758600,0.0789800,46453175,1742648399999,3624499.7271300,27404,22669965,1769385.6007000
1742648400000,0.0788900,0.0877600,0.0787700,0.0846600,104196762,1742651999999,8595117.2474400,56859,52514953,4336393.7728100
1742652000000,0.0846000,0.0964700,0.0775700,0.0831700,193105540,1742655599999,16459402.7428500,104202,94383200,8046375.6840600
1742655600000,0.0831400,0.0833900,0.0760300,0.0793200,65432413,1742659199999,5176368.7197200,36142,32565213,2576327.0979500
1742659200000,0.0793200,0.0817900,0.0768800,0.0805800,27160889,1742662799999,2152211.7509200,22333,13457454,1067595.1139000
1742662800000,0.0805700,0.0814600,0.0752300,0.0796000,44124976,1742666399999,3448741.6011100,35214,21320674,1666621.2584500
1742666400000,0.0797100,0.0812800,0.0777100,0.0791800,24609478,1742669999999,1956673.8861600,17201,12477345,992527.4093100
1742670000000,0.0791700,0.0817300,0.0786500,0.0803300,23879861,1742673599999,1911799.7825500,12774,11493537,920261.2754400
1742673600000,0.0803200,0.0839800,0.0766000,0.0772100,33017889,1742677199999,2660107.1218400,20983,14887076,1201062.6550300
1742677200000,0.0771400,0.0789300,0.0666000,0.0744800,130294976,1742680799999,9645659.4053400,87471,62184712,4593065.9854600
1742680800000,0.0745000,0.0759300,0.0723000,0.0736200,13882951,1742684399999,1032799.7986900,10373,6523317,485447.2914500
1742684400000,0.0737000,0.0795000,0.0731900,0.0764600,24158813,1742687999999,1841809.9118000,15981,12583014,960199.3108000
1742688000000,0.0764400,0.0775200,0.0739400,0.0750700,11337905,1742691599999,857398.6087200,8215,5724531,432837.1252400
1742691600000,0.0750900,0.0752800,0.0683300,0.0697000,32965069,1742695199999,2349734.6682000,16563,16860335,1202348.7439200
1742695200000,0.0697300,0.0722900,0.0691200,0.0708000,13887868,1742698799999,980223.7853600,8094,7293213,515613.3092700
1742698800000,0.0707800,0.0721900,0.0693500,0.0719600,14437677,1742702399999,1021474.0191400,8959,7893502,558916.0251600
1742702400000,0.0720600,0.0729700,0.0696100,0.0701400,10613280,1742705999999,752910.7748500,7826,4603396,326590.4688300
1742706000000,0.0701500,0.0710000,0.0700700,0.0708000,4230833,1742709599999,298514.1180000,3345,2118500,149523.9765100
1742709600000,0.0708000,0.0713300,0.0663200,0.0672600,25672555,1742713199999,1756361.9894100,12608,12506044,856107.8727200
1742713200000,0.0673300,0.0687100,0.0652000,0.0660600,26900963,1742716799999,1806741.3467500,12912,13292219,893331.1528700
1742716800000,0.0660500,0.0660600,0.0615400,0.0638800,43519551,1742720399999,2768757.5868500,21848,19975417,1271819.6925500
1742720400000,0.0638700,0.0650800,0.0634100,0.0637100,15272564,1742723999999,979265.1810700,9189,7772847,498561.2825700
1742724000000,0.0637500,0.0638000,0.0618900,0.0625500,22007115,1742727599999,1381134.4639100,12858,10369420,651332.4511600
1742727600000,0.0625500,0.0644200,0.0623200,0.0637300,29011576,1742731199999,1842872.7989500,13327,14683361,933366.7600400
1742731200000,0.0638100,0.0658900,0.0631000,0.0654900,26080396,1742734799999,1686259.7875400,12508,13747974,889404.3630100
1742734800000,0.0654400,0.0658200,0.0635000,0.0650200,24449139,1742738399999,1579124.0346900,12634,11580706,748401.1275300
1742738400000,0.0650100,0.0671800,0.0642300,0.0659300,20893978,1742741999999,1371630.6787300,10269,10775447,708273.5731600
1742742000000,0.0659500,0.0696500,0.0659500,0.0679900,31285601,1742745599999,2116985.0805900,13733,16948883,1147324.0618800
1742745600000,0.0680300,0.0699900,0.0667000,0.0671300,29321169,1742749199999,2004247.0942700,13019,13572078,928158.6724900
1742749200000,0.0671300,0.0685100,0.0656300,0.0665200,15711037,1742752799999,1052151.2218600,9265,7518433,503940.8619800
1742752800000,0.0664900,0.0670000,0.0641000,0.0650100,14291264,1742756399999,933087.0899300,9647,5753477,375570.9487200
1742756400000,0.0650100,0.0664800,0.0644100,0.0656400,11120609,1742759999999,726721.3400100,7951,5969166,390307.6529200
1742760000000,0.0656300,0.0665900,0.0647900,0.0650800,11025228,1742763599999,724588.3011000,7340,5310086,349528.4620400
1742763600000,0.0650400,0.0651500,0.0638700,0.0646400,9152132,1742767199999,591243.8067600,6450,4400467,284491.4527600
