open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,135.7500,137.3700,134.4200,136.8900,72516.04,1741085999999,9870643.189200,12632,37385.08,5089330.480500
1741086000000,136.8800,138.4200,136.6600,136.8300,57007.22,1741089599999,7826466.259200,10041,28839.78,3959568.091300
1741089600000,136.8200,137.3300,135.2300,136.2200,60513.98,1741093199999,8249242.019200,10190,31256.66,4260228.713200
1741093200000,136.2000,136.2400,132.4500,133.6600,112848.23,1741096799999,15136946.657800,19618,57629.67,7730675.257200
1741096800000,133.6700,143.1000,132.7900,136.5000,274486.12,1741100399999,38092739.250700,49590,138836.56,19274254.382400
1741100400000,136.5000,138.5100,133.3100,138.4400,209672.61,1741103999999,28455212.259100,37401,103927.99,14107718.979200
1741104000000,138.4300,138.7900,130.4400,136.1100,176854.32,1741107599999,23826303.450100,32924,88591.05,11937400.501900
1741107600000,136.1200,141.1500,135.8900,140.7100,139586.36,1741111199999,19406839.787800,23339,66778.85,9286087.057700
1741111200000,140.6800,142.8900,139.8000,142.5100,84694.34,1741114799999,11947200.669500,15468,40540.76,5717554.565200
1741114800000,142.5000,144.7200,141.1300,143.0200,98971.86,1741118399999,14127287.267700,22388,48020.42,6858248.072000
1741118400000,143.0200,144.4700,141.4800,141.8900,75367.33,1741121999999,10780520.080900,16469,36425.28,5212035.078300
1741122000000,141.9500,146.7500,141.5500,145.4600,79774.80,1741125599999,11503470.038700,17493,40209.90,5799392.543200
1741125600000,145.4500,145.8300,143.4500,143.5900,34566.06,1741129199999,5005155.672700,8035,18432.39,2670170.758600
1741129200000,143.5900,145.3300,143.2000,144.6600,26907.25,1741132799999,3886414.365600,6770,13304.07,1921844.170300
1741132800000,144.6400,145.0300,142.4500,142.9100,47214.20,1741136399999,6773003.990100,11184,20881.87,2997220.847100
1741136400000,142.9000,145.0300,141.9900,145.0300,38534.75,1741139999999,5517679.550200,9074,17700.22,2533994.784400
1741140000000,145.0400,145.4200,143.2000,144.4600,36451.93,1741143599999,5261114.524400,9071,17695.67,2554310.839900
1741143600000,144.4600,145.2200,141.6500,141.7200,37812.38,1741147199999,5434740.988400,8224,19432.85,2794377.628400
1741147200000,141.7300,142.4200,140.6900,141.9200,54795.62,1741150799999,7765621.681800,10471,25335.03,3591186.038100
1741150800000,141.9400,142.6000,141.4800,142.0600,30015.32,1741154399999,4265825.175100,5106,14790.97,2101927.403300
1741154400000,142.0700,143.7700,140.7900,143.4800,40699.05,1741157999999,5787850.844400,6724,20489.74,2913702.881600
1741158000000,143.5100,144.0000,141.9000,142.7900,40267.91,1741161599999,5753970.572400,6595,19774.44,2825061.978800
1741161600000,142.7900,144.6000,142.6400,143.8400,47873.00,1741165199999,6887152.963000,8275,26348.31,3791943.152900
1741165200000,143.8900,146.4400,143.6400,145.6200,50067.29,1741168799999,7271561.852400,9906,25225.60,3663145.792000
1741168800000,145.6200,149.6600,145.4400,148.4400,85340.09,1741172399999,12628659.794500,16753,45613.26,6744714.127600
1741172400000,148.4500,148.8300,146.7800,147.0200,39845.04,1741175999999,5897598.924100,11452,19694.70,2915143.262700
1741176000000,147.0300,149.1400,146.0100,146.6900,44644.02,1741179599999,6587446.037600,10684,22584.33,3334876.483200
1741179600000,146.6800,147.2700,143.1000,143.8100,67951.48,1741183199999,9837152.532400,17024,28513.18,4129768.377600
1741183200000,143.7500,144.0000,141.7800,142.0500,72579.07,1741186799999,10370704.784400,16853,35734.67,5107304.207700
1741186800000,142.0700,144.2800,140.2200,141.5700,92758.75,1741190399999,13134670.442800,21017,45308.30,6417067.742200
1741190400000,141.5400,142.8000,140.1000,142.0200,84444.05,1741193999999,11938975.147200,17617,44128.83,6240391.974000
1741194000000,141.9800,144.3800,141.7900,142.4800,64240.15,1741197599999,9177426.342700,14908,33276.41,4753306.566300
1741197600000,142.5000,144.9000,141.6800,144.4100,65315.71,1741201199999,9345750.235700,14856,34002.45,4868443.435500
1741201200000,144.4100,146.3200,144.1500,144.6800,55545.98,1741204799999,8061223.246800,12252,26178.50,3798818.507000
1741204800000,144.6900,145.9500,144.6800,145.4900,39710.66,1741208399999,5770866.389500,8139,18899.22,2746873.165500
1741208400000,145.5200,145.6700,143.8000,144.9600,30460.91,1741211999999,4407462.090600,6890,14290.20,2068323.617200
1741212000000,144.9500,146.4500,144.8700,145.9200,31234.71,1741215599999,4546589.040300,4773,18089.29,2633583.249500
1741215600000,145.9300,146.7000,145.3000,146.1600,19522.49,1741219199999,2850617.852200,6096,9501.09,1387633.874800
1741219200000,146.1800,146.9900,144.4500,144.6400,30014.25,1741222799999,4367672.884400,9439,13692.59,1992303.636800
1741222800000,144.6600,149.0600,144.6000,147.0900,71568.19,1741226399999,10501079.588600,17146,36804.88,5399583.728300
1741226400000,147.0200,148.9900,146.8900,148.7300,51142.60,1741229999999,7564041.013600,14672,27095.59,4006624.902200
1741230000000,148.7300,150.5500,147.8500,148.6300,45796.46,1741233599999,6819262.638000,12903,23000.08,3425658.362100
1741233600000,148.6400,150.1400,147.5300,149.7200,51322.82,1741237199999,7630782.806500,11574,25557.10,3799668.480400
1741237200000,149.7100,150.5500,148.3600,149.9100,42477.76,1741240799999,6354278.270400,10985,20725.60,3101232.439900
1741240800000,149.9200,150.0500,148.3700,148.7600,30767.11,1741244399999,4586969.614400,7761,14553.06,2169857.640500
1741244400000,148.7600,149.4800,148.2600,148.5400,35979.77,1741247999999,5357485.036600,7278,18152.10,2702806.974300
1741248000000,148.5500,151.8400,148.2400,150.7000,68667.81,1741251599999,10301623.359200,12454,32174.77,4827280.940000
1741251600000,150.7300,150.7600,148.7000,148.8800,60186.53,1741255199999,9008228.920900,11578,28739.21,4302149.802700
1741255200000,148.8800,152.8100,148.5700,152.3000,80737.31,1741258799999,12214436.031600,14956,40510.75,6127030.486900
1741258800000,152.2900,152.6500,151.1200,151.6000,38408.56,1741262399999,5826309.660600,8383,19633.72,2977898.696200
1741262400000,151.6000,151.7700,148.2300,148.7400,70094.67,1741265999999,10480667.346400,12472,36444.98,5450926.716800
1741266000000,148.7300,149.1900,146.3800,146.6400,91320.16,1741269599999,13509358.235000,15662,39714.25,5874420.295400
1741269600000,146.6300,148.2800,144.9900,146.3000,98548.46,1741273199999,14442427.964600,19317,50819.54,7449193.960200
1741273200000,146.3200,150.1100,146.0000,148.9500,87874.71,1741276799999,13032939.794000,18509,46382.95,6878963.195900
1741276800000,148.9700,149.3600,144.7000,144.9500,79049.43,1741280399999,11619990.803000,17282,38502.49,5659852.842900
1741280400000,144.9500,144.9500,142.5900,143.7700,96434.09,1741283999999,13850180.301300,19596,49534.91,7115739.760600
1741284000000,143.7500,144.3200,142.4100,143.1500,56072.03,1741287599999,8044027.926500,11328,27635.27,3964974.055500
1741287600000,143.1300,144.7400,142.3300,143.5000,63755.83,1741291199999,9140537.208300,11088,28422.92,4075949.118600
1741291200000,143.5100,144.8600,143.3100,144.0200,62075.97,1741294799999,8949696.703600,9546,30347.31,4375728.533600
1741294800000,144.0400,145.2500,143.1800,144.2800,42239.16,1741298399999,6084825.332600,7356,22333.95,3218133.851600
1741298400000,144.2800,145.8300,143.1100,143.5500,55774.43,1741301999999,8058698.882500,10884,27055.20,3909077.599000
1741302000000,143.5500,144.4800,143.1400,143.2100,29709.62,1741305599999,4268455.563300,6885,14855.73,2134416.154300
