open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,2.420400,2.440900,2.401500,2.433900,6959906.8,1741085999999,16860631.8108700,70616,3607721.3,8742073.6365700
1741086000000,2.433800,2.455100,2.405800,2.415900,9953386.2,1741089599999,24159343.1392900,78599,5380689.0,13067354.9538200
1741089600000,2.415800,2.439900,2.382900,2.406300,16435418.5,1741093199999,39578205.3818600,97667,7066609.8,17021258.3817400
1741093200000,2.406400,2.408500,2.315500,2.338900,33784414.5,1741096799999,79515764.8043900,182227,13961136.8,32823744.8007000
1741096800000,2.339000,2.477000,2.311000,2.357500,51026980.8,1741100399999,122495203.1187700,285472,27357295.8,65751398.6226900
1741100400000,2.357400,2.394300,2.286000,2.389700,36274350.8,1741103999999,84708806.4742700,238019,17896235.9,41802872.9633200
1741104000000,2.389900,2.398500,2.252500,2.356400,31641734.7,1741107599999,73232432.6986500,199634,15388970.0,35616289.6624700
1741107600000,2.356500,2.445000,2.351200,2.415600,23847481.7,1741111199999,57284980.0967300,157785,11798032.6,28353095.4318100
1741111200000,2.415600,2.536800,2.403800,2.511900,21823822.7,1741114799999,53954150.0239500,126405,12227308.8,30227817.4868900
1741114800000,2.511800,2.555700,2.494200,2.553200,21190008.0,1741118399999,53402307.6637200,141889,11428417.8,28812263.1922400
1741118400000,2.553100,2.565300,2.478300,2.486300,14598507.5,1741121999999,36816465.2494600,109177,5805861.1,14658604.9834500
1741122000000,2.486400,2.583500,2.480600,2.527500,12784150.1,1741125599999,32404295.2583100,115394,6772807.4,17166545.2503900
1741125600000,2.527600,2.558100,2.516100,2.530800,5654349.2,1741129199999,14366041.8118900,53091,2850332.3,7242136.4384800
1741129200000,2.530900,2.551700,2.518800,2.524800,4586842.6,1741132799999,11619522.5450800,50734,2168135.4,5495414.3664000
1741132800000,2.524700,2.534300,2.453000,2.469200,15126338.9,1741136399999,37641875.0118800,109604,6402051.0,15922157.9331700
1741136400000,2.469300,2.504600,2.447000,2.504000,8302921.4,1741139999999,20576950.5730900,84712,4506320.6,11175349.6064700
1741140000000,2.504000,2.542300,2.481600,2.503500,9554168.3,1741143599999,23967348.3589600,95847,5125410.1,12866609.6653900
1741143600000,2.503400,2.519000,2.457200,2.458600,6535808.3,1741147199999,16298621.7494300,70998,3147441.4,7859086.9186600
1741147200000,2.458900,2.482400,2.451900,2.474500,4818810.6,1741150799999,11889657.8169400,58211,2436138.3,6012042.0127600
1741150800000,2.474600,2.479600,2.458200,2.466000,3525783.5,1741154399999,8701944.1588500,39820,1941232.2,4791434.8729200
1741154400000,2.466000,2.488100,2.440500,2.479600,5695400.9,1741157999999,14030609.1992100,53441,2908125.7,7169978.5791800
1741158000000,2.479600,2.487200,2.457700,2.475300,4671888.8,1741161599999,11542142.9699300,47075,2527070.0,6244055.5367200
1741161600000,2.475200,2.539500,2.472200,2.518500,9353706.1,1741165199999,23494009.9598800,72540,5123012.9,12865846.4042800
1741165200000,2.518500,2.589200,2.513600,2.560000,15119201.9,1741168799999,38676501.5663500,94983,8284160.1,21198189.5589300
1741168800000,2.560000,2.644400,2.556300,2.592600,21836817.2,1741172399999,56853069.5659300,134355,10724434.8,27921945.2237900
1741172400000,2.592700,2.593800,2.505000,2.516500,18294683.8,1741175999999,46486269.8744100,108688,8063723.8,20505991.9533400
1741176000000,2.516400,2.552300,2.500000,2.525100,10656460.5,1741179599999,26939841.1353300,87527,5400315.4,13658604.9812700
1741179600000,2.525100,2.546100,2.491700,2.514200,12730081.6,1741183199999,32085766.9499300,93455,5573427.2,14047735.5711900
1741183200000,2.514300,2.518600,2.452400,2.471700,14749543.2,1741186799999,36652726.6584100,109627,6695755.6,16654626.1071200
