open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,272.08,274.70,270.34,272.43,28440.155,1741085999999,7744974.79675,68612,14459.776,3938507.28995
1741086000000,272.42,276.09,269.00,273.10,29875.204,1741089599999,8141285.77516,71342,15445.546,4209566.24154
1741089600000,273.11,275.95,266.36,272.25,31459.560,1741093199999,8519660.25136,70658,14020.713,3799475.21312
1741093200000,272.26,272.27,264.05,265.70,37358.438,1741096799999,9974761.59166,92484,17741.105,4738733.64052
1741096800000,265.72,280.97,264.09,267.93,83024.522,1741100399999,22633332.77207,153036,39772.946,10847010.37664
1741100400000,267.93,271.96,262.03,271.49,54884.865,1741103999999,14650907.09843,127105,26553.568,7093317.45014
1741104000000,271.50,273.41,256.90,271.15,67930.570,1741107599999,17996116.84760,121132,31922.927,8466018.07302
1741107600000,271.14,282.79,270.74,281.44,43920.502,1741111199999,12196887.97738,116927,22130.129,6148591.44235
1741111200000,281.41,288.07,278.85,286.42,33695.802,1741114799999,9521342.13521,78417,15541.943,4396390.44667
1741114800000,286.36,291.63,284.45,289.49,33165.398,1741118399999,9542464.07182,87055,16159.921,4649924.06172
1741118400000,289.48,290.57,280.98,281.60,26286.453,1741121999999,7529429.95341,58842,9691.257,2781924.95916
1741122000000,281.61,294.79,281.11,288.11,28381.428,1741125599999,8168746.88975,74233,14469.146,4167152.91456
1741125600000,288.11,290.99,285.57,285.57,11154.297,1741129199999,3220936.79576,29871,5426.590,1568048.78984
1741129200000,285.57,288.65,284.98,287.25,9070.274,1741132799999,2601218.29310,29991,4556.653,1306966.33967
1741132800000,287.25,290.35,285.49,286.99,13101.809,1741136399999,3775766.17999,42779,6535.245,1884140.64110
1741136400000,287.00,293.36,284.82,293.25,22715.491,1741139999999,6594628.28765,51262,12427.236,3609310.33057
1741140000000,293.25,296.23,290.11,294.36,23401.602,1741143599999,6858344.06594,63098,12210.102,3579257.11471
1741143600000,294.36,295.12,286.53,286.77,16286.495,1741147199999,4732783.61817,42799,7344.999,2134418.37617
1741147200000,286.78,289.33,286.23,288.14,10291.076,1741150799999,2961634.49776,32587,5027.721,1447370.89917
1741150800000,288.16,290.96,286.76,290.15,9471.741,1741154399999,2734408.88214,28023,5080.100,1467343.72193
1741154400000,290.16,294.24,287.03,293.15,14250.017,1741157999999,4138812.36921,36025,7982.794,2320118.80851
1741158000000,293.15,294.64,289.49,291.68,12211.354,1741161599999,3559237.67538,32284,6213.456,1810937.38672
1741161600000,291.68,296.60,291.16,292.44,17853.965,1741165199999,5251739.95254,42522,8448.038,2484857.84907
1741165200000,292.44,302.00,291.94,295.90,29833.556,1741168799999,8860156.83954,59594,15846.427,4709823.16857
1741168800000,295.88,302.80,293.86,299.84,29914.296,1741172399999,8953854.20117,72325,14832.777,4440476.74523
1741172400000,299.84,304.40,295.04,296.77,41667.179,1741175999999,12471987.79888,77170,19497.364,5834333.20748
1741176000000,296.77,303.13,295.00,303.03,30449.651,1741179599999,9114260.04273,65269,14504.663,4341011.56400
1741179600000,303.02,312.49,300.01,300.63,72942.846,1741183199999,22315857.06451,124581,33320.148,10197149.24623
1741183200000,300.67,300.98,292.60,294.58,32117.069,1741186799999,9524407.51420,91482,14325.581,4249446.42982
1741186800000,294.62,299.81,294.33,297.59,28245.477,1741190399999,8402504.07613,83508,14463.814,4304268.76371
1741190400000,297.58,299.83,292.70,296.70,22230.879,1741193999999,6581252.45776,64129,10650.622,3153619.52815
1741194000000,296.69,308.34,296.40,305.98,29632.014,1741197599999,8994138.69214,78306,15076.944,4573775.99166
1741197600000,305.98,306.05,297.99,301.08,21775.371,1741201199999,6573602.66499,54774,10626.558,3209330.08996
1741201200000,301.06,305.19,300.41,304.12,15213.108,1741204799999,4610400.19497,40185,7245.209,2196141.01221
1741204800000,304.12,306.76,302.53,303.80,10099.347,1741208399999,3074339.40772,35182,4923.816,1499034.05481
1741208400000,303.82,304.13,299.59,300.46,10187.379,1741211999999,3073187.96161,31854,4734.680,1428282.74715
1741212000000,300.45,301.27,299.12,300.94,8763.531,1741215599999,2630785.80792,24264,4361.256,1309606.52912
1741215600000,300.96,302.00,299.06,299.83,8398.030,1741219199999,2523420.88906,29351,4123.431,1238867.86219
1741219200000,299.83,302.18,295.81,296.06,14391.971,1741222799999,4300604.50646,38892,6155.664,1840829.45882
1741222800000,296.06,303.78,295.03,300.00,17011.016,1741226399999,5093931.09790,47517,8571.311,2564486.20142
1741226400000,300.00,304.86,298.15,303.32,22627.252,1741229999999,6801615.95770,51617,13034.105,3917216.37672
1741230000000,303.32,304.70,300.36,302.88,10591.207,1741233599999,3202745.72950,34488,5398.513,1632441.50633
1741233600000,302.85,306.44,301.50,306.02,13217.154,1741237199999,4017263.34286,38955,6815.268,2072473.41606
1741237200000,306.04,311.84,305.21,310.88,15757.568,1741240799999,4859475.33211,50748,7356.973,2269686.92922
1741240800000,310.90,311.25,303.96,304.62,15905.561,1741244399999,4874621.23812,38473,7209.628,2209078.77185
1741244400000,304.60,305.43,301.02,302.24,14758.339,1741247999999,4467214.54736,32429,7650.369,2315883.11371
1741248000000,302.28,308.42,301.69,304.84,19175.731,1741251599999,5852989.02317,37157,10747.504,3280140.79976
1741251600000,304.84,305.21,286.11,287.97,68534.976,1741255199999,20213617.45993,95169,33232.741,9803159.37797
1741255200000,287.97,295.76,287.14,294.24,23545.284,1741258799999,6898544.06362,56420,12748.049,3732771.68162
1741258800000,294.22,295.17,290.02,292.27,15922.380,1741262399999,4648053.48485,34673,7107.891,2075570.63453
1741262400000,292.26,292.76,285.16,286.87,20884.221,1741265999999,6014070.63736,50153,9254.272,2664636.58194
1741266000000,286.86,287.94,282.87,283.42,17024.494,1741269599999,4862211.14115,50545,8016.591,2291495.03213
1741269600000,283.45,286.55,280.94,284.30,24472.474,1741273199999,6947808.65656,70916,12260.030,3482023.19361
1741273200000,284.31,293.30,283.92,289.01,30567.008,1741276799999,8842028.18992,68833,16012.589,4632098.52721
1741276800000,289.01,294.68,287.00,288.42,46557.530,1741280399999,13503614.42377,82491,23594.641,6846727.79004
1741280400000,288.42,292.20,286.00,290.81,30151.649,1741283999999,8710495.24608,74670,15811.421,4570389.95301
1741284000000,290.82,291.71,283.24,285.38,22182.154,1741287599999,6360201.49630,49271,9117.859,2616133.35655
1741287600000,285.37,287.62,282.75,283.75,11548.425,1741291199999,3292399.48511,35378,5914.166,1687003.12433
1741291200000,283.77,287.29,283.04,285.77,9227.651,1741294799999,2633395.50619,29913,4535.324,1294505.18297
1741294800000,285.76,290.21,284.76,286.94,12975.695,1741298399999,3728685.05100,29874,6415.576,1844409.19837
1741298400000,286.91,291.93,286.91,288.27,14593.026,1741301999999,4221789.20911,32124,7291.968,2109380.13907
1741302000000,288.33,290.65,286.68,287.74,9594.862,1741305599999,2771398.14412,29235,4681.976,1353147.67701
1741305600000,287.75,292.45,271.56,273.78,76352.167,1741309199999,21354865.38077,130691,34692.390,9711434.57282
1741309200000,273.77,286.28,272.03,282.18,38323.213,1741312799999,10745676.71955,82210,19267.225,5398384.08213
1741312800000,282.17,285.63,278.28,281.55,17715.130,1741316399999,4990461.76354,49049,9111.898,2567665.03485
1741316400000,281.58,283.03,279.17,279.55,9821.169,1741319999999,2762187.83421,31137,4528.070,1274078.11044
1741320000000,279.54,281.74,278.41,278.97,9574.175,1741323599999,2680384.07659,28869,5116.063,1432502.48147
1741323600000,278.97,285.20,278.79,283.01,10265.354,1741327199999,2891092.28712,29345,5328.905,1500359.44989
1741327200000,282.99,283.09,279.71,281.34,9093.995,1741330799999,2557259.74223,25381,4744.156,1334427.82677
1741330800000,281.34,283.51,280.09,281.27,9263.435,1741334399999,2610485.63291,28035,4794.172,1351439.03189
1741334400000,281.27,282.55,278.00,282.10,10023.130,1741337999999,2806898.26869,27460,5003.206,1401452.76936
1741338000000,282.10,289.16,281.99,285.41,17887.254,1741341599999,5103217.04609,43539,9204.880,2626015.98114
1741341600000,285.41,288.21,283.34,288.07,19171.147,1741345199999,5486112.59685,31899,9553.757,2734809.26663
1741345200000,288.07,293.96,287.75,290.98,48649.662,1741348799999,14162107.25222,65215,20917.487,6089284.39453
1741348800000,290.98,292.89,283.68,285.04,25244.752,1741352399999,7264663.52781,50222,12166.242,3502055.85836
1741352400000,285.03,291.60,284.67,285.51,27523.275,1741355999999,7930543.76410,64098,13159.909,3791605.85776
1741356000000,285.55,292.19,281.44,288.04,30781.410,1741359599999,8836040.47574,70346,13429.507,3859222.88238
1741359600000,288.01,290.01,280.01,284.33,29148.991,1741363199999,8312447.14569,72912,15308.316,4366107.64657
1741363200000,284.33,285.64,272.12,277.09,43893.400,1741366799999,12212015.96604,93421,19796.878,5512568.00149
1741366800000,277.11,284.00,275.82,280.36,26764.369,1741370399999,7478042.55247,64992,13560.595,3788078.13925
1741370400000,280.37,289.76,279.50,289.43,20603.166,1741373999999,5874639.12583,56634,9999.160,2847858.65799
1741374000000,289.39,290.75,284.25,285.50,15537.935,1741377599999,4466493.64639,44606,7405.871,2129364.32738
1741377600000,285.48,287.93,280.49,283.04,19210.689,1741381199999,5451254.61084,52489,9354.670,2656971.44448
1741381200000,282.98,283.78,273.87,274.31,34257.461,1741384799999,9520418.07308,80788,16347.426,4544611.97332
1741384800000,274.29,279.69,272.50,277.07,15814.267,1741388399999,4358840.33162,34802,8320.520,2293556.37672
1741388400000,277.05,277.18,271.48,275.17,11771.375,1741391999999,3225105.72902,39430,5278.599,1446469.32467
1741392000000,275.18,277.89,273.31,277.65,9366.792,1741395599999,2580452.62217,30966,4695.952,1293847.20062
1741395600000,277.66,278.15,271.36,275.95,10946.664,1741399199999,3004148.73520,31866,4765.075,1308221.29358
1741399200000,275.94,276.91,274.76,276.27,5435.476,1741402799999,1499279.10937,19917,2633.836,726314.56365
1741402800000,276.29,276.44,272.92,274.90,4958.023,1741406399999,1363210.92377,18729,2309.922,635225.18128
1741406400000,274.90,280.95,273.65,280.32,9903.749,1741409999999,2750141.71170,27936,5442.033,1511497.09142
1741410000000,280.33,280.86,276.58,276.81,19970.059,1741413599999,5559449.80046,34816,9545.468,2656766.81676
1741413600000,276.81,278.76,274.01,275.17,32158.372,1741417199999,8874254.76442,40751,19022.206,5250464.66184
