open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
1741082400000,6.7480,6.8030,6.7040,6.7830,407833,1741085999999,2753313.7130,16632,206380,1393698.0920
1741086000000,6.7820,6.8240,6.7330,6.7350,398934,1741089599999,2703360.9100,15128,213142,1444009.1870
1741089600000,6.7350,6.8420,6.6710,6.7960,870890,1741093199999,5885889.9450,22814,485284,3279413.8360
1741093200000,6.7950,6.8000,6.6290,6.6720,975296,1741096799999,6541221.7890,30736,476973,3198467.8170
1741096800000,6.6730,7.0120,6.6370,6.7320,1944415,1741100399999,13288999.2860,65411,944460,6454642.7040
1741100400000,6.7320,7.0060,6.5570,6.8150,4181212,1741103999999,28232141.2810,85731,2091046,14137739.7510
1741104000000,6.8150,6.8320,6.4670,6.7400,1942545,1741107599999,12882255.4910,54420,959145,6363993.4040
1741107600000,6.7410,6.9790,6.7360,6.9500,1210043,1741111199999,8324335.7510,37696,672561,4629642.4550
1741111200000,6.9500,7.0850,6.9170,7.0610,872490,1741114799999,6104518.0430,27945,480316,3360913.6490
1741114800000,7.0600,7.0960,7.0050,7.0540,604478,1741118399999,4264536.4620,22898,307619,2170386.3090
1741118400000,7.0530,7.0890,6.9350,6.9430,564592,1741121999999,3964997.8040,20540,258446,1814334.5910
1741122000000,6.9440,7.1570,6.9140,7.0550,493681,1741125599999,3484150.3960,23310,230481,1625887.1820
1741125600000,7.0550,7.1300,7.0320,7.0420,370980,1741129199999,2627740.4790,13723,197113,1397060.1090
1741129200000,7.0420,7.0960,7.0000,7.0650,496451,1741132799999,3498463.2440,15188,231947,1635906.9290
1741132800000,7.0660,7.1010,7.0320,7.0540,368640,1741136399999,2602490.0470,16307,160563,1133729.3610
1741136400000,7.0540,7.1400,7.0070,7.1360,399162,1741139999999,2829142.5280,16317,234659,1663879.1240
1741140000000,7.1370,7.1670,7.0400,7.1130,439552,1741143599999,3124400.5000,19318,237221,1686278.6820
1741143600000,7.1120,7.1460,7.0400,7.0420,329579,1741147199999,2344020.6940,14706,152591,1085821.2630
